INSTRUMENT,VEGETATION,LOCATION,REPLICATE,SC_HEIGHT,FILENAME,NOTES,definition,NDVI
Unispec-SC,Shrub,S1,10,1,area match700010.spu,NA,Greenseeker,0.8095353069000241
Unispec-SC,Shrub,S1,10,1,area match700010.spu,NA,MODIS,0.7965346143875844
Unispec-SC,Shrub,S1,10,1,area match700010.spu,NA,RapidSCAN,0.8347150815330844
Unispec-SC,Shrub,S1,10,1,area match700010.spu,NA,ToolikEDC,0.7593819026367551
Unispec-SC,Shrub,S2,1,1,area match900001.spu,NA,Greenseeker,0.8048904695803591
Unispec-SC,Shrub,S2,1,1,area match900001.spu,NA,MODIS,0.8017345518019057
Unispec-SC,Shrub,S2,1,1,area match900001.spu,NA,RapidSCAN,0.8249110673845669
Unispec-SC,Shrub,S2,1,1,area match900001.spu,NA,ToolikEDC,0.7701802853357743
Unispec-SC,Shrub,S2,2,1,area match900002.spu,NA,Greenseeker,0.8044054705293388
Unispec-SC,Shrub,S2,2,1,area match900002.spu,NA,MODIS,0.8017471316114297
Unispec-SC,Shrub,S2,2,1,area match900002.spu,NA,RapidSCAN,0.8250628123284101
Unispec-SC,Shrub,S2,2,1,area match900002.spu,NA,ToolikEDC,0.7700617021845222
Unispec-SC,Shrub,S2,3,1,area match900003.spu,NA,Greenseeker,0.8046844854810505
Unispec-SC,Shrub,S2,3,1,area match900003.spu,NA,MODIS,0.8017681539995454
Unispec-SC,Shrub,S2,3,1,area match900003.spu,NA,RapidSCAN,0.8249260453000131
Unispec-SC,Shrub,S2,3,1,area match900003.spu,NA,ToolikEDC,0.7701646914640684
Unispec-SC,Shrub,S2,4,1,area match900004.spu,NA,Greenseeker,0.804309722089711
Unispec-SC,Shrub,S2,4,1,area match900004.spu,NA,MODIS,0.8015850268394354
Unispec-SC,Shrub,S2,4,1,area match900004.spu,NA,RapidSCAN,0.8242832570382869
Unispec-SC,Shrub,S2,4,1,area match900004.spu,NA,ToolikEDC,0.7700803594395275
Unispec-SC,Shrub,S2,5,1,area match900005.spu,NA,Greenseeker,0.8040203196197703
Unispec-SC,Shrub,S2,5,1,area match900005.spu,NA,MODIS,0.8010944812848929
Unispec-SC,Shrub,S2,5,1,area match900005.spu,NA,RapidSCAN,0.8249120879120879
Unispec-SC,Shrub,S2,5,1,area match900005.spu,NA,ToolikEDC,0.7697324047581782
Unispec-SC,Shrub,S2,6,1,area match900006.spu,NA,Greenseeker,0.8034038500782259
Unispec-SC,Shrub,S2,6,1,area match900006.spu,NA,MODIS,0.8006630990952863
Unispec-SC,Shrub,S2,6,1,area match900006.spu,NA,RapidSCAN,0.8231057916624404
Unispec-SC,Shrub,S2,6,1,area match900006.spu,NA,ToolikEDC,0.7692786757533298
Unispec-SC,Shrub,S2,7,1,area match900007.spu,NA,Greenseeker,0.8029847346254707
Unispec-SC,Shrub,S2,7,1,area match900007.spu,NA,MODIS,0.8004972351891971
Unispec-SC,Shrub,S2,7,1,area match900007.spu,NA,RapidSCAN,0.8231613947587174
Unispec-SC,Shrub,S2,7,1,area match900007.spu,NA,ToolikEDC,0.7692047047273728
Unispec-SC,Shrub,S2,8,1,area match900008.spu,NA,Greenseeker,0.8038734691998818
Unispec-SC,Shrub,S2,8,1,area match900008.spu,NA,MODIS,0.8009803105308406
Unispec-SC,Shrub,S2,8,1,area match900008.spu,NA,RapidSCAN,0.8237164181140931
Unispec-SC,Shrub,S2,8,1,area match900008.spu,NA,ToolikEDC,0.7695649824459426
Unispec-SC,Shrub,S2,9,1,area match900009.spu,NA,Greenseeker,0.8025443430342689
Unispec-SC,Shrub,S2,9,1,area match900009.spu,NA,MODIS,0.8000501729584121
Unispec-SC,Shrub,S2,9,1,area match900009.spu,NA,RapidSCAN,0.8227156276686594
Unispec-SC,Shrub,S2,9,1,area match900009.spu,NA,ToolikEDC,0.769072410281574
Unispec-SC,Shrub,S2,10,1,area match900010.spu,NA,Greenseeker,0.8022904294689733
Unispec-SC,Shrub,S2,10,1,area match900010.spu,NA,MODIS,0.8002580360605522
Unispec-SC,Shrub,S2,10,1,area match900010.spu,NA,RapidSCAN,0.8229084205389579
Unispec-SC,Shrub,S2,10,1,area match900010.spu,NA,ToolikEDC,0.7690523338184655
Unispec-SC,Shrub,S3,1,1,area match1200001.spu,NA,Greenseeker,0.6940700684753136
Unispec-SC,Shrub,S3,1,1,area match1200001.spu,NA,MODIS,0.7023217377769746
