JUL22SHB100005.spu,JUL22SHB100004.spu,JUL22SHB100003.spu,
Wavelength,JUL22SHB100006.spu,JUL22SHB100007.spu,JUL22SHB100008.spu,JUL22SHB100009.spu,JUL22SHB100010.spu,JUL22SHB100011.spu,JUL22SHB100012.spu,JUL22SHB100013.spu,JUL22SHB100014.spu,JUL22SHB100015.spu,JUL22SHB100016.spu,JUL22SHB100017.spu,JUL22SHB100018.spu,JUL22SHB100019.spu,JUL22SHB100020.spu,JUL22SHB100021.spu,JUL22SHB100022.spu,JUL22SHB100023.spu,JUL22SHB100024.spu,JUL22SHB100025.spu
  (nm),7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 
  time  ,55:39 PM,56:06 PM,56:20 PM,56:36 PM,56:54 PM,57:08 PM,57:18 PM,57:31 PM,57:44 PM,57:54 PM,58:36 PM,58:48 PM,58:56 PM,59:05 PM,59:19 PM,59:41 PM,59:52 PM,00:01 PM,00:11 PM,00:19 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 375 , 0.013519 , 0.011022 , 0.012101 , 0.006667 , 0.012015 , 0.022203 , 0.016147 , 0.01266 , 0.022487 , 0.010732 , 0.013041 , 0.014515 , 0.039459 , 0.00969 , 0.017033 , 0.011217 , 0.005011 , 0.006288 , 0.001539 , 0.006873 
 376 , 0.013552 , 0.01031 , 0.011992 , 0.006347 , 0.011455 , 0.021309 , 0.01535 , 0.012241 , 0.02153 , 0.010081 , 0.012277 , 0.013981 , 0.037982 , 0.00931 , 0.016329 , 0.010793 , 0.00455 , 0.005831 , 0.001268 , 0.00648 
 377 , 0.013521 , 0.009421 , 0.011936 , 0.006 , 0.010848 , 0.020562 , 0.014605 , 0.011879 , 0.020639 , 0.009495 , 0.011379 , 0.013526 , 0.036481 , 0.008922 , 0.015741 , 0.010416 , 0.003989 , 0.005383 , 0.00076 , 0.006134 
 378 , 0.01348 , 0.008708 , 0.011926 , 0.005728 , 0.010364 , 0.02009 , 0.014073 , 0.011625 , 0.019963 , 0.009039 , 0.010613 , 0.0132 , 0.03543 , 0.008639 , 0.01532 , 0.010163 , 0.00349 , 0.005013 , 0.000296 , 0.00586 
 379 , 0.013469 , 0.008164 , 0.011692 , 0.005562 , 0.009981 , 0.019612 , 0.013642 , 0.011292 , 0.019334 , 0.008624 , 0.010106 , 0.012854 , 0.034443 , 0.008369 , 0.014819 , 0.009853 , 0.003135 , 0.004735 , 0.000039 , 0.005582 
 380 , 0.013517 , 0.007859 , 0.011091 , 0.005585 , 0.009787 , 0.019032 , 0.013308 , 0.010804 , 0.018737 , 0.00826 , 0.010065 , 0.012445 , 0.033488 , 0.008102 , 0.014122 , 0.0094 , 0.003049 , 0.004605 , 0.000155 , 0.005286 
 381 , 0.013555 , 0.007641 , 0.010657 , 0.005669 , 0.009729 , 0.018667 , 0.0131 , 0.010454 , 0.018323 , 0.008015 , 0.010125 , 0.012164 , 0.032958 , 0.007932 , 0.013585 , 0.009059 , 0.003019 , 0.004526 , 0.000268 , 0.005061 
 382 , 0.013587 , 0.007471 , 0.010309 , 0.005788 , 0.009744 , 0.018416 , 0.012962 , 0.010177 , 0.018009 , 0.007831 , 0.010242 , 0.011952 , 0.032654 , 0.007814 , 0.013131 , 0.008776 , 0.003017 , 0.004476 , 0.00038 , 0.004874 
 383 , 0.01357 , 0.007557 , 0.010383 , 0.005385 , 0.009681 , 0.017975 , 0.012559 , 0.010143 , 0.017622 , 0.007565 , 0.009875 , 0.011748 , 0.032104 , 0.007532 , 0.01279 , 0.008367 , 0.002895 , 0.004409 , 0.00027 , 0.005026 
 384 , 0.01356 , 0.007708 , 0.010549 , 0.005016 , 0.009691 , 0.017665 , 0.012268 , 0.010194 , 0.017404 , 0.007369 , 0.00959 , 0.011654 , 0.031812 , 0.007305 , 0.012572 , 0.00804 , 0.002791 , 0.004374 , 0.000158 , 0.005218 
 385 , 0.013559 , 0.007892 , 0.010758 , 0.004679 , 0.009744 , 0.017434 , 0.01205 , 0.010286 , 0.017285 , 0.007213 , 0.009366 , 0.011621 , 0.031675 , 0.007113 , 0.012424 , 0.007763 , 0.0027 , 0.00436 , 0.000049 , 0.005425 
 386 , 0.013568 , 0.00797 , 0.010692 , 0.004674 , 0.009716 , 0.017398 , 0.011881 , 0.010174 , 0.017271 , 0.007318 , 0.009381 , 0.011719 , 0.031524 , 0.00705 , 0.012461 , 0.00774 , 0.002771 , 0.004502 , 0.00009 , 0.005458 
 387 , 0.013592 , 0.007987 , 0.010461 , 0.004887 , 0.009644 , 0.017504 , 0.011756 , 0.009944 , 0.01733 , 0.007587 , 0.009555 , 0.011905 , 0.031388 , 0.00708 , 0.012624 , 0.007885 , 0.002945 , 0.004744 , 0.000226 , 0.005384 
 388 , 0.013621 , 0.00802 , 0.010266 , 0.005093 , 0.009598 , 0.01764 , 0.01166 , 0.00975 , 0.017409 , 0.007854 , 0.009735 , 0.012103 , 0.031312 , 0.007124 , 0.012799 , 0.008037 , 0.003114 , 0.00498 , 0.000355 , 0.005325 
 389 , 0.013646 , 0.008117 , 0.010171 , 0.005236 , 0.009626 , 0.017773 , 0.011626 , 0.009662 , 0.017521 , 0.008061 , 0.009914 , 0.012278 , 0.031327 , 0.007203 , 0.01295 , 0.008171 , 0.003275 , 0.005141 , 0.00054 , 0.005282 
 390 , 0.013643 , 0.008408 , 0.010351 , 0.005174 , 0.00985 , 0.017848 , 0.011757 , 0.009875 , 0.017713 , 0.00808 , 0.010088 , 0.012359 , 0.031539 , 0.00738 , 0.012997 , 0.008233 , 0.003423 , 0.005075 , 0.000938 , 0.005252 
 391 , 0.013645 , 0.008688 , 0.01053 , 0.00512 , 0.010072 , 0.017936 , 0.011889 , 0.010085 , 0.017909 , 0.008103 , 0.010259 , 0.012448 , 0.031768 , 0.007556 , 0.013052 , 0.008298 , 0.003567 , 0.005018 , 0.001317 , 0.005229 
 392 , 0.01365 , 0.008958 , 0.010705 , 0.005068 , 0.010287 , 0.018031 , 0.01202 , 0.010289 , 0.018106 , 0.00813 , 0.010428 , 0.012538 , 0.032001 , 0.007727 , 0.01311 , 0.008364 , 0.003705 , 0.004965 , 0.001676 , 0.005209 
 393 , 0.013632 , 0.008866 , 0.010896 , 0.005243 , 0.010255 , 0.01822 , 0.012209 , 0.010544 , 0.018146 , 0.008129 , 0.010305 , 0.012724 , 0.032315 , 0.007924 , 0.013232 , 0.008501 , 0.003553 , 0.005048 , 0.001599 , 0.005348 
 394 , 0.013615 , 0.008725 , 0.011078 , 0.005443 , 0.010188 , 0.018414 , 0.012398 , 0.010789 , 0.018163 , 0.008126 , 0.010152 , 0.012912 , 0.032625 , 0.008116 , 0.013357 , 0.008638 , 0.003366 , 0.005146 , 0.001458 , 0.005502 
 395 , 0.013601 , 0.008599 , 0.011247 , 0.005627 , 0.010129 , 0.018598 , 0.012573 , 0.011016 , 0.018185 , 0.008123 , 0.010013 , 0.01309 , 0.032917 , 0.008292 , 0.013476 , 0.008767 , 0.003197 , 0.005239 , 0.001327 , 0.005647 
 396 , 0.013652 , 0.008786 , 0.011465 , 0.005904 , 0.010393 , 0.018902 , 0.012795 , 0.011265 , 0.01833 , 0.008334 , 0.010193 , 0.013332 , 0.033292 , 0.008555 , 0.01365 , 0.008921 , 0.003311 , 0.005447 , 0.001427 , 0.005827 
