  time  ,:01:47 A,:01:56 A,:02:04 A,:02:12 A,:02:20 A,:02:47 A,:02:53 A,:03:01 A,:03:09 A,:03:19 A,:03:47 A,:03:55 A,:04:03 A,:04:12 A,:04:22 A,:04:42 A,:04:49 A,:04:57 A,:05:06 A,:05:16 A,:06:05 A,:06:13 A,:06:21 A,:06:28 A,:06:36 A,:06:51 A,:07:02 A,:07:09 A,:07:18 A,:07:27 A,:07:56 A,:08:04 A,:08:12 A,:08:21 A,:08:29 A,:08:48 A,:08:55 A,:09:03 A,:09:12 A,:09:22 A,:09:59 A,:10:07 A,:10:16 A,:10:24 A,:10:34 A,:10:52 A,:11:04 A,:11:22 A,:11:32 A,:11:45 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 341 , 0.009455 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000285 , 0.000072 , 0 , 0 , 0.006772 , 0.002987 , 0 , 0.002288 , 0 , 0 , 0 , 0 , 0 , 0.000829 , 0.000967 , 0.000144 , 0.006244 , 0 , 0 , 0 , 0.000561 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007709 , 0.000484 , 0 , 0.002432 , 0 , 0.002978 , 0 , 0.002007 , 0.002522 , 0.001922 , 5.033179 , 5.033179 , 0 , 0 , 0 
 342 , 0.010668 , 0.000347 , 0 , 0.000581 , 0 , 0.000486 , 0.000026 , 0.000881 , 0.00087 , 0.000328 , 0 , 0.007716 , 0.003601 , 0.0006 , 0.003896 , 0 , 0 , 0.000494 , 0.000275 , 0.000549 , 0.001523 , 0.001356 , 0.000641 , 0.007181 , 0.000408 , 0.000155 , 0.000162 , 0.001084 , 0.000089 , 0 , 0 , 0 , 0.00051 , 0.000055 , 0.000024 , 0.009127 , 0.00109 , 0.000411 , 0.003423 , 0.000321 , 0.004309 , 0 , 0.002942 , 0.003262 , 0.002949 , 5.244413 , 5.244413 , 0 , 0 , 0 
 343 , 0.011868 , 0.001056 , 0 , 0.001626 , 0 , 0.001491 , 0.000072 , 0.002048 , 0.002472 , 0.000912 , 0 , 0.00783 , 0.003964 , 0.001766 , 0.006227 , 0 , 0 , 0.001631 , 0.000793 , 0.001749 , 0.002628 , 0.001732 , 0.001638 , 0.00777 , 0.001126 , 0.00046 , 0.000544 , 0.001985 , 0.000271 , 0 , 0 , 0 , 0.001591 , 0.000162 , 0.00007 , 0.010438 , 0.00199 , 0.001302 , 0.004308 , 0.000982 , 0.005655 , 0 , 0.004144 , 0.003896 , 0.004208 , 5.426913 , 5.426913 , 0 , 0 , 0 
 344 , 0.0129 , 0.001692 , 0 , 0.002437 , 0 , 0.002403 , 0.000107 , 0.003116 , 0.003747 , 0.001362 , 0 , 0.00794 , 0.004256 , 0.002749 , 0.008533 , 0 , 0 , 0.002807 , 0.001215 , 0.002912 , 0.00365 , 0.002047 , 0.002572 , 0.008278 , 0.00167 , 0.000721 , 0.000953 , 0.002828 , 0.000435 , 0 , 0 , 0 , 0.002598 , 0.000253 , 0.000109 , 0.011614 , 0.002695 , 0.002157 , 0.005017 , 0.001577 , 0.006714 , 0 , 0.005183 , 0.004391 , 0.005244 , 5.586077 , 5.586077 , 0 , 0 , 0 
 345 , 0.013816 , 0.002347 , 0.000118 , 0.003226 , 0.000056 , 0.003235 , 0.00024 , 0.004053 , 0.004822 , 0.001782 , 0.000049 , 0.008203 , 0.004584 , 0.003642 , 0.010657 , 0 , 0.00005 , 0.00395 , 0.001609 , 0.004007 , 0.00461 , 0.002412 , 0.003472 , 0.008847 , 0.00216 , 0.001019 , 0.001412 , 0.003634 , 0.000658 , 0.000098 , 0.000038 , 0.00007 , 0.003544 , 0.000429 , 0.000228 , 0.012632 , 0.003297 , 0.002984 , 0.005712 , 0.002153 , 0.007626 , 0 , 0.00616 , 0.004921 , 0.006145 , 0.088967 , 5.725307 , 0.000133 , 0 , 0.000122 
 346 , 0.014702 , 0.003947 , 0.001739 , 0.005723 , 0.000815 , 0.004008 , 0.001752 , 0.004408 , 0.006041 , 0.002911 , 0.000712 , 0.010311 , 0.005879 , 0.005058 , 0.011194 , 0 , 0.00061 , 0.004418 , 0.002482 , 0.00476 , 0.005708 , 0.004035 , 0.004672 , 0.010849 , 0.003289 , 0.002245 , 0.00218 , 0.004628 , 0.001794 , 0.001366 , 0.000568 , 0.001019 , 0.004526 , 0.001785 , 0.001434 , 0.013183 , 0.004144 , 0.0039 , 0.007665 , 0.00318 , 0.008886 , 0 , 0.007849 , 0.00697 , 0.007221 , 0.114131 , 5.819303 , 0.002009 , 0 , 0.001665 
 347 , 0.015497 , 0.005287 , 0.003239 , 0.008429 , 0.001504 , 0.004762 , 0.003224 , 0.004706 , 0.007159 , 0.004018 , 0.001316 , 0.012362 , 0.007314 , 0.006328 , 0.011628 , 0 , 0.000981 , 0.004768 , 0.003362 , 0.005357 , 0.006721 , 0.005757 , 0.005762 , 0.012826 , 0.00434 , 0.003517 , 0.002807 , 0.005533 , 0.002753 , 0.002421 , 0.001085 , 0.00189 , 0.005415 , 0.002963 , 0.002533 , 0.013636 , 0.004869 , 0.004736 , 0.009678 , 0.004124 , 0.010032 , 0 , 0.009326 , 0.009091 , 0.008149 , 0.1167 , 5.89757 , 0.003839 , 0 , 0.002908 
 348 , 0.016212 , 0.006426 , 0.004628 , 0.01135 , 0.002131 , 0.005497 , 0.00465 , 0.004959 , 0.008185 , 0.005097 , 0.001867 , 0.014352 , 0.008908 , 0.007472 , 0.011987 , 0 , 0.001246 , 0.005043 , 0.004245 , 0.005842 , 0.007657 , 0.007575 , 0.006755 , 0.014771 , 0.005319 , 0.004827 , 0.003329 , 0.006359 , 0.003573 , 0.003314 , 0.001586 , 0.002689 , 0.006223 , 0.003995 , 0.003535 , 0.014016 , 0.005497 , 0.005501 , 0.011745 , 0.004993 , 0.011076 , 0 , 0.010627 , 0.011276 , 0.008957 , 0.118378 , 5.963707 , 0.005614 , 0 , 0.003932 
 349 , 0.01663 , 0.006736 , 0.005109 , 0.01155 , 0.003292 , 0.006326 , 0.005095 , 0.005883 , 0.008429 , 0.005878 , 0.002434 , 0.014783 , 0.009697 , 0.008491 , 0.011988 , 0.000438 , 0.001951 , 0.005622 , 0.005016 , 0.006489 , 0.00821 , 0.008398 , 0.007111 , 0.014969 , 0.005912 , 0.005522 , 0.003813 , 0.00675 , 0.004214 , 0.00399 , 0.002127 , 0.003466 , 0.006836 , 0.004622 , 0.004199 , 0.015481 , 0.006161 , 0.005911 , 0.012013 , 0.00576 , 0.01209 , 0.000648 , 0.011359 , 0.011312 , 0.010047 , 0.035262 , 0.169965 , 0.006222 , 0.00135 , 0.004971 
 350 , 0.016731 , 0.006655 , 0.005133 , 0.010605 , 0.004493 , 0.006941 , 0.005072 , 0.006974 , 0.008274 , 0.00636 , 0.002864 , 0.014422 , 0.009852 , 0.009248 , 0.011724 , 0.001021 , 0.002953 , 0.006178 , 0.005555 , 0.007071 , 0.008473 , 0.008591 , 0.007095 , 0.014363 , 0.006206 , 0.005798 , 0.004195 , 0.006877 , 0.004717 , 0.004516 , 0.002567 , 0.00406 , 0.007205 , 0.004942 , 0.004626 , 0.01736 , 0.006745 , 0.006074 , 0.011468 , 0.00635 , 0.012782 , 0.001438 , 0.011704 , 0.010502 , 0.010949 , 0.021796 , 0.080847 , 0.006225 , 0.002715 , 0.005889 
 351 , 0.016602 , 0.006487 , 0.005059 , 0.009716 , 0.005457 , 0.007296 , 0.004983 , 0.007903 , 0.008024 , 0.006649 , 0.003142 , 0.013905 , 0.00977 , 0.009743 , 0.01133 , 0.001546 , 0.004094 , 0.006553 , 0.005897 , 0.007479 , 0.008575 , 0.008594 , 0.006954 , 0.013666 , 0.00634 , 0.005921 , 0.004458 , 0.006897 , 0.005112 , 0.004933 , 0.002879 , 0.004459 , 0.007386 , 0.005096 , 0.004923 , 0.019168 , 0.007193 , 0.006115 , 0.010865 , 0.006768 , 0.013128 , 0.002076 , 0.011846 , 0.009734 , 0.011498 , 0.017089 , 0.05637 , 0.006109 , 0.003607 , 0.006606 
