AUG6MNAT00050.spu,AUG6MNAT00049.spu,AUG6MNAT00048.spu,
Wavelength,AUG6MNAT00051.spu,AUG6MNAT00052.spu,AUG6MNAT00053.spu,AUG6MNAT00054.spu,AUG6MNAT00055.spu,AUG6MNAT00056.spu,AUG6MNAT00057.spu,AUG6MNAT00058.spu,AUG6MNAT00059.spu,AUG6MNAT00060.spu,AUG6MNAT00061.spu,AUG6MNAT00062.spu,AUG6MNAT00063.spu,AUG6MNAT00064.spu,AUG6MNAT00065.spu,AUG6MNAT00066.spu,AUG6MNAT00067.spu,AUG6MNAT00068.spu,AUG6MNAT00069.spu,AUG6MNAT00070.spu
  (nm),8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1
  time  ,46:57 AM,47:11 AM,47:18 AM,47:25 AM,47:35 AM,48:29 AM,48:36 AM,48:44 AM,48:50 AM,48:57 AM,49:33 AM,49:40 AM,49:46 AM,49:55 AM,50:06 AM,50:54 AM,51:00 AM,51:09 AM,51:16 AM,51:22 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 356 , 0.011933 , 0.010537 , 0.043224 , 0.015174 , 0.006648 , 0.011497 , 0.00691 , 0.026814 , 0.014454 , 0.007461 , 0.009467 , 0.010456 , 0.008087 , 0.008634 , 0.010957 , 0.012817 , 0.014897 , 0.013195 , 0.019221 , 0.016545 
 357 , 0.011837 , 0.010765 , 0.042214 , 0.01486 , 0.006909 , 0.011123 , 0.006485 , 0.027003 , 0.01445 , 0.007609 , 0.00997 , 0.010298 , 0.00786 , 0.008818 , 0.011225 , 0.012808 , 0.01497 , 0.013173 , 0.018878 , 0.016506 
 358 , 0.011746 , 0.010976 , 0.041283 , 0.014567 , 0.007161 , 0.010771 , 0.006088 , 0.027166 , 0.014439 , 0.007739 , 0.010457 , 0.01015 , 0.007653 , 0.00899 , 0.011468 , 0.012793 , 0.01503 , 0.013148 , 0.018561 , 0.016463 
 359 , 0.011844 , 0.01127 , 0.041795 , 0.014608 , 0.007395 , 0.010856 , 0.006332 , 0.027237 , 0.014497 , 0.00803 , 0.010504 , 0.010036 , 0.007864 , 0.009175 , 0.011599 , 0.012802 , 0.014965 , 0.01334 , 0.018564 , 0.016462 
 360 , 0.012065 , 0.011608 , 0.043326 , 0.014871 , 0.007596 , 0.011229 , 0.007024 , 0.027248 , 0.014604 , 0.008422 , 0.010249 , 0.009948 , 0.008365 , 0.009365 , 0.011653 , 0.012828 , 0.014822 , 0.01369 , 0.018783 , 0.016489 
 361 , 0.012264 , 0.011914 , 0.044817 , 0.015112 , 0.007772 , 0.01157 , 0.007688 , 0.027254 , 0.014704 , 0.00878 , 0.010015 , 0.009866 , 0.008847 , 0.009541 , 0.011702 , 0.012849 , 0.014691 , 0.014032 , 0.018988 , 0.01651 
 362 , 0.012406 , 0.012141 , 0.045935 , 0.015296 , 0.007884 , 0.011855 , 0.008233 , 0.027218 , 0.014839 , 0.009055 , 0.009897 , 0.009857 , 0.009245 , 0.009724 , 0.011766 , 0.01292 , 0.014604 , 0.014297 , 0.019154 , 0.016568 
 363 , 0.012378 , 0.012151 , 0.045632 , 0.015315 , 0.007825 , 0.012024 , 0.008376 , 0.027024 , 0.015132 , 0.009119 , 0.010146 , 0.010115 , 0.009363 , 0.009975 , 0.01189 , 0.013213 , 0.014665 , 0.014267 , 0.019198 , 0.016807 
 364 , 0.012347 , 0.012154 , 0.045335 , 0.015325 , 0.007766 , 0.012181 , 0.008508 , 0.026835 , 0.015406 , 0.009177 , 0.010366 , 0.010357 , 0.009469 , 0.010211 , 0.011998 , 0.01349 , 0.014714 , 0.014233 , 0.019228 , 0.017026 
 365 , 0.012313 , 0.012152 , 0.045046 , 0.015328 , 0.007708 , 0.012327 , 0.00863 , 0.026652 , 0.015663 , 0.009229 , 0.010561 , 0.010583 , 0.009564 , 0.010434 , 0.012093 , 0.013751 , 0.014754 , 0.014195 , 0.019248 , 0.017226 
 366 , 0.012484 , 0.011965 , 0.044819 , 0.015181 , 0.007618 , 0.012607 , 0.008665 , 0.026553 , 0.015632 , 0.009213 , 0.010922 , 0.01064 , 0.009461 , 0.010373 , 0.012146 , 0.013717 , 0.014837 , 0.014338 , 0.019609 , 0.017468 
 367 , 0.012695 , 0.011754 , 0.04462 , 0.015009 , 0.007528 , 0.012909 , 0.008683 , 0.026485 , 0.015547 , 0.009188 , 0.011323 , 0.010656 , 0.009323 , 0.01026 , 0.012189 , 0.013637 , 0.014924 , 0.014518 , 0.020041 , 0.017712 
 368 , 0.012898 , 0.011561 , 0.044435 , 0.014843 , 0.007445 , 0.013202 , 0.008702 , 0.026432 , 0.015474 , 0.009173 , 0.01172 , 0.010665 , 0.009192 , 0.010156 , 0.012225 , 0.013579 , 0.015005 , 0.014692 , 0.020457 , 0.017945 
 369 , 0.012998 , 0.011473 , 0.044551 , 0.014969 , 0.007436 , 0.013345 , 0.008704 , 0.026518 , 0.015467 , 0.009153 , 0.011849 , 0.010774 , 0.009166 , 0.010027 , 0.012332 , 0.013612 , 0.015088 , 0.014868 , 0.020718 , 0.018054 
 370 , 0.012968 , 0.011498 , 0.045024 , 0.015451 , 0.007514 , 0.013308 , 0.008686 , 0.026769 , 0.015535 , 0.009119 , 0.011632 , 0.011007 , 0.009262 , 0.009857 , 0.012521 , 0.013748 , 0.015175 , 0.015044 , 0.020784 , 0.018011 
 371 , 0.012922 , 0.011512 , 0.045467 , 0.015919 , 0.007592 , 0.013267 , 0.00867 , 0.027004 , 0.015588 , 0.009068 , 0.011399 , 0.011231 , 0.009355 , 0.009674 , 0.012685 , 0.013861 , 0.01526 , 0.015192 , 0.020843 , 0.017959 
 372 , 0.012892 , 0.011524 , 0.045812 , 0.016343 , 0.007661 , 0.013212 , 0.008642 , 0.027249 , 0.015635 , 0.009024 , 0.011195 , 0.011439 , 0.009427 , 0.009529 , 0.012822 , 0.013939 , 0.015354 , 0.015317 , 0.020915 , 0.017935 
 373 , 0.013226 , 0.011644 , 0.044909 , 0.01621 , 0.007669 , 0.013016 , 0.008503 , 0.027803 , 0.015659 , 0.009208 , 0.011456 , 0.011458 , 0.009268 , 0.009956 , 0.012752 , 0.013681 , 0.015596 , 0.01531 , 0.021291 , 0.018372 
 374 , 0.013535 , 0.011745 , 0.044218 , 0.016124 , 0.007649 , 0.012821 , 0.008338 , 0.028322 , 0.015718 , 0.009397 , 0.011716 , 0.011485 , 0.009106 , 0.01037 , 0.012719 , 0.013468 , 0.015818 , 0.015328 , 0.021624 , 0.018781 
 375 , 0.013824 , 0.011831 , 0.043681 , 0.016072 , 0.007607 , 0.012626 , 0.008152 , 0.028815 , 0.015802 , 0.00959 , 0.011976 , 0.01152 , 0.008942 , 0.010773 , 0.012713 , 0.013288 , 0.016024 , 0.015364 , 0.021924 , 0.019169 
 376 , 0.013895 , 0.011867 , 0.043927 , 0.01591 , 0.007731 , 0.012623 , 0.008167 , 0.028747 , 0.015762 , 0.009684 , 0.011978 , 0.011334 , 0.009041 , 0.010854 , 0.012622 , 0.013289 , 0.015991 , 0.015412 , 0.021785 , 0.019125 
 377 , 0.013943 , 0.011922 , 0.044422 , 0.0157 , 0.007923 , 0.012738 , 0.008298 , 0.028531 , 0.015656 , 0.009732 , 0.011897 , 0.011087 , 0.009249 , 0.010832 , 0.01251 , 0.013357 , 0.015874 , 0.01547 , 0.021549 , 0.018939 
 378 , 0.014047 , 0.012011 , 0.044859 , 0.015489 , 0.008114 , 0.012889 , 0.008457 , 0.028387 , 0.015534 , 0.009773 , 0.011836 , 0.010864 , 0.009456 , 0.010837 , 0.01241 , 0.013422 , 0.015769 , 0.015534 , 0.021384 , 0.018786 
 379 , 0.01416 , 0.012031 , 0.04508 , 0.01535 , 0.008183 , 0.013076 , 0.008585 , 0.028395 , 0.015467 , 0.009749 , 0.011838 , 0.010744 , 0.009604 , 0.010758 , 0.012367 , 0.013465 , 0.015696 , 0.015581 , 0.021373 , 0.018735 
 380 , 0.014207 , 0.011896 , 0.044944 , 0.015365 , 0.008001 , 0.013262 , 0.008622 , 0.028588 , 0.015514 , 0.00957 , 0.01191 , 0.010782 , 0.009615 , 0.010473 , 0.012428 , 0.013457 , 0.015685 , 0.015571 , 0.021566 , 0.018838 
 381 , 0.014209 , 0.011783 , 0.044837 , 0.015388 , 0.007811 , 0.013387 , 0.008655 , 0.028707 , 0.015547 , 0.009347 , 0.011926 , 0.010785 , 0.009609 , 0.010176 , 0.012495 , 0.013436 , 0.015687 , 0.015534 , 0.021704 , 0.018908 
 382 , 0.014187 , 0.011679 , 0.044744 , 0.015416 , 0.007616 , 0.013481 , 0.008686 , 0.028786 , 0.015573 , 0.009098 , 0.011913 , 0.010768 , 0.009592 , 0.00987 , 0.012567 , 0.013407 , 0.015697 , 0.015482 , 0.021811 , 0.018961 
 383 , 0.014487 , 0.011599 , 0.045063 , 0.015351 , 0.007593 , 0.013404 , 0.008633 , 0.029531 , 0.015519 , 0.009305 , 0.012012 , 0.010772 , 0.009577 , 0.010116 , 0.01263 , 0.01347 , 0.015846 , 0.015621 , 0.02202 , 0.019189 
 384 , 0.014784 , 0.011515 , 0.045369 , 0.01527 , 0.007577 , 0.013341 , 0.008567 , 0.030223 , 0.015448 , 0.009533 , 0.012114 , 0.010776 , 0.009559 , 0.010374 , 0.01267 , 0.013538 , 0.015991 , 0.015773 , 0.022231 , 0.019416 
 385 , 0.01507 , 0.011429 , 0.045656 , 0.01518 , 0.007564 , 0.013292 , 0.008498 , 0.030865 , 0.015371 , 0.009763 , 0.012215 , 0.010781 , 0.009542 , 0.010625 , 0.012696 , 0.013609 , 0.016131 , 0.015929 , 0.022442 , 0.019637 
 386 , 0.015176 , 0.011592 , 0.046104 , 0.015376 , 0.007726 , 0.013345 , 0.008591 , 0.031265 , 0.015524 , 0.009908 , 0.012317 , 0.010953 , 0.009764 , 0.010657 , 0.012851 , 0.013786 , 0.01631 , 0.016167 , 0.022597 , 0.019884 
 387 , 0.015162 , 0.011911 , 0.046631 , 0.015753 , 0.007997 , 0.013456 , 0.00879 , 0.031494 , 0.015822 , 0.00999 , 0.012416 , 0.011228 , 0.010134 , 0.01054 , 0.013085 , 0.014024 , 0.016505 , 0.016446 , 0.022704 , 0.020135 
 388 , 0.015149 , 0.012209 , 0.047111 , 0.016107 , 0.00825 , 0.013559 , 0.008978 , 0.031711 , 0.016105 , 0.010061 , 0.012508 , 0.011488 , 0.010479 , 0.010426 , 0.013303 , 0.014246 , 0.016685 , 0.016707 , 0.022802 , 0.020367 
 389 , 0.015216 , 0.012427 , 0.047482 , 0.016401 , 0.008452 , 0.013655 , 0.009133 , 0.031954 , 0.016467 , 0.010176 , 0.012629 , 0.011711 , 0.010722 , 0.010417 , 0.013517 , 0.014429 , 0.016843 , 0.016908 , 0.022921 , 0.020544 
 390 , 0.015545 , 0.012419 , 0.04757 , 0.016535 , 0.008512 , 0.013735 , 0.009194 , 0.032322 , 0.017143 , 0.010451 , 0.012869 , 0.011848 , 0.010666 , 0.010767 , 0.013735 , 0.014511 , 0.016948 , 0.016953 , 0.023124 , 0.020575 
 391 , 0.015861 , 0.01241 , 0.047653 , 0.016662 , 0.008569 , 0.01381 , 0.009255 , 0.032669 , 0.017784 , 0.010713 , 0.013096 , 0.011974 , 0.010611 , 0.011099 , 0.013945 , 0.014585 , 0.017049 , 0.016999 , 0.023314 , 0.020604 
 392 , 0.016165 , 0.012405 , 0.047731 , 0.016785 , 0.008623 , 0.013887 , 0.009311 , 0.032999 , 0.018396 , 0.010963 , 0.013312 , 0.012096 , 0.010558 , 0.011415 , 0.014143 , 0.014655 , 0.017143 , 0.017041 , 0.023497 , 0.02063 
 393 , 0.016671 , 0.012923 , 0.048134 , 0.01683 , 0.009014 , 0.014273 , 0.009645 , 0.033575 , 0.018144 , 0.011232 , 0.013464 , 0.01228 , 0.010982 , 0.011688 , 0.014452 , 0.015067 , 0.017381 , 0.017383 , 0.023874 , 0.020996 
 394 , 0.017175 , 0.013485 , 0.048558 , 0.01686 , 0.009427 , 0.014685 , 0.009997 , 0.034144 , 0.017772 , 0.011485 , 0.013591 , 0.01246 , 0.011449 , 0.011934 , 0.01475 , 0.015501 , 0.017627 , 0.017747 , 0.024254 , 0.021391 
 395 , 0.017638 , 0.014 , 0.048947 , 0.016887 , 0.009809 , 0.01506 , 0.010319 , 0.03467 , 0.017431 , 0.011717 , 0.013712 , 0.012626 , 0.01188 , 0.01216 , 0.015028 , 0.015902 , 0.017854 , 0.018084 , 0.024605 , 0.021753 
