  time  ,30:24 AM,30:30 AM,30:36 AM,30:43 AM,30:49 AM,31:28 AM,31:34 AM,31:42 AM,31:47 AM,31:51 AM,33:10 AM,33:17 AM,33:23 AM,33:29 AM,33:35 AM,34:16 AM,34:23 AM,34:29 AM,34:35 AM,34:42 AM,36:44 AM,36:52 AM,36:59 AM,37:08 AM,37:14 AM,38:01 AM,38:06 AM,38:12 AM,38:18 AM,38:25 AM,39:11 AM,39:19 AM,39:26 AM,39:33 AM,39:39 AM,40:14 AM,40:21 AM,40:28 AM,40:35 AM,40:44 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 340 , 0.004305 , 0 , 0.005315 , 0.000965 , 0.002798 , 0.009196 , 0.011912 , 0.008821 , 0.001975 , 0.00573 , 0 , 0 , 0 , 0 , 0 , 0.012764 , 0.000882 , 0.001327 , 0.007818 , 0.022188 , 0.004673 , 0.000703 , 0.000603 , 0.000549 , 0.001948 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000143 , 0.000131 , 0 , 0.004169 , 0.000307 , 0.000261 , 0 , 0.003113 , 0.002207 
 341 , 0.006011 , 0 , 0.006456 , 0.001116 , 0.003665 , 0.009717 , 0.012626 , 0.009833 , 0.002903 , 0.006179 , 0 , 0 , 0 , 0 , 0 , 0.01543 , 0.001135 , 0.002098 , 0.007728 , 0.019461 , 0.006557 , 0.00103 , 0.000883 , 0.000796 , 0.002812 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000202 , 0.000182 , 0 , 0.004955 , 0.00042 , 0.000361 , 0 , 0.004058 , 0.003072 
 342 , 0.007123 , 0.000399 , 0.0081 , 0.001927 , 0.004819 , 0.010665 , 0.013923 , 0.010401 , 0.003883 , 0.007192 , 0.000539 , 0 , 0 , 0.000119 , 0 , 0.017121 , 0.002312 , 0.003632 , 0.009023 , 0.018345 , 0.007676 , 0.001912 , 0.00168 , 0.001193 , 0.003585 , 0 , 0 , 0.000248 , 0 , 0 , 0.00065 , 0.000847 , 0.000859 , 0.000072 , 0.006064 , 0.000819 , 0.001011 , 0.000137 , 0.005328 , 0.004382 
 343 , 0.00746 , 0.001145 , 0.010785 , 0.003446 , 0.006359 , 0.012095 , 0.015901 , 0.010533 , 0.004926 , 0.008931 , 0.001635 , 0 , 0 , 0.000353 , 0 , 0.017732 , 0.004515 , 0.005983 , 0.011587 , 0.017905 , 0.008119 , 0.003389 , 0.003024 , 0.001755 , 0.004263 , 0 , 0 , 0.000747 , 0 , 0 , 0.002024 , 0.002001 , 0.002165 , 0.000219 , 0.007673 , 0.001517 , 0.002382 , 0.00041 , 0.007161 , 0.006227 
 344 , 0.007736 , 0.001747 , 0.013903 , 0.004827 , 0.007787 , 0.013402 , 0.017727 , 0.010644 , 0.005861 , 0.010629 , 0.002607 , 0 , 0 , 0.000551 , 0 , 0.018259 , 0.006504 , 0.008204 , 0.013796 , 0.017635 , 0.008493 , 0.004717 , 0.004225 , 0.002258 , 0.004836 , 0 , 0 , 0.001186 , 0 , 0 , 0.003299 , 0.002931 , 0.003301 , 0.000349 , 0.009264 , 0.002126 , 0.003781 , 0.000646 , 0.00908 , 0.007875 
 345 , 0.008047 , 0.002258 , 0.017234 , 0.006099 , 0.009091 , 0.01459 , 0.019354 , 0.010882 , 0.006731 , 0.012276 , 0.003464 , 0.000066 , 0.000014 , 0.000833 , 0 , 0.018754 , 0.008334 , 0.010253 , 0.015552 , 0.017739 , 0.008882 , 0.005949 , 0.005338 , 0.00277 , 0.005398 , 0 , 0.000048 , 0.00161 , 0 , 0.000067 , 0.00444 , 0.003719 , 0.004328 , 0.000574 , 0.010817 , 0.002735 , 0.005146 , 0.000903 , 0.010942 , 0.009296 
 346 , 0.009132 , 0.002842 , 0.017499 , 0.00742 , 0.010115 , 0.015464 , 0.020087 , 0.012748 , 0.007855 , 0.01382 , 0.004098 , 0.001024 , 0.000202 , 0.002538 , 0 , 0.019786 , 0.010355 , 0.011801 , 0.015462 , 0.020976 , 0.010003 , 0.007485 , 0.006773 , 0.004003 , 0.006732 , 0 , 0.000726 , 0.002422 , 0 , 0.000915 , 0.005012 , 0.004617 , 0.005588 , 0.002089 , 0.012271 , 0.004158 , 0.005932 , 0.001747 , 0.011429 , 0.009926 
 347 , 0.010129 , 0.003302 , 0.017678 , 0.008673 , 0.010895 , 0.016265 , 0.020709 , 0.014599 , 0.008812 , 0.015297 , 0.004669 , 0.001999 , 0.000379 , 0.004164 , 0 , 0.02056 , 0.01202 , 0.012828 , 0.015315 , 0.023853 , 0.010961 , 0.00887 , 0.008046 , 0.005149 , 0.007949 , 0 , 0.001398 , 0.003084 , 0 , 0.001596 , 0.005432 , 0.005332 , 0.006678 , 0.003327 , 0.013483 , 0.005396 , 0.006579 , 0.002431 , 0.011748 , 0.010387 
 348 , 0.011047 , 0.003667 , 0.017791 , 0.009861 , 0.011489 , 0.016999 , 0.021239 , 0.01644 , 0.009628 , 0.01671 , 0.005183 , 0.002993 , 0.000546 , 0.00571 , 0 , 0.021138 , 0.013394 , 0.013522 , 0.015134 , 0.026409 , 0.011778 , 0.010119 , 0.009176 , 0.006213 , 0.009058 , 0 , 0.002062 , 0.003628 , 0 , 0.002146 , 0.005742 , 0.005906 , 0.007622 , 0.004345 , 0.014495 , 0.006475 , 0.007114 , 0.002991 , 0.01195 , 0.010723 
 349 , 0.012177 , 0.004656 , 0.018165 , 0.010943 , 0.012318 , 0.017417 , 0.022169 , 0.017808 , 0.01013 , 0.016645 , 0.006232 , 0.00332 , 0.001254 , 0.006044 , 0.000914 , 0.02212 , 0.013554 , 0.01366 , 0.015554 , 0.02623 , 0.013007 , 0.010359 , 0.010137 , 0.007304 , 0.009834 , 0.000141 , 0.002987 , 0.004498 , 0.000329 , 0.00277 , 0.006465 , 0.006848 , 0.008408 , 0.005796 , 0.015398 , 0.007255 , 0.00812 , 0.003953 , 0.01313 , 0.011797 
