spu_filename,Date,Site,Block,Treatment,Replicate,definition,NDVI
2019-06-02_LMAT_00063.spu,2019-06-02,LMAT,B1,F5,3.2,RapidSCAN,0.4805842075901318
2019-06-02_LMAT_00064.spu,2019-06-02,LMAT,B1,F5,3.4,Greenseeker,0.4130558791600137
2019-06-02_LMAT_00064.spu,2019-06-02,LMAT,B1,F5,3.4,MODIS,0.4581093858228122
2019-06-02_LMAT_00064.spu,2019-06-02,LMAT,B1,F5,3.4,RapidSCAN,0.41565809099457285
2019-06-02_LMAT_00065.spu,2019-06-02,LMAT,B1,F5,3.6,Greenseeker,0.3718879214316728
2019-06-02_LMAT_00065.spu,2019-06-02,LMAT,B1,F5,3.6,MODIS,0.4227249957317401
2019-06-02_LMAT_00065.spu,2019-06-02,LMAT,B1,F5,3.6,RapidSCAN,0.3705759273957466
2019-06-02_LMAT_00066.spu,2019-06-02,LMAT,B1,F5,3.8,Greenseeker,0.3414846846550661
2019-06-02_LMAT_00066.spu,2019-06-02,LMAT,B1,F5,3.8,MODIS,0.4061773974003963
2019-06-02_LMAT_00066.spu,2019-06-02,LMAT,B1,F5,3.8,RapidSCAN,0.33653692224411874
2019-06-02_LMAT_00067.spu,2019-06-02,LMAT,B1,F5,4,Greenseeker,0.36312272485751573
2019-06-02_LMAT_00067.spu,2019-06-02,LMAT,B1,F5,4,MODIS,0.4359510159662116
2019-06-02_LMAT_00067.spu,2019-06-02,LMAT,B1,F5,4,RapidSCAN,0.359110881061393
2019-06-02_LMAT_00068.spu,2019-06-02,LMAT,B1,F5,4.2,Greenseeker,0.3806830044632638
2019-06-02_LMAT_00068.spu,2019-06-02,LMAT,B1,F5,4.2,MODIS,0.4569504069349234
2019-06-02_LMAT_00068.spu,2019-06-02,LMAT,B1,F5,4.2,RapidSCAN,0.37665711057858314
2019-06-02_LMAT_00069.spu,2019-06-02,LMAT,B1,F5,4.4,Greenseeker,0.37229571204328266
2019-06-02_LMAT_00069.spu,2019-06-02,LMAT,B1,F5,4.4,MODIS,0.44114180236634465
2019-06-02_LMAT_00069.spu,2019-06-02,LMAT,B1,F5,4.4,RapidSCAN,0.36857748340054497
2019-06-02_LMAT_00070.spu,2019-06-02,LMAT,B1,F5,4.6,Greenseeker,0.3123308624183336
2019-06-02_LMAT_00070.spu,2019-06-02,LMAT,B1,F5,4.6,MODIS,0.36987878279708836
2019-06-02_LMAT_00070.spu,2019-06-02,LMAT,B1,F5,4.6,RapidSCAN,0.3060113290293239
2019-06-02_LMAT_00071.spu,2019-06-02,LMAT,B1,F5,5,Greenseeker,0.2961313512574215
