JUN28SHB100005.spu,JUN28SHB100004.spu,JUN28SHB100003.spu,
Wavelength,JUN28SHB100006.spu,JUN28SHB100007.spu,JUN28SHB100008.spu,JUN28SHB100009.spu,JUN28SHB100010.spu,JUN28SHB100011.spu,JUN28SHB100012.spu,JUN28SHB100013.spu,JUN28SHB100014.spu,JUN28SHB100015.spu,JUN28SHB100016.spu,JUN28SHB100017.spu,JUN28SHB100018.spu,JUN28SHB100019.spu,JUN28SHB100020.spu,JUN28SHB100021.spu,JUN28SHB100022.spu,JUN28SHB100023.spu,JUN28SHB100024.spu,JUN28SHB100025.spu
  (nm),6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 
  time  ,34:31 PM,34:50 PM,35:09 PM,35:26 PM,35:43 PM,36:22 PM,36:32 PM,36:56 PM,37:07 PM,37:18 PM,37:50 PM,37:59 PM,38:12 PM,38:28 PM,38:41 PM,39:11 PM,39:23 PM,39:32 PM,39:44 PM,39:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 362 , 0.009874 , 0.00704 , 0.017981 , 0.009151 , 0.007317 , 0.01497 , 0.00697 , 0.005987 , 0.022661 , 0.007328 , 0.01195 , 0.011282 , 0.013829 , 0.012848 , 0.004262 , 0.008058 , 0.011237 , 0.005577 , 0.008992 , 0.002703 
 363 , 0.009801 , 0.007207 , 0.018597 , 0.008884 , 0.007206 , 0.015388 , 0.007229 , 0.006123 , 0.022755 , 0.007544 , 0.012037 , 0.011539 , 0.014142 , 0.013015 , 0.004389 , 0.008208 , 0.011463 , 0.006025 , 0.008977 , 0.002901 
 364 , 0.009735 , 0.007361 , 0.019188 , 0.008646 , 0.007108 , 0.015785 , 0.007468 , 0.00625 , 0.022837 , 0.007743 , 0.012115 , 0.011782 , 0.014439 , 0.013168 , 0.004506 , 0.008346 , 0.011675 , 0.006455 , 0.008962 , 0.003079 
 365 , 0.009676 , 0.007504 , 0.019756 , 0.008433 , 0.007023 , 0.016161 , 0.00769 , 0.006369 , 0.022909 , 0.007926 , 0.012186 , 0.012012 , 0.014721 , 0.013309 , 0.004616 , 0.008474 , 0.011876 , 0.006867 , 0.008947 , 0.00324 
 366 , 0.009906 , 0.007867 , 0.019522 , 0.008479 , 0.007308 , 0.016355 , 0.007866 , 0.006493 , 0.023036 , 0.008135 , 0.012197 , 0.012219 , 0.014902 , 0.013697 , 0.004742 , 0.008575 , 0.012128 , 0.006971 , 0.00916 , 0.003457 
 367 , 0.010193 , 0.008273 , 0.019154 , 0.008582 , 0.007671 , 0.016508 , 0.008023 , 0.006611 , 0.02317 , 0.008346 , 0.012194 , 0.012408 , 0.015054 , 0.014127 , 0.004869 , 0.008664 , 0.012382 , 0.007001 , 0.009418 , 0.003684 
 368 , 0.010471 , 0.00867 , 0.01883 , 0.008686 , 0.008026 , 0.016659 , 0.008166 , 0.006719 , 0.023302 , 0.00855 , 0.012189 , 0.012581 , 0.015201 , 0.014543 , 0.004991 , 0.008745 , 0.012624 , 0.007023 , 0.009668 , 0.003907 
 369 , 0.010618 , 0.008868 , 0.018592 , 0.008751 , 0.008188 , 0.016661 , 0.008126 , 0.006779 , 0.023331 , 0.008711 , 0.012217 , 0.012669 , 0.015161 , 0.014777 , 0.005044 , 0.008735 , 0.012665 , 0.00711 , 0.009799 , 0.003976 
 370 , 0.010612 , 0.008822 , 0.018439 , 0.008769 , 0.00812 , 0.016484 , 0.007871 , 0.006784 , 0.023235 , 0.008823 , 0.012289 , 0.012658 , 0.014911 , 0.014793 , 0.005013 , 0.008618 , 0.012466 , 0.007282 , 0.009792 , 0.003865 
 371 , 0.010614 , 0.008765 , 0.018305 , 0.008779 , 0.008067 , 0.01631 , 0.007631 , 0.006793 , 0.023123 , 0.008923 , 0.012365 , 0.01265 , 0.014699 , 0.014794 , 0.004981 , 0.008506 , 0.01227 , 0.007454 , 0.00979 , 0.003759 
