JUN18MAT200035.spu,JUN18MAT200034.spu,JUN18MAT200033.spu,JUN18MAT200032.spu,JUN18MAT200031.spu,
Wavelength,JUN18MAT200061.spu,JUN18MAT200062.spu,JUN18MAT200063.spu,JUN18MAT200064.spu,JUN18MAT200065.spu,JUN18MAT200066.spu,JUN18MAT200067.spu,JUN18MAT200068.spu,JUN18MAT200069.spu,JUN18MAT200070.spu,JUN18MAT200071.spu,JUN18MAT200072.spu,JUN18MAT200073.spu,JUN18MAT200074.spu,JUN18MAT200075.spu,JUN18MAT200076.spu,JUN18MAT200077.spu,JUN18MAT200078.spu,JUN18MAT200079.spu,JUN18MAT200080.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,40:38 PM,40:52 PM,41:05 PM,41:14 PM,41:25 PM,42:13 PM,42:22 PM,42:31 PM,42:40 PM,42:51 PM,43:39 PM,43:49 PM,43:56 PM,44:06 PM,44:15 PM,44:54 PM,45:02 PM,45:12 PM,45:19 PM,45:27 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 362 , 0.029924 , 0.02517 , 0.026271 , 0.02562 , 0.016956 , 0.018475 , 0.012058 , 0.014997 , 0.013703 , 0.022342 , 0.019723 , 0.020724 , 0.019137 , 0.019801 , 0.026091 , 0.020566 , 0.021153 , 0.027859 , 0.024394 , 0.019263 
 363 , 0.03079 , 0.025563 , 0.026018 , 0.026045 , 0.017531 , 0.018535 , 0.012316 , 0.015952 , 0.014061 , 0.02217 , 0.020396 , 0.021505 , 0.019075 , 0.020727 , 0.025698 , 0.020642 , 0.021664 , 0.02743 , 0.024835 , 0.019653 
 364 , 0.0316 , 0.025919 , 0.025775 , 0.026429 , 0.018071 , 0.018577 , 0.012542 , 0.016887 , 0.014385 , 0.02201 , 0.02103 , 0.022246 , 0.01901 , 0.021623 , 0.025344 , 0.020699 , 0.022112 , 0.027028 , 0.025234 , 0.019999 
 365 , 0.032357 , 0.02624 , 0.025539 , 0.026776 , 0.018578 , 0.018606 , 0.012741 , 0.017802 , 0.01468 , 0.02186 , 0.021627 , 0.022949 , 0.018942 , 0.022489 , 0.025019 , 0.02074 , 0.022506 , 0.026648 , 0.025595 , 0.020306 
 366 , 0.032207 , 0.02614 , 0.025449 , 0.026363 , 0.01844 , 0.018982 , 0.012932 , 0.017769 , 0.014681 , 0.022229 , 0.021078 , 0.022765 , 0.019087 , 0.022506 , 0.024701 , 0.020937 , 0.022762 , 0.026853 , 0.025409 , 0.020038 
 367 , 0.031897 , 0.025963 , 0.025407 , 0.025834 , 0.018195 , 0.019432 , 0.013123 , 0.017542 , 0.014625 , 0.022713 , 0.020369 , 0.022424 , 0.019277 , 0.022344 , 0.02441 , 0.021168 , 0.022992 , 0.027182 , 0.025137 , 0.019677 
 368 , 0.031629 , 0.025799 , 0.025382 , 0.025358 , 0.017987 , 0.019873 , 0.013307 , 0.017336 , 0.014573 , 0.023185 , 0.019751 , 0.022124 , 0.01946 , 0.022193 , 0.024142 , 0.021392 , 0.023213 , 0.027502 , 0.024897 , 0.019343 
 369 , 0.031495 , 0.025844 , 0.025523 , 0.025279 , 0.017944 , 0.019747 , 0.013395 , 0.017341 , 0.014392 , 0.023211 , 0.019569 , 0.021738 , 0.019357 , 0.022202 , 0.023829 , 0.021526 , 0.023113 , 0.027684 , 0.024724 , 0.019086 
 370 , 0.03152 , 0.026138 , 0.025862 , 0.025653 , 0.018084 , 0.018999 , 0.013371 , 0.017592 , 0.014081 , 0.022733 , 0.019871 , 0.021269 , 0.018949 , 0.022394 , 0.023479 , 0.021564 , 0.022649 , 0.027713 , 0.024643 , 0.018924 
 371 , 0.031569 , 0.026425 , 0.026177 , 0.025996 , 0.018209 , 0.018375 , 0.013357 , 0.01782 , 0.013821 , 0.022346 , 0.020151 , 0.020878 , 0.018623 , 0.022557 , 0.023192 , 0.021626 , 0.022236 , 0.027765 , 0.024613 , 0.018794 
 372 , 0.031629 , 0.026699 , 0.026421 , 0.026295 , 0.018325 , 0.017887 , 0.013351 , 0.018018 , 0.013614 , 0.022042 , 0.020359 , 0.020568 , 0.018376 , 0.022667 , 0.022939 , 0.021676 , 0.021876 , 0.027815 , 0.024599 , 0.018718 
 373 , 0.031471 , 0.02685 , 0.025791 , 0.026151 , 0.01838 , 0.018145 , 0.013322 , 0.017922 , 0.013663 , 0.021995 , 0.019689 , 0.020675 , 0.018444 , 0.022118 , 0.022487 , 0.021359 , 0.021656 , 0.02757 , 0.024295 , 0.019052 
 374 , 0.031425 , 0.026998 , 0.025316 , 0.026083 , 0.018462 , 0.018378 , 0.013326 , 0.017894 , 0.013703 , 0.021991 , 0.019158 , 0.020771 , 0.018529 , 0.02177 , 0.022158 , 0.021093 , 0.021509 , 0.027389 , 0.024079 , 0.019378 
 375 , 0.031461 , 0.027144 , 0.02495 , 0.026072 , 0.018565 , 0.018593 , 0.013353 , 0.017915 , 0.013736 , 0.02202 , 0.018724 , 0.020862 , 0.018628 , 0.021557 , 0.021915 , 0.020865 , 0.021413 , 0.027254 , 0.023927 , 0.019698 
