JUN18MAT200035.spu,JUN18MAT200034.spu,JUN18MAT200033.spu,JUN18MAT200032.spu,JUN18MAT200031.spu,
Wavelength,JUN18MAT200036.spu,JUN18MAT200037.spu,JUN18MAT200038.spu,JUN18MAT200039.spu,JUN18MAT200040.spu,JUN18MAT200041.spu,JUN18MAT200042.spu,JUN18MAT200043.spu,JUN18MAT200044.spu,JUN18MAT200045.spu,JUN18MAT200046.spu,JUN18MAT200047.spu,JUN18MAT200048.spu,JUN18MAT200049.spu,JUN18MAT200050.spu,JUN18MAT200051.spu,JUN18MAT200052.spu,JUN18MAT200053.spu,JUN18MAT200054.spu,JUN18MAT200055.spu,JUN18MAT200056.spu,JUN18MAT200057.spu,JUN18MAT200058.spu,JUN18MAT200059.spu,JUN18MAT200060.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,32:46 PM,32:58 PM,33:05 PM,33:11 PM,33:18 PM,34:54 PM,35:04 PM,35:10 PM,35:16 PM,35:24 PM,35:57 PM,36:07 PM,36:15 PM,36:21 PM,36:33 PM,37:10 PM,37:16 PM,37:25 PM,37:32 PM,37:42 PM,39:07 PM,39:16 PM,39:27 PM,39:36 PM,39:44 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 346 , 0.010465 , 0.010622 , 0.010633 , 0.011819 , 0.016172 , 0.011142 , 0.010127 , 0.01132 , 0.013597 , 0.013499 , 0.013608 , 0.01676 , 0.014182 , 0.016935 , 0.00953 , 0.016219 , 0.016046 , 0.017696 , 0.020311 , 0.012681 , 0.013593 , 0.015002 , 0.019688 , 0.011424 , 0.012409 
 347 , 0.010659 , 0.011082 , 0.010954 , 0.012443 , 0.017047 , 0.012133 , 0.010469 , 0.012041 , 0.014273 , 0.014477 , 0.013807 , 0.018471 , 0.014409 , 0.017151 , 0.009924 , 0.017593 , 0.018768 , 0.01788 , 0.021503 , 0.013754 , 0.015344 , 0.015815 , 0.020167 , 0.01156 , 0.013278 
 348 , 0.010792 , 0.011403 , 0.011195 , 0.012991 , 0.017895 , 0.012967 , 0.010714 , 0.012607 , 0.01482 , 0.015371 , 0.013931 , 0.020158 , 0.014568 , 0.017301 , 0.010222 , 0.018928 , 0.02153 , 0.017967 , 0.022543 , 0.014711 , 0.017079 , 0.016539 , 0.020478 , 0.011621 , 0.013974 
 349 , 0.011323 , 0.011936 , 0.011116 , 0.01342 , 0.01876 , 0.013935 , 0.011531 , 0.012569 , 0.015131 , 0.015653 , 0.014828 , 0.020495 , 0.015099 , 0.017764 , 0.011505 , 0.01952 , 0.021617 , 0.018693 , 0.022977 , 0.014995 , 0.017339 , 0.017002 , 0.020617 , 0.012101 , 0.014254 
 350 , 0.01199 , 0.012547 , 0.010933 , 0.013769 , 0.019562 , 0.014969 , 0.012545 , 0.012346 , 0.015338 , 0.015696 , 0.016065 , 0.020312 , 0.015737 , 0.01831 , 0.013186 , 0.019778 , 0.0208 , 0.019659 , 0.023165 , 0.015021 , 0.017043 , 0.017332 , 0.020693 , 0.012707 , 0.014375 
 351 , 0.012611 , 0.013126 , 0.010769 , 0.01407 , 0.020276 , 0.015981 , 0.013496 , 0.012157 , 0.015514 , 0.015728 , 0.017318 , 0.020155 , 0.016312 , 0.018792 , 0.014829 , 0.019993 , 0.020157 , 0.020592 , 0.023322 , 0.01504 , 0.016793 , 0.017612 , 0.020753 , 0.013252 , 0.014473 
 352 , 0.013283 , 0.013396 , 0.010911 , 0.014483 , 0.020976 , 0.016899 , 0.014143 , 0.01246 , 0.015622 , 0.015829 , 0.018348 , 0.020115 , 0.016862 , 0.019145 , 0.01573 , 0.020175 , 0.020184 , 0.021417 , 0.023506 , 0.015279 , 0.016635 , 0.017973 , 0.020878 , 0.014035 , 0.014879 
 353 , 0.014108 , 0.013121 , 0.011638 , 0.015166 , 0.021738 , 0.017641 , 0.014247 , 0.013746 , 0.015634 , 0.016053 , 0.018882 , 0.020276 , 0.017431 , 0.019335 , 0.015287 , 0.020323 , 0.021339 , 0.022066 , 0.023785 , 0.015951 , 0.016629 , 0.01854 , 0.021152 , 0.015394 , 0.015921 
 354 , 0.014904 , 0.012886 , 0.012315 , 0.015807 , 0.022457 , 0.018345 , 0.014341 , 0.015061 , 0.015648 , 0.016255 , 0.019378 , 0.02043 , 0.017963 , 0.01952 , 0.014964 , 0.020458 , 0.022483 , 0.022666 , 0.024048 , 0.016572 , 0.016642 , 0.01907 , 0.021412 , 0.016731 , 0.01693 
 355 , 0.01567 , 0.012683 , 0.012948 , 0.01641 , 0.023137 , 0.019013 , 0.014428 , 0.016404 , 0.015663 , 0.016439 , 0.019838 , 0.020577 , 0.01846 , 0.019701 , 0.014723 , 0.020581 , 0.023617 , 0.023223 , 0.024297 , 0.017148 , 0.016668 , 0.019566 , 0.021658 , 0.018045 , 0.017907 
