JUN18MAT200005.spu,JUN18MAT200004.spu,JUN18MAT200003.spu,
Wavelength,JUN18MAT200007.spu,JUN18MAT200008.spu,JUN18MAT200009.spu,JUN18MAT200010.spu,JUN18MAT200011.spu,JUN18MAT200012.spu,JUN18MAT200013.spu,JUN18MAT200014.spu,JUN18MAT200015.spu,JUN18MAT200016.spu,JUN18MAT200017.spu,JUN18MAT200018.spu,JUN18MAT200019.spu,JUN18MAT200020.spu,JUN18MAT200021.spu,JUN18MAT200022.spu,JUN18MAT200023.spu,JUN18MAT200024.spu,JUN18MAT200025.spu,JUN18MAT200026.spu,JUN18MAT200027.spu,JUN18MAT200028.spu,JUN18MAT200029.spu,JUN18MAT200030.spu,JUN18MAT200006.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,21:38 PM,21:48 PM,21:56 PM,22:06 PM,23:24 PM,23:35 PM,23:44 PM,23:53 PM,24:03 PM,25:02 PM,25:10 PM,25:18 PM,25:25 PM,25:31 PM,25:48 PM,25:57 PM,26:06 PM,26:14 PM,26:21 PM,27:14 PM,27:24 PM,27:33 PM,27:42 PM,27:55 PM,21:27 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 356 , 0.017687 , 0.021387 , 0.022407 , 0.021466 , 0.014199 , 0.010952 , 0.015734 , 0.017328 , 0.013352 , 0.022211 , 0.026781 , 0.029819 , 0.033291 , 0.033307 , 0.015638 , 0.016446 , 0.015984 , 0.014191 , 0.014607 , 0.014798 , 0.013264 , 0.015437 , 0.01114 , 0.029705 , 0.009748 
 357 , 0.017948 , 0.021715 , 0.023467 , 0.021575 , 0.01466 , 0.011163 , 0.015644 , 0.017677 , 0.013547 , 0.022346 , 0.027216 , 0.029615 , 0.03394 , 0.033148 , 0.016099 , 0.016568 , 0.01605 , 0.014231 , 0.014728 , 0.015021 , 0.013361 , 0.015989 , 0.011598 , 0.030066 , 0.009956 
 358 , 0.018171 , 0.021997 , 0.024483 , 0.021654 , 0.015083 , 0.011349 , 0.015552 , 0.017983 , 0.013716 , 0.022445 , 0.027593 , 0.029402 , 0.034509 , 0.032976 , 0.016519 , 0.01666 , 0.016093 , 0.014252 , 0.014827 , 0.015214 , 0.013438 , 0.0165 , 0.012028 , 0.030363 , 0.010141 
 359 , 0.018429 , 0.022352 , 0.024878 , 0.021717 , 0.01531 , 0.011459 , 0.015632 , 0.01821 , 0.013903 , 0.022935 , 0.027716 , 0.029633 , 0.034869 , 0.033343 , 0.016716 , 0.016774 , 0.016107 , 0.014473 , 0.014979 , 0.015568 , 0.013589 , 0.01668 , 0.0122 , 0.030764 , 0.010229 
 360 , 0.018703 , 0.022751 , 0.02482 , 0.021764 , 0.015395 , 0.011514 , 0.015823 , 0.018375 , 0.014096 , 0.023696 , 0.027663 , 0.030158 , 0.035072 , 0.034069 , 0.016751 , 0.016899 , 0.016099 , 0.014829 , 0.015162 , 0.016036 , 0.013787 , 0.016623 , 0.012186 , 0.03123 , 0.010248 
 361 , 0.018946 , 0.023111 , 0.024753 , 0.021793 , 0.015461 , 0.011556 , 0.01599 , 0.018516 , 0.014266 , 0.024411 , 0.027593 , 0.03063 , 0.035236 , 0.034734 , 0.016772 , 0.017003 , 0.01608 , 0.015158 , 0.015323 , 0.016475 , 0.013965 , 0.01656 , 0.012166 , 0.031646 , 0.010258 
 362 , 0.019216 , 0.023371 , 0.024718 , 0.021893 , 0.015567 , 0.011645 , 0.016139 , 0.018606 , 0.014408 , 0.024984 , 0.027615 , 0.031092 , 0.035385 , 0.035254 , 0.016813 , 0.017143 , 0.016137 , 0.015373 , 0.015502 , 0.016828 , 0.014158 , 0.016561 , 0.01219 , 0.031893 , 0.010347 
 363 , 0.019694 , 0.023328 , 0.024834 , 0.02234 , 0.015862 , 0.011945 , 0.016276 , 0.018569 , 0.01449 , 0.025105 , 0.028045 , 0.031659 , 0.035597 , 0.035353 , 0.016973 , 0.01749 , 0.01653 , 0.015216 , 0.015805 , 0.016903 , 0.014469 , 0.016843 , 0.012413 , 0.031613 , 0.010781 
 364 , 0.020151 , 0.023285 , 0.024938 , 0.022765 , 0.016135 , 0.012224 , 0.016401 , 0.018532 , 0.014564 , 0.025214 , 0.028448 , 0.032197 , 0.035791 , 0.035441 , 0.01712 , 0.01782 , 0.016904 , 0.015071 , 0.016092 , 0.016968 , 0.014764 , 0.017109 , 0.012623 , 0.031351 , 0.011196 
 365 , 0.020589 , 0.023242 , 0.02503 , 0.023169 , 0.016388 , 0.012484 , 0.016516 , 0.018495 , 0.014629 , 0.025312 , 0.028828 , 0.032706 , 0.03597 , 0.035518 , 0.017255 , 0.018135 , 0.01726 , 0.014937 , 0.016362 , 0.017027 , 0.015043 , 0.017358 , 0.012822 , 0.031106 , 0.011595 
