  time  ,:45:38 A,:45:46 A,:45:51 A,:45:59 A,:46:09 A,:47:51 A,:47:57 A,:48:03 A,:48:08 A,:48:13 A,:49:27 A,:49:34 A,:49:39 A,:49:45 A,:49:52 A,:50:33 A,:50:39 A,:50:47 A,:51:01 A,:51:07 A,:51:55 A,:52:02 A,:52:14 A,:52:24 A,:52:32 A,:53:47 A,:53:52 A,:53:58 A,:54:04 A,:54:09 A,:54:36 A,:54:42 A,:54:50 A,:54:57 A,:55:02 A,:55:52 A,:55:59 A,:56:06 A,:56:11 A,:56:19 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 346 , 0.017502 , 0.009307 , 0.007908 , 0.011293 , 0.011595 , 0.009355 , 0.007197 , 0.01473 , 0.014223 , 0.03294 , 0.00564 , 0.016107 , 0.012167 , 0.010041 , 0.004163 , 0.007189 , 0.046627 , 0.013256 , 0.014793 , 0.016714 , 0.011254 , 0.000967 , 0.004782 , 0.007506 , 0.002501 , 0.008221 , 0.012535 , 0.00688 , 0.008942 , 0.01012 , 0.007049 , 0.0044 , 0.003205 , 0.007274 , 0.006302 , 0.010749 , 0.006501 , 0.007144 , 0.007298 , 0.003146 
 347 , 0.018425 , 0.010307 , 0.009017 , 0.012188 , 0.01305 , 0.010518 , 0.008611 , 0.016557 , 0.015185 , 0.035054 , 0.006711 , 0.017245 , 0.013101 , 0.011233 , 0.004978 , 0.008255 , 0.052096 , 0.014099 , 0.016703 , 0.018993 , 0.012119 , 0.001725 , 0.00535 , 0.008429 , 0.002966 , 0.009193 , 0.013634 , 0.008169 , 0.009302 , 0.010742 , 0.008272 , 0.005463 , 0.004022 , 0.008456 , 0.007662 , 0.011589 , 0.007001 , 0.007814 , 0.007861 , 0.003503 
 348 , 0.01926 , 0.011252 , 0.010085 , 0.012985 , 0.014474 , 0.011591 , 0.009976 , 0.018383 , 0.016065 , 0.03705 , 0.007763 , 0.018291 , 0.013945 , 0.012339 , 0.005733 , 0.009293 , 0.05768 , 0.014849 , 0.018593 , 0.021278 , 0.012895 , 0.002376 , 0.005845 , 0.009244 , 0.003404 , 0.010125 , 0.014661 , 0.009446 , 0.009617 , 0.011291 , 0.009465 , 0.006475 , 0.004793 , 0.009582 , 0.008977 , 0.012336 , 0.007451 , 0.008422 , 0.008357 , 0.003807 
 349 , 0.019321 , 0.011919 , 0.010389 , 0.013439 , 0.01532 , 0.012559 , 0.010651 , 0.018386 , 0.015537 , 0.038797 , 0.008542 , 0.01893 , 0.014979 , 0.013177 , 0.00655 , 0.009816 , 0.058348 , 0.015851 , 0.018625 , 0.022592 , 0.013633 , 0.002994 , 0.006241 , 0.009471 , 0.004247 , 0.010901 , 0.015581 , 0.009982 , 0.01017 , 0.012181 , 0.010021 , 0.007334 , 0.00543 , 0.009852 , 0.009468 , 0.012946 , 0.008097 , 0.009229 , 0.009061 , 0.004413 
 350 , 0.019135 , 0.012436 , 0.010389 , 0.013735 , 0.015881 , 0.013418 , 0.011011 , 0.017868 , 0.014715 , 0.040336 , 0.009156 , 0.019371 , 0.016012 , 0.013848 , 0.007372 , 0.010094 , 0.057233 , 0.016913 , 0.018066 , 0.023421 , 0.014294 , 0.003568 , 0.006569 , 0.009484 , 0.005173 , 0.011564 , 0.016382 , 0.010187 , 0.010782 , 0.013162 , 0.010287 , 0.008117 , 0.005955 , 0.009815 , 0.009608 , 0.013463 , 0.008762 , 0.010067 , 0.0098 , 0.005124 
 351 , 0.018987 , 0.012902 , 0.01039 , 0.013999 , 0.016381 , 0.014185 , 0.011329 , 0.0175 , 0.014095 , 0.04172 , 0.00971 , 0.019759 , 0.016934 , 0.014436 , 0.008152 , 0.01033 , 0.056329 , 0.017905 , 0.017636 , 0.02416 , 0.014872 , 0.004087 , 0.006853 , 0.009498 , 0.006001 , 0.012161 , 0.017083 , 0.010362 , 0.011341 , 0.01407 , 0.010516 , 0.008874 , 0.006411 , 0.009796 , 0.009729 , 0.013925 , 0.009345 , 0.010832 , 0.010469 , 0.005797 
 352 , 0.019183 , 0.013173 , 0.010704 , 0.014355 , 0.017028 , 0.014769 , 0.011539 , 0.017354 , 0.014089 , 0.042045 , 0.010126 , 0.020378 , 0.017509 , 0.014656 , 0.00876 , 0.01066 , 0.05557 , 0.018483 , 0.017782 , 0.024549 , 0.015282 , 0.00455 , 0.007178 , 0.00972 , 0.006485 , 0.012671 , 0.017752 , 0.010663 , 0.011927 , 0.014986 , 0.01082 , 0.009181 , 0.006728 , 0.009861 , 0.010003 , 0.014351 , 0.009798 , 0.011408 , 0.011009 , 0.006361 
 353 , 0.019986 , 0.01313 , 0.011649 , 0.014924 , 0.018026 , 0.015059 , 0.011587 , 0.017443 , 0.015074 , 0.040619 , 0.010326 , 0.021503 , 0.017514 , 0.014286 , 0.009054 , 0.011208 , 0.054842 , 0.018336 , 0.018914 , 0.024365 , 0.015434 , 0.004967 , 0.007629 , 0.010338 , 0.0064 , 0.013067 , 0.018451 , 0.011237 , 0.012623 , 0.016006 , 0.0113 , 0.008711 , 0.006838 , 0.010053 , 0.010588 , 0.014754 , 0.010067 , 0.01168 , 0.011365 , 0.006742 
 354 , 0.020721 , 0.013091 , 0.012584 , 0.015443 , 0.018958 , 0.015315 , 0.011627 , 0.017507 , 0.016032 , 0.039411 , 0.010501 , 0.022563 , 0.017509 , 0.013975 , 0.009322 , 0.01172 , 0.054161 , 0.0182 , 0.02001 , 0.024196 , 0.015559 , 0.005369 , 0.008068 , 0.010923 , 0.00632 , 0.013426 , 0.019094 , 0.011782 , 0.013284 , 0.016995 , 0.011739 , 0.008347 , 0.006932 , 0.010222 , 0.011135 , 0.015116 , 0.010309 , 0.011921 , 0.011684 , 0.007104 
 355 , 0.021393 , 0.013056 , 0.013505 , 0.015918 , 0.019832 , 0.015541 , 0.011662 , 0.017551 , 0.016964 , 0.038374 , 0.010656 , 0.023563 , 0.017496 , 0.013712 , 0.009568 , 0.012201 , 0.053524 , 0.018074 , 0.02107 , 0.024039 , 0.015664 , 0.005756 , 0.008496 , 0.011475 , 0.006244 , 0.013751 , 0.019688 , 0.012302 , 0.013913 , 0.017955 , 0.012142 , 0.008057 , 0.007015 , 0.010372 , 0.011647 , 0.015442 , 0.010529 , 0.012135 , 0.011972 , 0.007448 
 356 , 0.02126 , 0.013798 , 0.013135 , 0.016155 , 0.01962 , 0.016187 , 0.012051 , 0.018376 , 0.017407 , 0.037936 , 0.010676 , 0.023014 , 0.016973 , 0.01456 , 0.009285 , 0.012031 , 0.052102 , 0.018218 , 0.021091 , 0.023113 , 0.015769 , 0.005797 , 0.008507 , 0.011659 , 0.006481 , 0.013843 , 0.019001 , 0.012133 , 0.014184 , 0.017145 , 0.012161 , 0.00831 , 0.007466 , 0.010666 , 0.011383 , 0.015012 , 0.010591 , 0.012008 , 0.011753 , 0.007516 
 357 , 0.021091 , 0.014568 , 0.012757 , 0.016357 , 0.019361 , 0.016823 , 0.012429 , 0.019229 , 0.017789 , 0.037554 , 0.01069 , 0.022457 , 0.016492 , 0.015474 , 0.009013 , 0.011853 , 0.050823 , 0.018356 , 0.021055 , 0.022282 , 0.015861 , 0.005819 , 0.008496 , 0.011809 , 0.006716 , 0.013912 , 0.018374 , 0.011958 , 0.014415 , 0.016399 , 0.012162 , 0.008562 , 0.007911 , 0.010945 , 0.011129 , 0.01461 , 0.010638 , 0.011873 , 0.011534 , 0.007565 
