WSG1_00031.spu,WSG1_00030.spu,
Wavelength,WSG1_00020.spu,WSG1_00021.spu
  (nm),7/13/2018 ,7/13/2018 
  time  ,:26:53 P,:27:14 P
temp C,SW,SW
,,
 649 , 0.072632 , 0.0618 
 650 , 0.072617 , 0.061879 
 651 , 0.072637 , 0.061965 
 652 , 0.072674 , 0.062052 
 653 , 0.072711 , 0.06214 
 654 , 0.072756 , 0.062236 
 655 , 0.072812 , 0.062363 
 656 , 0.072871 , 0.062485 
 657 , 0.072931 , 0.062615 
 658 , 0.072957 , 0.062735 
 659 , 0.072982 , 0.062853 
 660 , 0.073006 , 0.062972 
 661 , 0.073027 , 0.063088 
 662 , 0.073049 , 0.06319 
 663 , 0.073063 , 0.063292 
 664 , 0.073077 , 0.063401 
 665 , 0.073082 , 0.063503 
 666 , 0.073081 , 0.063605 
 667 , 0.07308 , 0.063713 
 668 , 0.073143 , 0.063853 
 669 , 0.07321 , 0.064003 
 670 , 0.073276 , 0.064152 
 671 , 0.073389 , 0.064332 
 672 , 0.073514 , 0.064516 
 673 , 0.073645 , 0.064705 
 674 , 0.073813 , 0.064902 
 675 , 0.07405 , 0.065136 
 676 , 0.074298 , 0.065377 
 677 , 0.07454 , 0.06561 
 678 , 0.074906 , 0.06592 
 679 , 0.075279 , 0.066241 
 680 , 0.075656 , 0.066565 
 681 , 0.076144 , 0.06693 
 682 , 0.076715 , 0.067332 
 683 , 0.077296 , 0.067742 
 684 , 0.078 , 0.068226 
 685 , 0.078938 , 0.068896 
 686 , 0.079891 , 0.069576 
 687 , 0.080864 , 0.070266 
 688 , 0.082216 , 0.071196 
 689 , 0.083568 , 0.072147 
 690 , 0.084926 , 0.073094 
 691 , 0.0865 , 0.07424 
 692 , 0.088212 , 0.075485 
 693 , 0.089908 , 0.076714 
 694 , 0.091652 , 0.078015 
 695 , 0.093594 , 0.079523 
 696 , 0.095501 , 0.081009 
 697 , 0.097387 , 0.082468 
 698 , 0.099463 , 0.084181 
 699 , 0.101523 , 0.085892 
 700 , 0.103565 , 0.087581 
 701 , 0.105678 , 0.089374 
 702 , 0.107843 , 0.091235 
 703 , 0.109985 , 0.093068 
 704 , 0.112109 , 0.094913 
 705 , 0.114165 , 0.096792 
 706 , 0.116196 , 0.098645 
 707 , 0.118208 , 0.100487 
 708 , 0.120136 , 0.102332 
 709 , 0.122065 , 0.104193 
 710 , 0.124013 , 0.106066 
 711 , 0.125884 , 0.107914 
 712 , 0.127733 , 0.109731 
 713 , 0.129618 , 0.111573 
 714 , 0.131508 , 0.113448 
 715 , 0.133376 , 0.115369 
 716 , 0.13531 , 0.117355 
 717 , 0.13729 , 0.119402 
 718 , 0.139181 , 0.121401 
 719 , 0.141078 , 0.123428 
 720 , 0.143009 , 0.125483 
 721 , 0.144878 , 0.127503 
 722 , 0.146756 , 0.129493 
 723 , 0.148645 , 0.131493 
 724 , 0.150489 , 0.133446 
 725 , 0.152236 , 0.1353 
 726 , 0.153977 , 0.137154 
 727 , 0.155708 , 0.138997 
 728 , 0.15738 , 0.140735 
 729 , 0.159047 , 0.142471 
 730 , 0.160686 , 0.144187 
 731 , 0.162202 , 0.145782 
 732 , 0.163648 , 0.147308 
 733 , 0.165074 , 0.148815 
 734 , 0.166453 , 0.15025 
 735 , 0.167756 , 0.151576 
 736 , 0.169047 , 0.152891 
 737 , 0.170327 , 0.154194 
 738 , 0.171468 , 0.155353 
 739 , 0.172607 , 0.156513 
 740 , 0.17374 , 0.157675 
 741 , 0.17479 , 0.158703 
 742 , 0.175792 , 0.159671 
 743 , 0.176808 , 0.160639 
 744 , 0.17779 , 0.161591 
 745 , 0.178726 , 0.162506 
 746 , 0.179663 , 0.163423 
 747 , 0.180601 , 0.164337 
 748 , 0.181409 , 0.16506 
 749 , 0.182226 , 0.165806 
 750 , 0.183067 , 0.166569 
 751 , 0.183729 , 0.167137 
 752 , 0.184328 , 0.167618 
 753 , 0.184966 , 0.168122 
 754 , 0.185461 , 0.168555 
 755 , 0.185729 , 0.168863 
 756 , 0.18602 , 0.169196 
 757 , 0.186343 , 0.169577 
 758 , 0.186712 , 0.17004 
 759 , 0.187083 , 0.170527 
 760 , 0.187493 , 0.17106 
 761 , 0.188269 , 0.171812 
 762 , 0.189286 , 0.172713 
 763 , 0.190296 , 0.173612 
 764 , 0.191353 , 0.174465 
 765 , 0.192397 , 0.175186 
 766 , 0.193368 , 0.175845 
 767 , 0.194262 , 0.176463 
 768 , 0.19506 , 0.177036 
 769 , 0.195808 , 0.177596 
 770 , 0.196516 , 0.17813 
 771 , 0.197142 , 0.178653 
 772 , 0.197735 , 0.17915 
 773 , 0.198328 , 0.179641 
 774 , 0.198901 , 0.180143 
 775 , 0.199469 , 0.180657 
 776 , 0.200042 , 0.181165 
 777 , 0.200611 , 0.181665 
 778 , 0.201166 , 0.182082 
 779 , 0.201689 , 0.182476 
 780 , 0.20222 , 0.182871 
 781 , 0.202699 , 0.183261 
 782 , 0.203213 , 0.183708 
 783 , 0.203738 , 0.184165 
 784 , 0.204293 , 0.184612 
 785 , 0.204896 , 0.185062 
 786 , 0.205519 , 0.185521 
 787 , 0.206134 , 0.185992 
 788 , 0.206683 , 0.186444 
 789 , 0.207243 , 0.186901 
 790 , 0.207812 , 0.187361 
 791 , 0.208369 , 0.187796 
 792 , 0.20893 , 0.188226 
 793 , 0.209501 , 0.188665 
 794 , 0.21005 , 0.189094 
 795 , 0.210579 , 0.189504 
 796 , 0.211129 , 0.189923 
 797 , 0.211685 , 0.190353 
 798 , 0.212283 , 0.190795 
 799 , 0.212899 , 0.191263 
 800 , 0.213524 , 0.191739 
 801 , 0.21413 , 0.192168 
 802 , 0.214768 , 0.192597 
 803 , 0.215419 , 0.193046 
 804 , 0.21601 , 0.193464 
 805 , 0.216536 , 0.193821 
 806 , 0.217069 , 0.194175 
 807 , 0.217591 , 0.194518 
 808 , 0.218019 , 0.194802 
