WSG1_00034.spu,WSG1_00033.spu,WSG1_00032.spu,
Wavelength,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu
  (nm),7/13/2018 ,7/13/2018 ,7/13/2018 
  time  ,:27:36 P,:27:46 P,:27:57 P
temp C,SW,SW,SW
,,,
 967 , 0.245536 , 0.226524 , 0.243353 
 968 , 0.245872 , 0.226912 , 0.243713 
 969 , 0.246148 , 0.227211 , 0.243984 
 970 , 0.246314 , 0.227279 , 0.244044 
 971 , 0.246492 , 0.227221 , 0.24415 
 972 , 0.246666 , 0.227159 , 0.244253 
 973 , 0.246953 , 0.227149 , 0.244479 
 974 , 0.247145 , 0.227337 , 0.244708 
 975 , 0.247326 , 0.227564 , 0.244935 
 976 , 0.247562 , 0.227961 , 0.245177 
 977 , 0.247919 , 0.228333 , 0.24545 
 978 , 0.24835 , 0.228634 , 0.245737 
 979 , 0.248744 , 0.228988 , 0.246002 
 980 , 0.249053 , 0.22947 , 0.24615 
 981 , 0.249274 , 0.23009 , 0.246028 
 982 , 0.249511 , 0.230696 , 0.245929 
 983 , 0.24979 , 0.231193 , 0.245987 
 984 , 0.250017 , 0.231425 , 0.246533 
 985 , 0.25024 , 0.231647 , 0.24711 
 986 , 0.25047 , 0.231723 , 0.247627 
 987 , 0.250857 , 0.231947 , 0.247991 
 988 , 0.251337 , 0.232254 , 0.248278 
 989 , 0.251865 , 0.232569 , 0.248519 
 990 , 0.252318 , 0.232869 , 0.24872 
 991 , 0.252623 , 0.233112 , 0.248949 
 992 , 0.252853 , 0.233315 , 0.24916 
 993 , 0.252858 , 0.233366 , 0.249281 
 994 , 0.252969 , 0.233451 , 0.249319 
 995 , 0.253087 , 0.233542 , 0.249357 
 996 , 0.253198 , 0.233731 , 0.249156 
 997 , 0.253191 , 0.233759 , 0.248948 
 998 , 0.253153 , 0.233732 , 0.248739 
 999 , 0.253053 , 0.233572 , 0.248548 
 1000 , 0.252999 , 0.233392 , 0.248288 
