  time  ,:02:24 P,:02:54 P,:03:12 P,:03:39 P,:03:57 P,:04:47 P,:04:59 P,:05:16 P,:05:30 P,:05:44 P,:06:27 P,:06:46 P,:07:00 P,:07:18 P,:07:38 P,:07:56 P,:08:14 P,:08:30 P,:08:43 P,:08:53 P,:09:37 P,:09:57 P,:10:14 P,:10:27 P,:10:40 P,:11:28 P,:11:46 P,:12:07 P,:12:23 P,:12:43 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 353 , 0.018745 , 0.019977 , 0.015207 , 0.01333 , 0.019055 , 0.01211 , 0.014128 , 0.021521 , 0.016197 , 0.010197 , 0.019505 , 0.023783 , 0.017971 , 0.018908 , 0.022829 , 0.015968 , 0.018803 , 0.015307 , 0.021821 , 0.016119 , 0.02465 , 0.016764 , 0.014424 , 0.036891 , 0.035457 , 0.014315 , 0.015131 , 0.017681 , 0.014714 , 0.016942 
 354 , 0.018414 , 0.019691 , 0.015025 , 0.01322 , 0.018836 , 0.011836 , 0.013892 , 0.021354 , 0.015983 , 0.010011 , 0.019389 , 0.023642 , 0.017819 , 0.018843 , 0.022617 , 0.015836 , 0.018559 , 0.015149 , 0.021486 , 0.015836 , 0.024441 , 0.016553 , 0.014256 , 0.036549 , 0.03504 , 0.014102 , 0.014912 , 0.017513 , 0.014451 , 0.016791 
 355 , 0.018102 , 0.01942 , 0.014855 , 0.013117 , 0.018629 , 0.011577 , 0.013669 , 0.021197 , 0.01578 , 0.009835 , 0.01928 , 0.023509 , 0.017675 , 0.018783 , 0.022417 , 0.015711 , 0.018328 , 0.014999 , 0.02117 , 0.015572 , 0.024244 , 0.016354 , 0.014097 , 0.036225 , 0.034648 , 0.0139 , 0.014706 , 0.017355 , 0.014203 , 0.016649 
 356 , 0.018199 , 0.01967 , 0.015019 , 0.013211 , 0.018648 , 0.011631 , 0.013758 , 0.021268 , 0.015889 , 0.009866 , 0.019466 , 0.023586 , 0.017793 , 0.018846 , 0.022647 , 0.015805 , 0.018495 , 0.015055 , 0.021475 , 0.01574 , 0.024592 , 0.016491 , 0.014146 , 0.036571 , 0.035178 , 0.014129 , 0.015009 , 0.017459 , 0.014235 , 0.016939 
 357 , 0.018313 , 0.019934 , 0.015194 , 0.013311 , 0.018677 , 0.011697 , 0.013857 , 0.021346 , 0.016009 , 0.009905 , 0.019658 , 0.023671 , 0.017917 , 0.018912 , 0.022889 , 0.015906 , 0.018675 , 0.01512 , 0.021798 , 0.015923 , 0.024953 , 0.016638 , 0.014203 , 0.036936 , 0.035735 , 0.01437 , 0.015327 , 0.017572 , 0.01428 , 0.017239 
 358 , 0.018421 , 0.020187 , 0.01536 , 0.013407 , 0.018704 , 0.011761 , 0.013953 , 0.021422 , 0.016123 , 0.009944 , 0.019842 , 0.023752 , 0.018036 , 0.018975 , 0.02312 , 0.016002 , 0.018847 , 0.015182 , 0.022107 , 0.016099 , 0.025301 , 0.016779 , 0.014257 , 0.037284 , 0.036271 , 0.014602 , 0.015633 , 0.017679 , 0.014322 , 0.017527 
 359 , 0.018591 , 0.020492 , 0.015611 , 0.013579 , 0.018836 , 0.011945 , 0.014075 , 0.021721 , 0.016326 , 0.010071 , 0.020064 , 0.023992 , 0.018244 , 0.019103 , 0.023382 , 0.016214 , 0.019032 , 0.015361 , 0.02231 , 0.01629 , 0.02566 , 0.016995 , 0.014422 , 0.03757 , 0.036686 , 0.014839 , 0.015832 , 0.017881 , 0.014462 , 0.017755 
 360 , 0.018801 , 0.020831 , 0.01592 , 0.013802 , 0.019037 , 0.01221 , 0.014214 , 0.022173 , 0.016587 , 0.010258 , 0.020308 , 0.024343 , 0.018508 , 0.019275 , 0.02366 , 0.016508 , 0.019224 , 0.015619 , 0.02243 , 0.016489 , 0.026022 , 0.017258 , 0.014662 , 0.037805 , 0.037004 , 0.015072 , 0.01595 , 0.018147 , 0.014669 , 0.017937 
 361 , 0.019001 , 0.021157 , 0.016219 , 0.014012 , 0.019227 , 0.012464 , 0.014345 , 0.022606 , 0.016834 , 0.010435 , 0.02054 , 0.024682 , 0.018755 , 0.01944 , 0.023924 , 0.016789 , 0.019407 , 0.015865 , 0.022541 , 0.01668 , 0.026367 , 0.017507 , 0.01489 , 0.038025 , 0.037305 , 0.01529 , 0.01606 , 0.018399 , 0.014868 , 0.018111 
 362 , 0.019128 , 0.021357 , 0.016409 , 0.014121 , 0.019364 , 0.012636 , 0.014423 , 0.022924 , 0.016989 , 0.010529 , 0.020664 , 0.024919 , 0.018911 , 0.019533 , 0.024098 , 0.016966 , 0.019532 , 0.016016 , 0.022614 , 0.01679 , 0.026587 , 0.01766 , 0.015042 , 0.038224 , 0.03755 , 0.015426 , 0.016104 , 0.018588 , 0.014987 , 0.018224 
 363 , 0.019003 , 0.021099 , 0.016202 , 0.013874 , 0.019327 , 0.012526 , 0.014329 , 0.022854 , 0.016833 , 0.01034 , 0.020405 , 0.024786 , 0.018769 , 0.019369 , 0.023963 , 0.016766 , 0.019463 , 0.015842 , 0.022563 , 0.016607 , 0.026368 , 0.017478 , 0.014935 , 0.038396 , 0.037634 , 0.015287 , 0.01592 , 0.018569 , 0.014828 , 0.018137 
