  time  ,:56:25 A,:56:32 A,:56:39 A,:56:48 A,:56:55 A,:57:52 A,:58:08 A,:58:15 A,:58:26 A,:58:33 A,:59:13 A,:59:20 A,:59:26 A,:59:36 A,:59:48 A,:00:13 P,:00:19 P,:00:27 P,:00:33 P,:00:43 P,:01:38 P,:01:45 P,:01:51 P,:01:59 P,:02:14 P,:02:57 P,:03:02 P,:03:09 P,:03:16 P,:03:24 P,:03:44 P,:03:50 P,:03:59 P,:04:12 P,:04:19 P,:05:00 P,:05:07 P,:05:15 P,:05:23 P,:05:30 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 347 , 0.000311 , 0.005859 , 0.022884 , 0.003939 , 0.001966 , 0.014046 , 0.00991 , 0.003633 , 0.005701 , 0.01059 , 0.006146 , 0.005026 , 0.00466 , 0.001528 , 0.000705 , 0.023513 , 0.01354 , 0.007145 , 0.00157 , 0.003861 , 0 , 0 , 0.00038 , 0 , 0.000517 , 0.005704 , 0.00597 , 0.003893 , 0.005229 , 0.002963 , 0.003214 , 0.003422 , 0.001598 , 0.002736 , 0.001608 , 0.008248 , 0.006289 , 0.007157 , 0.003499 , 0.00351 
 348 , 0.000458 , 0.006065 , 0.023182 , 0.004348 , 0.001865 , 0.01391 , 0.010374 , 0.004177 , 0.00556 , 0.011153 , 0.006541 , 0.0052 , 0.00501 , 0.001899 , 0.001002 , 0.023652 , 0.013485 , 0.007685 , 0.001716 , 0.004383 , 0 , 0 , 0.000538 , 0 , 0.000719 , 0.005945 , 0.006288 , 0.0043 , 0.00563 , 0.003213 , 0.003582 , 0.003708 , 0.001868 , 0.003018 , 0.001985 , 0.009296 , 0.006795 , 0.007457 , 0.004125 , 0.003611 
 349 , 0.000939 , 0.006362 , 0.023054 , 0.005281 , 0.002381 , 0.014446 , 0.011323 , 0.004604 , 0.00627 , 0.011646 , 0.007079 , 0.005951 , 0.00561 , 0.002424 , 0.001377 , 0.024832 , 0.014475 , 0.008565 , 0.002233 , 0.004982 , 0.000175 , 0.000155 , 0.000991 , 0 , 0.001257 , 0.006442 , 0.007151 , 0.004944 , 0.006249 , 0.003903 , 0.004112 , 0.004425 , 0.00237 , 0.003375 , 0.002528 , 0.009771 , 0.007273 , 0.007852 , 0.004531 , 0.004128 
 350 , 0.001534 , 0.006642 , 0.022763 , 0.006451 , 0.003061 , 0.015147 , 0.012339 , 0.004973 , 0.007264 , 0.012085 , 0.007633 , 0.006885 , 0.006261 , 0.00301 , 0.001729 , 0.026365 , 0.015827 , 0.00955 , 0.002891 , 0.005541 , 0.000403 , 0.000362 , 0.001506 , 0 , 0.001901 , 0.006982 , 0.008179 , 0.005633 , 0.006928 , 0.004682 , 0.004681 , 0.005255 , 0.002947 , 0.003728 , 0.003099 , 0.009959 , 0.00769 , 0.008229 , 0.004812 , 0.004765 
 351 , 0.002094 , 0.00686 , 0.022467 , 0.007627 , 0.003643 , 0.015734 , 0.013199 , 0.005303 , 0.008175 , 0.01248 , 0.008129 , 0.007743 , 0.006844 , 0.003572 , 0.00202 , 0.027809 , 0.0171 , 0.010479 , 0.003524 , 0.006016 , 0.00061 , 0.000554 , 0.001952 , 0 , 0.002496 , 0.007446 , 0.009125 , 0.00625 , 0.007563 , 0.005353 , 0.005209 , 0.006 , 0.003488 , 0.004033 , 0.003616 , 0.010099 , 0.008046 , 0.008538 , 0.005049 , 0.005335 
 352 , 0.002612 , 0.007 , 0.0228 , 0.008402 , 0.003995 , 0.016185 , 0.013903 , 0.005546 , 0.00872 , 0.012857 , 0.008465 , 0.008315 , 0.007245 , 0.003955 , 0.002249 , 0.028341 , 0.017842 , 0.011102 , 0.004021 , 0.006379 , 0.000774 , 0.000802 , 0.002301 , 0.000039 , 0.002984 , 0.00779 , 0.009643 , 0.006652 , 0.008048 , 0.005847 , 0.005646 , 0.006555 , 0.003895 , 0.004325 , 0.004091 , 0.010231 , 0.00835 , 0.008892 , 0.005362 , 0.005871 
 353 , 0.003056 , 0.007051 , 0.024423 , 0.00834 , 0.004005 , 0.016491 , 0.014481 , 0.005663 , 0.008649 , 0.013247 , 0.008555 , 0.008407 , 0.007363 , 0.004004 , 0.002427 , 0.027278 , 0.017631 , 0.011176 , 0.004267 , 0.006615 , 0.000875 , 0.00117 , 0.002542 , 0.000152 , 0.003315 , 0.007979 , 0.009419 , 0.006717 , 0.008279 , 0.006112 , 0.005954 , 0.006827 , 0.004076 , 0.004643 , 0.004541 , 0.010397 , 0.008618 , 0.00942 , 0.00587 , 0.006421 
 354 , 0.003432 , 0.007095 , 0.026069 , 0.008281 , 0.004012 , 0.016771 , 0.015056 , 0.005766 , 0.008586 , 0.013601 , 0.00863 , 0.008483 , 0.007465 , 0.004043 , 0.002595 , 0.026365 , 0.017433 , 0.011236 , 0.00449 , 0.00682 , 0.000964 , 0.001508 , 0.002773 , 0.000257 , 0.003625 , 0.008145 , 0.009216 , 0.006771 , 0.008478 , 0.006354 , 0.006248 , 0.007074 , 0.00424 , 0.004941 , 0.004955 , 0.010544 , 0.00886 , 0.009928 , 0.006334 , 0.006942 
 355 , 0.003753 , 0.007131 , 0.027739 , 0.008224 , 0.004017 , 0.017027 , 0.015628 , 0.005857 , 0.008528 , 0.013923 , 0.008693 , 0.008548 , 0.007552 , 0.004076 , 0.002755 , 0.025571 , 0.017248 , 0.011286 , 0.004693 , 0.007 , 0.001045 , 0.001817 , 0.002992 , 0.000353 , 0.003916 , 0.008291 , 0.009031 , 0.006815 , 0.008651 , 0.006575 , 0.006529 , 0.007299 , 0.004389 , 0.00522 , 0.005337 , 0.010675 , 0.009078 , 0.010419 , 0.006759 , 0.007436 
 356 , 0.003717 , 0.007238 , 0.027575 , 0.008201 , 0.004244 , 0.01759 , 0.015381 , 0.006152 , 0.008861 , 0.014004 , 0.008835 , 0.008626 , 0.007527 , 0.004295 , 0.003 , 0.026017 , 0.017211 , 0.011102 , 0.004622 , 0.007111 , 0.001027 , 0.00193 , 0.003104 , 0.000475 , 0.003989 , 0.008564 , 0.009088 , 0.006984 , 0.008631 , 0.00683 , 0.006649 , 0.007519 , 0.004483 , 0.00527 , 0.005414 , 0.010703 , 0.009081 , 0.010182 , 0.006732 , 0.007451 
 357 , 0.003669 , 0.007338 , 0.027325 , 0.00818 , 0.004468 , 0.018131 , 0.015123 , 0.006446 , 0.0092 , 0.014065 , 0.008969 , 0.008696 , 0.007498 , 0.004516 , 0.003235 , 0.026486 , 0.017179 , 0.010924 , 0.004542 , 0.00721 , 0.001004 , 0.002022 , 0.003199 , 0.000589 , 0.004045 , 0.008825 , 0.009149 , 0.007146 , 0.008601 , 0.007077 , 0.006749 , 0.007726 , 0.004567 , 0.005305 , 0.00547 , 0.010721 , 0.009071 , 0.009935 , 0.006689 , 0.007439 
 358 , 0.003627 , 0.007429 , 0.027087 , 0.008159 , 0.004681 , 0.018636 , 0.014892 , 0.006727 , 0.009526 , 0.014119 , 0.009091 , 0.008756 , 0.00747 , 0.004728 , 0.003455 , 0.02692 , 0.017144 , 0.010763 , 0.004466 , 0.0073 , 0.000979 , 0.002106 , 0.003284 , 0.000692 , 0.004095 , 0.009069 , 0.009204 , 0.007298 , 0.008571 , 0.007314 , 0.00684 , 0.007919 , 0.004644 , 0.005336 , 0.00552 , 0.010736 , 0.00906 , 0.009712 , 0.006652 , 0.007425 
 359 , 0.003659 , 0.007927 , 0.027115 , 0.008231 , 0.004977 , 0.018627 , 0.015076 , 0.006876 , 0.010044 , 0.014345 , 0.009394 , 0.009014 , 0.007709 , 0.005021 , 0.003691 , 0.027079 , 0.017427 , 0.010987 , 0.004677 , 0.007533 , 0.001109 , 0.002196 , 0.003442 , 0.00083 , 0.004246 , 0.00912 , 0.009578 , 0.007616 , 0.008829 , 0.007512 , 0.007157 , 0.007991 , 0.004823 , 0.005416 , 0.005656 , 0.011028 , 0.009411 , 0.009933 , 0.006822 , 0.007655 
 360 , 0.003741 , 0.008766 , 0.027317 , 0.008364 , 0.005329 , 0.01828 , 0.015533 , 0.006925 , 0.01068 , 0.014681 , 0.00982 , 0.009406 , 0.008132 , 0.005365 , 0.003937 , 0.027053 , 0.01792 , 0.011474 , 0.005081 , 0.007866 , 0.001348 , 0.002291 , 0.00365 , 0.000995 , 0.004461 , 0.009039 , 0.010184 , 0.008051 , 0.009289 , 0.007674 , 0.007632 , 0.007985 , 0.005072 , 0.005526 , 0.005847 , 0.011513 , 0.010031 , 0.010461 , 0.007136 , 0.00805 
