JUL21WSG100005.spu,
Wavelength,JUL21WSG100006.spu,JUL21WSG100007.spu,JUL21WSG100008.spu,JUL21WSG100009.spu,JUL21WSG100010.spu,JUL21WSG100011.spu,JUL21WSG100012.spu,JUL21WSG100013.spu,JUL21WSG100014.spu,JUL21WSG100015.spu,JUL21WSG100016.spu,JUL21WSG100017.spu,JUL21WSG100018.spu,JUL21WSG100019.spu,JUL21WSG100020.spu,JUL21WSG100021.spu,JUL21WSG100022.spu,JUL21WSG100023.spu,JUL21WSG100024.spu,JUL21WSG100025.spu
  (nm),7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 
  time  ,:53:59 A,:54:10 A,:54:22 A,:54:31 A,:54:40 A,:55:04 A,:55:14 A,:55:21 A,:55:29 A,:55:35 A,:55:59 A,:56:04 A,:56:10 A,:56:17 A,:56:32 A,:57:16 A,:57:23 A,:57:28 A,:57:34 A,:57:40 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 358 , 0.015358 , 0.007322 , 0.017956 , 0.008305 , 0.007118 , 0.003807 , 0.009869 , 0.007648 , 0.007259 , 0.008181 , 0.00424 , 0.004204 , 0.007535 , 0.009793 , 0.001759 , 0.015844 , 0.016203 , 0.013003 , 0.009346 , 0.018042 
 359 , 0.015342 , 0.007579 , 0.01789 , 0.008452 , 0.007114 , 0.003852 , 0.010047 , 0.007864 , 0.007444 , 0.008305 , 0.004437 , 0.00449 , 0.007354 , 0.010081 , 0.001912 , 0.015574 , 0.01621 , 0.013416 , 0.009726 , 0.017774 
 360 , 0.015713 , 0.008152 , 0.017909 , 0.008806 , 0.006902 , 0.004017 , 0.01023 , 0.008258 , 0.007679 , 0.008334 , 0.004598 , 0.004754 , 0.007452 , 0.010528 , 0.002116 , 0.015248 , 0.015962 , 0.014198 , 0.010298 , 0.017731 
 361 , 0.01606 , 0.008692 , 0.017926 , 0.00913 , 0.006726 , 0.004174 , 0.010397 , 0.00865 , 0.007901 , 0.00836 , 0.004738 , 0.005002 , 0.007541 , 0.010957 , 0.002304 , 0.014958 , 0.015749 , 0.014956 , 0.010848 , 0.017697 
 362 , 0.016513 , 0.009188 , 0.017959 , 0.009438 , 0.006657 , 0.004351 , 0.010575 , 0.009117 , 0.00815 , 0.00851 , 0.004924 , 0.005231 , 0.007732 , 0.011387 , 0.002574 , 0.014888 , 0.015743 , 0.015611 , 0.011325 , 0.017833 
 363 , 0.01747 , 0.00961 , 0.018042 , 0.00978 , 0.006919 , 0.004629 , 0.010846 , 0.009875 , 0.00854 , 0.009155 , 0.005361 , 0.005447 , 0.008386 , 0.011894 , 0.0032 , 0.0156 , 0.016482 , 0.015927 , 0.011577 , 0.018669 
 364 , 0.018401 , 0.01001 , 0.018128 , 0.010104 , 0.007167 , 0.004895 , 0.011098 , 0.010614 , 0.008912 , 0.009778 , 0.005787 , 0.005655 , 0.009043 , 0.012388 , 0.003793 , 0.016284 , 0.017192 , 0.016222 , 0.011813 , 0.019488 
 365 , 0.019305 , 0.010391 , 0.018214 , 0.010412 , 0.007403 , 0.005149 , 0.011334 , 0.011333 , 0.009265 , 0.010377 , 0.006202 , 0.005857 , 0.009701 , 0.012871 , 0.004355 , 0.016942 , 0.017875 , 0.016499 , 0.012036 , 0.020292 
 366 , 0.019153 , 0.010168 , 0.018629 , 0.01068 , 0.007408 , 0.005149 , 0.011168 , 0.010944 , 0.009467 , 0.010271 , 0.006206 , 0.006035 , 0.009749 , 0.013129 , 0.004264 , 0.016853 , 0.017847 , 0.016566 , 0.011994 , 0.020441 
 367 , 0.018807 , 0.009839 , 0.019108 , 0.010934 , 0.007359 , 0.005099 , 0.010936 , 0.010357 , 0.009633 , 0.010052 , 0.006119 , 0.006202 , 0.009664 , 0.013332 , 0.004037 , 0.016617 , 0.017671 , 0.016593 , 0.011902 , 0.020449 
 368 , 0.018502 , 0.009538 , 0.019574 , 0.011179 , 0.007308 , 0.005056 , 0.010726 , 0.009818 , 0.009795 , 0.009876 , 0.00603 , 0.006364 , 0.009584 , 0.013532 , 0.003814 , 0.016401 , 0.017507 , 0.016627 , 0.011819 , 0.020467 
 369 , 0.018486 , 0.009547 , 0.019959 , 0.011389 , 0.007434 , 0.004966 , 0.010629 , 0.009474 , 0.009717 , 0.009662 , 0.005966 , 0.006345 , 0.009634 , 0.013502 , 0.00369 , 0.016321 , 0.017487 , 0.01659 , 0.011769 , 0.020506 
 370 , 0.018806 , 0.009928 , 0.020249 , 0.011556 , 0.007778 , 0.004821 , 0.010653 , 0.00935 , 0.00936 , 0.00939 , 0.005932 , 0.006102 , 0.009841 , 0.013211 , 0.003686 , 0.016404 , 0.017639 , 0.016473 , 0.011764 , 0.020569 
 371 , 0.019124 , 0.010309 , 0.020524 , 0.011735 , 0.008128 , 0.004682 , 0.010651 , 0.009252 , 0.009027 , 0.00913 , 0.005898 , 0.005843 , 0.010055 , 0.012943 , 0.003686 , 0.016503 , 0.01779 , 0.016378 , 0.011784 , 0.020624 
 372 , 0.019386 , 0.010645 , 0.020774 , 0.011889 , 0.00843 , 0.004559 , 0.010644 , 0.009166 , 0.008727 , 0.008898 , 0.005865 , 0.005572 , 0.010222 , 0.012693 , 0.003687 , 0.016611 , 0.017891 , 0.016268 , 0.011793 , 0.020657 
 373 , 0.018867 , 0.01036 , 0.020684 , 0.011675 , 0.008087 , 0.004569 , 0.010731 , 0.009015 , 0.008629 , 0.008966 , 0.005796 , 0.005286 , 0.009701 , 0.01241 , 0.003643 , 0.016755 , 0.017241 , 0.015778 , 0.011474 , 0.020331 
 374 , 0.018436 , 0.010108 , 0.020663 , 0.011475 , 0.007768 , 0.00459 , 0.010841 , 0.00889 , 0.00855 , 0.009009 , 0.005755 , 0.005036 , 0.009273 , 0.012168 , 0.00361 , 0.016875 , 0.016714 , 0.015345 , 0.011192 , 0.02011 
 375 , 0.018068 , 0.00988 , 0.020691 , 0.011285 , 0.007467 , 0.004619 , 0.01097 , 0.008785 , 0.008485 , 0.009032 , 0.005734 , 0.004814 , 0.00891 , 0.011954 , 0.003583 , 0.016977 , 0.016272 , 0.014954 , 0.010939 , 0.019964 
 376 , 0.018368 , 0.010012 , 0.02097 , 0.011371 , 0.007632 , 0.004683 , 0.011142 , 0.008914 , 0.008663 , 0.008941 , 0.005771 , 0.0049 , 0.00892 , 0.012064 , 0.003599 , 0.017063 , 0.016577 , 0.015219 , 0.011102 , 0.019816 
 377 , 0.018852 , 0.01028 , 0.021251 , 0.011533 , 0.007974 , 0.00474 , 0.011303 , 0.009109 , 0.0089 , 0.008831 , 0.005821 , 0.00511 , 0.009038 , 0.012274 , 0.003617 , 0.01712 , 0.017105 , 0.01571 , 0.011415 , 0.019662 
 378 , 0.019257 , 0.01054 , 0.021439 , 0.011662 , 0.008304 , 0.004777 , 0.01144 , 0.009275 , 0.009099 , 0.008744 , 0.005863 , 0.005319 , 0.00912 , 0.01246 , 0.003621 , 0.017157 , 0.017561 , 0.016163 , 0.01171 , 0.019505 
 379 , 0.019623 , 0.010817 , 0.021447 , 0.01179 , 0.008581 , 0.00483 , 0.011491 , 0.009475 , 0.009212 , 0.008739 , 0.005976 , 0.005389 , 0.009158 , 0.012583 , 0.003666 , 0.0172 , 0.017959 , 0.016421 , 0.011914 , 0.019446 
 380 , 0.019956 , 0.011142 , 0.021254 , 0.011967 , 0.008737 , 0.004919 , 0.011403 , 0.009757 , 0.009197 , 0.008868 , 0.006237 , 0.005166 , 0.009147 , 0.012578 , 0.003802 , 0.017275 , 0.018296 , 0.016274 , 0.011934 , 0.019577 
 381 , 0.02025 , 0.011481 , 0.021148 , 0.012169 , 0.008863 , 0.004994 , 0.011328 , 0.010023 , 0.009193 , 0.008984 , 0.006496 , 0.004925 , 0.009143 , 0.012539 , 0.003929 , 0.017352 , 0.018622 , 0.016076 , 0.011935 , 0.019698 
 382 , 0.020528 , 0.011831 , 0.021088 , 0.012387 , 0.008973 , 0.005061 , 0.01126 , 0.010283 , 0.009194 , 0.009096 , 0.006756 , 0.00467 , 0.009143 , 0.012482 , 0.004053 , 0.01743 , 0.018947 , 0.015848 , 0.011925 , 0.019815 
 383 , 0.02064 , 0.011805 , 0.02143 , 0.01234 , 0.008807 , 0.004796 , 0.011513 , 0.009984 , 0.009507 , 0.00927 , 0.006647 , 0.004972 , 0.00907 , 0.012679 , 0.004237 , 0.017493 , 0.01868 , 0.015989 , 0.01188 , 0.019939 
 384 , 0.020787 , 0.011793 , 0.021821 , 0.012294 , 0.008638 , 0.004527 , 0.011788 , 0.009668 , 0.009822 , 0.009457 , 0.006521 , 0.005295 , 0.008986 , 0.012897 , 0.004424 , 0.017602 , 0.018438 , 0.016189 , 0.011841 , 0.02009 
 385 , 0.020958 , 0.011799 , 0.022229 , 0.012257 , 0.008477 , 0.004262 , 0.012067 , 0.009355 , 0.010129 , 0.009651 , 0.006394 , 0.005617 , 0.008896 , 0.013121 , 0.004611 , 0.017739 , 0.018227 , 0.016415 , 0.011807 , 0.020258 
 386 , 0.021245 , 0.011819 , 0.022398 , 0.012473 , 0.008525 , 0.004343 , 0.012151 , 0.009299 , 0.010194 , 0.009725 , 0.006486 , 0.005769 , 0.00899 , 0.01327 , 0.004763 , 0.017971 , 0.018339 , 0.016762 , 0.01193 , 0.02047 
 387 , 0.021604 , 0.011851 , 0.022409 , 0.012851 , 0.008714 , 0.004648 , 0.012111 , 0.00942 , 0.010105 , 0.009722 , 0.00672 , 0.005808 , 0.009207 , 0.013374 , 0.004885 , 0.018265 , 0.01866 , 0.017177 , 0.012157 , 0.020702 
 388 , 0.021953 , 0.011891 , 0.022437 , 0.013216 , 0.008899 , 0.004941 , 0.012086 , 0.009544 , 0.010029 , 0.009733 , 0.006945 , 0.005849 , 0.009419 , 0.013485 , 0.005003 , 0.018559 , 0.018969 , 0.017577 , 0.012381 , 0.020924 
