 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 341 , 0.00176 , 0.051658 , 0.051125 , 0.056859 , 0.086455 , 0.024659 , 0.008459 , 0.036016 , 0.007898 , 0.054601 , 0.000534 , 0.021206 , 0.077188 , 0.059803 , 0.015592 , 0 , 0.005586 , 0.077906 , 0.052721 , 0.099803 , 0.007948 , 0.054157 , 0.018753 , 0 , 0.034412 , 0.044503 , 0.043065 , 0 , 0 , 0 , 0.043655 , 0.052443 , 0.087954 , 0.018814 , 0.03692 
 342 , 0.003216 , 0.046676 , 0.047846 , 0.054144 , 0.074235 , 0.023237 , 0.009552 , 0.032448 , 0.008866 , 0.047095 , 0.001453 , 0.021644 , 0.072637 , 0.053538 , 0.016808 , 0.000547 , 0.007383 , 0.07046 , 0.046722 , 0.087102 , 0.008671 , 0.049144 , 0.019521 , 0.000726 , 0.03245 , 0.044645 , 0.03873 , 0 , 0 , 0 , 0.043963 , 0.050523 , 0.073723 , 0.017721 , 0.035166 
 343 , 0.005718 , 0.041429 , 0.043651 , 0.057683 , 0.059854 , 0.024277 , 0.010529 , 0.030474 , 0.010134 , 0.043293 , 0.003073 , 0.023392 , 0.064115 , 0.051885 , 0.018358 , 0.001629 , 0.010911 , 0.064399 , 0.044245 , 0.078204 , 0.009669 , 0.044363 , 0.022564 , 0.001817 , 0.032352 , 0.046462 , 0.037903 , 0 , 0 , 0 , 0.043814 , 0.052096 , 0.054904 , 0.017126 , 0.034713 
 344 , 0.007719 , 0.037888 , 0.040709 , 0.060948 , 0.051456 , 0.025131 , 0.011384 , 0.029043 , 0.01126 , 0.040568 , 0.004382 , 0.024924 , 0.058386 , 0.050589 , 0.01964 , 0.002558 , 0.014646 , 0.060084 , 0.042351 , 0.071911 , 0.01052 , 0.041048 , 0.025598 , 0.002507 , 0.032265 , 0.04801 , 0.037294 , 0 , 0 , 0 , 0.043675 , 0.053455 , 0.045545 , 0.016678 , 0.034342 
 345 , 0.009275 , 0.035534 , 0.038747 , 0.06201 , 0.046226 , 0.025793 , 0.01217 , 0.028212 , 0.012306 , 0.038642 , 0.005466 , 0.02604 , 0.054691 , 0.04963 , 0.020571 , 0.003444 , 0.018106 , 0.056584 , 0.041135 , 0.067304 , 0.011294 , 0.038741 , 0.027719 , 0.003081 , 0.031966 , 0.048313 , 0.036188 , 0.000067 , 0.000006 , 0.00004 , 0.043558 , 0.054098 , 0.04031 , 0.0165 , 0.034068 
 346 , 0.009702 , 0.035743 , 0.039291 , 0.04908 , 0.045084 , 0.025934 , 0.013403 , 0.030161 , 0.013812 , 0.038436 , 0.00644 , 0.025071 , 0.055808 , 0.049654 , 0.020317 , 0.005139 , 0.016741 , 0.051952 , 0.04303 , 0.064765 , 0.01245 , 0.038498 , 0.023023 , 0.004767 , 0.029871 , 0.041078 , 0.030871 , 0.000901 , 0.00007 , 0.000537 , 0.043904 , 0.050114 , 0.039961 , 0.018203 , 0.034201 
 347 , 0.009984 , 0.035832 , 0.039696 , 0.041697 , 0.044074 , 0.025982 , 0.014271 , 0.031892 , 0.014948 , 0.038181 , 0.007191 , 0.024279 , 0.056734 , 0.049594 , 0.020042 , 0.006435 , 0.015753 , 0.048496 , 0.044659 , 0.062632 , 0.013394 , 0.038191 , 0.0203 , 0.006517 , 0.028261 , 0.036557 , 0.027587 , 0.001555 , 0.000113 , 0.000925 , 0.044093 , 0.047073 , 0.039591 , 0.019734 , 0.03425 
 348 , 0.010172 , 0.035841 , 0.039995 , 0.036892 , 0.043173 , 0.025968 , 0.014895 , 0.033437 , 0.015822 , 0.0379 , 0.00778 , 0.023612 , 0.057507 , 0.049479 , 0.019767 , 0.007448 , 0.014995 , 0.045802 , 0.046069 , 0.060806 , 0.014172 , 0.037853 , 0.018499 , 0.00835 , 0.026975 , 0.033436 , 0.025331 , 0.002075 , 0.000143 , 0.001232 , 0.044173 , 0.044662 , 0.039217 , 0.021119 , 0.034242 
 349 , 0.010789 , 0.035283 , 0.040695 , 0.037174 , 0.043054 , 0.026519 , 0.015603 , 0.033036 , 0.015583 , 0.03781 , 0.008251 , 0.022848 , 0.058387 , 0.047803 , 0.01946 , 0.008439 , 0.014305 , 0.043952 , 0.045087 , 0.06055 , 0.015257 , 0.037583 , 0.018742 , 0.008941 , 0.026641 , 0.034125 , 0.024715 , 0.00287 , 0.000762 , 0.002323 , 0.041131 , 0.045461 , 0.038612 , 0.022232 , 0.035704 
 350 , 0.011494 , 0.034615 , 0.041411 , 0.038892 , 0.043145 , 0.027179 , 0.016279 , 0.032098 , 0.015071 , 0.037757 , 0.008627 , 0.022237 , 0.059133 , 0.045934 , 0.019206 , 0.009371 , 0.013825 , 0.042565 , 0.043533 , 0.060739 , 0.016343 , 0.03734 , 0.019541 , 0.008997 , 0.026621 , 0.035916 , 0.024581 , 0.003585 , 0.001536 , 0.003617 , 0.038064 , 0.047188 , 0.037978 , 0.023128 , 0.037537 
