JUL8WSG100005.spu,JUL8WSG100004.spu,JUL8WSG100003.spu,
Wavelength,JUL8WSG100006.spu,JUL8WSG100007.spu,JUL8WSG100008.spu,JUL8WSG100009.spu,JUL8WSG100010.spu,JUL8WSG100011.spu,JUL8WSG100012.spu,JUL8WSG100013.spu,JUL8WSG100014.spu,JUL8WSG100015.spu,JUL8WSG100016.spu,JUL8WSG100017.spu,JUL8WSG100018.spu,JUL8WSG100019.spu,JUL8WSG100020.spu,JUL8WSG100021.spu,JUL8WSG100022.spu,JUL8WSG100023.spu,JUL8WSG100024.spu,JUL8WSG100025.spu
  (nm),7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3
  time  ,7:48 PM",7:56 PM",8:03 PM",8:10 PM",8:18 PM",8:43 PM",8:49 PM",8:56 PM",9:04 PM",9:14 PM",9:32 PM",9:36 PM",9:42 PM",9:48 PM",9:54 PM",0:24 PM",0:29 PM",0:37 PM",0:43 PM",0:49 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 380 , 0.031725 , 0.029943 , 0.021422 , 0.024945 , 0.012294 , 0.014624 , 0.01609 , 0.01431 , 0.017958 , 0.013815 , 0.011583 , 0.013057 , 0.012908 , 0.009751 , 0.008601 , 0.023521 , 0.026852 , 0.018966 , 0.014555 , 0.02497 
 381 , 0.03212 , 0.030029 , 0.021456 , 0.024797 , 0.012217 , 0.014618 , 0.016037 , 0.0141 , 0.0182 , 0.013647 , 0.011296 , 0.013076 , 0.012888 , 0.009773 , 0.008482 , 0.023405 , 0.026383 , 0.018526 , 0.014441 , 0.024491 
 382 , 0.03255 , 0.030143 , 0.02153 , 0.024687 , 0.012156 , 0.014652 , 0.016031 , 0.013921 , 0.018452 , 0.013493 , 0.011031 , 0.013144 , 0.01287 , 0.009853 , 0.008399 , 0.023424 , 0.026084 , 0.018186 , 0.01441 , 0.024214 
 383 , 0.032868 , 0.030374 , 0.021359 , 0.024741 , 0.012576 , 0.014652 , 0.016143 , 0.014056 , 0.018513 , 0.013818 , 0.010969 , 0.013228 , 0.013168 , 0.00989 , 0.008326 , 0.023413 , 0.026052 , 0.018052 , 0.015047 , 0.024648 
 384 , 0.033162 , 0.03062 , 0.021225 , 0.024873 , 0.013017 , 0.014677 , 0.016329 , 0.014243 , 0.01859 , 0.014174 , 0.010944 , 0.01333 , 0.013506 , 0.009957 , 0.008266 , 0.023469 , 0.026047 , 0.017955 , 0.015733 , 0.025148 
 385 , 0.033447 , 0.03087 , 0.021117 , 0.025045 , 0.013459 , 0.014717 , 0.016553 , 0.014451 , 0.018682 , 0.014536 , 0.010933 , 0.013442 , 0.01386 , 0.010039 , 0.008211 , 0.023561 , 0.026045 , 0.017874 , 0.016428 , 0.025661 
 386 , 0.034092 , 0.031516 , 0.021631 , 0.025472 , 0.013637 , 0.01503 , 0.016977 , 0.014661 , 0.019022 , 0.014597 , 0.011303 , 0.013343 , 0.014016 , 0.010239 , 0.008214 , 0.023946 , 0.02643 , 0.018258 , 0.016714 , 0.025626 
 387 , 0.034953 , 0.032403 , 0.022536 , 0.026042 , 0.01363 , 0.015511 , 0.017512 , 0.014866 , 0.019516 , 0.014461 , 0.011915 , 0.013107 , 0.014035 , 0.010509 , 0.008259 , 0.024521 , 0.027073 , 0.018952 , 0.016717 , 0.025254 
 388 , 0.035766 , 0.033255 , 0.023403 , 0.026577 , 0.013623 , 0.015969 , 0.018023 , 0.015066 , 0.019992 , 0.014344 , 0.0125 , 0.012887 , 0.014061 , 0.01077 , 0.008308 , 0.025092 , 0.027704 , 0.019634 , 0.016722 , 0.024937 
 389 , 0.036449 , 0.033986 , 0.024197 , 0.027041 , 0.013789 , 0.016391 , 0.018341 , 0.015329 , 0.020341 , 0.014396 , 0.012943 , 0.012804 , 0.014197 , 0.011 , 0.008484 , 0.025548 , 0.028297 , 0.020215 , 0.016771 , 0.0248 
