  time  ,43:20 PM,43:36 PM,43:46 PM,43:59 PM,44:08 PM,45:32 PM,45:47 PM,45:59 PM,46:13 PM,46:25 PM,47:26 PM,47:37 PM,47:47 PM,47:56 PM,48:06 PM,48:43 PM,48:54 PM,49:04 PM,49:14 PM,49:26 PM,51:21 PM,51:33 PM,51:46 PM,51:59 PM,52:12 PM,53:19 PM,53:29 PM,53:40 PM,53:51 PM,54:04 PM,54:33 PM,54:43 PM,55:01 PM,55:15 PM,55:27 PM,56:16 PM,56:26 PM,56:36 PM,56:50 PM,57:00 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1102 , 0.22825 , 0.27165 , 0.23455 , 0.22927 , 0.20562 , 0.20962 , 0.1948 , 0.12912 , 0.13619 , 0.20095 , 0.14647 , 0.16364 , 0.16198 , 0.18739 , 0.18153 , 0.2187 , 0.20539 , 0.18761 , 0.16929 , 0.17344 , 0.21928 , 0.16209 , 0.18252 , 0.18493 , 0.23767 , 0.12474 , 0.121 , 0.12722 , 0.13527 , 0.14785 , 0.17898 , 0.13574 , 0.09877 , 0.11902 , 0.12531 , 0.16453 , 0.16188 , 0.17954 , 0.1511 , 0.19831 
 1103 , 0.21894 , 0.25147 , 0.21888 , 0.22332 , 0.1926 , 0.2018 , 0.18336 , 0.12099 , 0.12878 , 0.19249 , 0.13427 , 0.15589 , 0.15558 , 0.17965 , 0.17654 , 0.20891 , 0.19713 , 0.17664 , 0.16486 , 0.16168 , 0.21049 , 0.15347 , 0.17707 , 0.17488 , 0.22574 , 0.11833 , 0.11503 , 0.11927 , 0.12895 , 0.13948 , 0.17388 , 0.13006 , 0.09339 , 0.11227 , 0.11686 , 0.15786 , 0.15284 , 0.17281 , 0.14486 , 0.18365 
 1104 , 0.20805 , 0.23252 , 0.20059 , 0.21286 , 0.18445 , 0.19102 , 0.17244 , 0.11404 , 0.12173 , 0.18157 , 0.12497 , 0.14748 , 0.14683 , 0.17077 , 0.16757 , 0.19769 , 0.18643 , 0.16585 , 0.1568 , 0.15206 , 0.20006 , 0.14337 , 0.16862 , 0.16445 , 0.21415 , 0.10987 , 0.10858 , 0.10891 , 0.12119 , 0.13167 , 0.1649 , 0.12148 , 0.08822 , 0.10339 , 0.10713 , 0.14944 , 0.14317 , 0.16494 , 0.13562 , 0.17076 
 1105 , 0.19537 , 0.21403 , 0.17988 , 0.19865 , 0.17917 , 0.17779 , 0.16167 , 0.1076 , 0.11438 , 0.16852 , 0.11783 , 0.13808 , 0.13606 , 0.1606 , 0.15494 , 0.18481 , 0.1734 , 0.15489 , 0.14563 , 0.14361 , 0.18754 , 0.13206 , 0.15724 , 0.1536 , 0.20216 , 0.09969 , 0.10152 , 0.09668 , 0.11215 , 0.12402 , 0.15263 , 0.11071 , 0.08303 , 0.0928 , 0.09617 , 0.1393 , 0.13242 , 0.15559 , 0.12408 , 0.15906 
 1106 , 0.17935 , 0.19296 , 0.15685 , 0.18221 , 0.16931 , 0.16304 , 0.14959 , 0.09912 , 0.10391 , 0.15372 , 0.11077 , 0.12606 , 0.12387 , 0.14801 , 0.13881 , 0.16885 , 0.15753 , 0.14218 , 0.13234 , 0.13276 , 0.17051 , 0.11995 , 0.14242 , 0.14197 , 0.18661 , 0.08842 , 0.0931 , 0.08394 , 0.10195 , 0.11489 , 0.13816 , 0.09958 , 0.07681 , 0.08147 , 0.08386 , 0.12687 , 0.1185 , 0.14296 , 0.11201 , 0.14677 
 1107 , 0.16437 , 0.17603 , 0.13807 , 0.16816 , 0.15975 , 0.1499 , 0.13891 , 0.0918 , 0.09569 , 0.14107 , 0.10385 , 0.11665 , 0.11328 , 0.13665 , 0.12443 , 0.15517 , 0.14323 , 0.13133 , 0.12125 , 0.12393 , 0.15489 , 0.10989 , 0.1291 , 0.13174 , 0.17259 , 0.07952 , 0.08561 , 0.07455 , 0.09363 , 0.10679 , 0.12512 , 0.09089 , 0.07119 , 0.07293 , 0.07432 , 0.11642 , 0.10767 , 0.13238 , 0.10165 , 0.13683 
 1108 , 0.14989 , 0.16656 , 0.12638 , 0.15779 , 0.14971 , 0.13905 , 0.13031 , 0.08615 , 0.09116 , 0.13171 , 0.09671 , 0.11182 , 0.10517 , 0.12677 , 0.11201 , 0.14501 , 0.13075 , 0.12355 , 0.11381 , 0.11859 , 0.14046 , 0.10324 , 0.11744 , 0.12382 , 0.1605 , 0.07484 , 0.07934 , 0.07172 , 0.08853 , 0.10012 , 0.11371 , 0.08673 , 0.06633 , 0.0696 , 0.06973 , 0.10917 , 0.1023 , 0.12516 , 0.09415 , 0.13127 
 1109 , 0.13449 , 0.15312 , 0.11283 , 0.14503 , 0.13751 , 0.12599 , 0.11897 , 0.07944 , 0.08604 , 0.1207 , 0.08733 , 0.10588 , 0.09528 , 0.11533 , 0.0998 , 0.13294 , 0.1178 , 0.11317 , 0.10456 , 0.11148 , 0.12491 , 0.0951 , 0.10494 , 0.11274 , 0.14556 , 0.06917 , 0.07229 , 0.06723 , 0.082 , 0.09185 , 0.10168 , 0.08112 , 0.06025 , 0.06516 , 0.06428 , 0.10043 , 0.09495 , 0.11556 , 0.08506 , 0.12194 
 1110 , 0.12036 , 0.14054 , 0.10046 , 0.13314 , 0.12626 , 0.11391 , 0.10843 , 0.07319 , 0.08128 , 0.1105 , 0.07858 , 0.10025 , 0.08613 , 0.10478 , 0.08866 , 0.12175 , 0.10587 , 0.10351 , 0.09595 , 0.10475 , 0.11076 , 0.0875 , 0.09354 , 0.10238 , 0.13174 , 0.06388 , 0.06575 , 0.06297 , 0.07588 , 0.08416 , 0.09066 , 0.07581 , 0.05461 , 0.06093 , 0.05922 , 0.09227 , 0.08806 , 0.10657 , 0.0766 , 0.11307 
 1111 , 0.10943 , 0.1258 , 0.09104 , 0.11788 , 0.11423 , 0.10565 , 0.09846 , 0.06496 , 0.07489 , 0.10146 , 0.07124 , 0.09108 , 0.07754 , 0.0956 , 0.08177 , 0.1113 , 0.09641 , 0.09449 , 0.08561 , 0.09542 , 0.10141 , 0.07951 , 0.08713 , 0.09105 , 0.11757 , 0.0577 , 0.0593 , 0.06013 , 0.06791 , 0.07657 , 0.08409 , 0.06872 , 0.04873 , 0.05293 , 0.05396 , 0.08207 , 0.07711 , 0.09323 , 0.06848 , 0.10209 
