JUL27MAT00065.spu,JUL27MAT00064.spu,JUL27MAT00063.spu,JUL27MAT00062.spu,JUL27MAT00061.spu,
Wavelength,JUL27MAT00066.spu,JUL27MAT00067.spu,JUL27MAT00068.spu,JUL27MAT00069.spu,JUL27MAT00070.spu,JUL27MAT00071.spu,JUL27MAT00072.spu,JUL27MAT00073.spu,JUL27MAT00074.spu,JUL27MAT00075.spu,JUL27MAT00076.spu,JUL27MAT00077.spu,JUL27MAT00078.spu,JUL27MAT00079.spu,JUL27MAT00080.spu,JUL27MAT00081.spu,JUL27MAT00082.spu,JUL27MAT00083.spu,JUL27MAT00084.spu,JUL27MAT00085.spu,JUL27MAT00086.spu,JUL27MAT00087.spu,JUL27MAT00088.spu,JUL27MAT00089.spu,JUL27MAT00090.spu
  (nm),7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 
  time  ,19:45 PM,19:51 PM,19:56 PM,20:01 PM,20:07 PM,21:18 PM,21:27 PM,21:34 PM,21:40 PM,21:48 PM,22:20 PM,22:26 PM,22:30 PM,22:37 PM,22:42 PM,22:50 PM,22:56 PM,23:02 PM,23:09 PM,23:17 PM,23:31 PM,23:35 PM,23:41 PM,23:48 PM,23:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 351 , 0.017181 , 0.015746 , 0.015681 , 0.017569 , 0.013844 , 0.021151 , 0.021213 , 0.020619 , 0.018639 , 0.010599 , 0.010694 , 0.010819 , 0.009435 , 0.012604 , 0.013835 , 0.015607 , 0.014669 , 0.013947 , 0.011909 , 0.014839 , 0.024867 , 0.013878 , 0.017375 , 0.013438 , 0.015081 
 352 , 0.017623 , 0.01617 , 0.015932 , 0.017712 , 0.014381 , 0.021088 , 0.021156 , 0.020925 , 0.018899 , 0.010926 , 0.010799 , 0.010903 , 0.009333 , 0.012886 , 0.013933 , 0.015603 , 0.014795 , 0.013788 , 0.011942 , 0.014629 , 0.024722 , 0.014016 , 0.017077 , 0.013694 , 0.015085 
 353 , 0.01831 , 0.016651 , 0.016344 , 0.018202 , 0.01421 , 0.021634 , 0.021828 , 0.0215 , 0.019053 , 0.011329 , 0.011131 , 0.011204 , 0.00935 , 0.013059 , 0.014293 , 0.015382 , 0.015206 , 0.013488 , 0.011651 , 0.014355 , 0.025341 , 0.01433 , 0.017211 , 0.013811 , 0.015454 
 354 , 0.018955 , 0.017097 , 0.016725 , 0.018654 , 0.014058 , 0.022137 , 0.022455 , 0.022033 , 0.019186 , 0.011709 , 0.011441 , 0.011483 , 0.009365 , 0.013219 , 0.014625 , 0.015184 , 0.015587 , 0.013217 , 0.011392 , 0.014106 , 0.025911 , 0.014621 , 0.01733 , 0.013914 , 0.015794 
 355 , 0.019563 , 0.017513 , 0.017078 , 0.019075 , 0.013922 , 0.022603 , 0.02304 , 0.022526 , 0.019303 , 0.012066 , 0.011729 , 0.011741 , 0.009381 , 0.013366 , 0.014932 , 0.015005 , 0.01594 , 0.01297 , 0.011159 , 0.013877 , 0.026437 , 0.014892 , 0.017435 , 0.014007 , 0.016109 
 356 , 0.019553 , 0.017106 , 0.016987 , 0.01911 , 0.013781 , 0.022751 , 0.022681 , 0.022407 , 0.019463 , 0.012078 , 0.011533 , 0.011884 , 0.009608 , 0.013269 , 0.015003 , 0.015358 , 0.015897 , 0.012924 , 0.011243 , 0.01403 , 0.026435 , 0.014878 , 0.017745 , 0.013943 , 0.016179 
 357 , 0.019506 , 0.016679 , 0.016875 , 0.019116 , 0.013646 , 0.022866 , 0.022304 , 0.022259 , 0.019608 , 0.012068 , 0.01132 , 0.012007 , 0.00983 , 0.013164 , 0.015052 , 0.015713 , 0.015831 , 0.012885 , 0.011332 , 0.014185 , 0.026397 , 0.014842 , 0.018044 , 0.013871 , 0.016224 
 358 , 0.019455 , 0.016274 , 0.016766 , 0.019113 , 0.013518 , 0.022963 , 0.021953 , 0.022115 , 0.019737 , 0.012054 , 0.011114 , 0.012118 , 0.010037 , 0.013062 , 0.015091 , 0.016045 , 0.015765 , 0.012842 , 0.011412 , 0.014323 , 0.026351 , 0.014797 , 0.018321 , 0.013801 , 0.016259 
 359 , 0.019468 , 0.01637 , 0.01695 , 0.01956 , 0.013716 , 0.023177 , 0.022098 , 0.022026 , 0.020135 , 0.011971 , 0.011343 , 0.012344 , 0.010431 , 0.013103 , 0.015343 , 0.016399 , 0.01615 , 0.013272 , 0.011693 , 0.014483 , 0.026721 , 0.015157 , 0.018828 , 0.014078 , 0.016478 
 360 , 0.019517 , 0.016808 , 0.017327 , 0.020317 , 0.014133 , 0.023462 , 0.022571 , 0.021974 , 0.020711 , 0.011829 , 0.011875 , 0.012642 , 0.010957 , 0.01324 , 0.015739 , 0.016757 , 0.016855 , 0.014044 , 0.012111 , 0.01465 , 0.027368 , 0.015802 , 0.019491 , 0.014595 , 0.016817 
