  time  ,48:41 PM,48:58 PM,49:29 PM,49:41 PM,49:52 PM,51:01 PM,51:10 PM,51:19 PM,51:27 PM,51:39 PM,53:35 PM,53:45 PM,53:53 PM,54:01 PM,54:09 PM,55:37 PM,55:48 PM,55:56 PM,56:05 PM,56:11 PM,58:27 PM,58:39 PM,58:44 PM,58:52 PM,59:01 PM,59:56 PM,00:04 PM,00:13 PM,00:21 PM,00:31 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 336 , 0.02377 , 30.03763 , 30.03763 , 30.03763 , 30.03763 , 0.210566 , 30.03763 , 30.03763 , 30.03763 , 0.152536 , 0.434843 , 30.03763 , 0 , 0 , 0.020137 , 0.426897 , 0.14882 , 1.513756 , 0.588882 , 0.310388 , 0 , 0.008755 , 0 , 0.050343 , 0.101415 , 0.128775 , 0.108906 , 0.022476 , 0.009872 , 0 
 337 , 0.023862 , 28.385225 , 28.385225 , 28.385225 , 28.385225 , 0.146763 , 28.385225 , 28.385225 , 28.385225 , 0.117707 , 0.417037 , 28.385225 , 0 , 0 , 0.019312 , 0.312056 , 0.128995 , 1.026601 , 0.366832 , 0.248372 , 0 , 0.008397 , 0 , 0.048281 , 0.097262 , 0.112783 , 0.0973 , 0.025586 , 0.013774 , 0 
 338 , 0.023919 , 26.936946 , 26.936946 , 26.936946 , 26.936946 , 0.120309 , 26.936946 , 26.936946 , 26.936946 , 0.102099 , 0.39798 , 26.936946 , 0 , 0 , 0.01843 , 0.262954 , 0.117478 , 0.827536 , 0.279235 , 0.219378 , 0 , 0.008013 , 0 , 0.046075 , 0.092817 , 0.103794 , 0.090297 , 0.026298 , 0.015914 , 0 
 339 , 0.023145 , 25.528568 , 25.528568 , 25.528568 , 0.049471 , 0.195235 , 25.528568 , 25.528568 , 25.528568 , 0.178028 , 0.175031 , 0 , 0.017638 , 0.001675 , 0.032249 , 0.148746 , 0.12805 , 0.490462 , 0.194061 , 0.274941 , 0.001673 , 0.025792 , 0.00192 , 0.064099 , 0.112696 , 0.098422 , 0.115693 , 0.034599 , 0.027021 , 0.017181 
 340 , 0.022316 , 24.275558 , 24.275558 , 24.275558 , 0.047957 , 0.390003 , 24.275558 , 24.275558 , 24.275558 , 0.372008 , 0.129437 , 0 , 0.024612 , 0.003812 , 0.045815 , 0.104364 , 0.140529 , 0.34858 , 0.15415 , 0.358261 , 0.003418 , 0.047794 , 0.002774 , 0.073233 , 0.127167 , 0.093705 , 0.150154 , 0.042305 , 0.038348 , 0.029944 
 341 , 0.021584 , 23.177776 , 23.177776 , 23.177776 , 0.046051 , 1.303738 , 23.177776 , 23.177776 , 23.177776 , 1.279118 , 0.110084 , 0 , 0.027232 , 0.006155 , 0.056746 , 0.082735 , 0.152089 , 0.276717 , 0.131748 , 0.467421 , 0.00492 , 0.071001 , 0.003124 , 0.076759 , 0.135339 , 0.089548 , 0.19077 , 0.048277 , 0.04818 , 0.037831 
 342 , 0.021399 , 22.196378 , 3.356403 , 0.046375 , 0.171044 , 1.123079 , 4.803566 , 2.787796 , 22.196378 , 4.14859 , 0.09833 , 0.006804 , 0.031614 , 0.010444 , 0.06467 , 0.083625 , 0.143302 , 0.239039 , 0.121195 , 0.308391 , 0.011646 , 0.071728 , 0.010239 , 0.07691 , 0.113487 , 0.083252 , 0.16263 , 0.051518 , 0.055756 , 0.04124 
 343 , 0.021766 , 21.316243 , 1.096628 , 0.045883 , 0.434453 , 0.384033 , 1.765242 , 0.940182 , 21.316243 , 1.498813 , 0.089971 , 0.016389 , 0.036378 , 0.011918 , 0.069872 , 0.102691 , 0.122523 , 0.219058 , 0.116993 , 0.175761 , 0.02258 , 0.057256 , 0.017318 , 0.075302 , 0.085873 , 0.076271 , 0.111789 , 0.052185 , 0.06075 , 0.041433 
 344 , 0.022101 , 20.543306 , 0.666865 , 0.044466 , 0.679094 , 0.242745 , 1.178984 , 0.58754 , 20.543306 , 0.988706 , 0.083791 , 0.021845 , 0.038617 , 0.012083 , 0.073887 , 0.122959 , 0.109035 , 0.203894 , 0.113224 , 0.130615 , 0.031003 , 0.049361 , 0.020168 , 0.073571 , 0.07149 , 0.071038 , 0.088376 , 0.052167 , 0.064519 , 0.040958 
 345 , 0.022348 , 0.636783 , 0.429434 , 0.043217 , 0.878868 , 0.192337 , 0.890622 , 0.415787 , 14.509339 , 0.682345 , 0.079193 , 0.025471 , 0.039675 , 0.012334 , 0.07589 , 0.139063 , 0.099803 , 0.190863 , 0.11007 , 0.108705 , 0.036251 , 0.045086 , 0.021721 , 0.072251 , 0.06367 , 0.067418 , 0.075442 , 0.052097 , 0.066836 , 0.040641 
 346 , 0.021889 , 0.07444 , 0.192203 , 0.043936 , 0.783034 , 0.285919 , 0.568655 , 0.247442 , 1.227272 , 0.299653 , 0.077781 , 0.031022 , 0.039652 , 0.01632 , 0.068237 , 0.108173 , 0.095588 , 0.17147 , 0.109795 , 0.103927 , 0.02805 , 0.049968 , 0.024873 , 0.074496 , 0.068799 , 0.069179 , 0.072587 , 0.054461 , 0.063957 , 0.043622 
 347 , 0.02148 , 0.049195 , 0.135208 , 0.043418 , 0.715386 , 0.496399 , 0.431517 , 0.185188 , 0.654888 , 0.203933 , 0.076133 , 0.035372 , 0.039428 , 0.01995 , 0.062566 , 0.089654 , 0.091783 , 0.156506 , 0.109071 , 0.099644 , 0.022892 , 0.053993 , 0.027099 , 0.076165 , 0.073549 , 0.070376 , 0.069926 , 0.05638 , 0.061323 , 0.046185 
 348 , 0.021115 , 0.039717 , 0.108866 , 0.042472 , 0.663884 , 1.438301 , 0.354689 , 0.152159 , 0.452741 , 0.159724 , 0.074397 , 0.038808 , 0.039075 , 0.023289 , 0.058132 , 0.077255 , 0.088343 , 0.144561 , 0.108059 , 0.095793 , 0.019359 , 0.057336 , 0.028676 , 0.077393 , 0.077985 , 0.071155 , 0.067468 , 0.057948 , 0.058928 , 0.048408 
 349 , 0.020961 , 0.044623 , 0.095939 , 0.049488 , 0.284492 , 0.982682 , 0.255688 , 0.172014 , 0.250083 , 0.14026 , 0.071515 , 0.039134 , 0.037585 , 0.025131 , 0.056253 , 0.074208 , 0.087821 , 0.135446 , 0.104642 , 0.092679 , 0.022957 , 0.056581 , 0.029074 , 0.073194 , 0.072476 , 0.072528 , 0.06598 , 0.054836 , 0.059007 , 0.050746 
 350 , 0.020897 , 0.053107 , 0.087667 , 0.058357 , 0.15672 , 0.522093 , 0.195156 , 0.22518 , 0.166567 , 0.128659 , 0.068496 , 0.038323 , 0.035937 , 0.025855 , 0.055148 , 0.073825 , 0.088038 , 0.128092 , 0.100674 , 0.08996 , 0.028136 , 0.054496 , 0.029053 , 0.068097 , 0.065408 , 0.073975 , 0.064825 , 0.050797 , 0.059731 , 0.052966 
 351 , 0.020843 , 0.060586 , 0.08132 , 0.065751 , 0.107296 , 0.363252 , 0.160874 , 0.312744 , 0.128411 , 0.119681 , 0.065824 , 0.037493 , 0.034506 , 0.026147 , 0.054038 , 0.073312 , 0.087904 , 0.121821 , 0.097123 , 0.087442 , 0.032253 , 0.05262 , 0.029002 , 0.063984 , 0.060106 , 0.075174 , 0.063686 , 0.047522 , 0.060177 , 0.054939 
 352 , 0.020885 , 0.056615 , 0.07893 , 0.068346 , 0.081462 , 0.274988 , 0.137686 , 0.336695 , 0.108618 , 0.112754 , 0.063929 , 0.036302 , 0.033788 , 0.026524 , 0.052931 , 0.07302 , 0.086183 , 0.114726 , 0.095401 , 0.086046 , 0.03442 , 0.050217 , 0.028383 , 0.060696 , 0.055429 , 0.074126 , 0.063123 , 0.047244 , 0.05854 , 0.054052 
 353 , 0.021102 , 0.040426 , 0.082362 , 0.063807 , 0.068299 , 0.213963 , 0.119422 , 0.2192 , 0.098774 , 0.107183 , 0.063183 , 0.034498 , 0.03415 , 0.027439 , 0.051861 , 0.073279 , 0.081941 , 0.105875 , 0.096726 , 0.086535 , 0.03396 , 0.046924 , 0.026976 , 0.058087 , 0.050787 , 0.069534 , 0.063631 , 0.052211 , 0.053924 , 0.048981 
 354 , 0.021308 , 0.03141 , 0.086078 , 0.060117 , 0.06058 , 0.176446 , 0.105766 , 0.164807 , 0.091226 , 0.102246 , 0.062473 , 0.032936 , 0.034462 , 0.028306 , 0.050888 , 0.073453 , 0.078219 , 0.098697 , 0.097875 , 0.086962 , 0.033528 , 0.044224 , 0.025858 , 0.055825 , 0.047088 , 0.065741 , 0.064052 , 0.057307 , 0.050303 , 0.045198 
 355 , 0.021503 , 0.025671 , 0.090107 , 0.057052 , 0.055451 , 0.151044 , 0.095173 , 0.133427 , 0.08524 , 0.097842 , 0.061796 , 0.031569 , 0.034731 , 0.029128 , 0.049999 , 0.073558 , 0.074928 , 0.092753 , 0.098873 , 0.087336 , 0.033122 , 0.041967 , 0.024941 , 0.053843 , 0.044069 , 0.06255 , 0.064399 , 0.062546 , 0.04738 , 0.042256 
 356 , 0.021026 , 0.024289 , 0.086219 , 0.054389 , 0.052968 , 0.13766 , 0.093946 , 0.117368 , 0.07958 , 0.100129 , 0.059607 , 0.03039 , 0.033616 , 0.028697 , 0.049186 , 0.073277 , 0.071614 , 0.084789 , 0.096125 , 0.08233 , 0.033272 , 0.041604 , 0.025383 , 0.053436 , 0.044651 , 0.061203 , 0.063478 , 0.057093 , 0.047592 , 0.040992 
 357 , 0.020548 , 0.023242 , 0.082789 , 0.052065 , 0.050746 , 0.127554 , 0.093196 , 0.105866 , 0.074754 , 0.102627 , 0.057615 , 0.029395 , 0.032605 , 0.028247 , 0.048444 , 0.07299 , 0.068736 , 0.078299 , 0.093496 , 0.077871 , 0.033425 , 0.041345 , 0.025873 , 0.053122 , 0.045379 , 0.060034 , 0.062569 , 0.052288 , 0.047922 , 0.039934 
 358 , 0.0201 , 0.022329 , 0.080002 , 0.050021 , 0.048678 , 0.119499 , 0.092494 , 0.097094 , 0.070619 , 0.105004 , 0.055858 , 0.028543 , 0.031736 , 0.027838 , 0.047762 , 0.072713 , 0.06623 , 0.073006 , 0.091138 , 0.074073 , 0.033556 , 0.041099 , 0.026345 , 0.052824 , 0.04608 , 0.05895 , 0.06173 , 0.048384 , 0.048223 , 0.038991 
 359 , 0.020013 , 0.023329 , 0.077879 , 0.04671 , 0.047023 , 0.110966 , 0.091691 , 0.090852 , 0.070833 , 0.100028 , 0.056757 , 0.027753 , 0.03155 , 0.027857 , 0.047704 , 0.071877 , 0.06461 , 0.070721 , 0.087233 , 0.072275 , 0.03272 , 0.041183 , 0.026543 , 0.051282 , 0.046238 , 0.058064 , 0.060892 , 0.046358 , 0.047327 , 0.038451 
 360 , 0.020174 , 0.025561 , 0.076114 , 0.043267 , 0.045764 , 0.102783 , 0.09082 , 0.086112 , 0.073907 , 0.091635 , 0.059548 , 0.027004 , 0.031792 , 0.028114 , 0.048041 , 0.070694 , 0.06356 , 0.070216 , 0.082705 , 0.071707 , 0.031372 , 0.041455 , 0.026529 , 0.049096 , 0.045988 , 0.057324 , 0.060069 , 0.045447 , 0.045724 , 0.038168 
 361 , 0.020324 , 0.027618 , 0.074491 , 0.040648 , 0.04467 , 0.096106 , 0.089987 , 0.082056 , 0.076847 , 0.085104 , 0.062338 , 0.026319 , 0.032008 , 0.028303 , 0.048328 , 0.069604 , 0.062592 , 0.069732 , 0.078861 , 0.07116 , 0.03023 , 0.041672 , 0.026497 , 0.047224 , 0.045729 , 0.056631 , 0.059301 , 0.044624 , 0.044315 , 0.037895 
 362 , 0.020434 , 0.028687 , 0.071342 , 0.038531 , 0.04394 , 0.091667 , 0.088758 , 0.078311 , 0.079471 , 0.080259 , 0.063535 , 0.025958 , 0.032313 , 0.028182 , 0.048298 , 0.068087 , 0.062469 , 0.069239 , 0.075594 , 0.07032 , 0.029518 , 0.041799 , 0.026594 , 0.045904 , 0.04536 , 0.055919 , 0.05851 , 0.044104 , 0.0433 , 0.037749 
 363 , 0.020411 , 0.026522 , 0.062888 , 0.036642 , 0.044258 , 0.092318 , 0.085932 , 0.074175 , 0.081231 , 0.077741 , 0.058641 , 0.026572 , 0.032976 , 0.027074 , 0.047142 , 0.064765 , 0.065754 , 0.068589 , 0.072894 , 0.068285 , 0.030006 , 0.04173 , 0.027238 , 0.045946 , 0.044623 , 0.054985 , 0.057499 , 0.044588 , 0.043333 , 0.038055 
 364 , 0.02039 , 0.024751 , 0.056552 , 0.035016 , 0.04453 , 0.092912 , 0.083392 , 0.07065 , 0.082916 , 0.075478 , 0.054688 , 0.027074 , 0.033552 , 0.026104 , 0.046097 , 0.061898 , 0.069158 , 0.06796 , 0.070498 , 0.066452 , 0.030457 , 0.041648 , 0.027821 , 0.045961 , 0.043935 , 0.054118 , 0.056561 , 0.045031 , 0.043349 , 0.038315 
 365 , 0.020369 , 0.023273 , 0.051622 , 0.0336 , 0.044762 , 0.093455 , 0.081095 , 0.067607 , 0.084532 , 0.073433 , 0.051425 , 0.027485 , 0.034053 , 0.025247 , 0.045147 , 0.059397 , 0.072692 , 0.067354 , 0.068357 , 0.064792 , 0.030874 , 0.041554 , 0.028351 , 0.045954 , 0.043294 , 0.053311 , 0.055686 , 0.045438 , 0.043351 , 0.038537 
