AUG5HIST00005.spu,AUG5HIST00004.spu,
Wavelength,AUG5HIST00006.spu,AUG5HIST00007.spu,AUG5HIST00008.spu,AUG5HIST00009.spu,AUG5HIST00010.spu,AUG5HIST00011.spu,AUG5HIST00012.spu,AUG5HIST00013.spu,AUG5HIST00014.spu,AUG5HIST00015.spu,AUG5HIST00016.spu,AUG5HIST00017.spu,AUG5HIST00018.spu,AUG5HIST00019.spu,AUG5HIST00020.spu,AUG5HIST00021.spu,AUG5HIST00022.spu,AUG5HIST00023.spu,AUG5HIST00024.spu,AUG5HIST00025.spu,AUG5HIST00026.spu,AUG5HIST00027.spu,AUG5HIST00028.spu,AUG5HIST00029.spu,AUG5HIST00030.spu,AUG5HIST00031.spu,AUG5HIST00032.spu,AUG5HIST00033.spu,AUG5HIST00034.spu,AUG5HIST00035.spu,AUG5HIST00036.spu,AUG5HIST00037.spu,AUG5HIST00038.spu,AUG5HIST00039.spu,AUG5HIST00040.spu,AUG5HIST00041.spu,AUG5HIST00042.spu,AUG5HIST00043.spu,AUG5HIST00044.spu,AUG5HIST00045.spu,AUG5HIST00046.spu,AUG5HIST00047.spu,AUG5HIST00048.spu,AUG5HIST00049.spu,AUG5HIST00050.spu,AUG5HIST00051.spu,AUG5HIST00052.spu,AUG5HIST00053.spu,AUG5HIST00054.spu,AUG5HIST00055.spu,AUG5HIST00056.spu,AUG5HIST00057.spu,AUG5HIST00058.spu,AUG5HIST00059.spu,AUG5HIST00060.spu,AUG5HIST00061.spu,AUG5HIST00062.spu,AUG5HIST00063.spu,AUG5HIST00064.spu,AUG5HIST00065.spu,AUG5HIST00066.spu,AUG5HIST00067.spu,AUG5HIST00068.spu,AUG5HIST00069.spu,AUG5HIST00070.spu,AUG5HIST00071.spu,AUG5HIST00072.spu,AUG5HIST00073.spu,AUG5HIST00074.spu,AUG5HIST00075.spu,AUG5HIST00076.spu,AUG5HIST00077.spu,AUG5HIST00078.spu,AUG5HIST00079.spu,AUG5HIST00080.spu,AUG5HIST00081.spu,AUG5HIST00082.spu,AUG5HIST00083.spu,AUG5HIST00084.spu,AUG5HIST00085.spu
 678 , 0.054225 , 0.045484 , 0.052792 , 0.061624 , 0.045719 , 0.053624 , 0.034994 , 0.054821 , 0.04888 , 0.048099 , 0.044357 , 0.066172 , 0.031889 , 0.061208 , 0.080073 , 0.027025 , 0.03534 , 0.042994 , 0.033592 , 0.044116 , 0.044607 , 0.050959 , 0.047718 , 0.053298 , 0.045514 , 0.049722 , 0.035796 , 0.053504 , 0.039999 , 0.040079 , 0.045033 , 0.037875 , 0.03802 , 0.045118 , 0.037554 , 0.042017 , 0.050774 , 0.050253 , 0.041742 , 0.041146 , 0.076686 , 0.044206 , 0.070004 , 0.063106 , 0.059595 , 0.05695 , 0.034148 , 0.039247 , 0.069007 , 0.036743 , 0.046375 , 0.055863 , 0.05179 , 0.045794 , 0.034248 , 0.024966 , 0.044026 , 0.031263 , 0.033006 , 0.038055 , 0.044547 , 0.025933 , 0.060847 , 0.039658 , 0.049757 , 0.033752 , 0.033502 , 0.03822 , 0.026649 , 0.026699 , 0.045819 , 0.030672 , 0.050473 , 0.045509 , 0.030156 , 0.037539 , 0.051946 , 0.057942 , 0.046315 , 0.020332 
 679 , 0.054801 , 0.045998 , 0.053204 , 0.062083 , 0.046133 , 0.054063 , 0.035391 , 0.055158 , 0.049342 , 0.04876 , 0.044747 , 0.066473 , 0.032056 , 0.061551 , 0.080514 , 0.02725 , 0.035587 , 0.043356 , 0.033859 , 0.04438 , 0.044993 , 0.051376 , 0.048077 , 0.053691 , 0.046028 , 0.050166 , 0.036325 , 0.054023 , 0.040624 , 0.040664 , 0.04549 , 0.038233 , 0.038183 , 0.04538 , 0.037832 , 0.042271 , 0.05118 , 0.050789 , 0.041894 , 0.041553 , 0.077104 , 0.044647 , 0.07052 , 0.063449 , 0.060009 , 0.057428 , 0.034522 , 0.039624 , 0.069416 , 0.037088 , 0.046821 , 0.056132 , 0.05229 , 0.046168 , 0.034582 , 0.025191 , 0.04425 , 0.031534 , 0.033332 , 0.038243 , 0.044908 , 0.02622 , 0.061159 , 0.040051 , 0.050201 , 0.03415 , 0.033919 , 0.03869 , 0.026929 , 0.027024 , 0.046063 , 0.030866 , 0.050743 , 0.045827 , 0.030384 , 0.037776 , 0.052114 , 0.058186 , 0.046545 , 0.02045 
 680 , 0.055386 , 0.04652 , 0.053624 , 0.062546 , 0.04655 , 0.05451 , 0.035795 , 0.055502 , 0.049802 , 0.04943 , 0.045145 , 0.066776 , 0.032225 , 0.061897 , 0.08096 , 0.027477 , 0.03583 , 0.04372 , 0.034128 , 0.044652 , 0.045387 , 0.051796 , 0.048438 , 0.054082 , 0.046545 , 0.050613 , 0.036857 , 0.054546 , 0.041253 , 0.041258 , 0.045956 , 0.038589 , 0.038348 , 0.045638 , 0.038116 , 0.042522 , 0.05159 , 0.051328 , 0.042048 , 0.041968 , 0.077526 , 0.045095 , 0.071041 , 0.063795 , 0.060432 , 0.057914 , 0.034904 , 0.039999 , 0.069827 , 0.037441 , 0.047275 , 0.056414 , 0.052793 , 0.04654 , 0.034919 , 0.025417 , 0.04447 , 0.031812 , 0.03366 , 0.038433 , 0.045276 , 0.02651 , 0.061479 , 0.040447 , 0.050648 , 0.034551 , 0.034345 , 0.039168 , 0.027215 , 0.027356 , 0.046303 , 0.031062 , 0.051011 , 0.046147 , 0.030614 , 0.038015 , 0.052285 , 0.058438 , 0.046776 , 0.020569 
 681 , 0.056351 , 0.047505 , 0.054394 , 0.063276 , 0.047368 , 0.055244 , 0.03659 , 0.05621 , 0.050762 , 0.05057 , 0.045765 , 0.067352 , 0.032412 , 0.06239 , 0.081626 , 0.027885 , 0.036301 , 0.044242 , 0.034637 , 0.045092 , 0.046124 , 0.052639 , 0.049103 , 0.054793 , 0.047525 , 0.05143 , 0.037889 , 0.055517 , 0.042366 , 0.04228 , 0.046802 , 0.039321 , 0.038638 , 0.046083 , 0.038613 , 0.042968 , 0.052285 , 0.05231 , 0.04231 , 0.0427 , 0.078232 , 0.045841 , 0.07198 , 0.0645 , 0.061156 , 0.058804 , 0.035598 , 0.040768 , 0.070463 , 0.038036 , 0.048011 , 0.056908 , 0.05367 , 0.047242 , 0.035608 , 0.025887 , 0.044966 , 0.03225 , 0.034293 , 0.038754 , 0.045992 , 0.027 , 0.062112 , 0.041218 , 0.051455 , 0.035305 , 0.035118 , 0.039984 , 0.027789 , 0.028021 , 0.046716 , 0.031355 , 0.051485 , 0.046695 , 0.031051 , 0.038446 , 0.052527 , 0.05882 , 0.047191 , 0.020753 
 682 , 0.057564 , 0.048791 , 0.055391 , 0.06418 , 0.048441 , 0.056171 , 0.037642 , 0.057159 , 0.052048 , 0.052017 , 0.046526 , 0.068095 , 0.032612 , 0.062964 , 0.08242 , 0.028407 , 0.036912 , 0.044855 , 0.035291 , 0.04564 , 0.047094 , 0.053745 , 0.049961 , 0.0557 , 0.048796 , 0.052494 , 0.039247 , 0.056779 , 0.043786 , 0.043578 , 0.047904 , 0.040286 , 0.039004 , 0.046643 , 0.039247 , 0.043543 , 0.053167 , 0.053567 , 0.042646 , 0.043644 , 0.079113 , 0.04679 , 0.073196 , 0.065436 , 0.062083 , 0.05996 , 0.036492 , 0.041795 , 0.071231 , 0.038791 , 0.048912 , 0.057539 , 0.054773 , 0.048158 , 0.036522 , 0.026518 , 0.045625 , 0.032794 , 0.035129 , 0.039161 , 0.046942 , 0.027622 , 0.062944 , 0.042231 , 0.052519 , 0.036284 , 0.036112 , 0.041015 , 0.028549 , 0.028894 , 0.047241 , 0.031705 , 0.052093 , 0.047388 , 0.031619 , 0.038994 , 0.052818 , 0.059297 , 0.047712 , 0.020976 
 683 , 0.058797 , 0.050097 , 0.056408 , 0.065093 , 0.049539 , 0.057113 , 0.038713 , 0.058128 , 0.053354 , 0.053491 , 0.047307 , 0.068852 , 0.032813 , 0.063546 , 0.083235 , 0.028937 , 0.037536 , 0.04548 , 0.035958 , 0.046196 , 0.048083 , 0.054876 , 0.050843 , 0.056626 , 0.050087 , 0.053572 , 0.040631 , 0.058062 , 0.045232 , 0.044897 , 0.049022 , 0.041275 , 0.039378 , 0.047215 , 0.039895 , 0.044126 , 0.054064 , 0.054856 , 0.04299 , 0.044603 , 0.080008 , 0.047753 , 0.074438 , 0.066392 , 0.063018 , 0.061141 , 0.037399 , 0.042837 , 0.072013 , 0.03956 , 0.049828 , 0.058189 , 0.055901 , 0.049093 , 0.037455 , 0.027167 , 0.046292 , 0.033351 , 0.035984 , 0.039575 , 0.047911 , 0.028257 , 0.063794 , 0.043258 , 0.053603 , 0.037282 , 0.037125 , 0.042066 , 0.029328 , 0.029784 , 0.047774 , 0.032062 , 0.05271 , 0.048093 , 0.032199 , 0.039555 , 0.05311 , 0.059782 , 0.04824 , 0.021201 
 684 , 0.060358 , 0.051685 , 0.057687 , 0.066264 , 0.050887 , 0.058337 , 0.040071 , 0.059327 , 0.055 , 0.055381 , 0.048323 , 0.069773 , 0.033129 , 0.064319 , 0.084255 , 0.02959 , 0.038324 , 0.046287 , 0.036826 , 0.046916 , 0.049338 , 0.056295 , 0.051944 , 0.057778 , 0.05173 , 0.054945 , 0.042376 , 0.059667 , 0.047023 , 0.046556 , 0.050456 , 0.042488 , 0.039842 , 0.047912 , 0.040726 , 0.044875 , 0.055193 , 0.056463 , 0.043402 , 0.045799 , 0.081173 , 0.048978 , 0.076003 , 0.067609 , 0.064192 , 0.062663 , 0.038568 , 0.044154 , 0.072997 , 0.040543 , 0.050974 , 0.058961 , 0.057311 , 0.050232 , 0.038624 , 0.02799 , 0.04715 , 0.034084 , 0.03707 , 0.040112 , 0.04913 , 0.029102 , 0.064842 , 0.044545 , 0.054965 , 0.038537 , 0.038395 , 0.043397 , 0.030316 , 0.03089 , 0.048424 , 0.032505 , 0.053482 , 0.049019 , 0.032957 , 0.040249 , 0.053492 , 0.060373 , 0.048892 , 0.021485 
 685 , 0.062687 , 0.053932 , 0.059588 , 0.068028 , 0.052835 , 0.060223 , 0.042118 , 0.061061 , 0.057444 , 0.058272 , 0.049923 , 0.071056 , 0.033719 , 0.065548 , 0.085771 , 0.030538 , 0.039517 , 0.047525 , 0.038175 , 0.048013 , 0.051224 , 0.058424 , 0.053572 , 0.059481 , 0.054212 , 0.057001 , 0.044969 , 0.062027 , 0.049629 , 0.048993 , 0.052632 , 0.044242 , 0.040523 , 0.048892 , 0.041976 , 0.046006 , 0.056859 , 0.058836 , 0.043978 , 0.04753 , 0.082967 , 0.050828 , 0.078333 , 0.069451 , 0.065904 , 0.064994 , 0.040345 , 0.046107 , 0.07445 , 0.042037 , 0.052652 , 0.06003 , 0.059405 , 0.051854 , 0.040365 , 0.029253 , 0.04846 , 0.035254 , 0.038699 , 0.040924 , 0.05096 , 0.030447 , 0.066366 , 0.046438 , 0.056986 , 0.040406 , 0.040274 , 0.045396 , 0.031824 , 0.03251 , 0.049364 , 0.033155 , 0.054618 , 0.050447 , 0.034136 , 0.04127 , 0.05409 , 0.061214 , 0.049837 , 0.021926 
 686 , 0.06506 , 0.056215 , 0.061525 , 0.069826 , 0.054816 , 0.06213 , 0.044195 , 0.062827 , 0.059917 , 0.061204 , 0.05155 , 0.072359 , 0.034318 , 0.066794 , 0.087307 , 0.031505 , 0.040732 , 0.048783 , 0.039552 , 0.049124 , 0.053132 , 0.060579 , 0.055228 , 0.061214 , 0.056733 , 0.059093 , 0.047603 , 0.064429 , 0.052278 , 0.051469 , 0.054836 , 0.046021 , 0.04122 , 0.049887 , 0.043249 , 0.047156 , 0.058554 , 0.061245 , 0.044567 , 0.049287 , 0.084795 , 0.052705 , 0.08069 , 0.071316 , 0.067644 , 0.067364 , 0.042156 , 0.048087 , 0.075934 , 0.043555 , 0.054363 , 0.061113 , 0.06153 , 0.053503 , 0.042135 , 0.030533 , 0.049796 , 0.036444 , 0.040355 , 0.041754 , 0.052817 , 0.031815 , 0.067923 , 0.048361 , 0.059032 , 0.042298 , 0.042176 , 0.04743 , 0.033356 , 0.034155 , 0.050319 , 0.033819 , 0.055772 , 0.051901 , 0.03533 , 0.042303 , 0.054704 , 0.062069 , 0.050808 , 0.02237 
 687 , 0.067463 , 0.058532 , 0.063486 , 0.071643 , 0.056822 , 0.064072 , 0.046303 , 0.064622 , 0.062433 , 0.064184 , 0.053207 , 0.07368 , 0.034923 , 0.068064 , 0.088868 , 0.032489 , 0.041965 , 0.05006 , 0.040946 , 0.050254 , 0.055075 , 0.062774 , 0.056908 , 0.062977 , 0.059301 , 0.061216 , 0.050279 , 0.066862 , 0.054968 , 0.053986 , 0.057081 , 0.047825 , 0.041919 , 0.050895 , 0.044541 , 0.048324 , 0.060274 , 0.06369 , 0.045162 , 0.051073 , 0.086648 , 0.054607 , 0.083089 , 0.073211 , 0.069413 , 0.069764 , 0.043991 , 0.050101 , 0.077437 , 0.045096 , 0.056104 , 0.062214 , 0.063685 , 0.055177 , 0.043935 , 0.031832 , 0.05115 , 0.037647 , 0.042036 , 0.042596 , 0.054704 , 0.033207 , 0.0695 , 0.05032 , 0.061114 , 0.04422 , 0.044108 , 0.0495 , 0.034913 , 0.035824 , 0.051292 , 0.0345 , 0.056949 , 0.053375 , 0.036542 , 0.043355 , 0.05533 , 0.062937 , 0.051786 , 0.02282 
 688 , 0.071037 , 0.062137 , 0.066453 , 0.074369 , 0.059825 , 0.066848 , 0.049586 , 0.067624 , 0.06622 , 0.068852 , 0.055626 , 0.075672 , 0.035853 , 0.070003 , 0.09119 , 0.033972 , 0.043714 , 0.052091 , 0.04312 , 0.051964 , 0.05808 , 0.066138 , 0.05945 , 0.065652 , 0.063045 , 0.064429 , 0.054388 , 0.070591 , 0.058963 , 0.057933 , 0.06056 , 0.050661 , 0.042897 , 0.052487 , 0.046579 , 0.050098 , 0.062862 , 0.067411 , 0.045965 , 0.053851 , 0.089674 , 0.057512 , 0.086834 , 0.076195 , 0.072001 , 0.073512 , 0.046944 , 0.053283 , 0.079927 , 0.047431 , 0.05878 , 0.063902 , 0.066828 , 0.0577 , 0.046726 , 0.033962 , 0.053339 , 0.039459 , 0.044576 , 0.043942 , 0.057675 , 0.035351 , 0.07192 , 0.053364 , 0.064338 , 0.047299 , 0.047101 , 0.052619 , 0.037588 , 0.038597 , 0.052811 , 0.035529 , 0.058866 , 0.055748 , 0.038414 , 0.045189 , 0.05627 , 0.064374 , 0.053222 , 0.023469 
 689 , 0.074644 , 0.065793 , 0.069447 , 0.07712 , 0.062865 , 0.069665 , 0.052899 , 0.070665 , 0.070061 , 0.073578 , 0.058065 , 0.077684 , 0.036786 , 0.071959 , 0.093537 , 0.035472 , 0.045485 , 0.054147 , 0.045322 , 0.053685 , 0.061125 , 0.069539 , 0.062018 , 0.068346 , 0.066813 , 0.067676 , 0.058547 , 0.07436 , 0.062992 , 0.061921 , 0.064083 , 0.053523 , 0.043876 , 0.054096 , 0.048636 , 0.051884 , 0.065484 , 0.071168 , 0.046763 , 0.056669 , 0.092735 , 0.06045 , 0.090624 , 0.079211 , 0.074608 , 0.077303 , 0.049925 , 0.056512 , 0.082444 , 0.049793 , 0.06148 , 0.065611 , 0.06999 , 0.060257 , 0.049544 , 0.036122 , 0.055548 , 0.041288 , 0.047134 , 0.045302 , 0.060673 , 0.037527 , 0.074354 , 0.056441 , 0.0676 , 0.050417 , 0.050143 , 0.055761 , 0.040303 , 0.041404 , 0.05435 , 0.036558 , 0.06081 , 0.058146 , 0.040298 , 0.047048 , 0.057207 , 0.065819 , 0.054665 , 0.024115 
 690 , 0.07824 , 0.069444 , 0.072441 , 0.079865 , 0.0659 , 0.072471 , 0.056211 , 0.0737 , 0.073893 , 0.078296 , 0.060507 , 0.079687 , 0.037716 , 0.073908 , 0.095876 , 0.036969 , 0.047248 , 0.0562 , 0.047517 , 0.055408 , 0.064163 , 0.072938 , 0.064585 , 0.071039 , 0.070572 , 0.070917 , 0.062701 , 0.078128 , 0.067017 , 0.065905 , 0.067596 , 0.056378 , 0.044856 , 0.055703 , 0.050691 , 0.053666 , 0.068099 , 0.074914 , 0.047557 , 0.059476 , 0.09579 , 0.063381 , 0.094409 , 0.082221 , 0.077209 , 0.081089 , 0.052905 , 0.05973 , 0.084953 , 0.052148 , 0.064178 , 0.067317 , 0.073146 , 0.062807 , 0.052361 , 0.038274 , 0.057749 , 0.043109 , 0.04969 , 0.046659 , 0.063665 , 0.039696 , 0.076782 , 0.059517 , 0.070856 , 0.053529 , 0.053174 , 0.058897 , 0.043007 , 0.044206 , 0.055881 , 0.037589 , 0.062751 , 0.060537 , 0.042185 , 0.048903 , 0.058145 , 0.067266 , 0.056104 , 0.024761 
 691 , 0.082785 , 0.073816 , 0.076095 , 0.083195 , 0.0698 , 0.075847 , 0.060279 , 0.077437 , 0.078723 , 0.084152 , 0.06345 , 0.082263 , 0.038924 , 0.076404 , 0.098732 , 0.038883 , 0.049518 , 0.058699 , 0.050308 , 0.057535 , 0.067967 , 0.077163 , 0.067703 , 0.074398 , 0.075219 , 0.074885 , 0.067734 , 0.082699 , 0.071795 , 0.070783 , 0.071973 , 0.059894 , 0.046115 , 0.057686 , 0.053078 , 0.055934 , 0.071304 , 0.079458 , 0.04852 , 0.062903 , 0.099562 , 0.066954 , 0.099127 , 0.086076 , 0.08042 , 0.085828 , 0.056684 , 0.063839 , 0.088158 , 0.055104 , 0.067476 , 0.069395 , 0.077006 , 0.06585 , 0.055934 , 0.041086 , 0.060619 , 0.045497 , 0.052997 , 0.048368 , 0.067364 , 0.042337 , 0.079787 , 0.063303 , 0.074966 , 0.057514 , 0.056977 , 0.062766 , 0.046646 , 0.047877 , 0.057798 , 0.038832 , 0.065222 , 0.063637 , 0.044661 , 0.051194 , 0.059332 , 0.069056 , 0.057945 , 0.02562 
 692 , 0.087862 , 0.078583 , 0.080111 , 0.08687 , 0.074182 , 0.079519 , 0.064787 , 0.081558 , 0.084108 , 0.090619 , 0.066684 , 0.08517 , 0.040296 , 0.079206 , 0.101886 , 0.041029 , 0.052084 , 0.061463 , 0.053434 , 0.059895 , 0.072209 , 0.081851 , 0.071141 , 0.078138 , 0.080389 , 0.079231 , 0.073266 , 0.08771 , 0.076995 , 0.07616 , 0.076828 , 0.06379 , 0.047535 , 0.059885 , 0.055665 , 0.058488 , 0.074829 , 0.084497 , 0.049589 , 0.066654 , 0.103757 , 0.070868 , 0.104375 , 0.090406 , 0.083991 , 0.091089 , 0.060912 , 0.068445 , 0.091777 , 0.058392 , 0.071111 , 0.071678 , 0.08127 , 0.069153 , 0.059945 , 0.044252 , 0.063866 , 0.048218 , 0.056728 , 0.050272 , 0.07147 , 0.045234 , 0.083116 , 0.067494 , 0.079575 , 0.061989 , 0.061215 , 0.067064 , 0.050809 , 0.052053 , 0.059935 , 0.040205 , 0.067974 , 0.067129 , 0.047485 , 0.053728 , 0.060679 , 0.071045 , 0.060016 , 0.026596 
 693 , 0.092869 , 0.083281 , 0.084075 , 0.090493 , 0.07851 , 0.083145 , 0.069241 , 0.085626 , 0.089417 , 0.096998 , 0.069873 , 0.088037 , 0.041651 , 0.081967 , 0.105004 , 0.043152 , 0.054609 , 0.064187 , 0.056525 , 0.062221 , 0.076392 , 0.08648 , 0.074532 , 0.081836 , 0.085495 , 0.083524 , 0.078722 , 0.092656 , 0.082124 , 0.081467 , 0.081623 , 0.067634 , 0.048939 , 0.062049 , 0.058218 , 0.061008 , 0.078303 , 0.089472 , 0.050642 , 0.070358 , 0.107894 , 0.074735 , 0.109547 , 0.094678 , 0.087516 , 0.09628 , 0.065091 , 0.072991 , 0.09535 , 0.061645 , 0.074699 , 0.073926 , 0.08548 , 0.07242 , 0.063909 , 0.047382 , 0.067073 , 0.050905 , 0.060411 , 0.052153 , 0.075523 , 0.04809 , 0.086394 , 0.071626 , 0.084125 , 0.0664 , 0.065395 , 0.071298 , 0.054918 , 0.056171 , 0.062049 , 0.04156 , 0.070691 , 0.070575 , 0.050273 , 0.056227 , 0.062008 , 0.073011 , 0.062059 , 0.027565 
 694 , 0.098115 , 0.088229 , 0.088174 , 0.094298 , 0.083074 , 0.086947 , 0.074006 , 0.089911 , 0.09504 , 0.103776 , 0.073289 , 0.091021 , 0.043069 , 0.084922 , 0.108209 , 0.045392 , 0.057212 , 0.067048 , 0.059797 , 0.06466 , 0.080842 , 0.09135 , 0.07804 , 0.08571 , 0.09086 , 0.088012 , 0.084493 , 0.097812 , 0.087421 , 0.087002 , 0.086709 , 0.071693 , 0.050365 , 0.064286 , 0.060943 , 0.06366 , 0.081933 , 0.094642 , 0.051724 , 0.074223 , 0.112228 , 0.078787 , 0.115005 , 0.099201 , 0.091178 , 0.101771 , 0.069562 , 0.077863 , 0.09913 , 0.065048 , 0.078449 , 0.076258 , 0.089845 , 0.075803 , 0.068144 , 0.050759 , 0.070496 , 0.053774 , 0.064301 , 0.054122 , 0.079782 , 0.051128 , 0.089885 , 0.07598 , 0.088941 , 0.071118 , 0.0698 , 0.075753 , 0.059373 , 0.06057 , 0.064276 , 0.042968 , 0.073556 , 0.074283 , 0.053279 , 0.058899 , 0.063387 , 0.075031 , 0.064185 , 0.028558 
 695 , 0.104025 , 0.093854 , 0.092689 , 0.098607 , 0.088299 , 0.091258 , 0.079605 , 0.094811 , 0.10152 , 0.111636 , 0.077297 , 0.094348 , 0.044661 , 0.088405 , 0.111691 , 0.047968 , 0.060039 , 0.070271 , 0.063587 , 0.067398 , 0.086041 , 0.096893 , 0.081903 , 0.090099 , 0.096933 , 0.093088 , 0.091107 , 0.103571 , 0.093249 , 0.093188 , 0.092609 , 0.076354 , 0.051889 , 0.066763 , 0.064122 , 0.066692 , 0.086001 , 0.100335 , 0.052912 , 0.078557 , 0.117119 , 0.08337 , 0.121242 , 0.104423 , 0.095225 , 0.108072 , 0.074827 , 0.083602 , 0.103481 , 0.06891 , 0.08269 , 0.078819 , 0.09467 , 0.079555 , 0.073123 , 0.054812 , 0.07453 , 0.057116 , 0.068764 , 0.05636 , 0.08464 , 0.054666 , 0.093944 , 0.080961 , 0.094494 , 0.076641 , 0.074847 , 0.08081 , 0.064777 , 0.065734 , 0.066813 , 0.04455 , 0.076843 , 0.078708 , 0.056874 , 0.06205 , 0.064918 , 0.077226 , 0.066566 , 0.029631 
 696 , 0.109857 , 0.099405 , 0.097157 , 0.102856 , 0.093455 , 0.095512 , 0.085131 , 0.099652 , 0.10792 , 0.119408 , 0.081253 , 0.097635 , 0.046232 , 0.091841 , 0.115133 , 0.050507 , 0.06283 , 0.073442 , 0.067326 , 0.070098 , 0.091182 , 0.102368 , 0.085715 , 0.094441 , 0.102921 , 0.098103 , 0.09763 , 0.109248 , 0.099008 , 0.099305 , 0.098435 , 0.080947 , 0.053394 , 0.069212 , 0.067261 , 0.06968 , 0.09003 , 0.105934 , 0.054088 , 0.082838 , 0.121953 , 0.087897 , 0.127405 , 0.109575 , 0.099219 , 0.114298 , 0.080026 , 0.089271 , 0.107775 , 0.072713 , 0.086876 , 0.081344 , 0.099435 , 0.08326 , 0.078034 , 0.058816 , 0.078517 , 0.060411 , 0.073171 , 0.05857 , 0.089442 , 0.058162 , 0.097952 , 0.085886 , 0.099974 , 0.082103 , 0.079825 , 0.0858 , 0.070113 , 0.070837 , 0.069313 , 0.046106 , 0.080087 , 0.083079 , 0.060426 , 0.065159 , 0.066426 , 0.079392 , 0.068916 , 0.030691 
 697 , 0.115617 , 0.104886 , 0.101563 , 0.107054 , 0.098541 , 0.099711 , 0.090586 , 0.104429 , 0.114241 , 0.12708 , 0.085155 , 0.10088 , 0.047783 , 0.095234 , 0.118528 , 0.053018 , 0.065586 , 0.076578 , 0.071026 , 0.072758 , 0.096253 , 0.107777 , 0.089472 , 0.098727 , 0.108831 , 0.103059 , 0.104073 , 0.114854 , 0.10469 , 0.105342 , 0.104193 , 0.085487 , 0.054885 , 0.071634 , 0.070359 , 0.072632 , 0.094004 , 0.111466 , 0.055246 , 0.087068 , 0.126729 , 0.092373 , 0.133495 , 0.114668 , 0.103159 , 0.120435 , 0.08516 , 0.094867 , 0.112013 , 0.076472 , 0.091013 , 0.083835 , 0.104138 , 0.086917 , 0.082887 , 0.062765 , 0.082455 , 0.063663 , 0.077516 , 0.060747 , 0.09418 , 0.061615 , 0.101909 , 0.090747 , 0.105388 , 0.087489 , 0.084739 , 0.090727 , 0.075383 , 0.07587 , 0.071784 , 0.047647 , 0.083293 , 0.087394 , 0.063929 , 0.068226 , 0.067919 , 0.081536 , 0.071237 , 0.031736 
 698 , 0.122157 , 0.111091 , 0.106606 , 0.111788 , 0.104456 , 0.104386 , 0.096843 , 0.110024 , 0.121576 , 0.13583 , 0.089636 , 0.104631 , 0.049567 , 0.099128 , 0.122207 , 0.055902 , 0.068636 , 0.080093 , 0.075277 , 0.075818 , 0.10219 , 0.114023 , 0.093776 , 0.103529 , 0.115547 , 0.108641 , 0.111377 , 0.121045 , 0.110816 , 0.112124 , 0.110846 , 0.090764 , 0.056568 , 0.07443 , 0.074014 , 0.076069 , 0.098472 , 0.117642 , 0.056498 , 0.091871 , 0.132086 , 0.097449 , 0.14039 , 0.120589 , 0.107583 , 0.12737 , 0.091255 , 0.101559 , 0.11702 , 0.080775 , 0.095675 , 0.086619 , 0.109372 , 0.090904 , 0.088603 , 0.067589 , 0.08717 , 0.067549 , 0.082644 , 0.063324 , 0.09969 , 0.065569 , 0.10642 , 0.096261 , 0.111628 , 0.093831 , 0.090418 , 0.096307 , 0.081898 , 0.082018 , 0.074641 , 0.049431 , 0.08701 , 0.092583 , 0.06818 , 0.071754 , 0.069629 , 0.083897 , 0.073809 , 0.032968 
 699 , 0.128661 , 0.11727 , 0.11162 , 0.116501 , 0.110351 , 0.109012 , 0.103062 , 0.115587 , 0.128881 , 0.144523 , 0.094084 , 0.108348 , 0.051334 , 0.103002 , 0.125848 , 0.058773 , 0.071672 , 0.083578 , 0.079496 , 0.078876 , 0.108088 , 0.120238 , 0.098061 , 0.108283 , 0.122221 , 0.114173 , 0.118629 , 0.127197 , 0.116896 , 0.118854 , 0.11745 , 0.096012 , 0.058228 , 0.077198 , 0.077662 , 0.079481 , 0.102902 , 0.1238 , 0.057733 , 0.096642 , 0.137399 , 0.102502 , 0.147231 , 0.126478 , 0.111975 , 0.134282 , 0.097316 , 0.108218 , 0.122001 , 0.085056 , 0.100309 , 0.089388 , 0.114567 , 0.094833 , 0.094294 , 0.072402 , 0.091851 , 0.071417 , 0.087749 , 0.065892 , 0.10516 , 0.069494 , 0.110905 , 0.101748 , 0.117835 , 0.100139 , 0.096072 , 0.101848 , 0.088389 , 0.088134 , 0.077482 , 0.051204 , 0.090707 , 0.097746 , 0.072412 , 0.075259 , 0.071317 , 0.086225 , 0.076338 , 0.034197 
