SHB2_00005_SHB2_REF.spu,SHB2_00004_SHB2_REF.spu,SHB2_00003_SHB2_REF.spu,SHB2_00002_SHB2_REF.spu,
Wavelength,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_NP.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_CT1.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_N.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu,SHB2_00025_B2_P.spu
  (nm),6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 
  time  ,26:11 AM,26:32 AM,26:46 AM,26:58 AM,27:13 AM,29:20 AM,30:01 AM,30:24 AM,30:46 AM,31:20 AM,32:19 AM,32:33 AM,32:44 AM,33:04 AM,33:17 AM,34:32 AM,34:40 AM,34:49 AM,34:58 AM,35:06 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 350 , 0.018534 , 0.022692 , 0.020083 , 0.019374 , 0.023845 , 0.018922 , 0.018986 , 0.012289 , 0.019891 , 0.012936 , 0.017572 , 0.012266 , 0.016351 , 0.018634 , 0.015053 , 0.026251 , 0.035759 , 0.03266 , 0.03716 , 0.031122 
 351 , 0.018389 , 0.022501 , 0.019503 , 0.019322 , 0.023125 , 0.018662 , 0.018853 , 0.012375 , 0.01999 , 0.013211 , 0.017389 , 0.012756 , 0.016107 , 0.01859 , 0.015052 , 0.025864 , 0.035747 , 0.032583 , 0.037634 , 0.031241 
 352 , 0.018323 , 0.022459 , 0.019225 , 0.019434 , 0.022673 , 0.018558 , 0.018853 , 0.012521 , 0.020017 , 0.01341 , 0.017303 , 0.013033 , 0.015988 , 0.018497 , 0.015177 , 0.025523 , 0.035655 , 0.032748 , 0.037906 , 0.031345 
 353 , 0.018403 , 0.022718 , 0.019479 , 0.019897 , 0.022671 , 0.018743 , 0.019116 , 0.012796 , 0.019905 , 0.013481 , 0.017397 , 0.012935 , 0.0161 , 0.018336 , 0.01554 , 0.025253 , 0.035417 , 0.03342 , 0.037834 , 0.031453 
 354 , 0.018477 , 0.022962 , 0.019719 , 0.020321 , 0.022665 , 0.018909 , 0.019366 , 0.013043 , 0.019796 , 0.013541 , 0.01748 , 0.01284 , 0.016206 , 0.018182 , 0.015874 , 0.024995 , 0.035186 , 0.03406 , 0.037753 , 0.031544 
 355 , 0.018545 , 0.023194 , 0.019946 , 0.020709 , 0.022654 , 0.019057 , 0.019602 , 0.013265 , 0.01969 , 0.013589 , 0.017553 , 0.012747 , 0.016305 , 0.018034 , 0.01618 , 0.024749 , 0.034961 , 0.034672 , 0.037665 , 0.031618 
 356 , 0.018328 , 0.023088 , 0.019701 , 0.020062 , 0.022744 , 0.018683 , 0.019226 , 0.012769 , 0.019333 , 0.013029 , 0.017609 , 0.012251 , 0.016059 , 0.017785 , 0.015654 , 0.025154 , 0.035412 , 0.03419 , 0.037662 , 0.031698 
 357 , 0.018096 , 0.022961 , 0.019432 , 0.01937 , 0.022831 , 0.018285 , 0.018829 , 0.012244 , 0.018971 , 0.012439 , 0.017659 , 0.011739 , 0.015795 , 0.017532 , 0.015096 , 0.025584 , 0.035884 , 0.033663 , 0.037653 , 0.031768 
 358 , 0.017866 , 0.02283 , 0.019165 , 0.018685 , 0.022909 , 0.01789 , 0.018444 , 0.011729 , 0.018618 , 0.011852 , 0.017704 , 0.011232 , 0.015533 , 0.017282 , 0.014551 , 0.026005 , 0.03634 , 0.033149 , 0.037634 , 0.031829 
 359 , 0.017952 , 0.022835 , 0.018981 , 0.018672 , 0.023132 , 0.017944 , 0.018467 , 0.011829 , 0.018716 , 0.012001 , 0.017693 , 0.011312 , 0.015628 , 0.01738 , 0.014568 , 0.026478 , 0.036747 , 0.033412 , 0.037943 , 0.032072 
