WSG1_00007.spu,WSG1_00006.spu,WSG1_00005.spu,WSG1_00004.spu,WSG1_00003.spu,
Wavelength,WSG1_00015.spu,WSG1_00016.spu,WSG1_00017.spu,WSG1_00018.spu,WSG1_00019.spu,WSG1_00020.spu,WSG1_00021.spu,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu,WSG1_00025.spu,WSG1_00026.spu,WSG1_00027.spu,WSG1_00028.spu,WSG1_00029.spu,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu,WSG1_00035.spu,WSG1_00036.spu,WSG1_00037.spu,WSG1_00038.spu,WSG1_00039.spu
  (nm),8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 
  time  ,:31:21 A,:31:32 A,:31:43 A,:31:53 A,:32:01 A,:32:25 A,:32:32 A,:32:41 A,:32:49 A,:32:59 A,:33:22 A,:33:30 A,:33:38 A,:33:47 A,:33:55 A,:34:35 A,:34:45 A,:34:56 A,:35:06 A,:35:14 A,:35:44 A,:35:55 A,:36:12 A,:36:22 A,:36:32 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 345 , 0.008941 , 0.008186 , 0.010338 , 0.009832 , 0.010335 , 0.017722 , 0.015756 , 0.011535 , 0.014109 , 0.011519 , 0.014103 , 0.006279 , 0.006373 , 0.006288 , 0.010501 , 0.016741 , 0.017271 , 0.011861 , 0.012629 , 0.007844 , 0.013744 , 0.008282 , 0.014138 , 0.016194 , 0.013723 
 346 , 0.008573 , 0.007813 , 0.009862 , 0.009576 , 0.009845 , 0.017021 , 0.01503 , 0.010786 , 0.01346 , 0.011242 , 0.013356 , 0.005677 , 0.005938 , 0.005978 , 0.010108 , 0.01622 , 0.016691 , 0.011744 , 0.011939 , 0.007692 , 0.013159 , 0.007995 , 0.013614 , 0.015563 , 0.013488 
 347 , 0.008249 , 0.007486 , 0.009443 , 0.00935 , 0.009416 , 0.016407 , 0.014393 , 0.010128 , 0.012892 , 0.010999 , 0.012701 , 0.005151 , 0.005558 , 0.005707 , 0.009762 , 0.015761 , 0.016183 , 0.011643 , 0.011334 , 0.007558 , 0.012645 , 0.007742 , 0.013154 , 0.015008 , 0.013282 
 348 , 0.007963 , 0.007197 , 0.009073 , 0.009151 , 0.009038 , 0.015863 , 0.01383 , 0.009546 , 0.012389 , 0.010785 , 0.012121 , 0.004687 , 0.005222 , 0.005466 , 0.009456 , 0.015353 , 0.015732 , 0.011554 , 0.0108 , 0.00744 , 0.012191 , 0.007519 , 0.012746 , 0.014517 , 0.013102 
 349 , 0.008187 , 0.007533 , 0.009132 , 0.009449 , 0.009279 , 0.015938 , 0.014046 , 0.009829 , 0.012479 , 0.010922 , 0.012356 , 0.004733 , 0.005389 , 0.005609 , 0.009658 , 0.015473 , 0.015828 , 0.011673 , 0.011031 , 0.00755 , 0.012447 , 0.007738 , 0.012952 , 0.014776 , 0.013254 
 350 , 0.008578 , 0.008073 , 0.009342 , 0.009901 , 0.009734 , 0.016223 , 0.014533 , 0.010402 , 0.012776 , 0.011172 , 0.012866 , 0.004959 , 0.005722 , 0.005882 , 0.010024 , 0.015773 , 0.016113 , 0.011853 , 0.011528 , 0.007733 , 0.012946 , 0.008103 , 0.013365 , 0.015279 , 0.01352 
 351 , 0.008925 , 0.008559 , 0.00953 , 0.010299 , 0.010149 , 0.016467 , 0.014976 , 0.010911 , 0.013042 , 0.01139 , 0.013318 , 0.005159 , 0.006019 , 0.006128 , 0.010346 , 0.01604 , 0.016367 , 0.012007 , 0.011978 , 0.007895 , 0.0134 , 0.008433 , 0.013734 , 0.01572 , 0.013762 
 352 , 0.009074 , 0.008713 , 0.00959 , 0.010425 , 0.010285 , 0.016523 , 0.015161 , 0.011068 , 0.013148 , 0.011396 , 0.013505 , 0.005183 , 0.006114 , 0.006199 , 0.010448 , 0.016129 , 0.016475 , 0.012015 , 0.012219 , 0.007943 , 0.013569 , 0.008486 , 0.013867 , 0.015995 , 0.01383 
 353 , 0.008877 , 0.008275 , 0.00942 , 0.010071 , 0.009911 , 0.016254 , 0.014882 , 0.010595 , 0.012972 , 0.011018 , 0.013228 , 0.004884 , 0.005856 , 0.005957 , 0.010165 , 0.015899 , 0.01633 , 0.011759 , 0.012096 , 0.007787 , 0.013226 , 0.008031 , 0.013581 , 0.01601 , 0.013579 
 354 , 0.008694 , 0.007871 , 0.009262 , 0.009741 , 0.009566 , 0.016003 , 0.014622 , 0.010156 , 0.012807 , 0.010667 , 0.012971 , 0.004604 , 0.005617 , 0.005731 , 0.009901 , 0.015684 , 0.016195 , 0.011519 , 0.011981 , 0.007642 , 0.012908 , 0.007609 , 0.013314 , 0.016027 , 0.013346 
