SHB1_00005.ref_SHB1_DARK.spu,SHB1_00004.ref_SHB1_DARK.spu,SHB1_00003.ref_SHB1_DARK.spu,
Wavelength,SHB1_00006_B1_NP.spu,SHB1_00007_B1_NP.spu,SHB1_00008_B1_NP.spu,SHB1_00009_B1_NP.spu,SHB1_00010_B1_NP.spu,SHB1_00011_B1_P.spu,SHB1_00012_B1_P.spu,SHB1_00013_B1_P.spu,SHB1_00014_B1_P.spu,SHB1_00015_B1_P.spu,SHB1_00016_B1_N.spu,SHB1_00017_B1_N.spu,SHB1_00018_B1_N.spu,SHB1_00019_B1_N.spu,SHB1_00020_B1_N.spu,SHB1_00021_B1_CT2.spu,SHB1_00022_B1_CT2.spu,SHB1_00023_B1_CT2.spu,SHB1_00024_B1_CT2.spu,SHB1_00025_B1_CT2.spu
  (nm),7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2
  time  ,4:06 PM",4:33 PM",5:04 PM",5:27 PM",5:47 PM",6:34 PM",6:59 PM",8:21 PM",8:41 PM",9:11 PM",0:17 PM",1:06 PM",1:25 PM",1:47 PM",2:17 PM",3:39 PM",4:03 PM",4:26 PM",4:48 PM",5:04 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 365 , 0.014807 , 0.018053 , 0.019505 , 0.016574 , 0.022942 , 0.015624 , 0.025044 , 0.019351 , 0.014341 , 0.016565 , 0.01882 , 0.015628 , 0.014667 , 0.019694 , 0.017236 , 0.01438 , 0.01162 , 0.013304 , 0.012342 , 0.012478 
 366 , 0.014624 , 0.017912 , 0.019327 , 0.016485 , 0.02282 , 0.015396 , 0.024752 , 0.019091 , 0.014143 , 0.016337 , 0.018476 , 0.015336 , 0.014581 , 0.019529 , 0.016992 , 0.01424 , 0.011457 , 0.013084 , 0.012245 , 0.012426 
 367 , 0.014397 , 0.017737 , 0.019113 , 0.016378 , 0.022675 , 0.015116 , 0.024507 , 0.018744 , 0.013915 , 0.016071 , 0.018006 , 0.014997 , 0.014477 , 0.019313 , 0.016709 , 0.01408 , 0.011254 , 0.012771 , 0.012115 , 0.012377 
 368 , 0.014178 , 0.017568 , 0.018905 , 0.016274 , 0.022532 , 0.014844 , 0.024267 , 0.018409 , 0.013693 , 0.015813 , 0.017564 , 0.014669 , 0.014376 , 0.019103 , 0.016435 , 0.013925 , 0.011057 , 0.012467 , 0.011989 , 0.012329 
 369 , 0.014185 , 0.017598 , 0.018914 , 0.016296 , 0.022586 , 0.014864 , 0.02443 , 0.018307 , 0.013688 , 0.015807 , 0.01745 , 0.014621 , 0.01445 , 0.019035 , 0.016413 , 0.014017 , 0.011085 , 0.012399 , 0.012017 , 0.012349 
 370 , 0.014467 , 0.017874 , 0.019187 , 0.016471 , 0.022882 , 0.015241 , 0.025088 , 0.018486 , 0.013946 , 0.016107 , 0.017727 , 0.014911 , 0.014739 , 0.019137 , 0.016698 , 0.014415 , 0.011389 , 0.012614 , 0.012235 , 0.012454 
 371 , 0.014754 , 0.018153 , 0.019463 , 0.016651 , 0.023185 , 0.015624 , 0.025757 , 0.018669 , 0.01421 , 0.016412 , 0.018011 , 0.015205 , 0.015034 , 0.019244 , 0.016986 , 0.014819 , 0.011699 , 0.012836 , 0.012455 , 0.012561 
 372 , 0.015016 , 0.018398 , 0.019709 , 0.01682 , 0.023468 , 0.015974 , 0.026331 , 0.018844 , 0.014446 , 0.016689 , 0.018267 , 0.01547 , 0.015307 , 0.019345 , 0.017249 , 0.015185 , 0.011972 , 0.013028 , 0.012677 , 0.012667 
 373 , 0.01493 , 0.01818 , 0.019535 , 0.016798 , 0.023424 , 0.015831 , 0.025511 , 0.018864 , 0.014266 , 0.016557 , 0.018135 , 0.015334 , 0.015249 , 0.019323 , 0.017148 , 0.014996 , 0.011739 , 0.012836 , 0.012849 , 0.012727 
 374 , 0.014848 , 0.017964 , 0.019377 , 0.016783 , 0.023385 , 0.015703 , 0.024777 , 0.018884 , 0.014099 , 0.016432 , 0.018006 , 0.015202 , 0.015195 , 0.019308 , 0.017057 , 0.014818 , 0.011517 , 0.012642 , 0.013027 , 0.012787 
