  time  ,28:56 PM,29:20 PM,29:30 PM,29:40 PM,30:07 PM,30:18 PM,30:28 PM,30:38 PM,30:48 PM,31:39 PM,31:48 PM,31:56 PM,32:05 PM,32:15 PM,32:44 PM,32:53 PM,33:00 PM,33:08 PM,33:16 PM,33:39 PM,33:49 PM,34:00 PM,34:09 PM,34:20 PM,29:07 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 351 , 0.020215 , 0.02149 , 0.025393 , 0.027877 , 0.025954 , 0.028912 , 0.024891 , 0.02992 , 0.027365 , 0.01752 , 0.019394 , 0.014248 , 0.020391 , 0.021506 , 0.043045 , 0.033597 , 0.025076 , 0.045872 , 0.033328 , 0.027014 , 0.019778 , 0.027874 , 0.032104 , 0.040145 , 0.025018 
 352 , 0.020694 , 0.021509 , 0.025544 , 0.028061 , 0.026139 , 0.028972 , 0.024975 , 0.030185 , 0.02759 , 0.01751 , 0.019399 , 0.014325 , 0.020458 , 0.021413 , 0.043304 , 0.033994 , 0.025255 , 0.045714 , 0.033373 , 0.027276 , 0.019835 , 0.028 , 0.032355 , 0.040039 , 0.025231 
 353 , 0.020468 , 0.021659 , 0.025519 , 0.027665 , 0.026431 , 0.029125 , 0.025408 , 0.030556 , 0.027937 , 0.017466 , 0.019269 , 0.014075 , 0.020613 , 0.020964 , 0.043334 , 0.034086 , 0.025119 , 0.045574 , 0.033123 , 0.026978 , 0.019876 , 0.028475 , 0.032227 , 0.03941 , 0.025213 
 354 , 0.020257 , 0.021799 , 0.025493 , 0.027294 , 0.026706 , 0.029271 , 0.025814 , 0.030903 , 0.028257 , 0.017424 , 0.019147 , 0.013842 , 0.020759 , 0.020545 , 0.043365 , 0.034171 , 0.024989 , 0.045444 , 0.032889 , 0.026699 , 0.019912 , 0.028914 , 0.032107 , 0.038822 , 0.025189 
 355 , 0.02006 , 0.021929 , 0.025466 , 0.026945 , 0.026966 , 0.029411 , 0.026193 , 0.031227 , 0.028552 , 0.017386 , 0.019032 , 0.013623 , 0.020896 , 0.020152 , 0.043396 , 0.034253 , 0.024867 , 0.045322 , 0.032666 , 0.026436 , 0.019941 , 0.02932 , 0.031994 , 0.038271 , 0.025162 
 356 , 0.019931 , 0.022013 , 0.025844 , 0.027138 , 0.027167 , 0.029663 , 0.025987 , 0.030654 , 0.028182 , 0.017422 , 0.019206 , 0.014093 , 0.020999 , 0.020183 , 0.043289 , 0.033845 , 0.024847 , 0.045816 , 0.03252 , 0.026575 , 0.020387 , 0.029169 , 0.032221 , 0.039113 , 0.024958 
 357 , 0.019812 , 0.022089 , 0.026225 , 0.02735 , 0.027355 , 0.029906 , 0.025762 , 0.030068 , 0.0278 , 0.01746 , 0.019386 , 0.014571 , 0.021095 , 0.020233 , 0.04318 , 0.03344 , 0.024832 , 0.046309 , 0.032384 , 0.026727 , 0.02083 , 0.029 , 0.032451 , 0.039979 , 0.024756 
 358 , 0.019699 , 0.022161 , 0.02659 , 0.027551 , 0.027533 , 0.030135 , 0.025549 , 0.029511 , 0.02744 , 0.017496 , 0.019555 , 0.015023 , 0.021186 , 0.020279 , 0.043076 , 0.033061 , 0.024816 , 0.046771 , 0.032256 , 0.026871 , 0.02125 , 0.028841 , 0.032668 , 0.040799 , 0.024564 
 359 , 0.019795 , 0.022119 , 0.026607 , 0.027507 , 0.027525 , 0.03016 , 0.025304 , 0.029391 , 0.027176 , 0.017506 , 0.019667 , 0.015006 , 0.021147 , 0.020265 , 0.042782 , 0.032593 , 0.024625 , 0.046582 , 0.031841 , 0.026878 , 0.021305 , 0.028828 , 0.032613 , 0.04106 , 0.024748 
 360 , 0.020033 , 0.022002 , 0.026386 , 0.027295 , 0.02739 , 0.030044 , 0.025045 , 0.02957 , 0.026983 , 0.0175 , 0.019739 , 0.01467 , 0.021021 , 0.020209 , 0.042365 , 0.032075 , 0.024319 , 0.045952 , 0.031242 , 0.026792 , 0.021109 , 0.028921 , 0.032373 , 0.040932 , 0.025188 
