  time  ,46:53 PM,47:11 PM,47:20 PM,47:37 PM,48:02 PM,05:31 PM,06:13 PM,06:41 PM,07:12 PM,07:54 PM,09:38 PM,09:57 PM,10:17 PM,10:51 PM,11:27 PM,13:17 PM,13:44 PM,14:14 PM,14:38 PM,15:01 PM,16:06 PM,16:44 PM,17:07 PM,17:33 PM,17:59 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 342 , 0.020701 , 0.020102 , 0.020762 , 0.017823 , 0.026621 , 0.02398 , 0.021197 , 0.019146 , 0.022104 , 0.020836 , 0.02071 , 0.024258 , 0.017921 , 0.029658 , 0.015847 , 0.018773 , 0.025266 , 0.017863 , 0.018712 , 0.022386 , 0.021409 , 0.020287 , 0.020273 , 0.026297 , 0.020745 
 343 , 0.022791 , 0.021958 , 0.022672 , 0.019774 , 0.02858 , 0.025866 , 0.023024 , 0.020956 , 0.023992 , 0.022588 , 0.02304 , 0.025861 , 0.019865 , 0.031856 , 0.017847 , 0.020693 , 0.027349 , 0.019908 , 0.020489 , 0.023969 , 0.023033 , 0.022185 , 0.021799 , 0.028327 , 0.022338 
 344 , 0.024608 , 0.02362 , 0.024365 , 0.021448 , 0.03031 , 0.027494 , 0.024631 , 0.02255 , 0.025625 , 0.024122 , 0.025057 , 0.027246 , 0.021555 , 0.033701 , 0.019617 , 0.022365 , 0.029163 , 0.021686 , 0.022007 , 0.025337 , 0.024432 , 0.023841 , 0.023088 , 0.030102 , 0.023716 
 345 , 0.026019 , 0.024918 , 0.02566 , 0.022687 , 0.031674 , 0.028748 , 0.025912 , 0.023785 , 0.026852 , 0.025312 , 0.0266 , 0.02829 , 0.022872 , 0.035109 , 0.020977 , 0.023665 , 0.030559 , 0.023053 , 0.023135 , 0.026389 , 0.02548 , 0.025131 , 0.024033 , 0.031427 , 0.02477 
 346 , 0.024969 , 0.023669 , 0.024146 , 0.021124 , 0.030681 , 0.027773 , 0.025231 , 0.02266 , 0.025469 , 0.024344 , 0.025182 , 0.027165 , 0.021966 , 0.034225 , 0.019499 , 0.022695 , 0.02933 , 0.021872 , 0.021852 , 0.025495 , 0.024294 , 0.024216 , 0.02289 , 0.0297 , 0.023828 
 347 , 0.024046 , 0.022571 , 0.022816 , 0.019748 , 0.029811 , 0.026916 , 0.024632 , 0.02167 , 0.024252 , 0.023491 , 0.023933 , 0.026176 , 0.02117 , 0.033457 , 0.018199 , 0.021842 , 0.028249 , 0.020833 , 0.020724 , 0.024712 , 0.023251 , 0.023411 , 0.021884 , 0.028184 , 0.023 
 348 , 0.023229 , 0.021598 , 0.021639 , 0.018531 , 0.029042 , 0.026157 , 0.024102 , 0.020792 , 0.023174 , 0.022733 , 0.022825 , 0.025297 , 0.020467 , 0.032785 , 0.017049 , 0.021086 , 0.027293 , 0.019912 , 0.019723 , 0.02402 , 0.022326 , 0.022696 , 0.020993 , 0.026844 , 0.022267 
 349 , 0.022837 , 0.021358 , 0.021439 , 0.018453 , 0.028885 , 0.02594 , 0.023869 , 0.020795 , 0.023196 , 0.022454 , 0.02249 , 0.025032 , 0.020249 , 0.032655 , 0.016946 , 0.020997 , 0.027165 , 0.019662 , 0.019664 , 0.023864 , 0.022048 , 0.022599 , 0.021002 , 0.026621 , 0.02212 
 350 , 0.022623 , 0.021398 , 0.021597 , 0.018794 , 0.028954 , 0.025924 , 0.023752 , 0.021111 , 0.023609 , 0.022364 , 0.022449 , 0.025004 , 0.020216 , 0.032715 , 0.017227 , 0.021155 , 0.027338 , 0.019667 , 0.019949 , 0.023907 , 0.022022 , 0.022737 , 0.021339 , 0.026815 , 0.02219 
 351 , 0.022432 , 0.021436 , 0.021731 , 0.019105 , 0.029008 , 0.025897 , 0.023639 , 0.021389 , 0.023979 , 0.022279 , 0.022403 , 0.024975 , 0.020179 , 0.03275 , 0.017477 , 0.021297 , 0.027485 , 0.019667 , 0.020205 , 0.023941 , 0.021997 , 0.022871 , 0.021646 , 0.026995 , 0.022248 
