SHB2_00005.ref_SHB2_DARK.spu,SHB2_00004.ref_SHB2_DARK.spu,
Wavelength,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_NP.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_CT1.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_N.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu,SHB2_00025_B2_P.spu
  (nm),7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1
  time  ,11:19 AM,12:14 AM,12:44 AM,13:16 AM,13:47 AM,15:23 AM,15:59 AM,16:23 AM,16:56 AM,17:22 AM,18:17 AM,19:20 AM,20:04 AM,20:44 AM,21:10 AM,23:21 AM,23:38 AM,23:56 AM,24:17 AM,24:34 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 335 , 0.024262 , 0.020958 , 0.024127 , 0.01186 , 0.025295 , 0.018211 , 0.02805 , 0.027947 , 0.023338 , 0.018001 , 0.022181 , 0.013644 , 0.020588 , 0.023469 , 0.025926 , 0.026869 , 0.035105 , 0.03452 , 0.035333 , 0.033885 
 336 , 0.023589 , 0.022284 , 0.024977 , 0.012165 , 0.026321 , 0.018785 , 0.028929 , 0.028776 , 0.023648 , 0.01968 , 0.022827 , 0.014437 , 0.022007 , 0.023944 , 0.026468 , 0.026949 , 0.03529 , 0.034892 , 0.03656 , 0.034925 
 337 , 0.023016 , 0.023426 , 0.025707 , 0.012421 , 0.027206 , 0.019288 , 0.029699 , 0.029489 , 0.023897 , 0.021114 , 0.023374 , 0.015121 , 0.023203 , 0.024372 , 0.026913 , 0.026996 , 0.035451 , 0.03524 , 0.037604 , 0.035792 
 338 , 0.022526 , 0.024418 , 0.026344 , 0.01264 , 0.027974 , 0.019735 , 0.030381 , 0.030109 , 0.024098 , 0.022351 , 0.023841 , 0.015719 , 0.024222 , 0.024764 , 0.027282 , 0.027017 , 0.035593 , 0.035567 , 0.0385 , 0.036522 
 339 , 0.021655 , 0.023933 , 0.025908 , 0.01298 , 0.027305 , 0.019207 , 0.029804 , 0.029325 , 0.02403 , 0.021321 , 0.023978 , 0.015342 , 0.02327 , 0.024109 , 0.027048 , 0.026141 , 0.035388 , 0.034921 , 0.037538 , 0.035742 
 340 , 0.02082 , 0.02325 , 0.025338 , 0.013308 , 0.026464 , 0.018571 , 0.029078 , 0.028389 , 0.023927 , 0.020014 , 0.024052 , 0.014837 , 0.022079 , 0.023351 , 0.02674 , 0.025195 , 0.035143 , 0.034182 , 0.036363 , 0.034782 
 341 , 0.020084 , 0.022649 , 0.024835 , 0.013604 , 0.025723 , 0.018012 , 0.028434 , 0.027562 , 0.023846 , 0.018862 , 0.024129 , 0.014395 , 0.021029 , 0.022681 , 0.026486 , 0.024363 , 0.034921 , 0.033528 , 0.035328 , 0.033944 
 342 , 0.020045 , 0.022333 , 0.024321 , 0.013843 , 0.025481 , 0.018029 , 0.028191 , 0.02685 , 0.023737 , 0.018547 , 0.023822 , 0.01432 , 0.02028 , 0.022252 , 0.026175 , 0.023842 , 0.034811 , 0.033065 , 0.034974 , 0.033594 
 343 , 0.020711 , 0.022302 , 0.023796 , 0.014024 , 0.025745 , 0.018637 , 0.028348 , 0.026242 , 0.023595 , 0.019079 , 0.023121 , 0.01462 , 0.019833 , 0.022059 , 0.025804 , 0.023635 , 0.034819 , 0.032792 , 0.035308 , 0.03374 
 344 , 0.021312 , 0.022265 , 0.023328 , 0.014182 , 0.025995 , 0.019187 , 0.028483 , 0.025707 , 0.023468 , 0.019556 , 0.022501 , 0.014887 , 0.019438 , 0.021882 , 0.025472 , 0.023454 , 0.034846 , 0.032554 , 0.035609 , 0.033873 
 345 , 0.021818 , 0.02226 , 0.023015 , 0.01432 , 0.026227 , 0.019651 , 0.028575 , 0.025353 , 0.023416 , 0.019979 , 0.022015 , 0.015134 , 0.019179 , 0.021779 , 0.025185 , 0.023365 , 0.034903 , 0.032395 , 0.035859 , 0.034017 
 346 , 0.021814 , 0.02266 , 0.024018 , 0.014473 , 0.026495 , 0.019656 , 0.028364 , 0.026512 , 0.0241 , 0.020281 , 0.02238 , 0.015465 , 0.020102 , 0.022367 , 0.025094 , 0.024177 , 0.035227 , 0.032889 , 0.035827 , 0.03443 
 347 , 0.021799 , 0.02301 , 0.024915 , 0.014588 , 0.026692 , 0.01965 , 0.028163 , 0.027547 , 0.024715 , 0.020544 , 0.022693 , 0.015738 , 0.020911 , 0.022883 , 0.024998 , 0.024907 , 0.035501 , 0.033305 , 0.035792 , 0.0348 
 348 , 0.021776 , 0.023318 , 0.025725 , 0.014671 , 0.026832 , 0.019637 , 0.02797 , 0.028481 , 0.025273 , 0.020775 , 0.022963 , 0.015962 , 0.021625 , 0.02334 , 0.024898 , 0.025567 , 0.035734 , 0.033656 , 0.035754 , 0.035136 
 349 , 0.021365 , 0.022727 , 0.025356 , 0.014169 , 0.02616 , 0.018833 , 0.027378 , 0.027947 , 0.024443 , 0.020022 , 0.022236 , 0.014977 , 0.020977 , 0.022682 , 0.024419 , 0.024904 , 0.035146 , 0.03311 , 0.035188 , 0.034372 
 350 , 0.020846 , 0.021854 , 0.024587 , 0.01349 , 0.025245 , 0.017803 , 0.026686 , 0.026921 , 0.023174 , 0.018967 , 0.021204 , 0.01363 , 0.019888 , 0.021668 , 0.023838 , 0.023813 , 0.034302 , 0.032281 , 0.034473 , 0.033265 
 351 , 0.020385 , 0.021076 , 0.023904 , 0.012882 , 0.02443 , 0.016886 , 0.02607 , 0.026005 , 0.022044 , 0.018027 , 0.020284 , 0.012432 , 0.018919 , 0.020762 , 0.023321 , 0.022841 , 0.033548 , 0.031539 , 0.033836 , 0.032276 
 352 , 0.020132 , 0.020785 , 0.0236 , 0.012691 , 0.024167 , 0.016547 , 0.025865 , 0.025649 , 0.021574 , 0.01754 , 0.01979 , 0.011906 , 0.018469 , 0.020386 , 0.023134 , 0.022345 , 0.033178 , 0.031341 , 0.03365 , 0.031944 
 353 , 0.020232 , 0.02136 , 0.023958 , 0.013258 , 0.024897 , 0.017232 , 0.026393 , 0.026281 , 0.022254 , 0.017829 , 0.020015 , 0.012556 , 0.018913 , 0.020947 , 0.023533 , 0.022658 , 0.033475 , 0.032126 , 0.034273 , 0.032786 
