  time  ,43:20 PM,43:36 PM,43:46 PM,43:59 PM,44:08 PM,45:32 PM,45:47 PM,45:59 PM,46:13 PM,46:25 PM,47:26 PM,47:37 PM,47:47 PM,47:56 PM,48:06 PM,48:43 PM,48:54 PM,49:04 PM,49:14 PM,49:26 PM,51:21 PM,51:33 PM,51:46 PM,51:59 PM,52:12 PM,53:19 PM,53:29 PM,53:40 PM,53:51 PM,54:04 PM,54:33 PM,54:43 PM,55:01 PM,55:15 PM,55:27 PM,56:16 PM,56:26 PM,56:36 PM,56:50 PM,57:00 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 336 , 0.015447 , 0.016163 , 0.013329 , 0.015859 , 0.017214 , 0.03442 , 0.029858 , 0.027982 , 0.032349 , 0.029716 , 0.018088 , 0.019696 , 0.019813 , 0.031208 , 0.026567 , 0.020922 , 0.024614 , 0.027846 , 0.032644 , 0.041297 , 0.015249 , 0.012283 , 0.013648 , 0.014652 , 0.018472 , 0.021329 , 0.017755 , 0.02057 , 0.02294 , 0.025974 , 0.021407 , 0.02212 , 0.018443 , 0.018155 , 0.01615 , 0.022523 , 0.022388 , 0.026875 , 0.019909 , 0.019495 
 337 , 0.015479 , 0.015459 , 0.013174 , 0.015423 , 0.016282 , 0.034214 , 0.029902 , 0.027297 , 0.031973 , 0.029213 , 0.017968 , 0.018871 , 0.019077 , 0.030349 , 0.025884 , 0.020066 , 0.02375 , 0.027367 , 0.0318 , 0.041228 , 0.014954 , 0.011915 , 0.012892 , 0.014537 , 0.017526 , 0.020406 , 0.018077 , 0.020123 , 0.022473 , 0.025595 , 0.020434 , 0.021846 , 0.017858 , 0.018695 , 0.016271 , 0.022516 , 0.022155 , 0.026294 , 0.019985 , 0.018115 
 338 , 0.015515 , 0.014843 , 0.01304 , 0.015045 , 0.015467 , 0.034048 , 0.029959 , 0.026707 , 0.031664 , 0.028776 , 0.017869 , 0.018149 , 0.018437 , 0.029607 , 0.025283 , 0.019317 , 0.022994 , 0.026973 , 0.031058 , 0.041178 , 0.014695 , 0.011595 , 0.012229 , 0.014445 , 0.016696 , 0.019598 , 0.018367 , 0.01974 , 0.022079 , 0.025274 , 0.019582 , 0.021622 , 0.017347 , 0.019185 , 0.016374 , 0.022519 , 0.021959 , 0.025799 , 0.020072 , 0.016902 
 339 , 0.014906 , 0.015454 , 0.013055 , 0.014968 , 0.015595 , 0.033847 , 0.029985 , 0.026653 , 0.031286 , 0.028795 , 0.017775 , 0.018421 , 0.018374 , 0.02937 , 0.025011 , 0.019613 , 0.022667 , 0.026674 , 0.031385 , 0.040726 , 0.014046 , 0.011298 , 0.012592 , 0.014593 , 0.016985 , 0.019791 , 0.018321 , 0.019954 , 0.022266 , 0.025435 , 0.019785 , 0.021682 , 0.01763 , 0.019208 , 0.016466 , 0.022233 , 0.022003 , 0.025401 , 0.019544 , 0.017732 
 340 , 0.014258 , 0.016204 , 0.013095 , 0.014939 , 0.015865 , 0.033659 , 0.03 , 0.02669 , 0.030928 , 0.028886 , 0.017683 , 0.018834 , 0.018407 , 0.029229 , 0.024814 , 0.020041 , 0.022439 , 0.026413 , 0.031852 , 0.040238 , 0.013401 , 0.011035 , 0.013069 , 0.014761 , 0.017422 , 0.020133 , 0.018226 , 0.020239 , 0.022522 , 0.025647 , 0.020145 , 0.021793 , 0.01801 , 0.019154 , 0.016543 , 0.021922 , 0.022087 , 0.025062 , 0.018971 , 0.018833 
 341 , 0.013685 , 0.016858 , 0.013133 , 0.014895 , 0.016095 , 0.033484 , 0.030002 , 0.026706 , 0.030586 , 0.028963 , 0.017588 , 0.019202 , 0.018423 , 0.029075 , 0.024627 , 0.020403 , 0.022229 , 0.026151 , 0.03226 , 0.039781 , 0.012832 , 0.010796 , 0.013459 , 0.014899 , 0.017788 , 0.020431 , 0.018145 , 0.020475 , 0.022723 , 0.025807 , 0.020463 , 0.021897 , 0.018333 , 0.019105 , 0.016607 , 0.021634 , 0.022164 , 0.024751 , 0.018463 , 0.019816 
 342 , 0.013367 , 0.017207 , 0.013409 , 0.014986 , 0.016435 , 0.033822 , 0.030375 , 0.026898 , 0.03079 , 0.029238 , 0.017733 , 0.019614 , 0.018728 , 0.029138 , 0.02466 , 0.020512 , 0.022566 , 0.026545 , 0.032628 , 0.040077 , 0.012993 , 0.0111 , 0.013826 , 0.015075 , 0.017962 , 0.020776 , 0.018124 , 0.02076 , 0.023061 , 0.026169 , 0.020654 , 0.022339 , 0.018658 , 0.019126 , 0.016717 , 0.02172 , 0.022401 , 0.025077 , 0.01863 , 0.020476 
 343 , 0.013301 , 0.017253 , 0.013931 , 0.015222 , 0.016898 , 0.034699 , 0.031141 , 0.027279 , 0.031565 , 0.029719 , 0.018136 , 0.02008 , 0.019343 , 0.029437 , 0.024924 , 0.020374 , 0.023475 , 0.027632 , 0.032958 , 0.04115 , 0.013896 , 0.011972 , 0.014196 , 0.015292 , 0.017955 , 0.021174 , 0.018165 , 0.021108 , 0.023555 , 0.026756 , 0.020719 , 0.023135 , 0.018996 , 0.019215 , 0.016881 , 0.022198 , 0.022806 , 0.026064 , 0.019491 , 0.020805 
 344 , 0.013249 , 0.0173 , 0.0144 , 0.015431 , 0.017324 , 0.035503 , 0.031835 , 0.027617 , 0.03227 , 0.030142 , 0.018511 , 0.020505 , 0.019905 , 0.029711 , 0.025167 , 0.020244 , 0.024304 , 0.028619 , 0.033241 , 0.042106 , 0.014697 , 0.012766 , 0.01454 , 0.015476 , 0.017946 , 0.021533 , 0.018201 , 0.021426 , 0.024003 , 0.027288 , 0.020775 , 0.023857 , 0.019298 , 0.019282 , 0.017034 , 0.022636 , 0.023172 , 0.026951 , 0.02027 , 0.021088 
 345 , 0.013242 , 0.017348 , 0.014805 , 0.015634 , 0.017633 , 0.036155 , 0.032394 , 0.02787 , 0.03284 , 0.030476 , 0.018789 , 0.020822 , 0.020359 , 0.029916 , 0.025344 , 0.020134 , 0.02501 , 0.029388 , 0.033459 , 0.042869 , 0.015334 , 0.013425 , 0.014824 , 0.015614 , 0.017915 , 0.021786 , 0.018209 , 0.021674 , 0.02439 , 0.027731 , 0.0208 , 0.024409 , 0.019552 , 0.019324 , 0.01717 , 0.023026 , 0.02347 , 0.027653 , 0.020882 , 0.021271 
 346 , 0.013709 , 0.017448 , 0.014967 , 0.016004 , 0.016941 , 0.035691 , 0.032049 , 0.027486 , 0.03248 , 0.030258 , 0.01822 , 0.02027 , 0.020073 , 0.029561 , 0.024965 , 0.020133 , 0.025065 , 0.028504 , 0.033301 , 0.042429 , 0.014926 , 0.013201 , 0.014659 , 0.015487 , 0.017618 , 0.021194 , 0.017921 , 0.021404 , 0.024513 , 0.027642 , 0.020547 , 0.023717 , 0.019587 , 0.019219 , 0.017243 , 0.02322 , 0.023328 , 0.027137 , 0.020333 , 0.020675 
 347 , 0.014096 , 0.017524 , 0.015099 , 0.016345 , 0.01633 , 0.035273 , 0.031734 , 0.027143 , 0.032156 , 0.030061 , 0.017717 , 0.019778 , 0.019811 , 0.029237 , 0.024622 , 0.020137 , 0.0251 , 0.027717 , 0.033161 , 0.042035 , 0.014565 , 0.012999 , 0.014511 , 0.015371 , 0.017359 , 0.020664 , 0.017665 , 0.021155 , 0.024617 , 0.027558 , 0.020321 , 0.023095 , 0.019612 , 0.019126 , 0.017298 , 0.023389 , 0.023198 , 0.026668 , 0.019838 , 0.020144 
 348 , 0.014418 , 0.017581 , 0.015207 , 0.016661 , 0.015788 , 0.034893 , 0.031444 , 0.026836 , 0.031864 , 0.029881 , 0.017266 , 0.019338 , 0.01957 , 0.028938 , 0.02431 , 0.020146 , 0.025121 , 0.027012 , 0.033035 , 0.041678 , 0.014245 , 0.012815 , 0.014378 , 0.015266 , 0.017129 , 0.020186 , 0.017434 , 0.020925 , 0.024704 , 0.02748 , 0.020117 , 0.022531 , 0.019631 , 0.019042 , 0.017339 , 0.023538 , 0.023078 , 0.026239 , 0.01939 , 0.019667 
