JUL13WSG100005.spu,JUL13WSG100004.spu,JUL13WSG100003.spu,
Wavelength,JUL13WSG100006.spu,JUL13WSG100007.spu,JUL13WSG100008.spu,JUL13WSG100009.spu,JUL13WSG100010.spu,JUL13WSG100011.spu,JUL13WSG100012.spu,JUL13WSG100013.spu,JUL13WSG100014.spu,JUL13WSG100015.spu,JUL13WSG100016.spu,JUL13WSG100017.spu,JUL13WSG100018.spu,JUL13WSG100019.spu,JUL13WSG100020.spu,JUL13WSG100021.spu,JUL13WSG100022.spu,JUL13WSG100023.spu,JUL13WSG100024.spu,JUL13WSG100025.spu,JUL13WSG100026.spu,JUL13WSG100027.spu,JUL13WSG100028.spu,JUL13WSG100029.spu,JUL13WSG100030.spu
  (nm),7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 
  time  ,:53:32 A,:53:46 A,:53:52 A,:54:01 A,:54:07 A,:54:37 A,:54:45 A,:54:54 A,:55:01 A,:55:10 A,:56:00 A,:56:06 A,:56:13 A,:56:20 A,:56:30 A,:57:06 A,:57:15 A,:57:20 A,:57:26 A,:57:32 A,:58:05 A,:58:12 A,:58:17 A,:58:23 A,:58:29 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 365 , 0.004828 , 0.014401 , 0.010786 , 0.011544 , 0.011769 , 0.018965 , 0.020745 , 0.012862 , 0.015337 , 0.009062 , 0.00691 , 0.007691 , 0.009059 , 0.008869 , 0.009111 , 0.015887 , 0.016147 , 0.014062 , 0.012216 , 0.020358 , 0.0055 , 0.008108 , 0.007062 , 0.00889 , 0.007239 
 366 , 0.00489 , 0.014179 , 0.010457 , 0.011747 , 0.012055 , 0.019424 , 0.021027 , 0.013181 , 0.014938 , 0.009314 , 0.007008 , 0.00768 , 0.008976 , 0.009142 , 0.009357 , 0.016592 , 0.016396 , 0.014382 , 0.012505 , 0.020468 , 0.00546 , 0.007967 , 0.006907 , 0.009033 , 0.007202 
 367 , 0.004926 , 0.01375 , 0.010038 , 0.01187 , 0.012413 , 0.019943 , 0.021296 , 0.013462 , 0.014358 , 0.009511 , 0.007084 , 0.007599 , 0.0088 , 0.009416 , 0.00959 , 0.017398 , 0.016552 , 0.014623 , 0.012822 , 0.020464 , 0.005345 , 0.007687 , 0.006661 , 0.009104 , 0.007069 
 368 , 0.004957 , 0.013368 , 0.009643 , 0.011982 , 0.012761 , 0.020445 , 0.021555 , 0.013732 , 0.013838 , 0.009701 , 0.007158 , 0.007511 , 0.008638 , 0.009681 , 0.009815 , 0.018203 , 0.016698 , 0.014851 , 0.01313 , 0.020459 , 0.005238 , 0.007432 , 0.006438 , 0.009174 , 0.006946 
 369 , 0.005036 , 0.013073 , 0.009469 , 0.012137 , 0.012731 , 0.02055 , 0.021851 , 0.013843 , 0.013722 , 0.009721 , 0.007175 , 0.007428 , 0.008678 , 0.009829 , 0.009931 , 0.01842 , 0.016647 , 0.015 , 0.013204 , 0.020317 , 0.005148 , 0.007249 , 0.006276 , 0.009186 , 0.006815 
 370 , 0.005176 , 0.012866 , 0.009548 , 0.012344 , 0.012255 , 0.020185 , 0.022194 , 0.013763 , 0.014064 , 0.009538 , 0.007135 , 0.007357 , 0.008957 , 0.009835 , 0.009913 , 0.017916 , 0.016376 , 0.015057 , 0.013008 , 0.020025 , 0.005072 , 0.007149 , 0.006175 , 0.009129 , 0.006669 
 371 , 0.005321 , 0.012669 , 0.009631 , 0.012539 , 0.011802 , 0.01985 , 0.022498 , 0.013691 , 0.014388 , 0.009356 , 0.007115 , 0.007299 , 0.009234 , 0.009833 , 0.009889 , 0.017458 , 0.016141 , 0.015129 , 0.012846 , 0.019766 , 0.004995 , 0.007066 , 0.006077 , 0.009065 , 0.006526 
 372 , 0.005449 , 0.012514 , 0.009712 , 0.012678 , 0.011406 , 0.019564 , 0.022734 , 0.01363 , 0.014652 , 0.009168 , 0.007086 , 0.007234 , 0.009472 , 0.009803 , 0.009852 , 0.017054 , 0.015947 , 0.015173 , 0.01271 , 0.019547 , 0.004903 , 0.007 , 0.005994 , 0.008997 , 0.006395 
 373 , 0.005335 , 0.012744 , 0.009722 , 0.012106 , 0.011518 , 0.019581 , 0.022304 , 0.013612 , 0.014187 , 0.008821 , 0.006808 , 0.007 , 0.009232 , 0.009465 , 0.009692 , 0.016816 , 0.015974 , 0.014751 , 0.012619 , 0.019558 , 0.004639 , 0.007033 , 0.00603 , 0.00888 , 0.006368 
 374 , 0.005228 , 0.012995 , 0.00974 , 0.011659 , 0.01162 , 0.019637 , 0.021982 , 0.01361 , 0.01382 , 0.008549 , 0.006526 , 0.006766 , 0.009002 , 0.009169 , 0.009562 , 0.016667 , 0.016002 , 0.01437 , 0.012542 , 0.019571 , 0.004407 , 0.007048 , 0.006086 , 0.008788 , 0.006355 
