JUL12WSG200005.spu,JUL12WSG200004.spu,
Wavelength,JUL12WSG200006.spu,JUL12WSG200007.spu,JUL12WSG200008.spu,JUL12WSG200009.spu,JUL12WSG200010.spu,JUL12WSG200011.spu,JUL12WSG200012.spu,JUL12WSG200013.spu,JUL12WSG200014.spu,JUL12WSG200015.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,:01:52 A,:02:00 A,:02:08 A,:02:15 A,:02:23 A,:03:28 A,:03:36 A,:03:44 A,:03:53 A,:04:01 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,
 378 , 0.005334 , 0.008569 , 0.008596 , 0.009104 , 0.006699 , 0.019715 , 0.011311 , 0.012783 , 0.016036 , 0.011883 
 379 , 0.005221 , 0.008523 , 0.008576 , 0.009049 , 0.006776 , 0.019828 , 0.011459 , 0.012839 , 0.016244 , 0.012005 
 380 , 0.005285 , 0.008529 , 0.008461 , 0.009061 , 0.006751 , 0.020112 , 0.011492 , 0.012783 , 0.016549 , 0.012086 
 381 , 0.005367 , 0.008562 , 0.008388 , 0.009101 , 0.006746 , 0.020368 , 0.011517 , 0.012745 , 0.016814 , 0.012167 
 382 , 0.005459 , 0.00861 , 0.008336 , 0.009158 , 0.006751 , 0.020611 , 0.011536 , 0.012715 , 0.017061 , 0.012247 
 383 , 0.005446 , 0.008604 , 0.008395 , 0.009278 , 0.006822 , 0.020907 , 0.011671 , 0.012845 , 0.017251 , 0.012345 
 384 , 0.005438 , 0.008611 , 0.008466 , 0.009426 , 0.0069 , 0.021179 , 0.011813 , 0.012985 , 0.017429 , 0.012434 
 385 , 0.005436 , 0.008628 , 0.008542 , 0.009589 , 0.006978 , 0.021436 , 0.011955 , 0.013124 , 0.017603 , 0.012517 
 386 , 0.005515 , 0.008723 , 0.008567 , 0.009646 , 0.007066 , 0.021622 , 0.012182 , 0.013192 , 0.017793 , 0.012774 
 387 , 0.005646 , 0.008866 , 0.008558 , 0.009628 , 0.007156 , 0.021755 , 0.012458 , 0.01321 , 0.017988 , 0.013142 
 388 , 0.005771 , 0.009001 , 0.008551 , 0.009608 , 0.007243 , 0.021885 , 0.012719 , 0.013231 , 0.018176 , 0.013491 
 389 , 0.005942 , 0.009165 , 0.008595 , 0.009673 , 0.007342 , 0.022105 , 0.012955 , 0.013294 , 0.018386 , 0.01379 
 390 , 0.006293 , 0.00944 , 0.008808 , 0.01003 , 0.007495 , 0.022644 , 0.013132 , 0.013512 , 0.018684 , 0.013956 
 391 , 0.006628 , 0.009704 , 0.009011 , 0.01037 , 0.007642 , 0.023163 , 0.0133 , 0.01372 , 0.018969 , 0.014116 
 392 , 0.006951 , 0.009958 , 0.009206 , 0.010699 , 0.007783 , 0.023661 , 0.013462 , 0.013917 , 0.019242 , 0.014268 
 393 , 0.007176 , 0.010385 , 0.009692 , 0.011047 , 0.008104 , 0.024074 , 0.013885 , 0.014234 , 0.019674 , 0.0146 
 394 , 0.007374 , 0.010812 , 0.010189 , 0.011373 , 0.008432 , 0.024441 , 0.014324 , 0.014546 , 0.020097 , 0.014936 
 395 , 0.007554 , 0.011205 , 0.01065 , 0.011673 , 0.008735 , 0.024779 , 0.014725 , 0.014834 , 0.02049 , 0.015247 
 396 , 0.007883 , 0.011586 , 0.011063 , 0.012042 , 0.009107 , 0.02519 , 0.015107 , 0.01515 , 0.020947 , 0.015655 
 397 , 0.008328 , 0.011939 , 0.011418 , 0.012454 , 0.009522 , 0.025645 , 0.015447 , 0.015475 , 0.021443 , 0.016132 
 398 , 0.008715 , 0.012245 , 0.011725 , 0.012809 , 0.009884 , 0.026037 , 0.015746 , 0.015756 , 0.021873 , 0.016544 
 399 , 0.009048 , 0.012508 , 0.011993 , 0.01312 , 0.010201 , 0.02639 , 0.016017 , 0.01602 , 0.022253 , 0.016913 
 400 , 0.009287 , 0.012719 , 0.012253 , 0.013381 , 0.010472 , 0.026776 , 0.016364 , 0.016364 , 0.022595 , 0.017298 
 401 , 0.009501 , 0.012904 , 0.012479 , 0.01361 , 0.010711 , 0.027114 , 0.016667 , 0.016671 , 0.022898 , 0.017637 
 402 , 0.00969 , 0.013069 , 0.012685 , 0.013818 , 0.010925 , 0.027416 , 0.016938 , 0.016945 , 0.023169 , 0.017939 
 403 , 0.009883 , 0.013301 , 0.012941 , 0.014078 , 0.01117 , 0.027771 , 0.017236 , 0.017161 , 0.023502 , 0.018227 
 404 , 0.010072 , 0.013543 , 0.013203 , 0.014347 , 0.011415 , 0.028126 , 0.017526 , 0.017352 , 0.023843 , 0.0185 
 405 , 0.010251 , 0.013773 , 0.01345 , 0.014595 , 0.011643 , 0.02846 , 0.017794 , 0.01753 , 0.024163 , 0.018753 
 406 , 0.010434 , 0.01398 , 0.013683 , 0.014836 , 0.011863 , 0.028787 , 0.018044 , 0.017739 , 0.024481 , 0.019022 
 407 , 0.010639 , 0.014167 , 0.0139 , 0.015067 , 0.012083 , 0.029125 , 0.018264 , 0.018001 , 0.02481 , 0.019325 
 408 , 0.010831 , 0.014343 , 0.014111 , 0.015286 , 0.012291 , 0.029446 , 0.018474 , 0.01825 , 0.025121 , 0.019614 
 409 , 0.011016 , 0.014512 , 0.014308 , 0.015494 , 0.012486 , 0.029749 , 0.018671 , 0.018483 , 0.025413 , 0.019887 
 410 , 0.011242 , 0.014863 , 0.01455 , 0.015795 , 0.012755 , 0.030128 , 0.018991 , 0.018635 , 0.025784 , 0.020202 
 411 , 0.011455 , 0.015195 , 0.014777 , 0.01608 , 0.013011 , 0.030491 , 0.019293 , 0.018774 , 0.026132 , 0.020501 
 412 , 0.011658 , 0.015511 , 0.014993 , 0.016348 , 0.013249 , 0.03083 , 0.019581 , 0.018909 , 0.026458 , 0.020783 
 413 , 0.011875 , 0.015806 , 0.015284 , 0.01663 , 0.013542 , 0.031236 , 0.019844 , 0.019151 , 0.026834 , 0.021099 
 414 , 0.012092 , 0.016084 , 0.015606 , 0.01691 , 0.013851 , 0.03167 , 0.020092 , 0.01945 , 0.027223 , 0.02142 
 415 , 0.012298 , 0.016351 , 0.015917 , 0.017178 , 0.014146 , 0.032083 , 0.020327 , 0.019733 , 0.027597 , 0.021729 
 416 , 0.012513 , 0.016624 , 0.016232 , 0.01745 , 0.014435 , 0.03252 , 0.02059 , 0.019999 , 0.027992 , 0.022047 
 417 , 0.012781 , 0.016934 , 0.016591 , 0.017754 , 0.014723 , 0.033056 , 0.020944 , 0.020246 , 0.028474 , 0.022425 
 418 , 0.013036 , 0.017237 , 0.016937 , 0.018047 , 0.015001 , 0.033574 , 0.021287 , 0.020485 , 0.028941 , 0.022791 
 419 , 0.013286 , 0.017527 , 0.017274 , 0.01833 , 0.01527 , 0.034072 , 0.021615 , 0.020716 , 0.029392 , 0.023147 
 420 , 0.013533 , 0.017862 , 0.017574 , 0.018705 , 0.015598 , 0.034502 , 0.021937 , 0.020994 , 0.029794 , 0.02348 
 421 , 0.013778 , 0.018192 , 0.017865 , 0.019086 , 0.015926 , 0.034916 , 0.022246 , 0.021273 , 0.030186 , 0.023803 
 422 , 0.014018 , 0.018514 , 0.018151 , 0.019456 , 0.016247 , 0.035319 , 0.022546 , 0.021546 , 0.030569 , 0.024117 
 423 , 0.014222 , 0.018804 , 0.018472 , 0.019764 , 0.016555 , 0.035746 , 0.022841 , 0.021796 , 0.03096 , 0.024452 
 424 , 0.014397 , 0.019074 , 0.01883 , 0.020018 , 0.016864 , 0.036198 , 0.02313 , 0.022028 , 0.031359 , 0.02481 
 425 , 0.014573 , 0.01934 , 0.019186 , 0.020273 , 0.01717 , 0.036648 , 0.023411 , 0.022255 , 0.031756 , 0.025161 
 426 , 0.014745 , 0.019613 , 0.019544 , 0.020547 , 0.017482 , 0.037103 , 0.023707 , 0.022501 , 0.032149 , 0.025509 
 427 , 0.014911 , 0.019942 , 0.019916 , 0.020915 , 0.01782 , 0.037601 , 0.024062 , 0.022825 , 0.032557 , 0.025837 
 428 , 0.015073 , 0.020264 , 0.020291 , 0.021276 , 0.018159 , 0.038092 , 0.02441 , 0.02315 , 0.032962 , 0.026162 
 429 , 0.01524 , 0.020588 , 0.020663 , 0.021639 , 0.018492 , 0.038581 , 0.024759 , 0.023468 , 0.033368 , 0.026488 
 430 , 0.015601 , 0.021085 , 0.021249 , 0.022192 , 0.019029 , 0.039436 , 0.025293 , 0.024004 , 0.034121 , 0.027122 
 431 , 0.016006 , 0.021619 , 0.021889 , 0.022793 , 0.019613 , 0.040378 , 0.025874 , 0.024592 , 0.034959 , 0.027835 
 432 , 0.016416 , 0.022154 , 0.022528 , 0.023391 , 0.020191 , 0.041313 , 0.026454 , 0.025176 , 0.035789 , 0.028545 
 433 , 0.016841 , 0.02279 , 0.023259 , 0.024096 , 0.020857 , 0.042405 , 0.027135 , 0.025852 , 0.036778 , 0.029365 
 434 , 0.017295 , 0.02356 , 0.024116 , 0.02493 , 0.021624 , 0.043704 , 0.02795 , 0.026642 , 0.037968 , 0.030324 
 435 , 0.017747 , 0.024331 , 0.024968 , 0.025771 , 0.022394 , 0.045002 , 0.028764 , 0.027431 , 0.039163 , 0.031285 
 436 , 0.018201 , 0.025097 , 0.025824 , 0.026605 , 0.023167 , 0.046288 , 0.02958 , 0.028222 , 0.040342 , 0.032242 
 437 , 0.018664 , 0.025825 , 0.026672 , 0.027408 , 0.023964 , 0.047502 , 0.03038 , 0.029005 , 0.041416 , 0.033154 
 438 , 0.019129 , 0.026554 , 0.027525 , 0.028207 , 0.024761 , 0.048711 , 0.031178 , 0.029789 , 0.042484 , 0.034062 
 439 , 0.019592 , 0.027286 , 0.028376 , 0.029012 , 0.025555 , 0.049921 , 0.031975 , 0.030575 , 0.043558 , 0.03497 
 440 , 0.019955 , 0.027898 , 0.029096 , 0.0297 , 0.02623 , 0.051002 , 0.032661 , 0.031261 , 0.044507 , 0.035756 
 441 , 0.020279 , 0.028462 , 0.029769 , 0.030343 , 0.026853 , 0.052031 , 0.033302 , 0.031904 , 0.045414 , 0.036489 
