JUL26MNAT00005.spu,JUL26MNAT00004.spu,JUL26MNAT00003.spu,
Wavelength,JUL26MNAT00006.spu,JUL26MNAT00007.spu,JUL26MNAT00008.spu,JUL26MNAT00009.spu,JUL26MNAT00010.spu,JUL26MNAT00011.spu,JUL26MNAT00012.spu,JUL26MNAT00013.spu,JUL26MNAT00014.spu,JUL26MNAT00015.spu,JUL26MNAT00016.spu,JUL26MNAT00017.spu,JUL26MNAT00018.spu,JUL26MNAT00019.spu,JUL26MNAT00020.spu,JUL26MNAT00021.spu,JUL26MNAT00022.spu,JUL26MNAT00023.spu,JUL26MNAT00024.spu,JUL26MNAT00025.spu,JUL26MNAT00026.spu,JUL26MNAT00027.spu,JUL26MNAT00028.spu,JUL26MNAT00029.spu,JUL26MNAT00030.spu
  (nm),7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 
  time  ,28:42 PM,29:27 PM,29:38 PM,29:45 PM,29:51 PM,30:54 PM,31:00 PM,31:08 PM,31:14 PM,31:20 PM,32:09 PM,32:14 PM,32:22 PM,32:30 PM,32:38 PM,32:55 PM,33:02 PM,33:07 PM,33:14 PM,33:20 PM,34:06 PM,34:16 PM,34:25 PM,34:39 PM,34:48 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 361 , 0.02216 , 0.016452 , 0.017772 , 0.022752 , 0.021264 , 0.034824 , 0.040277 , 0.034003 , 0.020418 , 0.033876 , 0.016604 , 0.026158 , 0.018805 , 0.02198 , 0.031364 , 0.018418 , 0.023361 , 0.017412 , 0.032066 , 0.019993 , 0.007536 , 0.011872 , 0.02072 , 0.009247 , 0.018376 
 362 , 0.02223 , 0.016395 , 0.018001 , 0.022735 , 0.022279 , 0.034557 , 0.040734 , 0.034054 , 0.020174 , 0.033784 , 0.016702 , 0.025982 , 0.018863 , 0.022008 , 0.030926 , 0.0186 , 0.022642 , 0.017131 , 0.032486 , 0.019603 , 0.007383 , 0.011991 , 0.020465 , 0.009182 , 0.01882 
 363 , 0.022647 , 0.016942 , 0.018897 , 0.023635 , 0.022501 , 0.035565 , 0.041907 , 0.035558 , 0.021507 , 0.035819 , 0.017329 , 0.02635 , 0.0195 , 0.02247 , 0.033518 , 0.019092 , 0.0233 , 0.01853 , 0.032849 , 0.020755 , 0.007917 , 0.012766 , 0.021771 , 0.01028 , 0.019068 
 364 , 0.023038 , 0.017461 , 0.019744 , 0.024502 , 0.022711 , 0.036513 , 0.043017 , 0.037005 , 0.022794 , 0.037841 , 0.017919 , 0.026695 , 0.020101 , 0.022902 , 0.036192 , 0.019548 , 0.023921 , 0.019905 , 0.033192 , 0.02187 , 0.008424 , 0.013481 , 0.023028 , 0.011378 , 0.0193 
 365 , 0.023405 , 0.017952 , 0.020547 , 0.025335 , 0.022909 , 0.037407 , 0.044069 , 0.038396 , 0.024036 , 0.039847 , 0.018473 , 0.027018 , 0.020669 , 0.023306 , 0.038948 , 0.019972 , 0.024508 , 0.021257 , 0.033515 , 0.022949 , 0.008906 , 0.014144 , 0.024238 , 0.012476 , 0.019519 
 366 , 0.024001 , 0.018049 , 0.020244 , 0.024926 , 0.02266 , 0.037775 , 0.043591 , 0.038353 , 0.023741 , 0.039389 , 0.018867 , 0.027038 , 0.020984 , 0.023027 , 0.038534 , 0.019689 , 0.024278 , 0.021084 , 0.032808 , 0.023234 , 0.009174 , 0.014056 , 0.023493 , 0.012391 , 0.019176 
 367 , 0.024623 , 0.018065 , 0.019755 , 0.024324 , 0.022347 , 0.038009 , 0.042867 , 0.038034 , 0.023176 , 0.038513 , 0.019205 , 0.026987 , 0.021228 , 0.02266 , 0.037525 , 0.019285 , 0.02392 , 0.020628 , 0.031989 , 0.023344 , 0.009386 , 0.013821 , 0.022488 , 0.012058 , 0.01878 
 368 , 0.025216 , 0.018085 , 0.01932 , 0.023804 , 0.022067 , 0.03822 , 0.042236 , 0.037758 , 0.022676 , 0.037773 , 0.019514 , 0.026931 , 0.021452 , 0.022353 , 0.036653 , 0.018911 , 0.023612 , 0.020231 , 0.031279 , 0.023456 , 0.009586 , 0.013597 , 0.021637 , 0.011745 , 0.018452 
 369 , 0.025601 , 0.018154 , 0.019122 , 0.023674 , 0.022212 , 0.038685 , 0.042072 , 0.037572 , 0.022678 , 0.037273 , 0.019686 , 0.026959 , 0.021447 , 0.022218 , 0.035913 , 0.018741 , 0.023362 , 0.019754 , 0.030568 , 0.023559 , 0.009664 , 0.013433 , 0.021373 , 0.011587 , 0.018237 
 370 , 0.025737 , 0.018281 , 0.01918 , 0.023972 , 0.022858 , 0.039467 , 0.042425 , 0.037489 , 0.023253 , 0.03701 , 0.019699 , 0.027085 , 0.021175 , 0.022259 , 0.035296 , 0.018803 , 0.023159 , 0.01919 , 0.029843 , 0.02363 , 0.009597 , 0.013336 , 0.021733 , 0.011603 , 0.018116 
 371 , 0.025852 , 0.0184 , 0.019227 , 0.024249 , 0.023467 , 0.0402 , 0.042756 , 0.03743 , 0.0238 , 0.036784 , 0.019706 , 0.027192 , 0.020916 , 0.022285 , 0.034753 , 0.018858 , 0.022959 , 0.018697 , 0.029208 , 0.023636 , 0.00953 , 0.013242 , 0.022067 , 0.011614 , 0.01797 
 372 , 0.025954 , 0.018513 , 0.019257 , 0.024503 , 0.023966 , 0.040806 , 0.043023 , 0.037402 , 0.02426 , 0.0366 , 0.019686 , 0.027303 , 0.020656 , 0.022283 , 0.034338 , 0.018881 , 0.022772 , 0.018284 , 0.028664 , 0.023567 , 0.009465 , 0.013143 , 0.022333 , 0.0116 , 0.017801 
 373 , 0.026016 , 0.018579 , 0.019097 , 0.024632 , 0.023105 , 0.039929 , 0.04248 , 0.03752 , 0.02364 , 0.036554 , 0.019206 , 0.027554 , 0.020139 , 0.021939 , 0.034941 , 0.018473 , 0.022576 , 0.018272 , 0.028385 , 0.022793 , 0.009397 , 0.012836 , 0.021758 , 0.011195 , 0.017425 
 374 , 0.026102 , 0.01867 , 0.018987 , 0.024751 , 0.022515 , 0.039341 , 0.042117 , 0.037653 , 0.02323 , 0.036594 , 0.018889 , 0.027843 , 0.01978 , 0.02171 , 0.035506 , 0.018173 , 0.022494 , 0.01827 , 0.028234 , 0.022369 , 0.009347 , 0.012643 , 0.021358 , 0.010938 , 0.017196 
