JUL26MNAT00035.spu,JUL26MNAT00034.spu,JUL26MNAT00033.spu,JUL26MNAT00032.spu,JUL26MNAT00031.spu,
Wavelength,JUL26MNAT00036.spu,JUL26MNAT00037.spu,JUL26MNAT00038.spu,JUL26MNAT00039.spu,JUL26MNAT00040.spu
  (nm),7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 
  time  ,38:55 PM,39:06 PM,39:11 PM,39:17 PM,39:33 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 606 , 0.114131 , 0.106121 , 0.101454 , 0.108677 , 0.104735 
 607 , 0.114063 , 0.106236 , 0.101458 , 0.108692 , 0.104743 
 608 , 0.114097 , 0.106221 , 0.101384 , 0.108709 , 0.104683 
 609 , 0.114142 , 0.106197 , 0.10129 , 0.108717 , 0.104636 
 610 , 0.114182 , 0.106182 , 0.101197 , 0.108727 , 0.104577 
 611 , 0.114106 , 0.106165 , 0.101047 , 0.1087 , 0.104515 
 612 , 0.113978 , 0.106154 , 0.100869 , 0.10865 , 0.104432 
 613 , 0.113844 , 0.106138 , 0.100684 , 0.108594 , 0.104351 
 614 , 0.113763 , 0.106107 , 0.100543 , 0.108481 , 0.104297 
 615 , 0.11376 , 0.106081 , 0.100482 , 0.108295 , 0.104318 
 616 , 0.11376 , 0.106043 , 0.100422 , 0.108111 , 0.104341 
 617 , 0.113767 , 0.106018 , 0.100362 , 0.107927 , 0.104357 
 618 , 0.113889 , 0.106138 , 0.10037 , 0.108049 , 0.104319 
 619 , 0.114026 , 0.106272 , 0.100376 , 0.108179 , 0.104288 
 620 , 0.114166 , 0.106401 , 0.100382 , 0.108303 , 0.104258 
 621 , 0.114163 , 0.106471 , 0.100329 , 0.108384 , 0.104296 
 622 , 0.114058 , 0.10649 , 0.10024 , 0.108448 , 0.104333 
 623 , 0.113961 , 0.106511 , 0.100151 , 0.108507 , 0.104379 
 624 , 0.113953 , 0.106569 , 0.100128 , 0.108626 , 0.104448 
 625 , 0.114178 , 0.106722 , 0.100246 , 0.108875 , 0.104568 
 626 , 0.11441 , 0.106881 , 0.100356 , 0.109133 , 0.104687 
 627 , 0.114638 , 0.107043 , 0.100476 , 0.109393 , 0.104816 
 628 , 0.11481 , 0.107202 , 0.100535 , 0.109604 , 0.105008 
 629 , 0.114967 , 0.107361 , 0.10059 , 0.10981 , 0.1052 
 630 , 0.115132 , 0.107528 , 0.100645 , 0.110017 , 0.1054 
 631 , 0.115257 , 0.107679 , 0.100779 , 0.110082 , 0.105586 
 632 , 0.115354 , 0.107814 , 0.100975 , 0.110055 , 0.105761 
 633 , 0.115452 , 0.107949 , 0.101171 , 0.110028 , 0.105943 
 634 , 0.11557 , 0.10808 , 0.101323 , 0.110024 , 0.106043 
 635 , 0.115733 , 0.108236 , 0.101371 , 0.110072 , 0.10598 
 636 , 0.115901 , 0.108397 , 0.101408 , 0.110126 , 0.105919 
 637 , 0.116062 , 0.10855 , 0.101452 , 0.110171 , 0.105851 
 638 , 0.115995 , 0.108467 , 0.10118 , 0.110005 , 0.105683 
 639 , 0.115913 , 0.108359 , 0.100913 , 0.109826 , 0.105512 
 640 , 0.115839 , 0.108242 , 0.100653 , 0.109646 , 0.105347 
 641 , 0.115643 , 0.107994 , 0.10036 , 0.109424 , 0.105032 
 642 , 0.115361 , 0.107677 , 0.100059 , 0.109168 , 0.104629 
 643 , 0.115071 , 0.107367 , 0.099766 , 0.108905 , 0.104217 
 644 , 0.114812 , 0.107045 , 0.099478 , 0.108668 , 0.103852 
 645 , 0.114681 , 0.106711 , 0.099215 , 0.108493 , 0.103613 
 646 , 0.11455 , 0.106371 , 0.098956 , 0.108312 , 0.103371 
 647 , 0.11442 , 0.106032 , 0.098683 , 0.108132 , 0.103137 
 648 , 0.114279 , 0.105611 , 0.098461 , 0.107717 , 0.102814 
 649 , 0.114123 , 0.105189 , 0.098237 , 0.107275 , 0.102477 
