JUL26LOF00140.spu,JUL26LOF00139.spu,JUL26LOF00138.spu,JUL26LOF00137.spu,JUL26LOF00136.spu,
Wavelength,JUL26LOF00141.spu,JUL26LOF00142.spu,JUL26LOF00143.spu,JUL26LOF00144.spu,JUL26LOF00145.spu,JUL26LOF00146.spu,JUL26LOF00147.spu,JUL26LOF00148.spu,JUL26LOF00149.spu,JUL26LOF00150.spu,JUL26LOF00151.spu,JUL26LOF00152.spu,JUL26LOF00153.spu,JUL26LOF00154.spu,JUL26LOF00155.spu,JUL26LOF00156.spu,JUL26LOF00157.spu,JUL26LOF00158.spu,JUL26LOF00159.spu,JUL26LOF00160.spu,JUL26LOF00161.spu,JUL26LOF00162.spu,JUL26LOF00163.spu,JUL26LOF00164.spu,JUL26LOF00165.spu
  (nm),7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 
  time  ,:46:48 A,:47:00 A,:47:08 A,:47:20 A,:47:27 A,:48:09 A,:48:17 A,:48:25 A,:48:32 A,:48:38 A,:49:24 A,:49:31 A,:49:40 A,:49:50 A,:49:57 A,:50:35 A,:50:44 A,:50:52 A,:51:00 A,:51:07 A,:02:15 P,:02:30 P,:02:40 P,:02:49 P,:03:06 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 365 , 0.014591 , 0.014254 , 0.01387 , 0.016867 , 0.011726 , 0.013627 , 0.015323 , 0.014712 , 0.014872 , 0.012194 , 0.011751 , 0.012387 , 0.00984 , 0.01213 , 0.012466 , 0.020717 , 0.01659 , 0.016297 , 0.017054 , 0.01462 , 0.019473 , 0.022092 , 0.024547 , 0.018895 , 0.029835 
 366 , 0.014516 , 0.013944 , 0.014271 , 0.01707 , 0.012125 , 0.013835 , 0.015253 , 0.015079 , 0.015061 , 0.012196 , 0.012072 , 0.012519 , 0.010103 , 0.01185 , 0.012635 , 0.02112 , 0.016513 , 0.016282 , 0.016978 , 0.014516 , 0.020133 , 0.02209 , 0.02475 , 0.019016 , 0.030074 
 367 , 0.014311 , 0.013528 , 0.014805 , 0.017264 , 0.012533 , 0.014016 , 0.014957 , 0.015382 , 0.015135 , 0.012114 , 0.01237 , 0.012452 , 0.010397 , 0.011449 , 0.01273 , 0.021454 , 0.016344 , 0.01613 , 0.016812 , 0.014263 , 0.021079 , 0.022056 , 0.024989 , 0.019291 , 0.030542 
 368 , 0.014111 , 0.013147 , 0.015323 , 0.01745 , 0.012928 , 0.014198 , 0.014667 , 0.015666 , 0.015189 , 0.012051 , 0.01266 , 0.012405 , 0.010679 , 0.011095 , 0.012822 , 0.021769 , 0.016186 , 0.015987 , 0.016652 , 0.014033 , 0.022015 , 0.022024 , 0.025209 , 0.019547 , 0.030977 
 369 , 0.014056 , 0.013023 , 0.015614 , 0.017474 , 0.013158 , 0.014275 , 0.014408 , 0.015741 , 0.015456 , 0.012134 , 0.012673 , 0.012452 , 0.010818 , 0.011064 , 0.012808 , 0.021801 , 0.016127 , 0.015996 , 0.016596 , 0.014035 , 0.022252 , 0.02206 , 0.025052 , 0.019759 , 0.030911 
 370 , 0.014172 , 0.013195 , 0.015627 , 0.0173 , 0.013184 , 0.014233 , 0.014189 , 0.015596 , 0.015995 , 0.01239 , 0.012373 , 0.012605 , 0.010786 , 0.011404 , 0.012667 , 0.021516 , 0.016179 , 0.016182 , 0.016662 , 0.014305 , 0.021623 , 0.022184 , 0.02447 , 0.019927 , 0.030284 
 371 , 0.01429 , 0.013377 , 0.015631 , 0.017121 , 0.01319 , 0.014195 , 0.013991 , 0.01552 , 0.016538 , 0.012635 , 0.012107 , 0.012746 , 0.01076 , 0.011734 , 0.012528 , 0.021272 , 0.016222 , 0.016355 , 0.016722 , 0.014559 , 0.021032 , 0.022321 , 0.023945 , 0.020102 , 0.029749 
 372 , 0.014374 , 0.013538 , 0.015641 , 0.016934 , 0.013196 , 0.014151 , 0.013827 , 0.015485 , 0.017024 , 0.012852 , 0.011868 , 0.012881 , 0.010747 , 0.012027 , 0.012417 , 0.021102 , 0.016271 , 0.016494 , 0.016757 , 0.014779 , 0.020462 , 0.022421 , 0.023458 , 0.020263 , 0.029261 
 373 , 0.013987 , 0.013406 , 0.015751 , 0.016645 , 0.013435 , 0.014053 , 0.013931 , 0.015527 , 0.016783 , 0.012766 , 0.011754 , 0.013006 , 0.010894 , 0.011882 , 0.012679 , 0.021667 , 0.016478 , 0.01634 , 0.016454 , 0.014657 , 0.019643 , 0.021914 , 0.022863 , 0.020295 , 0.028519 
 374 , 0.013666 , 0.013283 , 0.015881 , 0.016414 , 0.013632 , 0.013903 , 0.014016 , 0.015528 , 0.016545 , 0.012683 , 0.011604 , 0.013154 , 0.011018 , 0.01176 , 0.01291 , 0.022145 , 0.016674 , 0.016185 , 0.016224 , 0.014568 , 0.019033 , 0.0215 , 0.022396 , 0.020278 , 0.027932 
 375 , 0.013391 , 0.013166 , 0.016026 , 0.016226 , 0.013797 , 0.013714 , 0.014087 , 0.015499 , 0.016308 , 0.012603 , 0.011428 , 0.013318 , 0.011123 , 0.011656 , 0.013117 , 0.022556 , 0.016863 , 0.016028 , 0.016045 , 0.014502 , 0.018562 , 0.021152 , 0.022016 , 0.020225 , 0.027452 
