JUL12SHB100005.spu,JUL12SHB100004.spu,JUL12SHB100003.spu,
Wavelength,JUL12SHB100006.spu,JUL12SHB100007.spu,JUL12SHB100008.spu,JUL12SHB100009.spu,JUL12SHB100010.spu,JUL12SHB100011.spu,JUL12SHB100012.spu,JUL12SHB100013.spu,JUL12SHB100014.spu,JUL12SHB100015.spu,JUL12SHB100016.spu,JUL12SHB100017.spu,JUL12SHB100018.spu,JUL12SHB100019.spu,JUL12SHB100020.spu,JUL12SHB100021.spu,JUL12SHB100022.spu,JUL12SHB100023.spu,JUL12SHB100024.spu,JUL12SHB100025.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,33:22 PM,33:38 PM,34:00 PM,34:16 PM,34:44 PM,35:06 PM,35:20 PM,35:38 PM,35:47 PM,35:56 PM,36:25 PM,36:42 PM,36:55 PM,37:04 PM,37:17 PM,37:37 PM,37:45 PM,37:53 PM,38:03 PM,38:10 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 373 , 0.006648 , 0.009559 , 0.016052 , 0.00235 , 0.009316 , 0.008963 , 0.006259 , 0.009178 , 0.007395 , 0.008944 , 0.009048 , 0.011132 , 0.010014 , 0.01367 , 0.010606 , 0.008111 , 0.005894 , 0.011394 , 0.010773 , 0.007356 
 374 , 0.0069 , 0.009787 , 0.016912 , 0.002351 , 0.009456 , 0.00919 , 0.006119 , 0.009251 , 0.007593 , 0.009022 , 0.008919 , 0.011405 , 0.010438 , 0.014141 , 0.010991 , 0.008575 , 0.005706 , 0.011396 , 0.010906 , 0.007569 
 375 , 0.007131 , 0.010015 , 0.017719 , 0.002344 , 0.009568 , 0.00941 , 0.005942 , 0.009293 , 0.007787 , 0.009095 , 0.008783 , 0.011644 , 0.010834 , 0.014582 , 0.011354 , 0.008998 , 0.005481 , 0.011373 , 0.011014 , 0.007761 
 376 , 0.007261 , 0.010032 , 0.017785 , 0.002356 , 0.009671 , 0.00931 , 0.006084 , 0.009427 , 0.007847 , 0.009295 , 0.008829 , 0.011701 , 0.010695 , 0.0146 , 0.011449 , 0.009165 , 0.005536 , 0.011428 , 0.011035 , 0.007834 
 377 , 0.007362 , 0.00996 , 0.017611 , 0.002384 , 0.009802 , 0.009081 , 0.006366 , 0.009615 , 0.007871 , 0.009522 , 0.008949 , 0.011701 , 0.010389 , 0.014486 , 0.011479 , 0.00921 , 0.005726 , 0.011529 , 0.011057 , 0.007863 
 378 , 0.007475 , 0.009887 , 0.017501 , 0.002419 , 0.009963 , 0.008856 , 0.006653 , 0.009819 , 0.007913 , 0.009725 , 0.00907 , 0.011719 , 0.010132 , 0.01441 , 0.011552 , 0.009245 , 0.005931 , 0.011644 , 0.011114 , 0.007898 
 379 , 0.007572 , 0.009787 , 0.017387 , 0.002403 , 0.009994 , 0.008718 , 0.006768 , 0.009909 , 0.007872 , 0.009799 , 0.009168 , 0.011786 , 0.010067 , 0.01435 , 0.011567 , 0.009252 , 0.006042 , 0.011631 , 0.011098 , 0.00787 
 380 , 0.00762 , 0.009651 , 0.017231 , 0.002273 , 0.009741 , 0.008743 , 0.006551 , 0.00975 , 0.007636 , 0.009634 , 0.009218 , 0.011941 , 0.010345 , 0.014277 , 0.011395 , 0.009227 , 0.005932 , 0.011376 , 0.010903 , 0.007729 
 381 , 0.007668 , 0.009536 , 0.01711 , 0.00214 , 0.009497 , 0.008753 , 0.006362 , 0.009581 , 0.007385 , 0.009469 , 0.009267 , 0.012107 , 0.010627 , 0.014194 , 0.011183 , 0.009222 , 0.005803 , 0.011156 , 0.010709 , 0.007611 
 382 , 0.007714 , 0.009429 , 0.017005 , 0.002006 , 0.009256 , 0.008756 , 0.006187 , 0.009404 , 0.007123 , 0.009303 , 0.009316 , 0.012279 , 0.010914 , 0.014103 , 0.010947 , 0.009229 , 0.005663 , 0.010953 , 0.010513 , 0.007505 
