Year,Site,Treatment,Block,Plot,Species,Relative Cover
2013,MAT,N,1,1,Vac vit,0
2013,MAT,N,1,1,Tofieldia,0
2013,MAT,N,1,1,Car mic,0
2013,MAT,N,1,1,St. D. Bet.,2.5
2013,MAT,N,1,1,St. D. Sal pul,0
2013,MAT,N,1,1,vole litter,0
2013,MAT,N,1,2,moss,0
2013,MAT,N,1,2,lichen,0
2013,MAT,N,1,2,litter,1.7
2013,MAT,N,1,2,frost boil,0
2013,MAT,N,1,2,bare,0
2013,MAT,N,1,2,And pol,0
2013,MAT,N,1,2,Arc alp,0
2013,MAT,N,1,2,Bet nan,44.3
2013,MAT,N,1,2,Cal lap,0
2013,MAT,N,1,2,Car big,0
2013,MAT,N,1,2,Cas tet,0
2013,MAT,N,1,2,Emp nig,0
2013,MAT,N,1,2,Eri vag,0
2013,MAT,N,1,2,Led pal,13.6
2013,MAT,N,1,2,Ped lap,0
2013,MAT,N,1,2,Pol bis,0
2013,MAT,N,1,2,Rub cha,33.2
2013,MAT,N,1,2,Sal pul,0.4
2013,MAT,N,1,2,Vac uli,0
2013,MAT,N,1,2,Vac vit,0
2013,MAT,N,1,2,Tofieldia,0
2013,MAT,N,1,2,Car mic,0
2013,MAT,N,1,2,St. D. Bet.,6.8
2013,MAT,N,1,2,St. D. Sal pul,0
2013,MAT,N,1,2,vole litter,0
2013,MAT,N,1,3,moss,0
2013,MAT,N,1,3,lichen,0
2013,MAT,N,1,3,litter,0
2013,MAT,N,1,3,frost boil,0
2013,MAT,N,1,3,bare,0
2013,MAT,N,1,3,And pol,0
2013,MAT,N,1,3,Arc alp,0
2013,MAT,N,1,3,Bet nan,33.3
2013,MAT,N,1,3,Cal lap,0
2013,MAT,N,1,3,Car big,0
2013,MAT,N,1,3,Cas tet,0
2013,MAT,N,1,3,Emp nig,0
2013,MAT,N,1,3,Eri vag,0
2013,MAT,N,1,3,Led pal,19.4
2013,MAT,N,1,3,Ped lap,0
2013,MAT,N,1,3,Pol bis,0
2013,MAT,N,1,3,Rub cha,46.2
2013,MAT,N,1,3,Sal pul,0.5
2013,MAT,N,1,3,Vac uli,0.5
2013,MAT,N,1,3,Vac vit,0
2013,MAT,N,1,3,Tofieldia,0
2013,MAT,N,1,3,Car mic,0
2013,MAT,N,1,3,St. D. Bet.,0
2013,MAT,N,1,3,St. D. Sal pul,0
2013,MAT,N,1,3,vole litter,0
2013,MAT,N,1,4,moss,0
2013,MAT,N,1,4,lichen,0
