AUG6NANT00050.spu,AUG6NANT00049.spu,AUG6NANT00048.spu,AUG6NANT00047.spu,AUG6NANT00046.spu,
Wavelength,AUG6NANT00051.spu,AUG6NANT00052.spu,AUG6NANT00053.spu,AUG6NANT00054.spu,AUG6NANT00055.spu,AUG6NANT00056.spu,AUG6NANT00057.spu,AUG6NANT00058.spu,AUG6NANT00059.spu,AUG6NANT00060.spu,AUG6NANT00061.spu,AUG6NANT00062.spu,AUG6NANT00063.spu,AUG6NANT00064.spu,AUG6NANT00065.spu,AUG6NANT00066.spu,AUG6NANT00067.spu,AUG6NANT00068.spu,AUG6NANT00069.spu,AUG6NANT00070.spu
  (nm),8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1
  time  ,28:08 AM,28:15 AM,28:20 AM,28:27 AM,28:35 AM,29:10 AM,29:17 AM,29:24 AM,29:31 AM,29:40 AM,30:09 AM,30:17 AM,31:03 AM,31:09 AM,31:16 AM,31:45 AM,31:50 AM,31:57 AM,32:04 AM,32:13 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 363 , 0.024079 , 0.022444 , 0.024605 , 0.020329 , 0.019797 , 0.011831 , 0.013667 , 0.011607 , 0.017582 , 0.017858 , 0.018164 , 0.014246 , 0.009995 , 0.018683 , 0.013259 , 0.025382 , 0.027226 , 0.014633 , 0.022166 , 0.019221 
 364 , 0.02432 , 0.022695 , 0.024513 , 0.020548 , 0.019997 , 0.011813 , 0.013962 , 0.012258 , 0.017725 , 0.018069 , 0.018328 , 0.014565 , 0.009991 , 0.01867 , 0.013233 , 0.025611 , 0.027164 , 0.015491 , 0.021654 , 0.01949 
 365 , 0.024536 , 0.022922 , 0.024425 , 0.020746 , 0.020177 , 0.011795 , 0.014234 , 0.012908 , 0.017854 , 0.01826 , 0.018475 , 0.014861 , 0.009979 , 0.01865 , 0.013202 , 0.025815 , 0.027101 , 0.016315 , 0.021194 , 0.019735 
 366 , 0.02509 , 0.022766 , 0.0248 , 0.021041 , 0.020727 , 0.011676 , 0.014174 , 0.012948 , 0.018143 , 0.018373 , 0.018624 , 0.015206 , 0.00994 , 0.019021 , 0.013115 , 0.025763 , 0.027186 , 0.016414 , 0.022321 , 0.019761 
 367 , 0.0257 , 0.022539 , 0.025257 , 0.021341 , 0.021347 , 0.011533 , 0.014047 , 0.012863 , 0.018455 , 0.018457 , 0.018764 , 0.015551 , 0.009897 , 0.01946 , 0.013019 , 0.02565 , 0.027292 , 0.016352 , 0.023857 , 0.019737 
 368 , 0.026283 , 0.022326 , 0.025687 , 0.021625 , 0.021946 , 0.011386 , 0.013923 , 0.012796 , 0.018748 , 0.018529 , 0.018893 , 0.015877 , 0.00986 , 0.019879 , 0.01293 , 0.025534 , 0.027387 , 0.01629 , 0.02545 , 0.019709 
 369 , 0.026463 , 0.022323 , 0.025914 , 0.021825 , 0.022189 , 0.011311 , 0.013874 , 0.012729 , 0.018681 , 0.01865 , 0.019059 , 0.015897 , 0.009896 , 0.020042 , 0.012942 , 0.025443 , 0.027155 , 0.016067 , 0.025886 , 0.019508 
 370 , 0.026168 , 0.022567 , 0.025905 , 0.021926 , 0.022003 , 0.011331 , 0.013915 , 0.012652 , 0.018192 , 0.018843 , 0.019277 , 0.015552 , 0.010022 , 0.019902 , 0.013078 , 0.025395 , 0.026557 , 0.01566 , 0.024873 , 0.019096 
 371 , 0.025906 , 0.022782 , 0.025904 , 0.021987 , 0.021839 , 0.011366 , 0.013951 , 0.012559 , 0.017723 , 0.019044 , 0.019471 , 0.015237 , 0.010146 , 0.019762 , 0.013212 , 0.025367 , 0.026008 , 0.015272 , 0.024001 , 0.018679 
 372 , 0.025704 , 0.022974 , 0.025912 , 0.022037 , 0.021736 , 0.011412 , 0.013987 , 0.012462 , 0.017323 , 0.019214 , 0.019671 , 0.014988 , 0.010259 , 0.019666 , 0.01333 , 0.025381 , 0.025554 , 0.01492 , 0.023251 , 0.018333 
 373 , 0.026031 , 0.02311 , 0.026052 , 0.022241 , 0.022293 , 0.011552 , 0.014113 , 0.012505 , 0.017586 , 0.018956 , 0.020134 , 0.015426 , 0.010306 , 0.0202 , 0.01334 , 0.025894 , 0.025855 , 0.0148 , 0.022843 , 0.018909 
 374 , 0.026309 , 0.023232 , 0.02612 , 0.022434 , 0.022795 , 0.011645 , 0.014201 , 0.012508 , 0.017842 , 0.018699 , 0.020565 , 0.015804 , 0.010318 , 0.020681 , 0.013307 , 0.026315 , 0.026144 , 0.0147 , 0.022447 , 0.019463 
 375 , 0.026552 , 0.023344 , 0.026133 , 0.02262 , 0.023256 , 0.011703 , 0.01426 , 0.012482 , 0.018093 , 0.018443 , 0.020972 , 0.016135 , 0.010303 , 0.021119 , 0.013241 , 0.026664 , 0.026424 , 0.014617 , 0.022063 , 0.020001 
 376 , 0.026444 , 0.023358 , 0.026429 , 0.022768 , 0.023533 , 0.011732 , 0.014361 , 0.012399 , 0.018295 , 0.018772 , 0.02155 , 0.016538 , 0.010504 , 0.021142 , 0.013374 , 0.026773 , 0.026376 , 0.014308 , 0.021912 , 0.019815 
 377 , 0.026226 , 0.023351 , 0.026784 , 0.022912 , 0.023655 , 0.011769 , 0.014472 , 0.012325 , 0.018435 , 0.01932 , 0.022109 , 0.016935 , 0.010768 , 0.021011 , 0.013611 , 0.026884 , 0.026279 , 0.014026 , 0.021984 , 0.019448 
 378 , 0.026037 , 0.02336 , 0.027089 , 0.023066 , 0.023705 , 0.011822 , 0.014577 , 0.012279 , 0.018539 , 0.01985 , 0.022587 , 0.017299 , 0.01101 , 0.020896 , 0.013866 , 0.02708 , 0.026256 , 0.013843 , 0.022165 , 0.019178 
 379 , 0.026001 , 0.023303 , 0.027292 , 0.02316 , 0.023827 , 0.011936 , 0.014711 , 0.012314 , 0.018719 , 0.020251 , 0.022929 , 0.017626 , 0.011051 , 0.020831 , 0.014017 , 0.027268 , 0.026281 , 0.013839 , 0.022284 , 0.019083 
 380 , 0.026189 , 0.023074 , 0.027341 , 0.023084 , 0.024142 , 0.012125 , 0.014923 , 0.012471 , 0.019063 , 0.020358 , 0.023031 , 0.017842 , 0.010698 , 0.020836 , 0.0139 , 0.027346 , 0.026314 , 0.01409 , 0.02214 , 0.019299 
 381 , 0.026308 , 0.022816 , 0.027399 , 0.022961 , 0.024431 , 0.012274 , 0.015151 , 0.012601 , 0.019376 , 0.020405 , 0.023079 , 0.017975 , 0.010332 , 0.020823 , 0.013733 , 0.027406 , 0.026322 , 0.014318 , 0.021948 , 0.019573 
 382 , 0.026388 , 0.02254 , 0.027461 , 0.022812 , 0.024707 , 0.012401 , 0.01539 , 0.012718 , 0.019674 , 0.020419 , 0.023099 , 0.018063 , 0.009956 , 0.0208 , 0.013538 , 0.027455 , 0.026316 , 0.014535 , 0.021727 , 0.019882 
