JUL14NANT00005.spu,JUL14NANT00004.spu,JUL14NANT00003.spu,
Wavelength,JUL14NANT00071.spu,JUL14NANT00072.spu,JUL14NANT00073.spu,JUL14NANT00074.spu,JUL14NANT00075.spu,JUL14NANT00076.spu,JUL14NANT00077.spu,JUL14NANT00078.spu,JUL14NANT00079.spu,JUL14NANT00080.spu,JUL14NANT00081.spu,JUL14NANT00082.spu,JUL14NANT00083.spu,JUL14NANT00084.spu,JUL14NANT00085.spu,JUL14NANT00086.spu,JUL14NANT00087.spu,JUL14NANT00088.spu,JUL14NANT00089.spu,JUL14NANT00090.spu,JUL14NANT00091.spu,JUL14NANT00092.spu,JUL14NANT00093.spu,JUL14NANT00094.spu,JUL14NANT00095.spu
  (nm),7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 
  time  ,:41:47 A,:41:52 A,:41:59 A,:42:05 A,:42:12 A,:42:49 A,:42:55 A,:43:02 A,:43:10 A,:43:18 A,:43:53 A,:44:01 A,:44:06 A,:44:14 A,:44:21 A,:44:58 A,:45:04 A,:45:11 A,:45:17 A,:45:26 A,:45:59 A,:46:05 A,:46:11 A,:46:17 A,:46:24 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 346 , 0.01589 , 0.015385 , 0.041281 , 0.010054 , 0.008781 , 0.021331 , 0.023464 , 0.028379 , 0.024742 , 0.025257 , 0.044745 , 0.025442 , 0.028676 , 0.024444 , 0.028982 , 0.051505 , 0.03691 , 0.034344 , 0.066267 , 0.031025 , 0.068146 , 0.04811 , 0.101463 , 0.076659 , 0.047075 
 347 , 0.017273 , 0.015931 , 0.040977 , 0.01094 , 0.009921 , 0.022776 , 0.025861 , 0.02871 , 0.027466 , 0.026537 , 0.044123 , 0.027645 , 0.029155 , 0.025931 , 0.029715 , 0.051062 , 0.0375 , 0.033181 , 0.066084 , 0.031298 , 0.068252 , 0.048334 , 0.098431 , 0.075342 , 0.046283 
 348 , 0.018396 , 0.0163 , 0.040587 , 0.011621 , 0.010882 , 0.024025 , 0.028027 , 0.028902 , 0.029862 , 0.027589 , 0.043467 , 0.029673 , 0.029457 , 0.027286 , 0.03019 , 0.050502 , 0.037907 , 0.032113 , 0.065777 , 0.03138 , 0.068224 , 0.048331 , 0.095643 , 0.074031 , 0.045471 
 349 , 0.018953 , 0.016368 , 0.040508 , 0.012481 , 0.011866 , 0.024953 , 0.027526 , 0.028511 , 0.029676 , 0.027988 , 0.044733 , 0.029707 , 0.030368 , 0.027838 , 0.030753 , 0.050098 , 0.038763 , 0.032696 , 0.063754 , 0.031473 , 0.067181 , 0.04753 , 0.092405 , 0.07418 , 0.045376 
 350 , 0.019254 , 0.01631 , 0.040519 , 0.013348 , 0.012812 , 0.025674 , 0.026204 , 0.027934 , 0.028607 , 0.028079 , 0.046702 , 0.028997 , 0.031382 , 0.028014 , 0.031296 , 0.049743 , 0.039679 , 0.033807 , 0.061337 , 0.031524 , 0.065829 , 0.046496 , 0.089254 , 0.074841 , 0.045483 
 351 , 0.019486 , 0.016225 , 0.040487 , 0.014104 , 0.013671 , 0.026277 , 0.025076 , 0.027391 , 0.027655 , 0.02809 , 0.048578 , 0.028328 , 0.032213 , 0.028118 , 0.031741 , 0.04937 , 0.040432 , 0.034788 , 0.059193 , 0.031506 , 0.064569 , 0.045534 , 0.086431 , 0.075431 , 0.045507 
 352 , 0.019695 , 0.016112 , 0.040181 , 0.014431 , 0.014289 , 0.026372 , 0.024606 , 0.027175 , 0.027342 , 0.027978 , 0.048556 , 0.027933 , 0.032664 , 0.028178 , 0.031741 , 0.048398 , 0.040794 , 0.035241 , 0.057462 , 0.03155 , 0.063829 , 0.044442 , 0.084205 , 0.074126 , 0.04557 
 353 , 0.019928 , 0.015983 , 0.039425 , 0.014069 , 0.014511 , 0.02567 , 0.02518 , 0.027546 , 0.028123 , 0.027719 , 0.045275 , 0.028004 , 0.032569 , 0.028228 , 0.031034 , 0.046428 , 0.040576 , 0.034822 , 0.056246 , 0.031783 , 0.063985 , 0.043106 , 0.082772 , 0.069717 , 0.045791 
 354 , 0.020121 , 0.015855 , 0.038733 , 0.013746 , 0.014682 , 0.025051 , 0.025734 , 0.027866 , 0.028837 , 0.02747 , 0.042562 , 0.02805 , 0.032471 , 0.028245 , 0.030397 , 0.044712 , 0.040357 , 0.034427 , 0.055136 , 0.031973 , 0.064105 , 0.041923 , 0.081446 , 0.066049 , 0.045973 
 355 , 0.02028 , 0.01573 , 0.038095 , 0.013457 , 0.014814 , 0.0245 , 0.02627 , 0.028145 , 0.029493 , 0.027231 , 0.040279 , 0.028078 , 0.03237 , 0.028236 , 0.02982 , 0.043204 , 0.040141 , 0.034055 , 0.054119 , 0.032129 , 0.064196 , 0.040869 , 0.080217 , 0.062947 , 0.046123 
