JUL14NANT00005.spu,JUL14NANT00004.spu,JUL14NANT00003.spu,
Wavelength,JUL14NANT00051.spu,JUL14NANT00052.spu,JUL14NANT00053.spu,JUL14NANT00054.spu,JUL14NANT00055.spu,JUL14NANT00056.spu,JUL14NANT00057.spu,JUL14NANT00058.spu,JUL14NANT00059.spu,JUL14NANT00060.spu,JUL14NANT00061.spu,JUL14NANT00062.spu,JUL14NANT00063.spu,JUL14NANT00064.spu,JUL14NANT00065.spu,JUL14NANT00066.spu,JUL14NANT00067.spu,JUL14NANT00068.spu,JUL14NANT00069.spu,JUL14NANT00070.spu
  (nm),7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 
  time  ,:36:01 A,:36:08 A,:36:15 A,:36:22 A,:36:28 A,:37:04 A,:37:11 A,:37:19 A,:37:27 A,:37:34 A,:37:59 A,:38:09 A,:38:17 A,:38:23 A,:38:29 A,:40:39 A,:40:48 A,:40:56 A,:41:01 A,:41:10 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 366 , 0.028584 , 0.04544 , 0.045552 , 0.040137 , 0.030206 , 0.036048 , 0.048103 , 0.037145 , 0.041444 , 0.039101 , 0.02887 , 0.026653 , 0.024903 , 0.031233 , 0.027837 , 0.035656 , 0.035962 , 0.034928 , 0.036741 , 0.036349 
 367 , 0.028702 , 0.043698 , 0.045436 , 0.039594 , 0.029833 , 0.036949 , 0.047278 , 0.036951 , 0.040639 , 0.038243 , 0.028117 , 0.026835 , 0.024568 , 0.029805 , 0.027555 , 0.035519 , 0.035891 , 0.034322 , 0.035591 , 0.03577 
 368 , 0.028823 , 0.042151 , 0.045329 , 0.039134 , 0.029503 , 0.037835 , 0.046543 , 0.036769 , 0.039914 , 0.037491 , 0.027434 , 0.027013 , 0.024277 , 0.028547 , 0.027296 , 0.035401 , 0.035829 , 0.033762 , 0.034588 , 0.035235 
 369 , 0.0287 , 0.041142 , 0.045063 , 0.03865 , 0.029047 , 0.037955 , 0.045505 , 0.036411 , 0.039185 , 0.036876 , 0.027101 , 0.02676 , 0.023892 , 0.027788 , 0.026714 , 0.03497 , 0.035317 , 0.033256 , 0.033989 , 0.034553 
 370 , 0.028296 , 0.040695 , 0.044611 , 0.038128 , 0.028427 , 0.037157 , 0.04413 , 0.03585 , 0.038439 , 0.036404 , 0.027167 , 0.02602 , 0.023391 , 0.027549 , 0.025783 , 0.034181 , 0.034302 , 0.032814 , 0.033817 , 0.033705 
 371 , 0.027929 , 0.040294 , 0.044203 , 0.037644 , 0.027823 , 0.036438 , 0.042917 , 0.035344 , 0.037758 , 0.035995 , 0.027243 , 0.025367 , 0.022922 , 0.027332 , 0.024975 , 0.033463 , 0.033402 , 0.032442 , 0.03366 , 0.032946 
 372 , 0.027519 , 0.039913 , 0.04375 , 0.037145 , 0.027251 , 0.03576 , 0.041867 , 0.03484 , 0.037124 , 0.035575 , 0.027288 , 0.024758 , 0.022448 , 0.027128 , 0.02429 , 0.032786 , 0.032603 , 0.032054 , 0.03344 , 0.032229 
 373 , 0.026048 , 0.03914 , 0.041981 , 0.035905 , 0.026739 , 0.034631 , 0.041344 , 0.033583 , 0.036244 , 0.034307 , 0.02664 , 0.023796 , 0.021447 , 0.026735 , 0.02397 , 0.031782 , 0.031952 , 0.030677 , 0.031994 , 0.031089 
 374 , 0.02482 , 0.038539 , 0.040561 , 0.034855 , 0.026338 , 0.03373 , 0.040936 , 0.032575 , 0.035552 , 0.03323 , 0.026136 , 0.023003 , 0.020621 , 0.026439 , 0.023735 , 0.030959 , 0.031415 , 0.029551 , 0.030814 , 0.030151 
 375 , 0.023771 , 0.038072 , 0.0394 , 0.03395 , 0.026023 , 0.032999 , 0.040618 , 0.031752 , 0.035003 , 0.0323 , 0.025742 , 0.022336 , 0.019927 , 0.026217 , 0.023567 , 0.030272 , 0.030966 , 0.02861 , 0.029833 , 0.029365 
 376 , 0.022755 , 0.036233 , 0.037494 , 0.032438 , 0.024676 , 0.031502 , 0.038907 , 0.030029 , 0.03349 , 0.03093 , 0.02432 , 0.021306 , 0.019211 , 0.024916 , 0.022489 , 0.028976 , 0.029227 , 0.027615 , 0.028346 , 0.027879 
 377 , 0.021991 , 0.034377 , 0.035765 , 0.03113 , 0.023397 , 0.030083 , 0.037195 , 0.02842 , 0.032023 , 0.029785 , 0.022942 , 0.020426 , 0.018689 , 0.023585 , 0.021323 , 0.027793 , 0.027546 , 0.026862 , 0.027066 , 0.026527 
 378 , 0.021455 , 0.032999 , 0.034477 , 0.030228 , 0.022533 , 0.029019 , 0.035981 , 0.027236 , 0.030949 , 0.029005 , 0.02196 , 0.019814 , 0.01836 , 0.022612 , 0.020409 , 0.026939 , 0.026362 , 0.026362 , 0.026157 , 0.025549 
 379 , 0.020804 , 0.031769 , 0.033217 , 0.029177 , 0.021704 , 0.027951 , 0.034693 , 0.026267 , 0.029794 , 0.02821 , 0.021185 , 0.019171 , 0.017892 , 0.021784 , 0.019573 , 0.026055 , 0.025359 , 0.025651 , 0.025253 , 0.024579 
 380 , 0.01997 , 0.030744 , 0.03204 , 0.027826 , 0.020794 , 0.02687 , 0.033234 , 0.025552 , 0.028485 , 0.027344 , 0.020639 , 0.018419 , 0.017188 , 0.021124 , 0.018894 , 0.025088 , 0.024509 , 0.024579 , 0.0243 , 0.023566 
