JUN24SHB100005.spu,JUN24SHB100004.spu,
Wavelength,JUN24SHB100007.spu,JUN24SHB100008.spu,JUN24SHB100009.spu,JUN24SHB100010.spu,JUN24SHB100011.spu,JUN24SHB100012.spu,JUN24SHB100013.spu,JUN24SHB100014.spu,JUN24SHB100015.spu,JUN24SHB100016.spu,JUN24SHB100017.spu,JUN24SHB100018.spu,JUN24SHB100019.spu,JUN24SHB100020.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,33:46 PM,33:56 PM,34:04 PM,34:15 PM,34:31 PM,35:18 PM,35:25 PM,35:35 PM,35:44 PM,35:55 PM,36:31 PM,36:40 PM,36:51 PM,36:59 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,
 397 , 0.009368 , 0.008625 , 0.011282 , 0.01368 , 0.013078 , 0.019473 , 0.00971 , 0.013647 , 0.019423 , 0.02383 , 0.017401 , 0.014829 , 0.028783 , 0.012777 
 398 , 0.009631 , 0.008817 , 0.011526 , 0.013981 , 0.013248 , 0.019782 , 0.009993 , 0.013881 , 0.019851 , 0.024135 , 0.017579 , 0.015011 , 0.029288 , 0.013101 
 399 , 0.009862 , 0.009002 , 0.011762 , 0.014266 , 0.013422 , 0.020069 , 0.01026 , 0.014088 , 0.020226 , 0.024431 , 0.017764 , 0.015185 , 0.029713 , 0.013392 
 400 , 0.010044 , 0.009301 , 0.012138 , 0.014697 , 0.013767 , 0.02044 , 0.010628 , 0.014314 , 0.020547 , 0.024915 , 0.018117 , 0.015424 , 0.029974 , 0.013706 
 401 , 0.010207 , 0.009568 , 0.012473 , 0.015077 , 0.014072 , 0.020767 , 0.010952 , 0.014516 , 0.020833 , 0.025343 , 0.018432 , 0.01564 , 0.030204 , 0.013984 
 402 , 0.010352 , 0.009803 , 0.012768 , 0.015417 , 0.014343 , 0.02106 , 0.011244 , 0.014695 , 0.021085 , 0.025725 , 0.018711 , 0.015829 , 0.030406 , 0.014231 
 403 , 0.010558 , 0.009962 , 0.012921 , 0.015581 , 0.0145 , 0.021161 , 0.011323 , 0.014881 , 0.021366 , 0.025947 , 0.018811 , 0.016076 , 0.03073 , 0.01439 
 404 , 0.010774 , 0.01009 , 0.013026 , 0.015685 , 0.014617 , 0.021201 , 0.011333 , 0.01506 , 0.021644 , 0.026112 , 0.01885 , 0.01633 , 0.031079 , 0.014514 
 405 , 0.010974 , 0.010209 , 0.013121 , 0.015782 , 0.014725 , 0.021237 , 0.011343 , 0.015228 , 0.021904 , 0.026266 , 0.018888 , 0.016567 , 0.031406 , 0.014631 
 406 , 0.011105 , 0.01034 , 0.013206 , 0.015888 , 0.014844 , 0.021354 , 0.011448 , 0.015375 , 0.022197 , 0.026459 , 0.018988 , 0.016761 , 0.031725 , 0.014793 
 407 , 0.011127 , 0.010499 , 0.013268 , 0.016018 , 0.01498 , 0.021602 , 0.011705 , 0.015495 , 0.022557 , 0.026716 , 0.019196 , 0.016897 , 0.032052 , 0.015035 
 408 , 0.011148 , 0.010648 , 0.013328 , 0.01614 , 0.015113 , 0.021838 , 0.011946 , 0.015609 , 0.022897 , 0.026959 , 0.019394 , 0.017029 , 0.032361 , 0.015262 
 409 , 0.011168 , 0.010793 , 0.013386 , 0.016254 , 0.015234 , 0.022062 , 0.012174 , 0.015721 , 0.023219 , 0.02719 , 0.019577 , 0.017151 , 0.032651 , 0.015476 
 410 , 0.011246 , 0.010822 , 0.013529 , 0.016409 , 0.015476 , 0.022246 , 0.012218 , 0.015879 , 0.023426 , 0.027401 , 0.019705 , 0.017366 , 0.032959 , 0.015677 
 411 , 0.011319 , 0.010852 , 0.013665 , 0.016553 , 0.015702 , 0.022417 , 0.012262 , 0.016026 , 0.023624 , 0.027601 , 0.019825 , 0.017567 , 0.033251 , 0.015865 
 412 , 0.01139 , 0.01088 , 0.013792 , 0.016686 , 0.015919 , 0.022582 , 0.0123 , 0.016166 , 0.023812 , 0.027789 , 0.019939 , 0.017759 , 0.033527 , 0.016044 
 413 , 0.011554 , 0.011023 , 0.013954 , 0.016853 , 0.016104 , 0.022787 , 0.01244 , 0.016372 , 0.024124 , 0.028053 , 0.020044 , 0.017922 , 0.033799 , 0.016267 
 414 , 0.01177 , 0.01122 , 0.01413 , 0.017029 , 0.016272 , 0.023012 , 0.01263 , 0.01661 , 0.024495 , 0.028351 , 0.020143 , 0.018071 , 0.034065 , 0.016505 
 415 , 0.011977 , 0.011408 , 0.014295 , 0.017197 , 0.016434 , 0.023227 , 0.012813 , 0.016841 , 0.024852 , 0.028634 , 0.020238 , 0.018213 , 0.034324 , 0.016735 
 416 , 0.012149 , 0.011576 , 0.014456 , 0.017372 , 0.016607 , 0.023448 , 0.012999 , 0.017039 , 0.0252 , 0.02893 , 0.020377 , 0.018374 , 0.034589 , 0.01694 
