JUN24SHB100024.spu,JUN24SHB100023.spu,JUN24SHB100022.spu,
Wavelength,JUN24SHB100025.spu,JUN24SHB100026.spu,JUN24SHB100027.spu,JUN24SHB100028.spu,JUN24SHB100029.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,42:33 PM,42:43 PM,42:48 PM,42:55 PM,43:02 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 529 , 0.063868 , 0.05307 , 0.062414 , 0.065555 , 0.032044 
 530 , 0.065899 , 0.054713 , 0.064076 , 0.067253 , 0.032763 
 531 , 0.067642 , 0.056195 , 0.065615 , 0.068783 , 0.033414 
 532 , 0.069384 , 0.05768 , 0.067156 , 0.07032 , 0.034071 
 533 , 0.071127 , 0.059158 , 0.068701 , 0.071855 , 0.034727 
 534 , 0.072554 , 0.060367 , 0.069911 , 0.073151 , 0.035279 
 535 , 0.073841 , 0.061455 , 0.070965 , 0.074341 , 0.035782 
 536 , 0.075125 , 0.062544 , 0.072013 , 0.075533 , 0.036296 
 537 , 0.076344 , 0.063575 , 0.073057 , 0.076642 , 0.036753 
 538 , 0.07742 , 0.06449 , 0.07408 , 0.077566 , 0.037119 
 539 , 0.078496 , 0.065405 , 0.075108 , 0.078496 , 0.037481 
 540 , 0.079578 , 0.066312 , 0.076137 , 0.079418 , 0.037844 
 541 , 0.080553 , 0.067203 , 0.07703 , 0.080263 , 0.038196 
 542 , 0.08153 , 0.068094 , 0.077925 , 0.081103 , 0.038548 
 543 , 0.082512 , 0.068983 , 0.078818 , 0.081946 , 0.038902 
 544 , 0.083439 , 0.069758 , 0.079661 , 0.082766 , 0.039226 
 545 , 0.084334 , 0.070451 , 0.080484 , 0.083571 , 0.039526 
 546 , 0.085233 , 0.071148 , 0.081311 , 0.084375 , 0.039827 
 547 , 0.086047 , 0.071783 , 0.082058 , 0.085111 , 0.040116 
 548 , 0.086634 , 0.072269 , 0.082641 , 0.085674 , 0.040397 
 549 , 0.087221 , 0.07276 , 0.083225 , 0.086244 , 0.040678 
 550 , 0.08781 , 0.073247 , 0.083803 , 0.086815 , 0.040967 
 551 , 0.088067 , 0.073502 , 0.084082 , 0.087069 , 0.04111 
 552 , 0.088302 , 0.073743 , 0.084336 , 0.087302 , 0.041246 
 553 , 0.088538 , 0.073984 , 0.084591 , 0.087536 , 0.041375 
 554 , 0.088532 , 0.073963 , 0.084682 , 0.087502 , 0.041354 
 555 , 0.088347 , 0.073745 , 0.084666 , 0.087269 , 0.041214 
 556 , 0.088161 , 0.073534 , 0.084643 , 0.087043 , 0.041074 
 557 , 0.087885 , 0.073267 , 0.084557 , 0.086773 , 0.040933 
 558 , 0.087288 , 0.072826 , 0.084229 , 0.086368 , 0.040802 
 559 , 0.086695 , 0.072383 , 0.083904 , 0.085958 , 0.040671 
 560 , 0.086103 , 0.071948 , 0.083573 , 0.085556 , 0.040542 
 561 , 0.085396 , 0.071335 , 0.083093 , 0.085079 , 0.040304 
 562 , 0.084674 , 0.070705 , 0.082585 , 0.084594 , 0.040046 
 563 , 0.083955 , 0.070071 , 0.082078 , 0.084109 , 0.039789 
 564 , 0.083103 , 0.069363 , 0.081538 , 0.08343 , 0.039502 
 565 , 0.082148 , 0.068593 , 0.080982 , 0.082587 , 0.0392 
 566 , 0.081191 , 0.06782 , 0.080422 , 0.081734 , 0.038898 
 567 , 0.080208 , 0.06702 , 0.079832 , 0.080888 , 0.038579 
 568 , 0.079077 , 0.066115 , 0.079064 , 0.080042 , 0.038203 
 569 , 0.077951 , 0.065211 , 0.078291 , 0.079198 , 0.037831 
 570 , 0.076827 , 0.064312 , 0.077521 , 0.078358 , 0.037454 
 571 , 0.075684 , 0.063279 , 0.076721 , 0.077417 , 0.037076 
 572 , 0.074544 , 0.062229 , 0.075913 , 0.076456 , 0.036703 
 573 , 0.0734 , 0.061175 , 0.075108 , 0.075501 , 0.036326 
 574 , 0.072247 , 0.060207 , 0.074358 , 0.074591 , 0.035969 
 575 , 0.07108 , 0.05932 , 0.073662 , 0.073731 , 0.035637 
