"","Research_location","Date","Time","Site","Block","Treatment","ref_filenames","Weather","REP","Spufilename","NDVI(MODIS)","EVI(MODIS)","EVI2(MODIS)","PRI(550Reference)","PRI(570Ref)","WBI","ChlIndex","FileNum","Process_file","key_num","key"
"11","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,NA,"3","may27hist00025.spu","0.39433173600950339","0.19345069900017514","0.16600076720307994","5.3006856023506424E-2","5.4932165617547039E-2","1.0021712816801227","0.13071229275716562",25,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00025","2016-05-27_HIST00025"
"12","Toolik",2016-05-27,"0.41666666666666669","HIST","1","CT",NA,NA,"1","may27hist00008.spu","0.34568962652549129","0.28091112204064739","0.2449215166963945","6.421376766639976E-2","7.5455507884326062E-2","0.96958118015353267","0.11732074604732769",8,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00008","2016-05-27_HIST00008"
"13","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,NA,"4","may27hist00026.spu","0.45051961959405157","0.23841368189943288","0.20605979560515791","5.9579122225602944E-2","6.7295223026042142E-2","1.0199632530915812","0.15821143272123667",26,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00026","2016-05-27_HIST00026"
"14","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,NA,"5","may27hist00027.spu","0.37585172845177089","0.21325398096142731","0.18286051819631186","5.4853881519843516E-2","5.9698746089745236E-2","0.96483270821431233","0.10937792037879257",27,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00027","2016-05-27_HIST00027"
"15","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,NA,"1","may27hist00028.spu","0.59733924525277771","0.57692495154272327","0.46498240866160845","8.2846544615953602E-2","9.4017461383478856E-2","1.0070466571605881","0.25867124852706702",28,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00028","2016-05-27_HIST00028"
"16","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,NA,"2","may27hist00029.spu","0.48330928678759855","0.42462965523175278","0.36079239049980627","7.5707585815954603E-2","8.8806325284109505E-2","0.99573375995733759","0.18334042827781619",29,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00029","2016-05-27_HIST00029"
"17","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,NA,"3","may27hist00030.spu","0.55013994390560772","0.48989888517357977","0.40703030744208663","7.7863135984206411E-2","9.0904282888543395E-2","0.99737710487976894","0.2356944904570423",30,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00030","2016-05-27_HIST00030"
"18","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,NA,"4","may27hist00031.spu","0.49373924147359405","0.43669526566297712","0.3651770436082622","7.2047559589258126E-2","8.6400499064254552E-2","0.98070224719101129","0.19843733993175675",31,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00031","2016-05-27_HIST00031"
"19","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,NA,"5","may27hist00032.spu","0.54871783558342957","0.48101934511961525","0.40505638134620775","8.1862151037743025E-2","9.9075452899521105E-2","0.99920083731625708","0.22357517233691448",32,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00032","2016-05-27_HIST00032"
"20","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,NA,"1","may27hist00033.spu","0.49400324470844148","0.42782777300735708","0.36912030147409414","8.3164583478807383E-2","9.9253608473739152E-2","0.98258255092847047","0.18469796716749817",33,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00033","2016-05-27_HIST00033"
