  time  ,13:14 PM,13:20 PM,13:35 PM,13:45 PM,13:51 PM,15:09 PM,15:22 PM,15:31 PM,15:40 PM,15:51 PM,16:45 PM,16:55 PM,17:02 PM,17:11 PM,17:18 PM,17:50 PM,17:57 PM,18:04 PM,18:13 PM,18:21 PM,19:37 PM,19:50 PM,20:15 PM,20:20 PM,20:28 PM,21:24 PM,21:31 PM,21:41 PM,21:49 PM,22:06 PM,22:26 PM,22:34 PM,22:45 PM,22:52 PM,23:01 PM,23:58 PM,24:06 PM,24:16 PM,24:25 PM,24:35 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 339 , 0.014909 , 0.007444 , 0.013855 , 0.000655 , 0.002272 , 0.008008 , 0.031107 , 0.005505 , 0.001816 , 0.006884 , 0 , 0.002486 , 0.011436 , 0.003599 , 0.015153 , 0.028893 , 0.003352 , 0.005706 , 0.007738 , 0.017002 , 0.000093 , 0.004103 , 0.000148 , 0.000778 , 0.000186 , 0.001255 , 0.001291 , 0.004721 , 0.000919 , 0.004441 , 0.000857 , 0.002728 , 0.004713 , 0.00306 , 0.000459 , 0.003396 , 0.00245 , 0.003238 , 0.003976 , 0.00191 
 340 , 0.016073 , 0.007451 , 0.015703 , 0.001078 , 0.004638 , 0.009281 , 0.033367 , 0.009619 , 0.003398 , 0.009409 , 0 , 0.004042 , 0.01262 , 0.005352 , 0.018556 , 0.027755 , 0.003741 , 0.006737 , 0.00867 , 0.017098 , 0.000184 , 0.005768 , 0.000247 , 0.001367 , 0.00042 , 0.001978 , 0.002213 , 0.005079 , 0.001788 , 0.005186 , 0.001676 , 0.003443 , 0.005232 , 0.004214 , 0.000991 , 0.004009 , 0.003089 , 0.004086 , 0.004684 , 0.002718 
 341 , 0.017243 , 0.007378 , 0.017728 , 0.001307 , 0.006669 , 0.010219 , 0.03509 , 0.016177 , 0.004524 , 0.011458 , 0 , 0.004866 , 0.012771 , 0.007222 , 0.021642 , 0.026691 , 0.004 , 0.007702 , 0.009437 , 0.01704 , 0.000257 , 0.007274 , 0.000303 , 0.001735 , 0.000672 , 0.002461 , 0.003047 , 0.00531 , 0.002461 , 0.005704 , 0.002316 , 0.004051 , 0.005532 , 0.005161 , 0.001508 , 0.004506 , 0.00358 , 0.004854 , 0.005239 , 0.00337 
 342 , 0.018127 , 0.007931 , 0.01786 , 0.002139 , 0.006905 , 0.01101 , 0.03559 , 0.020573 , 0.006021 , 0.01243 , 0.000725 , 0.006094 , 0.012328 , 0.008624 , 0.021481 , 0.025883 , 0.004628 , 0.008494 , 0.010098 , 0.017042 , 0.000633 , 0.00793 , 0.00085 , 0.002182 , 0.001384 , 0.003031 , 0.003923 , 0.005671 , 0.00327 , 0.006109 , 0.002765 , 0.004496 , 0.005842 , 0.005526 , 0.002133 , 0.004962 , 0.004066 , 0.005316 , 0.00587 , 0.003861 
 343 , 0.01843 , 0.009104 , 0.016246 , 0.003571 , 0.005682 , 0.011454 , 0.034802 , 0.018825 , 0.007957 , 0.012316 , 0.002159 , 0.007605 , 0.011462 , 0.009025 , 0.018764 , 0.025159 , 0.005709 , 0.00899 , 0.010579 , 0.017019 , 0.001244 , 0.007677 , 0.001961 , 0.00276 , 0.002342 , 0.003814 , 0.004761 , 0.006114 , 0.004241 , 0.006416 , 0.003044 , 0.00474 , 0.006186 , 0.00533 , 0.002796 , 0.005369 , 0.004549 , 0.005412 , 0.006605 , 0.004158 
 344 , 0.018388 , 0.010072 , 0.014962 , 0.004713 , 0.004801 , 0.011479 , 0.033719 , 0.017436 , 0.009493 , 0.011968 , 0.003361 , 0.00853 , 0.01065 , 0.009089 , 0.016741 , 0.024263 , 0.006698 , 0.009299 , 0.010835 , 0.016788 , 0.001688 , 0.007373 , 0.002983 , 0.003223 , 0.002988 , 0.00455 , 0.005392 , 0.006371 , 0.005027 , 0.006589 , 0.003237 , 0.004873 , 0.006415 , 0.005107 , 0.003324 , 0.005667 , 0.004899 , 0.00543 , 0.007217 , 0.004318 
 345 , 0.01827 , 0.010893 , 0.014018 , 0.005636 , 0.004274 , 0.011432 , 0.032895 , 0.016165 , 0.010875 , 0.011436 , 0.004203 , 0.009139 , 0.010123 , 0.009104 , 0.015397 , 0.02353 , 0.007581 , 0.009561 , 0.011036 , 0.016657 , 0.00204 , 0.007214 , 0.003913 , 0.003685 , 0.003417 , 0.005256 , 0.005895 , 0.006589 , 0.005661 , 0.006774 , 0.003408 , 0.004999 , 0.006629 , 0.004994 , 0.003761 , 0.005941 , 0.005179 , 0.005485 , 0.007721 , 0.004456 
 346 , 0.019453 , 0.012081 , 0.014513 , 0.006689 , 0.005467 , 0.012849 , 0.036099 , 0.015128 , 0.014274 , 0.01045 , 0.003588 , 0.010022 , 0.012148 , 0.010492 , 0.016983 , 0.025314 , 0.008202 , 0.010825 , 0.012201 , 0.018896 , 0.002737 , 0.008871 , 0.004756 , 0.005338 , 0.00383 , 0.006057 , 0.006666 , 0.007745 , 0.006287 , 0.008141 , 0.004056 , 0.005919 , 0.007624 , 0.00625 , 0.004416 , 0.006891 , 0.005799 , 0.006532 , 0.008211 , 0.005337 
 347 , 0.020369 , 0.013071 , 0.014873 , 0.00764 , 0.006499 , 0.014039 , 0.038765 , 0.01469 , 0.01765 , 0.009878 , 0.003245 , 0.010758 , 0.014025 , 0.011675 , 0.018304 , 0.026736 , 0.008706 , 0.011918 , 0.013189 , 0.020886 , 0.003394 , 0.010495 , 0.005496 , 0.006927 , 0.004165 , 0.00677 , 0.00734 , 0.008802 , 0.006814 , 0.009426 , 0.004634 , 0.006749 , 0.008511 , 0.007465 , 0.004982 , 0.007738 , 0.006325 , 0.007523 , 0.0086 , 0.006173 
 348 , 0.021104 , 0.013915 , 0.01515 , 0.0085 , 0.007399 , 0.015057 , 0.041035 , 0.0145 , 0.020962 , 0.009513 , 0.003027 , 0.011385 , 0.015764 , 0.012696 , 0.019429 , 0.027905 , 0.009128 , 0.012875 , 0.014045 , 0.022677 , 0.004006 , 0.01208 , 0.006147 , 0.008431 , 0.004444 , 0.007409 , 0.007938 , 0.009772 , 0.007266 , 0.010632 , 0.005152 , 0.007499 , 0.009308 , 0.008631 , 0.005476 , 0.008497 , 0.006779 , 0.008464 , 0.008919 , 0.006966 
