  time  ,:22:36 A,:22:54 A,:23:04 A,:23:12 A,:23:22 A,:24:01 A,:24:13 A,:24:21 A,:24:29 A,:24:41 A,:25:14 A,:25:33 A,:25:43 A,:25:56 A,:26:08 A,:26:44 A,:26:57 A,:27:05 A,:27:15 A,:27:25 A,:27:48 A,:27:57 A,:28:06 A,:28:16 A,:28:25 A,:28:48 A,:28:58 A,:29:10 A,:29:19 A,:29:33 A,:30:02 A,:30:14 A,:30:22 A,:30:34 A,:30:46 A,:31:13 A,:31:28 A,:31:38 A,:31:47 A,:31:58 A,:32:57 A,:33:09 A,:33:21 A,:33:32 A,:33:43 A,:34:21 A,:34:31 A,:34:42 A,:34:55 A,:35:07 A,:35:42 A,:35:51 A,:36:04 A,:36:14 A,:36:23 A,:36:50 A,:37:01 A,:37:14 A,:37:25 A,:37:34 A,:38:00 A,:38:11 A,:38:28 A,:38:38 A,:38:49 A,:39:13 A,:39:25 A,:39:43 A,:39:54 A,:40:08 A,:40:39 A,:40:51 A,:41:01 A,:41:11 A,:41:21 A,:42:16 A,:42:27 A,:42:39 A,:42:52 A,:43:04 A,:45:00 A,:45:13 A,:45:25 A,:45:39 A,:45:57 A,:46:39 A,:46:52 A,:47:06 A,:47:17 A,:47:26 A,:47:55 A,:48:07 A,:48:19 A,:48:31 A,:48:40 A,:49:15 A,:49:26 A,:49:35 A,:49:47 A,:50:00 A,:50:28 A,:50:37 A,:50:47 A,:50:57 A,:51:09 A,:51:38 A,:51:50 A,:51:59 A,:52:09 A,:52:18 A,:52:45 A,:52:55 A,:53:05 A,:53:17 A,:53:28 A,:54:01 A,:54:12 A,:54:23 A,:54:31 A,:54:41 A,:00:16 P,:00:27 P,:00:37 P,:00:47 P,:00:57 P,:01:25 P,:01:37 P,:01:48 P,:01:59 P,:02:09 P,:02:38 P,:02:52 P,:03:01 P,:03:10 P,:03:20 P,:03:50 P,:04:02 P,:04:13 P,:04:24 P,:04:34 P,:05:04 P,:05:14 P,:05:23 P,:05:32 P,:05:40 P,:06:09 P,:06:28 P,:06:39 P,:06:50 P,:07:00 P,:07:31 P,:07:41 P,:07:52 P,:08:03 P,:08:13 P,:08:42 P,:08:53 P,:09:05 P,:09:17 P,:09:38 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 874 , 0.41024 , 0.51399 , 0.41741 , 0.33521 , 0.37554 , 0.40837 , 0.30548 , 0.4298 , 0.36472 , 0.42192 , 0.47556 , 0.47035 , 0.37069 , 0.55924 , 0.21358 , 0.3092 , 0.36592 , 0.33445 , 0.38426 , 0.42896 , 0.43167 , 0.39592 , 0.40991 , 0.45389 , 0.28642 , 0.38193 , 0.34156 , 0.45114 , 0.45975 , 0.35603 , 0.41938 , 0.3086 , 0.32447 , 0.39404 , 0.40982 , 0.45361 , 0.40466 , 0.32662 , 0.42086 , 0.48799 , 0.43084 , 0.38133 , 0.28132 , 0.48365 , 0.41556 , 0.4027 , 0.39224 , 0.34578 , 0.49843 , 0.32521 , 0.37647 , 0.38658 , 0.4908 , 0.48094 , 0.24265 , 0.38369 , 0.45286 , 0.45161 , 0.35959 , 0.42124 , 0.32667 , 0.37876 , 0.43278 , 0.29705 , 0.34648 , 0.20356 , 0.37047 , 0.4148 , 0.44062 , 0.29889 , 0.29081 , 0.39369 , 0.39623 , 0.4441 , 0.34056 , 0.46045 , 0.27806 , 0.26322 , 0.46914 , 0.4213 , 0.3615 , 0.43187 , 0.4314 , 0.40978 , 0.43352 , 0.38036 , 0.30145 , 0.37587 , 0.29202 , 0.28174 , 0.38495 , 0.40302 , 0.41663 , 0.24328 , 0.26835 , 0.40425 , 0.21398 , 0.28039 , 0.35436 , 0.39773 , 0.43186 , 0.34715 , 0.39614 , 0.41125 , 0.49492 , 0.33596 , 0.37489 , 0.27277 , 0.40188 , 0.2793 , 0.37933 , 0.35976 , 0.2747 , 0.28909 , 0.31171 , 0.4406 , 0.29205 , 0.25135 , 0.27162 , 0.29278 , 0.36769 , 0.41955 , 0.35166 , 0.32231 , 0.30253 , 0.3877 , 0.3085 , 0.3534 , 0.387 , 0.37895 , 0.3371 , 0.43507 , 0.42828 , 0.23106 , 0.3839 , 0.42625 , 0.33582 , 0.31764 , 0.34616 , 0.27485 , 0.36623 , 0.35094 , 0.32014 , 0.42241 , 0.3359 , 0.38251 , 0.34072 , 0.32434 , 0.37714 , 0.20571 , 0.39925 , 0.40061 , 0.33902 , 0.33311 , 0.37852 , 0.44251 , 0.32344 , 0.46595 , 0.33516 , 0.3096 
 875 , 0.410571 , 0.514545 , 0.41774 , 0.335574 , 0.37591 , 0.408817 , 0.305775 , 0.430374 , 0.365132 , 0.422282 , 0.476224 , 0.47086 , 0.371188 , 0.559895 , 0.213813 , 0.309505 , 0.366265 , 0.334842 , 0.384623 , 0.429331 , 0.432168 , 0.396364 , 0.410451 , 0.454307 , 0.286805 , 0.382287 , 0.34183 , 0.4516 , 0.460132 , 0.356499 , 0.419706 , 0.308833 , 0.324846 , 0.394399 , 0.410381 , 0.454106 , 0.405037 , 0.326951 , 0.421179 , 0.488396 , 0.431266 , 0.381565 , 0.281572 , 0.484185 , 0.415996 , 0.403082 , 0.392714 , 0.346162 , 0.499085 , 0.325588 , 0.376782 , 0.38712 , 0.491294 , 0.481408 , 0.24291 , 0.384112 , 0.453324 , 0.452081 , 0.360098 , 0.421651 , 0.327061 , 0.379159 , 0.433201 , 0.297293 , 0.346753 , 0.203877 , 0.370797 , 0.415083 , 0.441332 , 0.299439 , 0.291187 , 0.394128 , 0.396735 , 0.444611 , 0.340858 , 0.460854 , 0.278363 , 0.263484 , 0.469707 , 0.421791 , 0.362004 , 0.432168 , 0.431757 , 0.41021 , 0.433963 , 0.380803 , 0.301795 , 0.376261 , 0.29246 , 0.281923 , 0.385355 , 0.403403 , 0.417008 , 0.243582 , 0.268778 , 0.404636 , 0.214124 , 0.280729 , 0.354704 , 0.398279 , 0.432369 , 0.347515 , 0.396695 , 0.411785 , 0.495395 , 0.336597 , 0.375599 , 0.273139 , 0.40248 , 0.279667 , 0.379941 , 0.360329 , 0.274964 , 0.289462 , 0.312112 , 0.441413 , 0.2925 , 0.251713 , 0.272037 , 0.293232 , 0.36819 , 0.420056 , 0.352178 , 0.32277 , 0.302858 , 0.388082 , 0.308833 , 0.353842 , 0.387521 , 0.379379 , 0.337579 , 0.435587 , 0.42886 , 0.23141 , 0.384513 , 0.426884 , 0.336246 , 0.318188 , 0.346713 , 0.275235 , 0.366916 , 0.351376 , 0.320635 , 0.423165 , 0.336456 , 0.383089 , 0.341098 , 0.324675 , 0.377695 , 0.205852 , 0.399783 , 0.401267 , 0.339424 , 0.333669 , 0.379169 , 0.443117 , 0.323863 , 0.466659 , 0.335544 , 0.310017 
 876 , 0.410905 , 0.515119 , 0.418073 , 0.335937 , 0.376291 , 0.409277 , 0.306078 , 0.430952 , 0.365554 , 0.422658 , 0.476906 , 0.471387 , 0.371687 , 0.560561 , 0.214038 , 0.309818 , 0.36661 , 0.335243 , 0.384997 , 0.429715 , 0.432671 , 0.39682 , 0.410996 , 0.454738 , 0.287197 , 0.382665 , 0.342099 , 0.452064 , 0.460519 , 0.356978 , 0.420044 , 0.309074 , 0.32523 , 0.394759 , 0.410966 , 0.454618 , 0.405416 , 0.32728 , 0.421502 , 0.488809 , 0.431696 , 0.381821 , 0.281829 , 0.484738 , 0.416445 , 0.403476 , 0.393191 , 0.346543 , 0.499758 , 0.325974 , 0.377105 , 0.387672 , 0.491795 , 0.481883 , 0.243183 , 0.384555 , 0.453783 , 0.452567 , 0.360608 , 0.422075 , 0.327461 , 0.379569 , 0.433636 , 0.297542 , 0.347025 , 0.204206 , 0.371144 , 0.415379 , 0.442061 , 0.299995 , 0.291581 , 0.394578 , 0.397253 , 0.445137 , 0.341164 , 0.461273 , 0.278662 , 0.263753 , 0.470281 , 0.422286 , 0.362518 , 0.43248 , 0.432128 , 0.410654 , 0.43443 , 0.381268 , 0.302147 , 0.376663 , 0.292908 , 0.2821 , 0.385761 , 0.403787 , 0.4174 , 0.243897 , 0.269212 , 0.405034 , 0.21428 , 0.281065 , 0.355058 , 0.398841 , 0.432902 , 0.34789 , 0.397253 , 0.412323 , 0.495877 , 0.337233 , 0.376331 , 0.273515 , 0.403104 , 0.280039 , 0.380554 , 0.360909 , 0.275244 , 0.289841 , 0.312522 , 0.442242 , 0.292958 , 0.252091 , 0.272479 , 0.293692 , 0.368711 , 0.420577 , 0.352706 , 0.323239 , 0.303192 , 0.388476 , 0.309184 , 0.354294 , 0.388044 , 0.37981 , 0.338078 , 0.436119 , 0.429444 , 0.231773 , 0.385138 , 0.427544 , 0.33668 , 0.318745 , 0.347277 , 0.275616 , 0.367615 , 0.351811 , 0.321138 , 0.423945 , 0.337032 , 0.38368 , 0.341496 , 0.325018 , 0.378262 , 0.205995 , 0.400329 , 0.401927 , 0.339837 , 0.334248 , 0.37983 , 0.44374 , 0.324305 , 0.467376 , 0.335947 , 0.310431 
 877 , 0.411212 , 0.51565 , 0.418447 , 0.33639 , 0.376738 , 0.40973 , 0.306441 , 0.431537 , 0.365946 , 0.423042 , 0.477659 , 0.471915 , 0.372153 , 0.561137 , 0.214388 , 0.31023 , 0.367004 , 0.335664 , 0.385324 , 0.430086 , 0.4332 , 0.397285 , 0.411464 , 0.455157 , 0.287567 , 0.382956 , 0.342406 , 0.452537 , 0.460881 , 0.357401 , 0.420382 , 0.309364 , 0.325708 , 0.395088 , 0.411534 , 0.455127 , 0.40579 , 0.327573 , 0.421782 , 0.489157 , 0.432061 , 0.38216 , 0.282115 , 0.485197 , 0.416835 , 0.403946 , 0.393768 , 0.346961 , 0.500524 , 0.326384 , 0.377484 , 0.388246 , 0.492382 , 0.482345 , 0.24352 , 0.385001 , 0.454321 , 0.453031 , 0.361058 , 0.422468 , 0.327835 , 0.379943 , 0.434177 , 0.297805 , 0.347394 , 0.204603 , 0.371549 , 0.415656 , 0.442823 , 0.300546 , 0.291961 , 0.395068 , 0.397759 , 0.445614 , 0.34156 , 0.461607 , 0.278981 , 0.264057 , 0.470787 , 0.422679 , 0.363064 , 0.432857 , 0.432524 , 0.411131 , 0.434832 , 0.381696 , 0.302501 , 0.377192 , 0.293271 , 0.282408 , 0.386231 , 0.404269 , 0.417862 , 0.244206 , 0.26957 , 0.405478 , 0.214479 , 0.28139 , 0.355476 , 0.39922 , 0.433502 , 0.348251 , 0.397729 , 0.412854 , 0.496392 , 0.337891 , 0.377081 , 0.273953 , 0.403775 , 0.280433 , 0.381202 , 0.361451 , 0.275626 , 0.290237 , 0.313001 , 0.443055 , 0.293341 , 0.252408 , 0.272905 , 0.294147 , 0.369191 , 0.421006 , 0.353188 , 0.323683 , 0.303589 , 0.388901 , 0.309646 , 0.35473 , 0.388498 , 0.380275 , 0.338546 , 0.436636 , 0.430035 , 0.232123 , 0.385717 , 0.428181 , 0.337166 , 0.319189 , 0.347848 , 0.276089 , 0.368364 , 0.352221 , 0.321577 , 0.424755 , 0.337619 , 0.384155 , 0.341922 , 0.325376 , 0.378804 , 0.206226 , 0.400883 , 0.402656 , 0.34028 , 0.334808 , 0.380487 , 0.444325 , 0.324741 , 0.468116 , 0.3364 , 0.310774 
 878 , 0.411492 , 0.516176 , 0.418783 , 0.33684 , 0.37716 , 0.41016 , 0.306809 , 0.432112 , 0.366285 , 0.423377 , 0.478481 , 0.472442 , 0.372566 , 0.561636 , 0.214708 , 0.310606 , 0.367406 , 0.336052 , 0.385673 , 0.430426 , 0.433748 , 0.397739 , 0.411876 , 0.455569 , 0.287916 , 0.383138 , 0.342737 , 0.453004 , 0.461204 , 0.357762 , 0.420742 , 0.309647 , 0.326187 , 0.395407 , 0.412058 , 0.455579 , 0.406181 , 0.327823 , 0.422004 , 0.489417 , 0.432405 , 0.382532 , 0.282423 , 0.485549 , 0.417137 , 0.404444 , 0.394357 , 0.347402 , 0.501201 , 0.326732 , 0.377877 , 0.388803 , 0.492981 , 0.482803 , 0.24386 , 0.38541 , 0.454832 , 0.453489 , 0.361398 , 0.422873 , 0.328166 , 0.38026 , 0.434707 , 0.298044 , 0.347675 , 0.205004 , 0.371919 , 0.415915 , 0.443502 , 0.301043 , 0.292329 , 0.395558 , 0.398214 , 0.445996 , 0.341939 , 0.461961 , 0.279313 , 0.264328 , 0.471231 , 0.423064 , 0.363609 , 0.433253 , 0.43289 , 0.411573 , 0.435202 , 0.382118 , 0.302871 , 0.377695 , 0.293612 , 0.282746 , 0.386763 , 0.404767 , 0.418308 , 0.244446 , 0.269882 , 0.406009 , 0.214688 , 0.281666 , 0.355915 , 0.399517 , 0.434121 , 0.348553 , 0.398163 , 0.41332 , 0.496949 , 0.338526 , 0.377786 , 0.274456 , 0.404464 , 0.280838 , 0.381825 , 0.361943 , 0.276042 , 0.290613 , 0.313514 , 0.443785 , 0.293672 , 0.252746 , 0.273406 , 0.294652 , 0.369587 , 0.421449 , 0.353683 , 0.324036 , 0.303931 , 0.389318 , 0.310101 , 0.355127 , 0.388894 , 0.380745 , 0.33896 , 0.437141 , 0.430638 , 0.23244 , 0.386208 , 0.42878 , 0.337658 , 0.319563 , 0.348372 , 0.276516 , 0.369052 , 0.352592 , 0.321905 , 0.425538 , 0.338173 , 0.384491 , 0.342333 , 0.325642 , 0.37926 , 0.206468 , 0.401465 , 0.403354 , 0.340758 , 0.335386 , 0.381058 , 0.444835 , 0.325137 , 0.468787 , 0.336779 , 0.311071 
 879 , 0.411774 , 0.516704 , 0.41912 , 0.337282 , 0.377574 , 0.41059 , 0.307179 , 0.4327 , 0.366605 , 0.423714 , 0.479336 , 0.472981 , 0.37297 , 0.562126 , 0.215029 , 0.310973 , 0.367799 , 0.336442 , 0.386043 , 0.430757 , 0.434308 , 0.398195 , 0.41229 , 0.456013 , 0.288257 , 0.383311 , 0.34309 , 0.453483 , 0.461517 , 0.358126 , 0.421114 , 0.309921 , 0.326667 , 0.395726 , 0.412584 , 0.456033 , 0.406584 , 0.328084 , 0.422227 , 0.489667 , 0.43274 , 0.382916 , 0.282732 , 0.485883 , 0.417431 , 0.404954 , 0.394967 , 0.347855 , 0.50187 , 0.327082 , 0.378292 , 0.389362 , 0.493583 , 0.483262 , 0.244201 , 0.3858 , 0.455345 , 0.453959 , 0.361728 , 0.423289 , 0.328489 , 0.380579 , 0.435239 , 0.298285 , 0.347926 , 0.205396 , 0.372272 , 0.416166 , 0.444184 , 0.301543 , 0.292689 , 0.39604 , 0.398671 , 0.44638 , 0.342321 , 0.462337 , 0.279656 , 0.26459 , 0.471676 , 0.423471 , 0.364177 , 0.433651 , 0.433266 , 0.412007 , 0.435583 , 0.382542 , 0.303263 , 0.378191 , 0.293954 , 0.283107 , 0.387318 , 0.405278 , 0.418756 , 0.244677 , 0.270196 , 0.406563 , 0.214898 , 0.281933 , 0.356375 , 0.399814 , 0.434764 , 0.348847 , 0.39861 , 0.413768 , 0.497539 , 0.339164 , 0.378484 , 0.274992 , 0.405177 , 0.281245 , 0.382471 , 0.362457 , 0.276469 , 0.290979 , 0.314049 , 0.444508 , 0.294015 , 0.253095 , 0.273919 , 0.295188 , 0.369975 , 0.421913 , 0.3542 , 0.32436 , 0.304265 , 0.389746 , 0.310559 , 0.355515 , 0.389291 , 0.381226 , 0.339366 , 0.437658 , 0.431253 , 0.232757 , 0.38668 , 0.429391 , 0.338162 , 0.319928 , 0.348898 , 0.276924 , 0.369742 , 0.352955 , 0.322225 , 0.426325 , 0.338729 , 0.384819 , 0.342735 , 0.325898 , 0.379709 , 0.206712 , 0.402081 , 0.404054 , 0.341248 , 0.335986 , 0.381621 , 0.445338 , 0.325544 , 0.46947 , 0.33715 , 0.311368 
 880 , 0.412137 , 0.51729 , 0.419497 , 0.3377 , 0.377965 , 0.411083 , 0.307552 , 0.433334 , 0.367006 , 0.424079 , 0.480117 , 0.473548 , 0.373362 , 0.562644 , 0.215334 , 0.311343 , 0.368192 , 0.336858 , 0.386439 , 0.431094 , 0.434875 , 0.398634 , 0.412766 , 0.456497 , 0.288626 , 0.38352 , 0.343478 , 0.454014 , 0.46187 , 0.358532 , 0.421504 , 0.310228 , 0.327167 , 0.3961 , 0.41312 , 0.456568 , 0.407018 , 0.328374 , 0.422467 , 0.48996 , 0.43308 , 0.383337 , 0.283 , 0.486301 , 0.417763 , 0.405457 , 0.395603 , 0.348394 , 0.502561 , 0.327441 , 0.378725 , 0.389997 , 0.494157 , 0.483746 , 0.2446 , 0.386216 , 0.455869 , 0.4545 , 0.36214 , 0.423704 , 0.328891 , 0.380935 , 0.435726 , 0.29852 , 0.348192 , 0.205785 , 0.372632 , 0.416496 , 0.444819 , 0.302007 , 0.293076 , 0.396526 , 0.399151 , 0.446776 , 0.342687 , 0.462803 , 0.280029 , 0.264884 , 0.472119 , 0.423937 , 0.364715 , 0.434043 , 0.433658 , 0.412482 , 0.43602 , 0.383043 , 0.303659 , 0.378664 , 0.294404 , 0.283506 , 0.387909 , 0.40574 , 0.419233 , 0.244995 , 0.270561 , 0.407109 , 0.215162 , 0.28228 , 0.356889 , 0.400185 , 0.435453 , 0.349216 , 0.399141 , 0.414286 , 0.49809 , 0.339818 , 0.379222 , 0.275498 , 0.405913 , 0.281722 , 0.383135 , 0.363043 , 0.276897 , 0.291444 , 0.314617 , 0.445275 , 0.294424 , 0.253511 , 0.274464 , 0.295762 , 0.370433 , 0.422487 , 0.35472 , 0.324704 , 0.304653 , 0.39018 , 0.311019 , 0.355957 , 0.389744 , 0.381726 , 0.339808 , 0.43822 , 0.431884 , 0.233064 , 0.38721 , 0.430039 , 0.338693 , 0.320314 , 0.349469 , 0.277373 , 0.370402 , 0.353382 , 0.322616 , 0.42715 , 0.339362 , 0.385172 , 0.343184 , 0.326184 , 0.380195 , 0.206971 , 0.40273 , 0.404686 , 0.341795 , 0.336605 , 0.382172 , 0.445914 , 0.325981 , 0.470132 , 0.337548 , 0.311769 
 881 , 0.4126 , 0.517917 , 0.41997 , 0.338104 , 0.378337 , 0.411666 , 0.307932 , 0.434041 , 0.367504 , 0.424518 , 0.480791 , 0.474203 , 0.373738 , 0.563236 , 0.21567 , 0.311749 , 0.36857 , 0.337333 , 0.386864 , 0.431402 , 0.435462 , 0.399067 , 0.413331 , 0.457035 , 0.289039 , 0.383829 , 0.34387 , 0.454558 , 0.462294 , 0.358977 , 0.421909 , 0.310562 , 0.327698 , 0.39655 , 0.413737 , 0.457218 , 0.407473 , 0.328744 , 0.422762 , 0.490365 , 0.433422 , 0.383788 , 0.283212 , 0.486842 , 0.418163 , 0.405991 , 0.396255 , 0.349048 , 0.50338 , 0.32784 , 0.379159 , 0.390661 , 0.494669 , 0.484273 , 0.24505 , 0.386661 , 0.456437 , 0.455127 , 0.362713 , 0.424133 , 0.329414 , 0.381382 , 0.436163 , 0.298775 , 0.34851 , 0.206158 , 0.372997 , 0.416965 , 0.445452 , 0.30245 , 0.293496 , 0.397037 , 0.399666 , 0.447259 , 0.343068 , 0.463411 , 0.280461 , 0.265223 , 0.472538 , 0.424478 , 0.36522 , 0.434488 , 0.434112 , 0.413047 , 0.436549 , 0.383656 , 0.304105 , 0.379129 , 0.294998 , 0.283994 , 0.388519 , 0.406143 , 0.419727 , 0.245497 , 0.270989 , 0.407595 , 0.215528 , 0.282745 , 0.357434 , 0.400671 , 0.436224 , 0.349728 , 0.399778 , 0.414904 , 0.498618 , 0.34051 , 0.379992 , 0.275953 , 0.406671 , 0.282298 , 0.383799 , 0.363728 , 0.277324 , 0.292034 , 0.315211 , 0.446102 , 0.294938 , 0.254015 , 0.274999 , 0.296298 , 0.371007 , 0.423168 , 0.35522 , 0.325109 , 0.305151 , 0.390682 , 0.311526 , 0.356439 , 0.390336 , 0.382255 , 0.340348 , 0.438843 , 0.432589 , 0.233396 , 0.387839 , 0.430782 , 0.339251 , 0.320744 , 0.350155 , 0.277933 , 0.371088 , 0.35388 , 0.32314 , 0.428041 , 0.340094 , 0.385626 , 0.343698 , 0.326622 , 0.380794 , 0.207285 , 0.403422 , 0.40527 , 0.342449 , 0.337221 , 0.382743 , 0.44664 , 0.32651 , 0.470781 , 0.338003 , 0.312338 
 882 , 0.413057 , 0.518524 , 0.420478 , 0.338516 , 0.378714 , 0.412274 , 0.308331 , 0.434752 , 0.368039 , 0.425023 , 0.481457 , 0.47489 , 0.374109 , 0.563898 , 0.216039 , 0.312194 , 0.368964 , 0.337845 , 0.387264 , 0.431722 , 0.436084 , 0.399525 , 0.413921 , 0.457576 , 0.289503 , 0.384163 , 0.344249 , 0.455075 , 0.46273 , 0.359398 , 0.422318 , 0.310913 , 0.328258 , 0.397024 , 0.414429 , 0.457871 , 0.407902 , 0.329142 , 0.423061 , 0.490841 , 0.433766 , 0.384235 , 0.283443 , 0.487415 , 0.418567 , 0.40655 , 0.396933 , 0.349689 , 0.504301 , 0.328298 , 0.379578 , 0.39128 , 0.495172 , 0.484792 , 0.245522 , 0.387132 , 0.457037 , 0.455756 , 0.363363 , 0.424565 , 0.329996 , 0.381866 , 0.436643 , 0.299029 , 0.348885 , 0.206564 , 0.373397 , 0.417469 , 0.446149 , 0.302953 , 0.293925 , 0.397593 , 0.400227 , 0.447775 , 0.343507 , 0.464052 , 0.280881 , 0.265601 , 0.472948 , 0.425043 , 0.365721 , 0.434986 , 0.43462 , 0.413677 , 0.437101 , 0.384306 , 0.304549 , 0.379649 , 0.295623 , 0.284491 , 0.389135 , 0.40654 , 0.420224 , 0.246051 , 0.271406 , 0.408045 , 0.215937 , 0.28324 , 0.357934 , 0.401213 , 0.436989 , 0.350299 , 0.40044 , 0.415578 , 0.499167 , 0.3412 , 0.380768 , 0.276388 , 0.407404 , 0.282915 , 0.384458 , 0.36444 , 0.27775 , 0.292634 , 0.315793 , 0.446972 , 0.295481 , 0.254499 , 0.275503 , 0.296762 , 0.371608 , 0.423823 , 0.355738 , 0.325563 , 0.305718 , 0.391249 , 0.312083 , 0.356927 , 0.390965 , 0.382821 , 0.340935 , 0.43948 , 0.433369 , 0.233759 , 0.388525 , 0.43156 , 0.339807 , 0.321232 , 0.350878 , 0.278553 , 0.371811 , 0.354386 , 0.323723 , 0.428978 , 0.340844 , 0.386136 , 0.344239 , 0.327139 , 0.381449 , 0.207631 , 0.40411 , 0.40591 , 0.343162 , 0.337824 , 0.38334 , 0.447409 , 0.327088 , 0.471464 , 0.338516 , 0.312906 
 883 , 0.413494 , 0.519136 , 0.420947 , 0.338919 , 0.379088 , 0.412873 , 0.308728 , 0.435447 , 0.368559 , 0.425509 , 0.482143 , 0.475576 , 0.374506 , 0.564549 , 0.216395 , 0.312628 , 0.369354 , 0.338328 , 0.387661 , 0.432046 , 0.436689 , 0.399992 , 0.414492 , 0.458093 , 0.289952 , 0.384495 , 0.344621 , 0.455547 , 0.463143 , 0.359792 , 0.422699 , 0.311243 , 0.328797 , 0.397477 , 0.415113 , 0.4585 , 0.408321 , 0.32952 , 0.423361 , 0.491297 , 0.434103 , 0.384668 , 0.283669 , 0.487978 , 0.418962 , 0.40711 , 0.397589 , 0.350303 , 0.505216 , 0.328747 , 0.379994 , 0.391867 , 0.495676 , 0.48532 , 0.245964 , 0.3876 , 0.457624 , 0.456382 , 0.363988 , 0.425 , 0.330569 , 0.382336 , 0.437107 , 0.299299 , 0.349254 , 0.206946 , 0.373793 , 0.417954 , 0.446851 , 0.303454 , 0.294371 , 0.398149 , 0.400786 , 0.448287 , 0.343949 , 0.46465 , 0.281277 , 0.265962 , 0.473356 , 0.425601 , 0.366238 , 0.435478 , 0.435131 , 0.414309 , 0.437646 , 0.384922 , 0.304981 , 0.380177 , 0.296245 , 0.284983 , 0.389728 , 0.406926 , 0.420703 , 0.246585 , 0.271838 , 0.408495 , 0.216323 , 0.28371 , 0.358397 , 0.401754 , 0.437748 , 0.350852 , 0.401092 , 0.416253 , 0.499738 , 0.341882 , 0.381532 , 0.276827 , 0.408128 , 0.283506 , 0.385126 , 0.365148 , 0.278171 , 0.29321 , 0.316344 , 0.447859 , 0.296021 , 0.254976 , 0.276002 , 0.297222 , 0.372205 , 0.424471 , 0.356249 , 0.326028 , 0.306274 , 0.391806 , 0.312628 , 0.35741 , 0.391582 , 0.383375 , 0.341525 , 0.440111 , 0.434154 , 0.234112 , 0.389199 , 0.432321 , 0.340354 , 0.321721 , 0.351616 , 0.279159 , 0.372541 , 0.354895 , 0.324297 , 0.429918 , 0.341586 , 0.386653 , 0.344763 , 0.327647 , 0.382102 , 0.207964 , 0.404788 , 0.40656 , 0.343867 , 0.33842 , 0.383945 , 0.448165 , 0.327657 , 0.472165 , 0.339021 , 0.313473 
