TEST_00013.spu,TEST_00012.spu,TEST_00011.spu,
Wavelength,SHB1_00001.spu,SHB1_00002.spu,SHB1_00003.spu,SHB1_00004.spu,SHB1_00005.spu,SHB1_00006.spu,SHB1_00007.spu,SHB1_00008.spu,SHB1_00009.spu,SHB1_00010.spu,SHB1_00011.spu,SHB1_00012.spu,SHB1_00013.spu,SHB1_00014.spu,SHB1_00015.spu,SHB1_00016.spu,SHB1_00017.spu,SHB1_00018.spu,SHB1_00019.spu,SHB1_00020.spu
  (nm),8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5
  time  ,4:17 PM",4:44 PM",5:12 PM",5:33 PM",6:06 PM",7:23 PM",7:45 PM",8:31 PM",8:58 PM",9:19 PM",0:41 PM",1:02 PM",1:30 PM",3:47 PM",4:21 PM",5:28 PM",5:40 PM",5:55 PM",6:15 PM",6:31 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 355 , 0.013061 , 0.018314 , 0.011891 , 0.016285 , 0.01092 , 0.013782 , 0.010676 , 0.010093 , 0.016801 , 0.013116 , 0.012044 , 0.009729 , 0.01484 , 0.007282 , 0.01221 , 0.010036 , 0.015316 , 0.014361 , 0.01597 , 0.015158 
 356 , 0.013798 , 0.018661 , 0.012543 , 0.016809 , 0.011389 , 0.014374 , 0.012094 , 0.010268 , 0.016829 , 0.013946 , 0.012682 , 0.010244 , 0.015011 , 0.00764 , 0.012411 , 0.010646 , 0.015797 , 0.014967 , 0.016375 , 0.015608 
 357 , 0.014543 , 0.018993 , 0.013205 , 0.017341 , 0.011875 , 0.014992 , 0.01356 , 0.010448 , 0.01684 , 0.014791 , 0.013342 , 0.010768 , 0.015176 , 0.007994 , 0.012647 , 0.011263 , 0.01629 , 0.015597 , 0.01681 , 0.016072 
 358 , 0.015246 , 0.019297 , 0.013836 , 0.017844 , 0.012337 , 0.015579 , 0.014956 , 0.010619 , 0.016849 , 0.015594 , 0.013983 , 0.011269 , 0.01533 , 0.008333 , 0.012874 , 0.011852 , 0.016756 , 0.016199 , 0.017232 , 0.016515 
 359 , 0.015644 , 0.019454 , 0.014066 , 0.018204 , 0.012689 , 0.015849 , 0.015188 , 0.010901 , 0.01704 , 0.015899 , 0.014359 , 0.011722 , 0.015521 , 0.008541 , 0.013062 , 0.012175 , 0.017048 , 0.016533 , 0.017613 , 0.016962 
 360 , 0.015824 , 0.019509 , 0.014013 , 0.018455 , 0.012955 , 0.015889 , 0.014616 , 0.01126 , 0.017349 , 0.015853 , 0.014533 , 0.012131 , 0.015731 , 0.008649 , 0.013212 , 0.012304 , 0.017213 , 0.016671 , 0.017952 , 0.017406 
 361 , 0.015991 , 0.01956 , 0.013964 , 0.018689 , 0.013204 , 0.015925 , 0.014089 , 0.011604 , 0.017634 , 0.015811 , 0.014695 , 0.012515 , 0.015925 , 0.008747 , 0.013346 , 0.012427 , 0.01737 , 0.0168 , 0.018271 , 0.017829 
 362 , 0.016088 , 0.019606 , 0.013867 , 0.018823 , 0.013321 , 0.015875 , 0.013695 , 0.011806 , 0.01781 , 0.015737 , 0.014712 , 0.01275 , 0.016029 , 0.008731 , 0.013433 , 0.012483 , 0.01744 , 0.01683 , 0.018427 , 0.018082 
 363 , 0.015946 , 0.01964 , 0.013579 , 0.018618 , 0.01298 , 0.015497 , 0.013691 , 0.011502 , 0.017622 , 0.01551 , 0.014218 , 0.012479 , 0.015827 , 0.008308 , 0.013388 , 0.012303 , 0.017201 , 0.0165 , 0.018013 , 0.017718 
 364 , 0.015813 , 0.019668 , 0.013311 , 0.018426 , 0.012665 , 0.01515 , 0.013686 , 0.011219 , 0.017447 , 0.015298 , 0.013764 , 0.012227 , 0.015638 , 0.007918 , 0.013347 , 0.012136 , 0.016978 , 0.016193 , 0.01763 , 0.01738 
 365 , 0.015688 , 0.019692 , 0.013063 , 0.018245 , 0.012373 , 0.014828 , 0.013682 , 0.010954 , 0.017281 , 0.015101 , 0.013346 , 0.011993 , 0.015461 , 0.007555 , 0.01331 , 0.01198 , 0.01677 , 0.015907 , 0.017274 , 0.017067 
 366 , 0.015679 , 0.019407 , 0.012999 , 0.018057 , 0.012314 , 0.014942 , 0.014127 , 0.011039 , 0.017133 , 0.015009 , 0.013405 , 0.011919 , 0.015385 , 0.007641 , 0.013514 , 0.012011 , 0.016914 , 0.016022 , 0.017369 , 0.017154 
 367 , 0.015695 , 0.019068 , 0.012977 , 0.017875 , 0.012306 , 0.015145 , 0.014658 , 0.011194 , 0.016991 , 0.014942 , 0.013562 , 0.011879 , 0.01533 , 0.007819 , 0.013765 , 0.01208 , 0.017129 , 0.016219 , 0.017556 , 0.017324 
 368 , 0.015711 , 0.018743 , 0.012956 , 0.0177 , 0.012297 , 0.015342 , 0.015175 , 0.011344 , 0.016852 , 0.014876 , 0.013716 , 0.01184 , 0.015273 , 0.007993 , 0.014009 , 0.012145 , 0.017338 , 0.01641 , 0.017738 , 0.017489 
 369 , 0.015649 , 0.018547 , 0.012893 , 0.017644 , 0.012288 , 0.015533 , 0.015249 , 0.011394 , 0.016866 , 0.01485 , 0.013726 , 0.011881 , 0.015321 , 0.008164 , 0.014108 , 0.012191 , 0.017489 , 0.01659 , 0.017854 , 0.017652 
 370 , 0.015491 , 0.0185 , 0.012779 , 0.017729 , 0.012277 , 0.015718 , 0.014793 , 0.011324 , 0.017068 , 0.014871 , 0.013564 , 0.012019 , 0.015496 , 0.008336 , 0.014033 , 0.012212 , 0.017572 , 0.016762 , 0.017893 , 0.017818 
 371 , 0.015337 , 0.018454 , 0.012665 , 0.017815 , 0.012271 , 0.015914 , 0.01434 , 0.011253 , 0.017274 , 0.014891 , 0.013402 , 0.012157 , 0.015678 , 0.008512 , 0.013958 , 0.012235 , 0.01766 , 0.016941 , 0.017937 , 0.017988 
 372 , 0.015185 , 0.018431 , 0.012545 , 0.017878 , 0.012255 , 0.016072 , 0.013943 , 0.011157 , 0.017438 , 0.014904 , 0.013231 , 0.012275 , 0.015823 , 0.00867 , 0.013874 , 0.012242 , 0.017731 , 0.017082 , 0.017961 , 0.018139 
 373 , 0.015009 , 0.018596 , 0.012318 , 0.017579 , 0.012077 , 0.01567 , 0.01419 , 0.010754 , 0.017055 , 0.014813 , 0.012951 , 0.012139 , 0.015434 , 0.008583 , 0.013675 , 0.012011 , 0.017516 , 0.01674 , 0.017687 , 0.018012 
 374 , 0.014855 , 0.018795 , 0.01211 , 0.017324 , 0.011913 , 0.015299 , 0.014439 , 0.010377 , 0.0167 , 0.014738 , 0.012679 , 0.012016 , 0.015072 , 0.008501 , 0.013491 , 0.011795 , 0.017322 , 0.016396 , 0.017429 , 0.0179 
 375 , 0.014716 , 0.019021 , 0.011918 , 0.017102 , 0.011758 , 0.014952 , 0.014691 , 0.010019 , 0.016367 , 0.014675 , 0.012412 , 0.011903 , 0.014732 , 0.008423 , 0.01332 , 0.011589 , 0.017142 , 0.016051 , 0.017182 , 0.017798 
 376 , 0.014453 , 0.018368 , 0.011654 , 0.016592 , 0.011606 , 0.014509 , 0.014243 , 0.009854 , 0.015802 , 0.014322 , 0.012114 , 0.011556 , 0.014301 , 0.008186 , 0.013349 , 0.011394 , 0.01683 , 0.015719 , 0.016886 , 0.017449 
