MAT_00004.spu,MAT_00003.spu,
Wavelength,WSG1_00000.spu,WSG1_00001.spu,WSG1_00002.spu,WSG1_00003.spu,WSG1_00004.spu,WSG1_00005.spu,WSG1_00006.spu,WSG1_00007.spu,WSG1_00008.spu,WSG1_00009.spu,WSG1_00010.spu,WSG1_00011.spu,WSG1_00012.spu,WSG1_00013.spu,WSG1_00014.spu,WSG1_00015.spu,WSG1_00016.spu,WSG1_00017.spu,WSG1_00018.spu,WSG1_00019.spu,WSG1_00020.spu,WSG1_00021.spu,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu
  (nm),7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 
  time  ,:11:01 A,:11:18 A,:11:33 A,:11:40 A,:11:48 A,:12:10 A,:12:18 A,:12:26 A,:12:33 A,:12:40 A,:13:06 A,:13:14 A,:13:21 A,:13:28 A,:13:37 A,:14:15 A,:14:22 A,:14:31 A,:14:38 A,:14:46 A,:15:17 A,:15:26 A,:16:03 A,:16:14 A,:16:23 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 350 , 0.010068 , 0.012736 , 0.012492 , 0.014297 , 0.015808 , 0.014962 , 0.02901 , 0.018731 , 0.023491 , 0.02622 , 0.018311 , 0.006981 , 0.00832 , 0.016372 , 0.014394 , 0.021529 , 0.024356 , 0.019455 , 0.014837 , 0.014335 , 0.02457 , 0.012704 , 0.0202 , 0.023665 , 0.030353 
 351 , 0.009879 , 0.012841 , 0.012676 , 0.014531 , 0.015948 , 0.014885 , 0.028945 , 0.018694 , 0.023681 , 0.026176 , 0.018366 , 0.00699 , 0.008283 , 0.016413 , 0.014477 , 0.021721 , 0.024417 , 0.019592 , 0.014836 , 0.014389 , 0.024585 , 0.01288 , 0.020352 , 0.023872 , 0.030472 
 352 , 0.009879 , 0.012787 , 0.012779 , 0.01469 , 0.016138 , 0.014849 , 0.02894 , 0.018694 , 0.02379 , 0.026094 , 0.01844 , 0.006976 , 0.008307 , 0.016346 , 0.01454 , 0.021835 , 0.024463 , 0.019663 , 0.014857 , 0.014425 , 0.024629 , 0.012968 , 0.020453 , 0.023986 , 0.030618 
 353 , 0.010223 , 0.012436 , 0.01275 , 0.014735 , 0.016447 , 0.014891 , 0.029047 , 0.018762 , 0.023769 , 0.02593 , 0.018564 , 0.006921 , 0.008446 , 0.016069 , 0.014579 , 0.02181 , 0.024484 , 0.019611 , 0.014922 , 0.014436 , 0.024732 , 0.012909 , 0.020467 , 0.023952 , 0.030836 
 354 , 0.010535 , 0.012108 , 0.012721 , 0.014773 , 0.016728 , 0.014926 , 0.029145 , 0.018822 , 0.023748 , 0.025772 , 0.018683 , 0.006869 , 0.008573 , 0.01581 , 0.014616 , 0.021784 , 0.024497 , 0.019555 , 0.014979 , 0.014441 , 0.024828 , 0.012854 , 0.020477 , 0.023916 , 0.031039 
 355 , 0.010819 , 0.011801 , 0.012694 , 0.014805 , 0.016987 , 0.014955 , 0.029234 , 0.018874 , 0.023728 , 0.02562 , 0.018797 , 0.00682 , 0.008689 , 0.015567 , 0.014651 , 0.021757 , 0.024503 , 0.019496 , 0.015029 , 0.014441 , 0.024916 , 0.012803 , 0.020482 , 0.023881 , 0.031227 
 356 , 0.010966 , 0.012148 , 0.013135 , 0.015039 , 0.01712 , 0.01545 , 0.02954 , 0.019049 , 0.02382 , 0.025996 , 0.018837 , 0.007097 , 0.008893 , 0.015792 , 0.014954 , 0.022067 , 0.024541 , 0.019611 , 0.015138 , 0.01462 , 0.025092 , 0.013184 , 0.020721 , 0.0241 , 0.031418 
 357 , 0.011098 , 0.012507 , 0.013574 , 0.01527 , 0.017239 , 0.01594 , 0.02984 , 0.019219 , 0.02391 , 0.026375 , 0.01887 , 0.007375 , 0.009088 , 0.016024 , 0.015254 , 0.022375 , 0.024577 , 0.019728 , 0.015241 , 0.014798 , 0.025262 , 0.013562 , 0.020958 , 0.024317 , 0.031595 
 358 , 0.011222 , 0.012847 , 0.013987 , 0.01549 , 0.017351 , 0.016402 , 0.030122 , 0.019379 , 0.023993 , 0.026732 , 0.0189 , 0.007639 , 0.009272 , 0.01624 , 0.015535 , 0.022664 , 0.024609 , 0.019838 , 0.015339 , 0.014967 , 0.025423 , 0.013915 , 0.02118 , 0.024521 , 0.031762 
 359 , 0.01103 , 0.012778 , 0.013901 , 0.015294 , 0.017393 , 0.016279 , 0.03004 , 0.019362 , 0.023912 , 0.026651 , 0.018659 , 0.007615 , 0.00917 , 0.016099 , 0.015451 , 0.022505 , 0.024495 , 0.019739 , 0.015236 , 0.014969 , 0.025307 , 0.013895 , 0.021111 , 0.024416 , 0.031688 
 360 , 0.010628 , 0.012433 , 0.013476 , 0.01482 , 0.017383 , 0.01576 , 0.029707 , 0.019222 , 0.023722 , 0.026271 , 0.018241 , 0.007394 , 0.008878 , 0.015721 , 0.01512 , 0.022045 , 0.024283 , 0.0195 , 0.015001 , 0.014855 , 0.025004 , 0.013622 , 0.020843 , 0.024103 , 0.031453 
 361 , 0.010252 , 0.012111 , 0.01308 , 0.014381 , 0.017373 , 0.015276 , 0.029396 , 0.019091 , 0.023546 , 0.025918 , 0.017852 , 0.007188 , 0.008607 , 0.015368 , 0.014812 , 0.021615 , 0.024086 , 0.019276 , 0.014781 , 0.014749 , 0.024721 , 0.013368 , 0.020593 , 0.023811 , 0.031234 
 362 , 0.010098 , 0.011999 , 0.012849 , 0.014145 , 0.017477 , 0.015028 , 0.029284 , 0.019094 , 0.023493 , 0.025793 , 0.017671 , 0.007131 , 0.0085 , 0.01521 , 0.014675 , 0.021374 , 0.023973 , 0.019169 , 0.014717 , 0.014776 , 0.024657 , 0.013287 , 0.020507 , 0.023686 , 0.03117 
 363 , 0.010705 , 0.012619 , 0.013163 , 0.014585 , 0.018013 , 0.015574 , 0.02988 , 0.019574 , 0.02387 , 0.026473 , 0.018197 , 0.007591 , 0.008961 , 0.015721 , 0.015117 , 0.021754 , 0.024128 , 0.019457 , 0.015191 , 0.015279 , 0.025368 , 0.013804 , 0.020992 , 0.02413 , 0.031635 
 364 , 0.011268 , 0.013192 , 0.013447 , 0.01499 , 0.018506 , 0.016077 , 0.030433 , 0.020012 , 0.024212 , 0.027103 , 0.018675 , 0.008014 , 0.009385 , 0.016193 , 0.015519 , 0.022099 , 0.024263 , 0.019717 , 0.015623 , 0.015741 , 0.026027 , 0.014276 , 0.021439 , 0.024533 , 0.032057 
