MAT_00009.ref_MAT_DARK.spu,MAT_00008.ref_MAT_DARK.spu,MAT_00007.ref_MAT_DARK.spu,MAT_00006.ref_MAT_DARK.spu,MAT_00005.ref_MAT_DARK.spu,
Wavelength,MAT_00010_B2_P.spu,MAT_00011_B2_P.spu,MAT_00012_B2_P.spu,MAT_00013_B2_P.spu,MAT_00014_B2_P.spu,MAT_00015_B2_CT2.spu,MAT_00016_B2_CT2.spu,MAT_00017_B2_CT2.spu,MAT_00018_B2_CT2.spu,MAT_00019_B2_CT2.spu,MAT_00020_B2_CT1.spu,MAT_00021_B2_CT1.spu,MAT_00022_B2_CT1.spu,MAT_00023_B2_CT1.spu,MAT_00024_B2_CT1.spu,MAT_00025_B2_N.spu,MAT_00026_B2_N.spu,MAT_00027_B2_N.spu,MAT_00028_B2_N.spu,MAT_00029_B2_N.spu,MAT_00030_B2_NP.spu,MAT_00031_B2_NP.spu,MAT_00032_B2_NP.spu,MAT_00033_B2_NP.spu,MAT_00034_B2_NP.spu,MAT_00040_B4_CT2.spu,MAT_00041_B4_CT2.spu,MAT_00042_B4_CT2.spu,MAT_00043_B4_CT2.spu,MAT_00044_B4_CT2.spu,MAT_00045_B4_CT1.spu,MAT_00046_B4_CT1.spu,MAT_00047_B4_CT1.spu,MAT_00048_B4_CT1.spu,MAT_00049_B4_CT1.spu,MAT_00050_B4_N.spu,MAT_00051_B4_N.spu,MAT_00052_B4_N.spu,MAT_00053_B4_N.spu,MAT_00054_B4_N.spu,MAT_00055_B4_P.spu,MAT_00056_B4_P.spu,MAT_00057_B4_P.spu,MAT_00058_B4_P.spu,MAT_00059_B4_P.spu,MAT_00060_B4_NP.spu,MAT_00061_B4_NP.spu,MAT_00062_B4_NP.spu,MAT_00063_B4_NP.spu,MAT_00064_B4_NP.spu,MAT_00065_B3_N.spu,MAT_00066_B3_N.spu,MAT_00067_B3_N.spu,MAT_00068_B3_N.spu,MAT_00069_B3_N.spu,MAT_00070_B3_CT2.spu,MAT_00071_B3_CT2.spu,MAT_00072_B3_CT2.spu,MAT_00073_B3_CT2.spu,MAT_00074_B3_CT2.spu,MAT_00075_B3_CT1.spu,MAT_00076_B3_CT1.spu,MAT_00077_B3_CT1.spu,MAT_00078_B3_CT1.spu,MAT_00079_B3_CT1.spu,MAT_00080_B3_NP.spu,MAT_00081_B3_NP.spu,MAT_00082_B3_NP.spu,MAT_00083_B3_NP.spu,MAT_00084_B3_NP.spu,MAT_00085_B3_P.spu,MAT_00086_B3_P.spu,MAT_00087_B3_P.spu,MAT_00088_B3_P.spu,MAT_00089_B3_P.spu,MAT_00090_B1_CT2.spu,MAT_00091_B1_CT2.spu,MAT_00092_B1_CT2.spu,MAT_00093_B1_CT2.spu,MAT_00094_B1_CT2.spu,MAT_00095_B1_NP.spu,MAT_00096_B1_NP.spu,MAT_00097_B1_NP.spu,MAT_00098_B1_NP.spu,MAT_00099_B1_NP.spu,MAT_00100_B1_N.spu,MAT_00101_B1_N.spu,MAT_00102_B1_N.spu,MAT_00103_B1_N.spu,MAT_00104_B1_N.spu,MAT_00105_B1_P.spu,MAT_00106_B1_P.spu,MAT_00107_B1_P.spu,MAT_00108_B1_P.spu,MAT_00109_B1_P.spu,MAT_00110_B1_CT1.spu,MAT_00111_B1_CT1.spu,MAT_00112_B1_CT1.spu,MAT_00113_B1_CT1.spu,MAT_00114_B1_CT1.spu
 899 , 0.430082 , 0.454663 , 0.448948 , 0.460538 , 0.31474 , 0.404324 , 0.367186 , 0.585475 , 0.287134 , 0.497787 , 0.556159 , 0.583814 , 0.22461 , 0.48771 , 0.576971 , 0.620988 , 0.544866 , 0.786298 , 0.758283 , 0.555713 , 0.208013 , 0.265392 , 0.75723 , 0.311319 , 0.471707 , 0.384738 , 0.451675 , 0.647243 , 0.437247 , 0.440643 , 0.430516 , 0.275916 , 0.340325 , 0.49801 , 0.56253 , 0.510233 , 0.417575 , 0.449915 , 0.576277 , 0.575335 , 0.484202 , 0.355013 , 0.380722 , 0.371078 , 0.455506 , 0.431892 , 0.442292 , 0.174234 , 0.190597 , 0.380859 , 0.380573 , 0.378008 , 0.480446 , 0.558923 , 0.34268 , 0.441226 , 0.543652 , 0.535842 , 0.341552 , 0.467728 , 0.543329 , 0.441424 , 0.521562 , 0.406803 , 0.49118 , 0.40327 , 0.526545 , 0.394643 , 0.30465 , 0.382185 , 0.489247 , 0.478252 , 0.454712 , 0.384391 , 0.354171 , 0.464282 , 0.427875 , 0.42045 , 0.405972 , 0.407125 , 0.387193 , 0.549329 , 0.351258 , 0.299766 , 0.527004 , 0.495135 , 0.288498 , 0.510282 , 0.456931 , 0.373632 , 0.433726 , 0.480074 , 0.506539 , 0.608865 , 0.552366 , 0.371463 , 0.384267 , 0.433714 , 0.510605 , 0.461517 
 900 , 0.430026 , 0.454678 , 0.449165 , 0.460548 , 0.31471 , 0.404351 , 0.367158 , 0.586074 , 0.287284 , 0.498098 , 0.556786 , 0.584077 , 0.224638 , 0.488085 , 0.576961 , 0.621122 , 0.545157 , 0.786456 , 0.75824 , 0.555824 , 0.208126 , 0.265506 , 0.757784 , 0.311874 , 0.471955 , 0.384891 , 0.451866 , 0.647352 , 0.43724 , 0.440878 , 0.430951 , 0.276346 , 0.340854 , 0.49816 , 0.563051 , 0.510739 , 0.417608 , 0.450016 , 0.57632 , 0.575346 , 0.484299 , 0.355061 , 0.381069 , 0.371252 , 0.455516 , 0.431703 , 0.442358 , 0.174423 , 0.191009 , 0.380884 , 0.380538 , 0.378035 , 0.480316 , 0.559018 , 0.342753 , 0.441544 , 0.544047 , 0.535883 , 0.341853 , 0.468033 , 0.543529 , 0.441766 , 0.521529 , 0.40704 , 0.491464 , 0.403377 , 0.526536 , 0.394646 , 0.304907 , 0.38261 , 0.489281 , 0.478281 , 0.45485 , 0.384558 , 0.354222 , 0.464926 , 0.428349 , 0.420901 , 0.406386 , 0.407397 , 0.387777 , 0.549523 , 0.351694 , 0.300455 , 0.526807 , 0.495151 , 0.288727 , 0.510208 , 0.456811 , 0.373657 , 0.433874 , 0.480316 , 0.506805 , 0.60911 , 0.552556 , 0.371709 , 0.384595 , 0.433985 , 0.51085 , 0.461707 
 901 , 0.430049 , 0.454794 , 0.449403 , 0.460616 , 0.31456 , 0.404333 , 0.367159 , 0.586494 , 0.28742 , 0.498502 , 0.557634 , 0.584541 , 0.224665 , 0.488468 , 0.577062 , 0.621408 , 0.545721 , 0.786584 , 0.758314 , 0.555804 , 0.208258 , 0.265658 , 0.758142 , 0.312423 , 0.472086 , 0.384954 , 0.451896 , 0.647296 , 0.437086 , 0.440843 , 0.431056 , 0.27676 , 0.341406 , 0.498391 , 0.563541 , 0.511286 , 0.417559 , 0.450066 , 0.576239 , 0.575392 , 0.48417 , 0.355074 , 0.381429 , 0.371371 , 0.455593 , 0.431461 , 0.442624 , 0.174412 , 0.1912 , 0.380766 , 0.380422 , 0.377892 , 0.480302 , 0.558764 , 0.34272 , 0.441642 , 0.544039 , 0.535663 , 0.34202 , 0.468352 , 0.543793 , 0.441924 , 0.521725 , 0.407047 , 0.491698 , 0.403731 , 0.52633 , 0.394606 , 0.304785 , 0.382829 , 0.489291 , 0.478091 , 0.45493 , 0.384782 , 0.354202 , 0.465528 , 0.428563 , 0.42144 , 0.406764 , 0.407612 , 0.388343 , 0.549393 , 0.351967 , 0.301149 , 0.526711 , 0.4951 , 0.289028 , 0.510095 , 0.456858 , 0.373815 , 0.433831 , 0.48067 , 0.507086 , 0.609127 , 0.552758 , 0.371899 , 0.384978 , 0.434273 , 0.511126 , 0.461782 
 902 , 0.430207 , 0.455033 , 0.449717 , 0.460742 , 0.314487 , 0.404374 , 0.36727 , 0.586825 , 0.287636 , 0.499111 , 0.558635 , 0.58518 , 0.224736 , 0.488957 , 0.577358 , 0.621878 , 0.546492 , 0.786833 , 0.758495 , 0.555798 , 0.20848 , 0.265891 , 0.758471 , 0.313014 , 0.472259 , 0.384951 , 0.451878 , 0.647257 , 0.436972 , 0.440803 , 0.431153 , 0.277212 , 0.342076 , 0.498743 , 0.564049 , 0.511978 , 0.417585 , 0.45022 , 0.576266 , 0.57559 , 0.484083 , 0.35514 , 0.381869 , 0.37158 , 0.455819 , 0.431361 , 0.44305 , 0.174408 , 0.191364 , 0.380702 , 0.380334 , 0.377756 , 0.480522 , 0.558524 , 0.342776 , 0.441748 , 0.543938 , 0.535552 , 0.342187 , 0.468723 , 0.544171 , 0.442178 , 0.521985 , 0.407063 , 0.492039 , 0.404166 , 0.526147 , 0.394687 , 0.304641 , 0.383097 , 0.489411 , 0.477968 , 0.455181 , 0.385073 , 0.354231 , 0.46628 , 0.428746 , 0.422104 , 0.407211 , 0.407923 , 0.388966 , 0.549303 , 0.352267 , 0.301853 , 0.5267 , 0.495158 , 0.289416 , 0.510014 , 0.456998 , 0.37406 , 0.433866 , 0.481161 , 0.507472 , 0.609109 , 0.553085 , 0.372132 , 0.385442 , 0.434701 , 0.511414 , 0.461884 
 903 , 0.430399 , 0.455224 , 0.450031 , 0.460835 , 0.3145 , 0.404408 , 0.367465 , 0.587121 , 0.287833 , 0.499705 , 0.559595 , 0.585844 , 0.224862 , 0.48949 , 0.57768 , 0.62232 , 0.547207 , 0.787035 , 0.758637 , 0.555826 , 0.208729 , 0.266151 , 0.758735 , 0.313579 , 0.472462 , 0.385046 , 0.45186 , 0.647244 , 0.436894 , 0.440909 , 0.431369 , 0.277557 , 0.342726 , 0.499091 , 0.564444 , 0.512597 , 0.41763 , 0.450424 , 0.576329 , 0.575887 , 0.484052 , 0.355285 , 0.38232 , 0.371811 , 0.456145 , 0.431369 , 0.443475 , 0.174438 , 0.191541 , 0.380614 , 0.380356 , 0.377729 , 0.480737 , 0.558428 , 0.34291 , 0.441829 , 0.543843 , 0.535556 , 0.342345 , 0.46911 , 0.544543 , 0.442406 , 0.522431 , 0.407182 , 0.492265 , 0.404469 , 0.525991 , 0.394819 , 0.304567 , 0.383425 , 0.489564 , 0.477937 , 0.455285 , 0.385341 , 0.354401 , 0.466986 , 0.428975 , 0.422787 , 0.4076 , 0.408214 , 0.389564 , 0.549306 , 0.352597 , 0.30248 , 0.526716 , 0.495347 , 0.289797 , 0.510018 , 0.457115 , 0.374266 , 0.433959 , 0.481596 , 0.507723 , 0.609159 , 0.553468 , 0.372413 , 0.385869 , 0.435138 , 0.51175 , 0.462014 
 904 , 0.430562 , 0.455281 , 0.45032 , 0.460905 , 0.314667 , 0.404443 , 0.367825 , 0.587386 , 0.287983 , 0.500249 , 0.560407 , 0.58644 , 0.225062 , 0.490119 , 0.578127 , 0.622678 , 0.54771 , 0.787201 , 0.75865 , 0.55595 , 0.208988 , 0.266493 , 0.758847 , 0.314053 , 0.472767 , 0.385398 , 0.451978 , 0.64736 , 0.436911 , 0.441356 , 0.431901 , 0.277631 , 0.343266 , 0.499414 , 0.564607 , 0.51291 , 0.417754 , 0.450713 , 0.576494 , 0.576469 , 0.484273 , 0.355595 , 0.382794 , 0.372074 , 0.456656 , 0.431594 , 0.4438 , 0.174568 , 0.191747 , 0.380547 , 0.380793 , 0.378103 , 0.48097 , 0.558676 , 0.343205 , 0.441909 , 0.543805 , 0.535811 , 0.342517 , 0.469513 , 0.544874 , 0.442535 , 0.523458 , 0.407611 , 0.492182 , 0.40448 , 0.525902 , 0.395074 , 0.304708 , 0.383887 , 0.489787 , 0.47806 , 0.454974 , 0.385569 , 0.35487 , 0.467512 , 0.429322 , 0.423428 , 0.40782 , 0.408508 , 0.38999 , 0.549491 , 0.352979 , 0.302915 , 0.526822 , 0.495792 , 0.290132 , 0.510245 , 0.45727 , 0.374321 , 0.434246 , 0.481867 , 0.507605 , 0.609403 , 0.553973 , 0.372799 , 0.386196 , 0.43556 , 0.51221 , 0.462231 
 905 , 0.430583 , 0.455339 , 0.450626 , 0.460997 , 0.314818 , 0.404477 , 0.368196 , 0.58782 , 0.288123 , 0.500727 , 0.561174 , 0.586887 , 0.22527 , 0.490748 , 0.57859 , 0.622972 , 0.548115 , 0.787438 , 0.758718 , 0.556179 , 0.209191 , 0.266816 , 0.759086 , 0.314511 , 0.473209 , 0.385895 , 0.452356 , 0.647703 , 0.436855 , 0.441703 , 0.432461 , 0.277789 , 0.343735 , 0.49972 , 0.564942 , 0.513098 , 0.417917 , 0.450969 , 0.576639 , 0.577105 , 0.484685 , 0.355898 , 0.383305 , 0.372308 , 0.457057 , 0.431663 , 0.443986 , 0.174776 , 0.191947 , 0.380568 , 0.381452 , 0.378653 , 0.48115 , 0.558818 , 0.343477 , 0.442083 , 0.543905 , 0.535964 , 0.342728 , 0.469834 , 0.545304 , 0.442611 , 0.524734 , 0.408098 , 0.492 , 0.404575 , 0.525716 , 0.395272 , 0.304901 , 0.384397 , 0.490036 , 0.478119 , 0.454529 , 0.385809 , 0.355321 , 0.467932 , 0.429797 , 0.423992 , 0.407975 , 0.408822 , 0.390338 , 0.549526 , 0.353382 , 0.303391 , 0.526992 , 0.496075 , 0.290394 , 0.51046 , 0.457536 , 0.374272 , 0.43467 , 0.482108 , 0.50744 , 0.609753 , 0.554497 , 0.373253 , 0.386496 , 0.435897 , 0.512742 , 0.462592 
 906 , 0.430596 , 0.455389 , 0.450936 , 0.461105 , 0.314976 , 0.404516 , 0.368585 , 0.588256 , 0.28827 , 0.501219 , 0.561967 , 0.587336 , 0.225474 , 0.491405 , 0.579068 , 0.62328 , 0.548547 , 0.787687 , 0.758797 , 0.556422 , 0.209404 , 0.267158 , 0.759324 , 0.315001 , 0.473655 , 0.386397 , 0.452739 , 0.648072 , 0.436804 , 0.442066 , 0.433037 , 0.277941 , 0.344222 , 0.500042 , 0.565292 , 0.51329 , 0.418096 , 0.451242 , 0.576774 , 0.577768 , 0.4851 , 0.356195 , 0.383833 , 0.372547 , 0.457486 , 0.431725 , 0.444176 , 0.174994 , 0.192143 , 0.380607 , 0.382152 , 0.379233 , 0.481334 , 0.558962 , 0.343756 , 0.442262 , 0.544008 , 0.536108 , 0.342934 , 0.470158 , 0.545738 , 0.442692 , 0.526061 , 0.408601 , 0.491823 , 0.404663 , 0.525521 , 0.395475 , 0.305101 , 0.384925 , 0.490301 , 0.478181 , 0.454064 , 0.386053 , 0.35579 , 0.468355 , 0.43029 , 0.424561 , 0.408147 , 0.409165 , 0.390691 , 0.549577 , 0.35379 , 0.303887 , 0.527165 , 0.496374 , 0.290663 , 0.510678 , 0.45783 , 0.37424 , 0.435111 , 0.482352 , 0.507267 , 0.610104 , 0.555049 , 0.373713 , 0.38679 , 0.436251 , 0.513278 , 0.462958 
 907 , 0.430777 , 0.455886 , 0.451385 , 0.461665 , 0.315265 , 0.404856 , 0.368779 , 0.588895 , 0.288558 , 0.501911 , 0.562642 , 0.587837 , 0.225687 , 0.492012 , 0.57982 , 0.623915 , 0.549116 , 0.788292 , 0.759346 , 0.557011 , 0.209628 , 0.267629 , 0.760121 , 0.315277 , 0.474416 , 0.386817 , 0.453267 , 0.648766 , 0.43738 , 0.442311 , 0.433506 , 0.278253 , 0.34469 , 0.500558 , 0.565901 , 0.513789 , 0.418431 , 0.451619 , 0.57682 , 0.578 , 0.485815 , 0.356384 , 0.384235 , 0.372812 , 0.458062 , 0.431859 , 0.44429 , 0.175063 , 0.192191 , 0.380768 , 0.382231 , 0.379747 , 0.481388 , 0.559335 , 0.343645 , 0.442655 , 0.544567 , 0.536513 , 0.343276 , 0.470149 , 0.546448 , 0.443134 , 0.526196 , 0.409086 , 0.491742 , 0.404967 , 0.525938 , 0.39604 , 0.305748 , 0.385477 , 0.490943 , 0.478769 , 0.454656 , 0.386387 , 0.356163 , 0.468932 , 0.431023 , 0.424985 , 0.408471 , 0.409676 , 0.391281 , 0.550014 , 0.354085 , 0.304407 , 0.527524 , 0.496574 , 0.290771 , 0.510444 , 0.458173 , 0.37446 , 0.435732 , 0.482864 , 0.50769 , 0.610623 , 0.555633 , 0.37414 , 0.387112 , 0.436826 , 0.513752 , 0.463571 
 908 , 0.431046 , 0.456333 , 0.451849 , 0.46222 , 0.315635 , 0.405118 , 0.368956 , 0.589602 , 0.288784 , 0.502669 , 0.56338 , 0.588568 , 0.225881 , 0.492557 , 0.580377 , 0.624583 , 0.549634 , 0.78899 , 0.759959 , 0.557615 , 0.209857 , 0.268055 , 0.761129 , 0.315611 , 0.475042 , 0.387099 , 0.4535 , 0.649402 , 0.43819 , 0.442747 , 0.433916 , 0.278475 , 0.345332 , 0.501056 , 0.566545 , 0.514456 , 0.418667 , 0.45196 , 0.576928 , 0.578 , 0.486287 , 0.356589 , 0.384561 , 0.373217 , 0.458722 , 0.432191 , 0.444434 , 0.175049 , 0.192293 , 0.380952 , 0.381889 , 0.380029 , 0.481188 , 0.559992 , 0.343398 , 0.44271 , 0.544867 , 0.537243 , 0.343595 , 0.470337 , 0.547244 , 0.443486 , 0.52585 , 0.409491 , 0.491645 , 0.405192 , 0.526601 , 0.39662 , 0.306398 , 0.386064 , 0.491461 , 0.47955 , 0.455064 , 0.386705 , 0.356553 , 0.469561 , 0.431834 , 0.425478 , 0.408887 , 0.410131 , 0.392198 , 0.550656 , 0.354594 , 0.304833 , 0.527882 , 0.496905 , 0.291038 , 0.510059 , 0.458279 , 0.374782 , 0.43617 , 0.483233 , 0.508126 , 0.611477 , 0.556051 , 0.374597 , 0.387505 , 0.437549 , 0.514112 , 0.464105 
 909 , 0.431317 , 0.456808 , 0.452354 , 0.462804 , 0.316026 , 0.405381 , 0.369143 , 0.59036 , 0.289004 , 0.503447 , 0.564153 , 0.589336 , 0.226078 , 0.49312 , 0.580945 , 0.625278 , 0.550173 , 0.789737 , 0.760606 , 0.558243 , 0.210087 , 0.268498 , 0.762173 , 0.315952 , 0.475698 , 0.387404 , 0.453736 , 0.650066 , 0.439028 , 0.443199 , 0.434339 , 0.278702 , 0.345996 , 0.501584 , 0.567237 , 0.515157 , 0.418904 , 0.452317 , 0.577046 , 0.577997 , 0.486778 , 0.356792 , 0.384912 , 0.373634 , 0.459411 , 0.432538 , 0.44458 , 0.175021 , 0.192394 , 0.381136 , 0.381543 , 0.380322 , 0.480979 , 0.560686 , 0.343146 , 0.442767 , 0.545176 , 0.538007 , 0.343935 , 0.470541 , 0.548076 , 0.443865 , 0.525484 , 0.409909 , 0.491541 , 0.405418 , 0.527298 , 0.397238 , 0.307068 , 0.386688 , 0.49201 , 0.480387 , 0.455475 , 0.387034 , 0.35694 , 0.470207 , 0.432661 , 0.425999 , 0.409317 , 0.4106 , 0.393154 , 0.551321 , 0.355126 , 0.305279 , 0.528235 , 0.497241 , 0.291312 , 0.509654 , 0.458375 , 0.375127 , 0.436634 , 0.483619 , 0.508593 , 0.612372 , 0.556491 , 0.375065 , 0.38791 , 0.4383 , 0.51449 , 0.464655 
 910 , 0.431718 , 0.457063 , 0.452724 , 0.463135 , 0.316316 , 0.405599 , 0.369537 , 0.591025 , 0.289189 , 0.504028 , 0.564894 , 0.589833 , 0.226319 , 0.493642 , 0.581278 , 0.625847 , 0.550858 , 0.790402 , 0.761235 , 0.558724 , 0.210316 , 0.268847 , 0.763128 , 0.316217 , 0.476459 , 0.387556 , 0.453978 , 0.650503 , 0.4394 , 0.443764 , 0.434521 , 0.278827 , 0.346466 , 0.501963 , 0.567918 , 0.515692 , 0.419095 , 0.452429 , 0.577419 , 0.577714 , 0.487078 , 0.357024 , 0.385208 , 0.373913 , 0.459865 , 0.432714 , 0.444661 , 0.174991 , 0.192641 , 0.381619 , 0.381324 , 0.380525 , 0.480982 , 0.560875 , 0.343025 , 0.442682 , 0.545019 , 0.538345 , 0.344278 , 0.471284 , 0.548326 , 0.44401 , 0.525685 , 0.410012 , 0.49127 , 0.405673 , 0.527553 , 0.397745 , 0.307491 , 0.387064 , 0.492449 , 0.480785 , 0.455416 , 0.387322 , 0.357393 , 0.470719 , 0.433206 , 0.426519 , 0.409668 , 0.410958 , 0.39407 , 0.551779 , 0.355611 , 0.305549 , 0.5285 , 0.49744 , 0.2915 , 0.509473 , 0.458415 , 0.375412 , 0.436819 , 0.483932 , 0.508895 , 0.613051 , 0.556647 , 0.375523 , 0.388355 , 0.438786 , 0.514647 , 0.464831 
 911 , 0.432287 , 0.457298 , 0.453076 , 0.463483 , 0.316597 , 0.40589 , 0.370165 , 0.591739 , 0.289427 , 0.504484 , 0.565698 , 0.590279 , 0.226642 , 0.494237 , 0.581725 , 0.626482 , 0.55172 , 0.791039 , 0.76193 , 0.559132 , 0.210603 , 0.269251 , 0.763967 , 0.316475 , 0.477265 , 0.38785 , 0.454303 , 0.650781 , 0.439491 , 0.444498 , 0.434754 , 0.279032 , 0.346824 , 0.502361 , 0.568594 , 0.516266 , 0.419561 , 0.452696 , 0.578031 , 0.577577 , 0.487549 , 0.357329 , 0.385665 , 0.374227 , 0.460403 , 0.432901 , 0.445026 , 0.175013 , 0.193029 , 0.382364 , 0.381468 , 0.380854 , 0.481302 , 0.560948 , 0.343277 , 0.442915 , 0.545056 , 0.538454 , 0.34486 , 0.472417 , 0.54837 , 0.444277 , 0.526316 , 0.410283 , 0.491181 , 0.406037 , 0.527642 , 0.398342 , 0.30786 , 0.387334 , 0.493329 , 0.481118 , 0.455776 , 0.387641 , 0.358004 , 0.471362 , 0.433674 , 0.427121 , 0.41005 , 0.411473 , 0.394906 , 0.552284 , 0.356003 , 0.305982 , 0.528869 , 0.497649 , 0.291624 , 0.509724 , 0.458586 , 0.375774 , 0.436987 , 0.484333 , 0.509246 , 0.61351 , 0.556739 , 0.375958 , 0.388856 , 0.439258 , 0.514977 , 0.464968 
 912 , 0.432903 , 0.457552 , 0.45345 , 0.463902 , 0.316891 , 0.406215 , 0.370868 , 0.592503 , 0.289711 , 0.504935 , 0.566552 , 0.590771 , 0.227001 , 0.494876 , 0.582309 , 0.627198 , 0.552661 , 0.791674 , 0.762665 , 0.559563 , 0.210912 , 0.269692 , 0.76479 , 0.316743 , 0.478087 , 0.388222 , 0.454666 , 0.651025 , 0.43956 , 0.445307 , 0.435065 , 0.279309 , 0.347177 , 0.502785 , 0.569278 , 0.516909 , 0.420167 , 0.453082 , 0.578711 , 0.577581 , 0.488146 , 0.357678 , 0.386233 , 0.374614 , 0.461052 , 0.433149 , 0.445541 , 0.175087 , 0.193473 , 0.383199 , 0.381738 , 0.381259 , 0.48171 , 0.561074 , 0.343665 , 0.443355 , 0.54528 , 0.538537 , 0.345568 , 0.473629 , 0.548436 , 0.444669 , 0.527066 , 0.41071 , 0.491228 , 0.406461 , 0.527742 , 0.399018 , 0.308269 , 0.387621 , 0.494459 , 0.481526 , 0.456459 , 0.388001 , 0.358673 , 0.472118 , 0.43418 , 0.427782 , 0.410489 , 0.412098 , 0.395751 , 0.552858 , 0.356376 , 0.30655 , 0.529338 , 0.497922 , 0.29175 , 0.510167 , 0.458854 , 0.376174 , 0.437214 , 0.484817 , 0.509663 , 0.613934 , 0.556862 , 0.376407 , 0.389389 , 0.439793 , 0.51546 , 0.465179 
 913 , 0.433362 , 0.457786 , 0.453832 , 0.464226 , 0.31714 , 0.406452 , 0.371486 , 0.593181 , 0.289985 , 0.505448 , 0.567385 , 0.591308 , 0.227289 , 0.495446 , 0.582884 , 0.627853 , 0.55344 , 0.792226 , 0.763271 , 0.559953 , 0.211239 , 0.270091 , 0.765426 , 0.317201 , 0.47871 , 0.388553 , 0.45486 , 0.651139 , 0.439581 , 0.445911 , 0.435431 , 0.279554 , 0.347564 , 0.503097 , 0.569858 , 0.517458 , 0.420642 , 0.453355 , 0.579273 , 0.577791 , 0.488565 , 0.357909 , 0.386692 , 0.374902 , 0.461521 , 0.433227 , 0.445948 , 0.17522 , 0.193854 , 0.383766 , 0.381991 , 0.381587 , 0.482174 , 0.561251 , 0.344111 , 0.443903 , 0.545544 , 0.538602 , 0.346021 , 0.474682 , 0.548421 , 0.444711 , 0.527608 , 0.411031 , 0.491161 , 0.406476 , 0.527755 , 0.399559 , 0.308607 , 0.387573 , 0.49536 , 0.481905 , 0.456893 , 0.388063 , 0.359231 , 0.472698 , 0.434586 , 0.42833 , 0.410774 , 0.412671 , 0.396437 , 0.55322 , 0.35677 , 0.307162 , 0.529616 , 0.497992 , 0.291907 , 0.510578 , 0.458962 , 0.37653 , 0.437414 , 0.485211 , 0.510088 , 0.614214 , 0.556795 , 0.376763 , 0.389838 , 0.440083 , 0.515793 , 0.465438 
 914 , 0.433461 , 0.457936 , 0.454177 , 0.464347 , 0.317277 , 0.406516 , 0.371859 , 0.593778 , 0.290235 , 0.506084 , 0.568172 , 0.591893 , 0.227454 , 0.49589 , 0.583414 , 0.628362 , 0.554 , 0.79262 , 0.763632 , 0.560289 , 0.211518 , 0.270382 , 0.765798 , 0.318128 , 0.479029 , 0.388744 , 0.45481 , 0.651256 , 0.439568 , 0.446149 , 0.435809 , 0.279725 , 0.348017 , 0.503298 , 0.570313 , 0.517907 , 0.420895 , 0.453399 , 0.579752 , 0.578463 , 0.488615 , 0.35804 , 0.387004 , 0.375022 , 0.461707 , 0.433096 , 0.446136 , 0.175523 , 0.194147 , 0.383793 , 0.382211 , 0.381895 , 0.482752 , 0.561469 , 0.344586 , 0.444689 , 0.545971 , 0.538733 , 0.346034 , 0.475599 , 0.548331 , 0.444263 , 0.528053 , 0.411102 , 0.490999 , 0.405884 , 0.527736 , 0.399923 , 0.308908 , 0.387102 , 0.495756 , 0.48229 , 0.456829 , 0.387734 , 0.359634 , 0.47302 , 0.434799 , 0.428729 , 0.410896 , 0.413122 , 0.396894 , 0.553379 , 0.357274 , 0.307801 , 0.529586 , 0.49797 , 0.292181 , 0.510913 , 0.458885 , 0.376762 , 0.437585 , 0.485513 , 0.510633 , 0.614324 , 0.556713 , 0.377078 , 0.39024 , 0.440005 , 0.515876 , 0.46577 
 915 , 0.433504 , 0.458092 , 0.45447 , 0.464376 , 0.317371 , 0.406607 , 0.372113 , 0.594499 , 0.290522 , 0.506867 , 0.568963 , 0.592469 , 0.2276 , 0.496402 , 0.583913 , 0.628859 , 0.554706 , 0.79305 , 0.764038 , 0.560674 , 0.211763 , 0.270686 , 0.766311 , 0.319352 , 0.479423 , 0.388935 , 0.454871 , 0.651757 , 0.439654 , 0.446449 , 0.436093 , 0.279826 , 0.348607 , 0.503658 , 0.570956 , 0.518511 , 0.421241 , 0.453401 , 0.580461 , 0.579331 , 0.488612 , 0.358294 , 0.387391 , 0.375164 , 0.461921 , 0.433079 , 0.446303 , 0.175896 , 0.194431 , 0.383696 , 0.382444 , 0.382396 , 0.483397 , 0.561658 , 0.345046 , 0.445622 , 0.546575 , 0.539064 , 0.34603 , 0.476798 , 0.548435 , 0.444042 , 0.528866 , 0.411104 , 0.490969 , 0.405416 , 0.527906 , 0.400384 , 0.309337 , 0.386869 , 0.496001 , 0.482814 , 0.456634 , 0.387574 , 0.360129 , 0.473407 , 0.435011 , 0.429202 , 0.411141 , 0.413547 , 0.397418 , 0.553855 , 0.357905 , 0.308413 , 0.529571 , 0.498335 , 0.292613 , 0.51117 , 0.458943 , 0.376951 , 0.437831 , 0.485925 , 0.511401 , 0.61459 , 0.557113 , 0.377619 , 0.390879 , 0.439934 , 0.515983 , 0.466151 
