spu_filename,DateTime,Site,FileNum,Date,Integration_ms,Temp,Remarks,Type
2019-06-02_MAT_00059.spu,2019-06-02T19:41:33Z,MAT,59,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00060.spu,2019-06-02T19:41:42Z,MAT,60,2019-06-02,50,22.448,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00061.spu,2019-06-02T19:42:40Z,MAT,61,2019-06-02,50,23.18,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00062.spu,2019-06-02T19:42:48Z,MAT,62,2019-06-02,50,22.448,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00063.spu,2019-06-02T19:42:56Z,MAT,63,2019-06-02,50,22.448,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00064.spu,2019-06-02T19:43:08Z,MAT,64,2019-06-02,50,23.668,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00065.spu,2019-06-02T19:43:22Z,MAT,65,2019-06-02,50,23.18,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00066.spu,2019-06-02T19:44:18Z,MAT,66,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00067.spu,2019-06-02T19:44:27Z,MAT,67,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00068.spu,2019-06-02T19:44:36Z,MAT,68,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00069.spu,2019-06-02T19:44:45Z,MAT,69,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00070.spu,2019-06-02T19:44:54Z,MAT,70,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00071.spu,2019-06-02T19:45:25Z,MAT,71,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00072.spu,2019-06-02T19:45:38Z,MAT,72,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00073.spu,2019-06-02T19:45:49Z,MAT,73,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00074.spu,2019-06-02T19:46:03Z,MAT,74,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00075.spu,2019-06-02T19:46:13Z,MAT,75,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
