  time  ,27:02 PM,27:17 PM,27:27 PM,27:46 PM,28:00 PM,28:46 PM,29:15 PM,29:26 PM,29:37 PM,29:49 PM,30:53 PM,31:06 PM,31:19 PM,31:33 PM,31:48 PM,32:14 PM,32:26 PM,32:37 PM,32:53 PM,33:05 PM,33:58 PM,34:09 PM,34:20 PM,34:29 PM,34:41 PM,35:13 PM,35:23 PM,35:51 PM,36:03 PM,36:13 PM,37:14 PM,37:25 PM,37:35 PM,37:45 PM,37:54 PM,38:14 PM,38:22 PM,38:33 PM,38:41 PM,38:51 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0.018703 , 0.01699 , 0.021774 , 0.003707 , 0.002821 , 0.016597 , 0.022753 , 0.020466 , 0.016113 , 0.018976 , 0.02566 , 0.019701 , 0.019276 , 0.030225 , 0.020958 , 0.022851 , 0.02083 , 0.017822 , 0.021804 , 0.017817 , 0 , 0.002966 , 0 , 0 , 0 , 0 , 0 , 0.018423 , 0.020831 , 0.019302 , 0 , 0.005546 , 0.004617 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0.019582 , 0.017785 , 0.022389 , 0.005942 , 0.004472 , 0.016085 , 0.022359 , 0.021114 , 0.015832 , 0.019912 , 0.025927 , 0.019331 , 0.019988 , 0.031111 , 0.020769 , 0.023196 , 0.021937 , 0.017679 , 0.02196 , 0.019147 , 0 , 0.004732 , 0 , 0 , 0 , 0 , 0 , 0.01685 , 0.022326 , 0.019551 , 0 , 0.00772 , 0.007267 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0.020308 , 0.018455 , 0.022935 , 0.007851 , 0.005848 , 0.015656 , 0.022054 , 0.021702 , 0.015607 , 0.020745 , 0.026166 , 0.019046 , 0.020604 , 0.031872 , 0.020625 , 0.023543 , 0.022947 , 0.017573 , 0.022145 , 0.020298 , 0 , 0.006227 , 0 , 0 , 0 , 0 , 0 , 0.01555 , 0.023642 , 0.019776 , 0 , 0.009563 , 0.009438 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0.020069 , 0.019076 , 0.022347 , 0.007515 , 0.00672 , 0.015624 , 0.020878 , 0.021309 , 0.01613 , 0.020748 , 0.026092 , 0.019321 , 0.020198 , 0.031717 , 0.020928 , 0.023741 , 0.023206 , 0.017739 , 0.021783 , 0.019343 , 0 , 0.007998 , 0 , 0 , 0.001923 , 0 , 0 , 0.016655 , 0.022753 , 0.019613 , 0.001163 , 0.011867 , 0.010918 , 0.000861 , 0.000879 , 0.000196 , 0.000918 , 0 , 0 , 0.000581 
 330 , 0.019843 , 0.019618 , 0.021817 , 0.00716 , 0.007449 , 0.015609 , 0.019853 , 0.02094 , 0.01662 , 0.020725 , 0.026011 , 0.019581 , 0.019819 , 0.031575 , 0.021205 , 0.023913 , 0.023399 , 0.017893 , 0.02147 , 0.018466 , 0 , 0.009522 , 0 , 0 , 0.003659 , 0 , 0 , 0.01773 , 0.021935 , 0.019471 , 0.002206 , 0.013886 , 0.012149 , 0.001637 , 0.001648 , 0.000372 , 0.001731 , 0 , 0 , 0.001092 
 331 , 0.019661 , 0.020098 , 0.021368 , 0.006853 , 0.008073 , 0.015599 , 0.01897 , 0.020604 , 0.01706 , 0.020694 , 0.025925 , 0.019805 , 0.019489 , 0.031475 , 0.021445 , 0.024052 , 0.023541 , 0.018028 , 0.021202 , 0.01771 , 0 , 0.01083 , 0 , 0 , 0.00518 , 0 , 0 , 0.018705 , 0.021236 , 0.019357 , 0.003114 , 0.015652 , 0.013197 , 0.002313 , 0.0023 , 0.000527 , 0.00243 , 0 , 0 , 0.001526 
 332 , 0.019551 , 0.019984 , 0.021378 , 0.007644 , 0.008917 , 0.015946 , 0.018872 , 0.020027 , 0.01729 , 0.020492 , 0.025782 , 0.019727 , 0.019263 , 0.031177 , 0.021241 , 0.023399 , 0.023204 , 0.018014 , 0.020983 , 0.017233 , 0.000273 , 0.011963 , 0.000426 , 0.000534 , 0.006163 , 0.00026 , 0.000427 , 0.019123 , 0.02065 , 0.018856 , 0.003858 , 0.016698 , 0.014009 , 0.002885 , 0.00279 , 0.000751 , 0.002907 , 0.000849 , 0 , 0.00217 
 333 , 0.019491 , 0.019532 , 0.021655 , 0.009034 , 0.009828 , 0.016484 , 0.019238 , 0.01934 , 0.017384 , 0.020201 , 0.025613 , 0.019479 , 0.019109 , 0.030783 , 0.020793 , 0.022326 , 0.022605 , 0.017915 , 0.020805 , 0.016939 , 0.00069 , 0.012935 , 0.001076 , 0.001344 , 0.006781 , 0.000645 , 0.001071 , 0.019188 , 0.020168 , 0.018157 , 0.004456 , 0.017269 , 0.014647 , 0.003364 , 0.003168 , 0.001001 , 0.003233 , 0.002192 , 0 , 0.002905 
 334 , 0.019429 , 0.019139 , 0.021891 , 0.010242 , 0.01059 , 0.016951 , 0.019572 , 0.01874 , 0.017457 , 0.01995 , 0.025472 , 0.019259 , 0.018974 , 0.030428 , 0.020405 , 0.021395 , 0.022092 , 0.017831 , 0.020651 , 0.016689 , 0.001053 , 0.013773 , 0.001638 , 0.002038 , 0.007327 , 0.000963 , 0.001617 , 0.019236 , 0.019742 , 0.017553 , 0.00496 , 0.017767 , 0.015199 , 0.003779 , 0.0035 , 0.001216 , 0.003516 , 0.003408 , 0 , 0.003542 
 335 , 0.019351 , 0.018874 , 0.022046 , 0.011117 , 0.011423 , 0.017219 , 0.019735 , 0.018271 , 0.017321 , 0.019662 , 0.025289 , 0.019098 , 0.018875 , 0.030112 , 0.020021 , 0.020824 , 0.021765 , 0.017614 , 0.02037 , 0.016506 , 0.001441 , 0.014413 , 0.002248 , 0.002512 , 0.00786 , 0.001402 , 0.002258 , 0.019044 , 0.019476 , 0.017177 , 0.005457 , 0.018239 , 0.01567 , 0.004201 , 0.003783 , 0.001688 , 0.003689 , 0.004596 , 0.000189 , 0.004233 
 336 , 0.01918 , 0.018919 , 0.021973 , 0.011193 , 0.012815 , 0.016923 , 0.019355 , 0.018042 , 0.016453 , 0.019155 , 0.024887 , 0.019038 , 0.018845 , 0.029811 , 0.019508 , 0.021159 , 0.021921 , 0.016902 , 0.019607 , 0.016446 , 0.002032 , 0.014623 , 0.00322 , 0.002448 , 0.008509 , 0.002403 , 0.003445 , 0.01802 , 0.019623 , 0.017405 , 0.00612 , 0.018777 , 0.01603 , 0.004788 , 0.003981 , 0.003142 , 0.003558 , 0.005921 , 0.001061 , 0.005309 
 337 , 0.019044 , 0.018972 , 0.021926 , 0.011264 , 0.014061 , 0.016671 , 0.019035 , 0.017855 , 0.015709 , 0.018721 , 0.024549 , 0.019012 , 0.018825 , 0.029562 , 0.019073 , 0.021526 , 0.022065 , 0.016289 , 0.018948 , 0.016418 , 0.002543 , 0.014809 , 0.004067 , 0.002394 , 0.009063 , 0.00327 , 0.004471 , 0.017139 , 0.01976 , 0.017611 , 0.006687 , 0.01923 , 0.016353 , 0.005298 , 0.004159 , 0.004385 , 0.003446 , 0.007043 , 0.00183 , 0.006224 
