WSG1_00009.spu,WSG1_00008.spu,WSG1_00007.spu,WSG1_00006.spu,WSG1_00005.spu,
Wavelength,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu
  (nm),7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 
  time  ,15:49 PM,16:04 PM,16:15 PM,16:30 PM,16:41 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 660 , 0.075109 , 0.061908 , 0.058258 , 0.07337 , 0.06478 
 661 , 0.075025 , 0.061781 , 0.058119 , 0.073401 , 0.064816 
 662 , 0.074918 , 0.061664 , 0.057989 , 0.073444 , 0.064847 
 663 , 0.074819 , 0.061554 , 0.057851 , 0.07348 , 0.064886 
 664 , 0.074722 , 0.06143 , 0.057726 , 0.073525 , 0.064921 
 665 , 0.074623 , 0.061291 , 0.057612 , 0.073596 , 0.064962 
 666 , 0.07453 , 0.061149 , 0.057511 , 0.073667 , 0.065008 
 667 , 0.074437 , 0.061007 , 0.057403 , 0.073738 , 0.065046 
 668 , 0.074432 , 0.060949 , 0.057339 , 0.073817 , 0.06511 
 669 , 0.074435 , 0.060893 , 0.057269 , 0.073891 , 0.065168 
 670 , 0.07443 , 0.060843 , 0.057206 , 0.073957 , 0.065226 
 671 , 0.074492 , 0.060846 , 0.057215 , 0.074075 , 0.065347 
 672 , 0.074598 , 0.060902 , 0.057284 , 0.07423 , 0.065515 
 673 , 0.07471 , 0.060958 , 0.057352 , 0.074385 , 0.065677 
 674 , 0.074846 , 0.061047 , 0.057452 , 0.074556 , 0.065852 
 675 , 0.075052 , 0.061244 , 0.05763 , 0.074761 , 0.066058 
 676 , 0.075262 , 0.061441 , 0.057808 , 0.074963 , 0.066269 
 677 , 0.07548 , 0.06163 , 0.057994 , 0.075173 , 0.066474 
 678 , 0.07578 , 0.061951 , 0.058303 , 0.07542 , 0.066711 
 679 , 0.076096 , 0.06227 , 0.058616 , 0.075675 , 0.066957 
 680 , 0.076414 , 0.0626 , 0.05894 , 0.075933 , 0.067207 
 681 , 0.076853 , 0.063096 , 0.059412 , 0.076226 , 0.067517 
 682 , 0.077374 , 0.063713 , 0.059983 , 0.076565 , 0.067877 
 683 , 0.077912 , 0.064347 , 0.060563 , 0.076912 , 0.068245 
 684 , 0.078554 , 0.065083 , 0.06126 , 0.077315 , 0.068664 
