JUL8MAT00090.spu,JUL8MAT00089.spu,JUL8MAT00088.spu,JUL8MAT00087.spu,JUL8MAT00086.spu,
Wavelength,JUL8MAT00091.spu,JUL8MAT00092.spu,JUL8MAT00093.spu,JUL8MAT00094.spu,JUL8MAT00095.spu,JUL8MAT00096.spu,JUL8MAT00097.spu,JUL8MAT00098.spu,JUL8MAT00099.spu,JUL8MAT00100.spu
  (nm),7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3
  time  ,8:32 PM",8:41 PM",8:48 PM",8:54 PM",9:01 PM",0:08 PM",0:16 PM",0:22 PM",0:28 PM",0:35 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,
 435 , 0.032903 , 0.027766 , 0.025158 , 0.024177 , 0.020357 , 0.05376 , 0.022928 , 0.027611 , 0.029696 , 0.026423 
 436 , 0.033335 , 0.028097 , 0.025475 , 0.024411 , 0.020522 , 0.054392 , 0.02317 , 0.027936 , 0.030122 , 0.026794 
 437 , 0.033891 , 0.028366 , 0.025752 , 0.024732 , 0.020791 , 0.054938 , 0.023525 , 0.028444 , 0.030472 , 0.027116 
 438 , 0.034437 , 0.028627 , 0.026028 , 0.025049 , 0.021049 , 0.055471 , 0.02387 , 0.028938 , 0.030816 , 0.027427 
 439 , 0.034971 , 0.028886 , 0.026296 , 0.025358 , 0.021301 , 0.055992 , 0.024209 , 0.029426 , 0.031158 , 0.027736 
 440 , 0.035407 , 0.029209 , 0.026625 , 0.025644 , 0.021535 , 0.056554 , 0.024536 , 0.029812 , 0.031528 , 0.02801 
 441 , 0.035809 , 0.029557 , 0.02698 , 0.025925 , 0.021767 , 0.057132 , 0.024859 , 0.030152 , 0.031909 , 0.028261 
 442 , 0.0362 , 0.029905 , 0.027336 , 0.026205 , 0.021994 , 0.057704 , 0.025176 , 0.030492 , 0.032285 , 0.028515 
 443 , 0.036616 , 0.030235 , 0.027656 , 0.026486 , 0.022222 , 0.058308 , 0.025494 , 0.030885 , 0.032694 , 0.028815 
 444 , 0.037079 , 0.030562 , 0.027928 , 0.026794 , 0.022469 , 0.058975 , 0.025834 , 0.03138 , 0.03318 , 0.02921 
 445 , 0.037543 , 0.030884 , 0.0282 , 0.027102 , 0.02271 , 0.059644 , 0.026169 , 0.031872 , 0.033662 , 0.029605 
