JUL8MAT00005.spu,JUL8MAT00003.spu,JUL8MAT00004.spu,
Wavelength,JUL8MAT00006.spu,JUL8MAT00007.spu,JUL8MAT00008.spu,JUL8MAT00009.spu,JUL8MAT00010.spu,JUL8MAT00011.spu,JUL8MAT00012.spu,JUL8MAT00013.spu,JUL8MAT00014.spu,JUL8MAT00015.spu,JUL8MAT00016.spu,JUL8MAT00017.spu,JUL8MAT00018.spu,JUL8MAT00019.spu,JUL8MAT00020.spu,JUL8MAT00021.spu,JUL8MAT00022.spu,JUL8MAT00023.spu,JUL8MAT00024.spu,JUL8MAT00025.spu
  (nm),7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2
  time  ,9:48 PM",9:57 PM",0:06 PM",0:49 PM",1:02 PM",2:28 PM",2:40 PM",2:49 PM",2:57 PM",3:08 PM",4:02 PM",4:09 PM",4:17 PM",4:25 PM",4:32 PM",5:02 PM",5:11 PM",5:24 PM",5:34 PM",6:02 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 362 , 0.008788 , 0.007858 , 0.007957 , 0.008655 , 0.006923 , 0.00765 , 0.005787 , 0.010843 , 0.003124 , 0.008125 , 0.008737 , 0.019861 , 0.013863 , 0.01728 , 0.011525 , 0.022125 , 0.023892 , 0.035956 , 0.028554 , 0.020447 
 363 , 0.008733 , 0.007587 , 0.007714 , 0.008991 , 0.007173 , 0.007665 , 0.006043 , 0.010627 , 0.003054 , 0.008263 , 0.008575 , 0.019477 , 0.013519 , 0.01622 , 0.011443 , 0.022316 , 0.022626 , 0.03613 , 0.027887 , 0.020954 
 364 , 0.008677 , 0.007338 , 0.007496 , 0.009306 , 0.007383 , 0.00767 , 0.006269 , 0.010427 , 0.002987 , 0.008383 , 0.008423 , 0.019115 , 0.013205 , 0.015327 , 0.011361 , 0.022487 , 0.02157 , 0.036276 , 0.02727 , 0.021375 
 365 , 0.008619 , 0.007107 , 0.007299 , 0.009603 , 0.007559 , 0.007666 , 0.006468 , 0.010239 , 0.002924 , 0.008486 , 0.00828 , 0.018774 , 0.012914 , 0.014563 , 0.011279 , 0.022639 , 0.020671 , 0.036396 , 0.026695 , 0.021725 
 366 , 0.008907 , 0.007142 , 0.00739 , 0.009822 , 0.007565 , 0.007751 , 0.00634 , 0.0105 , 0.00286 , 0.008676 , 0.008364 , 0.019076 , 0.01315 , 0.014747 , 0.011195 , 0.023038 , 0.020917 , 0.034631 , 0.026063 , 0.018581 
 367 , 0.009264 , 0.007233 , 0.00754 , 0.010013 , 0.007532 , 0.007849 , 0.006128 , 0.010852 , 0.002795 , 0.008876 , 0.008493 , 0.0195 , 0.013488 , 0.015119 , 0.011122 , 0.023469 , 0.021391 , 0.03281 , 0.025522 , 0.016062 
 368 , 0.00961 , 0.007321 , 0.007686 , 0.010192 , 0.00749 , 0.007933 , 0.0059 , 0.011188 , 0.002731 , 0.009064 , 0.008612 , 0.019899 , 0.013806 , 0.015469 , 0.01106 , 0.023874 , 0.021839 , 0.031303 , 0.025079 , 0.014393 
 369 , 0.009796 , 0.007469 , 0.007752 , 0.010482 , 0.007393 , 0.008185 , 0.005827 , 0.011313 , 0.002719 , 0.00921 , 0.008737 , 0.020187 , 0.013895 , 0.015385 , 0.011059 , 0.02414 , 0.021955 , 0.030417 , 0.024249 , 0.013407 
 370 , 0.009783 , 0.007688 , 0.007717 , 0.010912 , 0.007231 , 0.008652 , 0.00595 , 0.011172 , 0.002769 , 0.009302 , 0.008866 , 0.02033 , 0.013707 , 0.014816 , 0.011124 , 0.024231 , 0.021668 , 0.030105 , 0.022997 , 0.012818 
 371 , 0.009762 , 0.007889 , 0.00767 , 0.011324 , 0.007071 , 0.009114 , 0.006062 , 0.01103 , 0.002812 , 0.009388 , 0.008986 , 0.020442 , 0.013526 , 0.014321 , 0.011192 , 0.024299 , 0.021383 , 0.029813 , 0.021909 , 0.012223 
 372 , 0.00972 , 0.008036 , 0.007597 , 0.011645 , 0.006916 , 0.009518 , 0.006166 , 0.010906 , 0.002855 , 0.009459 , 0.009076 , 0.02053 , 0.013359 , 0.013864 , 0.011215 , 0.024322 , 0.021065 , 0.029476 , 0.020961 , 0.011624 
 373 , 0.009508 , 0.007644 , 0.007322 , 0.010905 , 0.006775 , 0.009186 , 0.006183 , 0.010993 , 0.002927 , 0.009423 , 0.008855 , 0.020547 , 0.01326 , 0.013162 , 0.01064 , 0.023917 , 0.020165 , 0.028182 , 0.020201 , 0.010816 
 374 , 0.009302 , 0.007291 , 0.007045 , 0.010242 , 0.006653 , 0.008882 , 0.006235 , 0.011091 , 0.003011 , 0.009368 , 0.008642 , 0.020571 , 0.013185 , 0.012606 , 0.010132 , 0.023576 , 0.019466 , 0.027192 , 0.019645 , 0.010261 
 375 , 0.009101 , 0.006967 , 0.006766 , 0.009633 , 0.006545 , 0.008597 , 0.006311 , 0.011199 , 0.003103 , 0.009301 , 0.008436 , 0.020601 , 0.013129 , 0.01215 , 0.009672 , 0.023283 , 0.018905 , 0.026408 , 0.019227 , 0.009863 
 376 , 0.0091 , 0.007098 , 0.006804 , 0.009579 , 0.006638 , 0.008487 , 0.006329 , 0.011353 , 0.003245 , 0.009251 , 0.008571 , 0.0208 , 0.013017 , 0.011832 , 0.009421 , 0.022882 , 0.018274 , 0.025046 , 0.018462 , 0.009673 
 377 , 0.009186 , 0.007406 , 0.006968 , 0.009779 , 0.006772 , 0.008441 , 0.006287 , 0.011528 , 0.003392 , 0.009219 , 0.008812 , 0.021 , 0.01289 , 0.011634 , 0.009356 , 0.022625 , 0.01778 , 0.023953 , 0.017858 , 0.009621 
 378 , 0.009278 , 0.007709 , 0.00713 , 0.010007 , 0.006871 , 0.008391 , 0.006214 , 0.011706 , 0.003527 , 0.009194 , 0.009025 , 0.021145 , 0.012771 , 0.011495 , 0.009372 , 0.02252 , 0.017424 , 0.023237 , 0.017486 , 0.009623 
 379 , 0.009241 , 0.007787 , 0.007165 , 0.010191 , 0.006957 , 0.008425 , 0.006193 , 0.011766 , 0.003507 , 0.009286 , 0.009175 , 0.02129 , 0.012691 , 0.011399 , 0.009377 , 0.022495 , 0.017138 , 0.022549 , 0.017198 , 0.009483 
 380 , 0.008931 , 0.007386 , 0.00694 , 0.010256 , 0.007053 , 0.008609 , 0.0063 , 0.01155 , 0.00316 , 0.009591 , 0.009197 , 0.021454 , 0.012694 , 0.011324 , 0.009309 , 0.022488 , 0.016918 , 0.021823 , 0.016968 , 0.009136 
 381 , 0.008609 , 0.00695 , 0.006703 , 0.010315 , 0.007157 , 0.008764 , 0.006395 , 0.011293 , 0.002788 , 0.009871 , 0.009181 , 0.021573 , 0.012716 , 0.011236 , 0.009267 , 0.022477 , 0.016757 , 0.021365 , 0.016846 , 0.008929 
 382 , 0.008277 , 0.006491 , 0.006458 , 0.010371 , 0.007266 , 0.008905 , 0.006486 , 0.01101 , 0.002398 , 0.010142 , 0.009145 , 0.02167 , 0.012749 , 0.01114 , 0.009239 , 0.022463 , 0.016627 , 0.021038 , 0.01678 , 0.008791 
 383 , 0.008547 , 0.006576 , 0.006633 , 0.010283 , 0.007115 , 0.008883 , 0.006528 , 0.01117 , 0.002474 , 0.009974 , 0.009253 , 0.021899 , 0.012745 , 0.011239 , 0.009287 , 0.022607 , 0.016655 , 0.020861 , 0.016432 , 0.008584 
 384 , 0.008843 , 0.006685 , 0.006822 , 0.010181 , 0.006947 , 0.00886 , 0.00658 , 0.011351 , 0.002572 , 0.009794 , 0.009363 , 0.022142 , 0.012764 , 0.011377 , 0.009361 , 0.022796 , 0.016754 , 0.020806 , 0.016193 , 0.008442 
 385 , 0.00914 , 0.006795 , 0.007007 , 0.010076 , 0.006775 , 0.008843 , 0.00664 , 0.011533 , 0.002671 , 0.009618 , 0.00947 , 0.022389 , 0.012795 , 0.011533 , 0.009448 , 0.023006 , 0.016888 , 0.020813 , 0.016021 , 0.008337 
