JUL8MAT00029.spu,JUL8MAT00028.spu,JUL8MAT00027.spu,JUL8MAT00026.spu,
Wavelength,JUL8MAT00031.spu,JUL8MAT00032.spu,JUL8MAT00033.spu,JUL8MAT00034.spu,JUL8MAT00035.spu,JUL8MAT00036.spu,JUL8MAT00037.spu,JUL8MAT00038.spu,JUL8MAT00039.spu,JUL8MAT00040.spu,JUL8MAT00041.spu,JUL8MAT00042.spu,JUL8MAT00043.spu,JUL8MAT00044.spu,JUL8MAT00045.spu
  (nm),7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2
  time  ,3:09 PM",3:18 PM",3:27 PM",3:37 PM",3:44 PM",5:02 PM",5:14 PM",6:48 PM",6:56 PM",8:53 PM",9:33 PM",9:41 PM",9:50 PM",9:59 PM",0:07 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,
 398 , 0.015847 , 0.011707 , 0.01889 , 0.016353 , 0.012158 , 0.019771 , 0.012154 , 0.011177 , 0.013895 , 0.01196 , 0.012265 , 0.015646 , 0.011212 , 0.012525 , 0.01603 
 399 , 0.016224 , 0.012087 , 0.019264 , 0.0168 , 0.012331 , 0.020303 , 0.012377 , 0.011528 , 0.014161 , 0.012162 , 0.012685 , 0.016145 , 0.011557 , 0.012753 , 0.016338 
 400 , 0.016708 , 0.012382 , 0.019839 , 0.017086 , 0.012588 , 0.020718 , 0.012639 , 0.011743 , 0.014448 , 0.012382 , 0.012941 , 0.01652 , 0.011731 , 0.013066 , 0.016789 
 401 , 0.01714 , 0.012648 , 0.02035 , 0.017339 , 0.012817 , 0.021086 , 0.012874 , 0.011938 , 0.014697 , 0.012577 , 0.013167 , 0.016854 , 0.011885 , 0.013343 , 0.017185 
 402 , 0.017526 , 0.012884 , 0.020803 , 0.017568 , 0.013022 , 0.021417 , 0.013079 , 0.012106 , 0.014923 , 0.012753 , 0.013371 , 0.017154 , 0.012021 , 0.013589 , 0.017545 
 403 , 0.017865 , 0.013326 , 0.021252 , 0.017896 , 0.013248 , 0.021853 , 0.013241 , 0.012363 , 0.015106 , 0.013061 , 0.013646 , 0.017443 , 0.012261 , 0.013822 , 0.017767 
 404 , 0.018175 , 0.013819 , 0.02168 , 0.018247 , 0.013478 , 0.022306 , 0.013379 , 0.012638 , 0.015264 , 0.013399 , 0.013937 , 0.01772 , 0.012527 , 0.014036 , 0.017938 
 405 , 0.01847 , 0.014278 , 0.02208 , 0.018575 , 0.013688 , 0.022734 , 0.013511 , 0.012893 , 0.015415 , 0.013716 , 0.014214 , 0.01798 , 0.012777 , 0.014242 , 0.018101 
 406 , 0.018787 , 0.014657 , 0.022422 , 0.018779 , 0.013868 , 0.023117 , 0.013689 , 0.013055 , 0.015572 , 0.013913 , 0.014429 , 0.018206 , 0.012974 , 0.014453 , 0.018279 
 407 , 0.019153 , 0.014918 , 0.022686 , 0.018792 , 0.013994 , 0.023454 , 0.013953 , 0.013082 , 0.015736 , 0.013937 , 0.014573 , 0.018401 , 0.013111 , 0.014692 , 0.018496 
