  time  ,28:22 AM,28:33 AM,28:45 AM,28:54 AM,29:05 AM,30:29 AM,30:42 AM,30:54 AM,31:04 AM,31:18 AM,32:22 AM,32:32 AM,32:43 AM,32:54 AM,33:03 AM,33:35 AM,33:45 AM,33:57 AM,34:06 AM,34:16 AM,35:44 AM,35:56 AM,36:07 AM,36:17 AM,36:25 AM,37:15 AM,37:28 AM,37:42 AM,37:54 AM,38:05 AM,38:53 AM,39:05 AM,39:18 AM,39:28 AM,39:42 AM,40:23 AM,40:33 AM,40:44 AM,40:56 AM,41:11 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 476 , 0.03423 , 0.04162 , 0.05093 , 0.04824 , 0.03768 , 0.02154 , 0.02902 , 0.03452 , 0.03885 , 0.03382 , 0.04554 , 0.05465 , 0.04981 , 0.05243 , 0.04773 , 0.05247 , 0.03828 , 0.03056 , 0.02146 , 0.03533 , 0.04167 , 0.04568 , 0.0301 , 0.05099 , 0.04646 , 0.05198 , 0.04564 , 0.07814 , 0.06193 , 0.06112 , 0.04963 , 0.0257 , 0.02406 , 0.02864 , 0.04676 , 0.04026 , 0.04584 , 0.03425 , 0.03798 , 0.03611 
 477 , 0.0343 , 0.04176 , 0.05104 , 0.04842 , 0.03779 , 0.02159 , 0.0291 , 0.0346 , 0.03892 , 0.03389 , 0.04573 , 0.05489 , 0.04998 , 0.05263 , 0.04793 , 0.05269 , 0.03843 , 0.03066 , 0.02157 , 0.03545 , 0.04188 , 0.04591 , 0.03025 , 0.05122 , 0.0467 , 0.05217 , 0.04581 , 0.07842 , 0.06214 , 0.06133 , 0.04962 , 0.02575 , 0.02411 , 0.02872 , 0.04698 , 0.04048 , 0.04609 , 0.03442 , 0.03819 , 0.03627 
 478 , 0.03438 , 0.04193 , 0.05115 , 0.04861 , 0.0379 , 0.02165 , 0.02918 , 0.03468 , 0.03901 , 0.03397 , 0.04592 , 0.05515 , 0.05016 , 0.05285 , 0.04814 , 0.05292 , 0.03857 , 0.03075 , 0.02169 , 0.03558 , 0.0421 , 0.04615 , 0.0304 , 0.05145 , 0.04693 , 0.05237 , 0.04597 , 0.07869 , 0.06236 , 0.06155 , 0.04962 , 0.02579 , 0.02416 , 0.02879 , 0.0472 , 0.0407 , 0.04634 , 0.03458 , 0.03839 , 0.03645 
 479 , 0.03445 , 0.04208 , 0.05125 , 0.04881 , 0.03802 , 0.02171 , 0.02926 , 0.03476 , 0.03909 , 0.03405 , 0.04611 , 0.05541 , 0.05034 , 0.05307 , 0.04835 , 0.05315 , 0.03871 , 0.03084 , 0.0218 , 0.03571 , 0.04232 , 0.04639 , 0.03054 , 0.05168 , 0.04716 , 0.05257 , 0.04614 , 0.07897 , 0.06258 , 0.06177 , 0.04961 , 0.02583 , 0.02421 , 0.02886 , 0.04742 , 0.04091 , 0.04659 , 0.03474 , 0.03859 , 0.03663 
 480 , 0.03447 , 0.04219 , 0.05131 , 0.04892 , 0.03808 , 0.02174 , 0.02931 , 0.03479 , 0.03912 , 0.03408 , 0.04623 , 0.05559 , 0.05046 , 0.05322 , 0.04848 , 0.05331 , 0.03882 , 0.0309 , 0.02186 , 0.03578 , 0.04247 , 0.04655 , 0.03065 , 0.05184 , 0.04733 , 0.05271 , 0.04625 , 0.07915 , 0.06272 , 0.06191 , 0.04953 , 0.02585 , 0.02421 , 0.02889 , 0.04758 , 0.04108 , 0.04678 , 0.03486 , 0.03875 , 0.03674 
 481 , 0.0345 , 0.04232 , 0.05144 , 0.04905 , 0.03817 , 0.02178 , 0.0294 , 0.03483 , 0.03918 , 0.03413 , 0.04636 , 0.05577 , 0.0506 , 0.05339 , 0.04864 , 0.05352 , 0.03895 , 0.03099 , 0.0219 , 0.03586 , 0.04263 , 0.04672 , 0.03078 , 0.05201 , 0.0475 , 0.05289 , 0.04641 , 0.07939 , 0.06288 , 0.06208 , 0.04947 , 0.02588 , 0.02421 , 0.02895 , 0.04776 , 0.04128 , 0.04697 , 0.03499 , 0.03894 , 0.03683 
 482 , 0.03452 , 0.04246 , 0.05158 , 0.04918 , 0.03826 , 0.02183 , 0.02949 , 0.03486 , 0.03923 , 0.03417 , 0.0465 , 0.05596 , 0.05074 , 0.05356 , 0.04879 , 0.05373 , 0.03909 , 0.03109 , 0.02194 , 0.03594 , 0.04278 , 0.04689 , 0.03091 , 0.05219 , 0.04767 , 0.05306 , 0.04658 , 0.07963 , 0.06304 , 0.06224 , 0.0494 , 0.02591 , 0.0242 , 0.02901 , 0.04793 , 0.04147 , 0.04716 , 0.03512 , 0.03913 , 0.03692 
 483 , 0.03455 , 0.04259 , 0.05171 , 0.0493 , 0.03835 , 0.02187 , 0.02958 , 0.0349 , 0.03929 , 0.03422 , 0.04664 , 0.05615 , 0.05089 , 0.05373 , 0.04894 , 0.05395 , 0.03923 , 0.03119 , 0.02198 , 0.03602 , 0.04293 , 0.04706 , 0.03104 , 0.05237 , 0.04785 , 0.05324 , 0.04674 , 0.07987 , 0.0632 , 0.06241 , 0.04934 , 0.02595 , 0.0242 , 0.02907 , 0.04811 , 0.04167 , 0.04735 , 0.03525 , 0.03932 , 0.03702 
 484 , 0.03471 , 0.04283 , 0.05196 , 0.04958 , 0.03857 , 0.02198 , 0.02976 , 0.03505 , 0.0395 , 0.03438 , 0.04694 , 0.0565 , 0.05119 , 0.05404 , 0.04921 , 0.05428 , 0.03949 , 0.03137 , 0.02212 , 0.03621 , 0.04321 , 0.04738 , 0.03129 , 0.0527 , 0.04817 , 0.05354 , 0.04698 , 0.08018 , 0.06352 , 0.06265 , 0.04942 , 0.0261 , 0.02433 , 0.02924 , 0.04842 , 0.04197 , 0.04767 , 0.03545 , 0.03957 , 0.03722 
 485 , 0.03489 , 0.04309 , 0.05223 , 0.04987 , 0.0388 , 0.0221 , 0.02994 , 0.03521 , 0.03973 , 0.03456 , 0.04725 , 0.05687 , 0.0515 , 0.05435 , 0.04948 , 0.05463 , 0.03976 , 0.03157 , 0.02227 , 0.03641 , 0.0435 , 0.04772 , 0.03154 , 0.05304 , 0.04851 , 0.05386 , 0.04722 , 0.0805 , 0.06385 , 0.06291 , 0.04951 , 0.02625 , 0.02447 , 0.02942 , 0.04873 , 0.04227 , 0.048 , 0.03566 , 0.03983 , 0.03743 
