
Wavelength,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu
  (nm),7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 
  time  ,15:49 PM,16:04 PM,16:15 PM,16:30 PM,16:41 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 550 , 0.09184 , 0.07372 , 0.07107 , 0.08235 , 0.07376 
 551 , 0.09196 , 0.07383 , 0.0712 , 0.08243 , 0.07385 
 552 , 0.09214 , 0.074 , 0.07138 , 0.08256 , 0.074 
 553 , 0.09232 , 0.07416 , 0.07156 , 0.08269 , 0.07414 
 554 , 0.09237 , 0.07422 , 0.07162 , 0.08273 , 0.0742 
 555 , 0.09244 , 0.07431 , 0.0717 , 0.08281 , 0.07428 
 556 , 0.09251 , 0.07439 , 0.07177 , 0.08289 , 0.07437 
 557 , 0.09255 , 0.07446 , 0.07182 , 0.08294 , 0.07443 
 558 , 0.09264 , 0.07455 , 0.07189 , 0.08304 , 0.07451 
 559 , 0.09274 , 0.07465 , 0.07197 , 0.08315 , 0.07461 
 560 , 0.09285 , 0.07476 , 0.07205 , 0.08326 , 0.07471 
 561 , 0.09297 , 0.07488 , 0.07217 , 0.08343 , 0.07486 
 562 , 0.09314 , 0.07504 , 0.07234 , 0.08366 , 0.07506 
 563 , 0.0933 , 0.07521 , 0.0725 , 0.08389 , 0.07525 
 564 , 0.09345 , 0.07534 , 0.07262 , 0.08409 , 0.07542 
 565 , 0.09374 , 0.07558 , 0.07283 , 0.0844 , 0.0757 
 566 , 0.09403 , 0.07582 , 0.07304 , 0.08471 , 0.07598 
 567 , 0.0943 , 0.07605 , 0.07325 , 0.08503 , 0.07624 
 568 , 0.09467 , 0.07635 , 0.07352 , 0.08548 , 0.07658 
 569 , 0.09507 , 0.07669 , 0.07383 , 0.08597 , 0.07695 
 570 , 0.09548 , 0.07703 , 0.07413 , 0.08646 , 0.07733 
 571 , 0.09592 , 0.0774 , 0.07446 , 0.08697 , 0.07775 
 572 , 0.09643 , 0.07782 , 0.07485 , 0.08753 , 0.07822 
 573 , 0.09694 , 0.07825 , 0.07523 , 0.0881 , 0.0787 
 574 , 0.09745 , 0.07869 , 0.07563 , 0.08867 , 0.07917 
 575 , 0.098 , 0.07915 , 0.07605 , 0.08928 , 0.07966 
 576 , 0.09855 , 0.07962 , 0.07648 , 0.0899 , 0.08016 
 577 , 0.09909 , 0.08008 , 0.07691 , 0.09051 , 0.08066 
 578 , 0.09951 , 0.08044 , 0.07724 , 0.091 , 0.08105 
 579 , 0.09993 , 0.08081 , 0.07758 , 0.0915 , 0.08146 
 580 , 0.10036 , 0.08117 , 0.07792 , 0.092 , 0.08186 
 581 , 0.1006 , 0.0814 , 0.07812 , 0.09233 , 0.0821 
 582 , 0.10092 , 0.08171 , 0.07839 , 0.09274 , 0.08242 
 583 , 0.10125 , 0.08202 , 0.07867 , 0.09315 , 0.08274 
 584 , 0.10137 , 0.08217 , 0.07879 , 0.09337 , 0.08289 
 585 , 0.1015 , 0.08233 , 0.07891 , 0.09358 , 0.08304 
 586 , 0.10164 , 0.0825 , 0.07904 , 0.0938 , 0.0832 
 587 , 0.10178 , 0.08268 , 0.07918 , 0.09403 , 0.08336 
 588 , 0.10181 , 0.08274 , 0.07925 , 0.0941 , 0.08342 
 589 , 0.10178 , 0.08275 , 0.07927 , 0.09411 , 0.08342 
 590 , 0.10175 , 0.08275 , 0.07928 , 0.09412 , 0.08342 
 591 , 0.10194 , 0.08296 , 0.07948 , 0.09431 , 0.0836 
 592 , 0.10186 , 0.08294 , 0.07946 , 0.09425 , 0.08356 
 593 , 0.10178 , 0.08293 , 0.07944 , 0.09418 , 0.08352 
 594 , 0.10185 , 0.08304 , 0.07954 , 0.09426 , 0.0836 
 595 , 0.10189 , 0.08314 , 0.07964 , 0.09432 , 0.08367 
 596 , 0.10194 , 0.08324 , 0.07973 , 0.09439 , 0.08374 
 597 , 0.10199 , 0.08335 , 0.07984 , 0.09446 , 0.08381 
