
Wavelength,MNAT_00220.spu,MNAT_00221.spu,MNAT_00222.spu,MNAT_00223.spu,MNAT_00228.spu,MNAT_00229.spu,MNAT_00230.spu,MNAT_00231.spu,MNAT_00236.spu,MNAT_00237.spu,MNAT_00238.spu,MNAT_00239.spu,MNAT_00244.spu,MNAT_00245.spu,MNAT_00246.spu,MNAT_00247.spu
  (nm),8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 
  time  ,41:41 PM,42:27 PM,42:36 PM,42:46 PM,45:53 PM,46:02 PM,46:12 PM,46:24 PM,07:12 PM,07:23 PM,07:34 PM,07:43 PM,09:28 PM,09:38 PM,09:49 PM,09:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 357 , 0.31583 , 0.29819 , 0.36564 , 0.34787 , 0.18627 , 0.26125 , 0.59446 , 0.50768 , 0.25699 , 0.22678 , 0.33312 , 0.41514 , 0.48293 , 0.55798 , 0.41935 , 0.32878 
 358 , 0.32451 , 0.31415 , 0.37224 , 0.34496 , 0.17914 , 0.26532 , 0.59396 , 0.50593 , 0.254 , 0.22399 , 0.33586 , 0.4191 , 0.48321 , 0.56358 , 0.42585 , 0.32941 
 359 , 0.33198 , 0.31933 , 0.3735 , 0.35462 , 0.18207 , 0.26696 , 0.59613 , 0.50819 , 0.255 , 0.22212 , 0.3394 , 0.42223 , 0.48828 , 0.57076 , 0.42977 , 0.3334 
 360 , 0.33844 , 0.31679 , 0.37098 , 0.37299 , 0.19199 , 0.26688 , 0.60013 , 0.51322 , 0.25878 , 0.22094 , 0.34337 , 0.42466 , 0.49653 , 0.57882 , 0.43177 , 0.33966 
 361 , 0.34453 , 0.3144 , 0.36859 , 0.3905 , 0.2014 , 0.2668 , 0.60392 , 0.518 , 0.26235 , 0.21982 , 0.34707 , 0.42696 , 0.50428 , 0.58643 , 0.43367 , 0.34558 
 362 , 0.34697 , 0.31105 , 0.36714 , 0.40157 , 0.20726 , 0.26602 , 0.60677 , 0.52114 , 0.26418 , 0.21915 , 0.34899 , 0.42795 , 0.51067 , 0.5918 , 0.43451 , 0.34981 
 363 , 0.33638 , 0.30359 , 0.36889 , 0.38998 , 0.20082 , 0.2625 , 0.60658 , 0.51848 , 0.25981 , 0.22003 , 0.34483 , 0.42435 , 0.51326 , 0.58978 , 0.43148 , 0.34839 
 364 , 0.32635 , 0.29654 , 0.37055 , 0.37905 , 0.19477 , 0.25917 , 0.60641 , 0.51597 , 0.25571 , 0.22086 , 0.34088 , 0.42094 , 0.51573 , 0.58787 , 0.42862 , 0.34704 
 365 , 0.31683 , 0.28988 , 0.37212 , 0.36871 , 0.18908 , 0.25603 , 0.60624 , 0.5136 , 0.25186 , 0.22164 , 0.3371 , 0.41771 , 0.51807 , 0.58606 , 0.42593 , 0.34577 
 366 , 0.32299 , 0.2975 , 0.37684 , 0.36487 , 0.18724 , 0.25616 , 0.59951 , 0.5119 , 0.24876 , 0.22264 , 0.33713 , 0.4192 , 0.51758 , 0.58982 , 0.42891 , 0.3464 
 367 , 0.33211 , 0.30775 , 0.38207 , 0.3625 , 0.18626 , 0.25697 , 0.59169 , 0.51041 , 0.24593 , 0.22364 , 0.33792 , 0.42162 , 0.51654 , 0.59469 , 0.43299 , 0.34742 
 368 , 0.3408 , 0.31754 , 0.38707 , 0.36023 , 0.18531 , 0.25775 , 0.58422 , 0.50899 , 0.24321 , 0.2246 , 0.33867 , 0.42394 , 0.51554 , 0.59939 , 0.43691 , 0.34838 
 369 , 0.33677 , 0.3143 , 0.38036 , 0.35497 , 0.18133 , 0.25243 , 0.56898 , 0.49851 , 0.23594 , 0.21874 , 0.33304 , 0.41736 , 0.50439 , 0.59125 , 0.43088 , 0.34322 
 370 , 0.31832 , 0.29628 , 0.36032 , 0.34619 , 0.17385 , 0.24016 , 0.54478 , 0.47767 , 0.22347 , 0.20518 , 0.32011 , 0.40056 , 0.48171 , 0.56829 , 0.41344 , 0.33104 
